Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Berlin,Berlin,1926.??.??,?,"Colle, Edgar","Gruenfeld, Ernst",1-0,,,E14,d2d4 g8f6 g1f3 e7e6 e2e3 b7b6 f1d3 c8b7 b1d2 c7c5 e1g1 f8e7 b2b3 c5d4 e3d4 d7d6 c1b2 b8d7 c2c4 e8g8 a1c1 f8e8 f1e1 d8c7 d1e2 a8c8 d2f1 c7b8 f1g3 b8a8 f3g5 g7g6 g5f7 g8f7 e2e6 f7g7 d4d5 d7c5 g3f5 g7f8 e6e3 g6f5 e3h6 f8f7 d3f5 b7d5 e1e7 e8e7 h6f6 f7e8 f6h8 e8f7 f5c8
Berlin,Berlin,1926.??.??,?,"Colle, Edgar","Bogoljubow, Efim",0-1,,,D05,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 c7c5 c2c3 b8d7 e1g1 f8d6 b1d2 e8g8 e3e4 c5d4 c3d4 d5e4 d2e4 f6e4 d3e4 d8b6 e4c2 d7f6 d1d3 c8d7 f3e5 d7b5 d3h3 b6d4 c1g5 d4e5 f2f4 e5e2 f1f2 d6c5
Berlin,Berlin,1926.??.??,?,"Bogoljubow, Efim","Spielmann, Rudolf",1-0,,,C79,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 f1e1 b7b5 a4b3 c6a5 d2d4 a5b3 a2b3 c8b7 c1g5 h7h6 g5h4 f8e7 d4e5 d6e5 d1d8 a8d8 f3e5 g7g5 h4g3 f6e4 b1c3 e4g3 h2g3 d8d6 e5d3 d6e6 e1e6 f7e6 a1e1 e8f7 c3e4 b7e4 e1e4 e7d6 b3b4 h8a8 d3e5 d6e5 e4e5 f7e7 f2f4 e7d6 g1f2 c7c6 e5e1 a6a5 e1a1 a5a4 f2f3 a8f8 a1d1 d6e7 d1h1 g5f4 g3f4 f8d8 f3e3 d8g8 h1h2 g8g3 e3f2 g3g6 f2f3 e7d6 h2h5 g6f6 g2g4 d6e7 h5c5 e7d6 c5h5 d6e7 f3e4 e7d6 e4e3 f6g6 e3f3 g6f6 f3g3 f6g6 h5c5 g6g8 c5h5 g8g6 g4g5 h6g5 f4g5 c6c5 b4c5 d6c5 g3g4 b5b4 h5h8 a4a3 h8c8 c5b5 c8b8 b5c5 b2a3 b4a3 b8b3 a3a2 b3a3 g6g8 a3a2 g8c8 g5g6 c5d6 g4g5 c8c3 g6g7 c3g3 g5f6 g3f3 f6g6 f3g3 g6f7 g3f3 f7e8 f3g3 a2a6 d6d5 a6a5 d5d4 e8f7 e6e5 c2c3 d4d3 a5e5 d3c3 e5e6 g3g7 f7g7 c3d4
Berlin,Berlin,1926.??.??,?,"Bogoljubow, Efim","Rubinstein, Akiba",1/2-1/2,,,C98,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 a5c6 d4d5 c6d8 a2a4 a8b8 a4b5 a6b5 c3c4 b5b4 d2f1 f6e8 g2g4 g7g6 c1h6 e8g7 f1e3 f7f6 g1g2 d8f7 h6g7 g8g7 f3d2 f8h8 d2f1 h7h5 f1g3 h5g4 h3g4 f7g5 c2a4 g5h3 a4c6 h3f4 g2f3 b8b6 e1h1 h8h1 d1h1 b6a6 a1g1 g7g8 h1h2 e7f8 g1h1 c7g7 c6e8 a6a7 g3e2 a7e7 e8b5 f4e2 f3e2 e7a7 e2d3 g7h7 h2g2 h7f7 g2h2 f7h7 h2g1 h7f7 g1h2 f7h7 h2g2 h7f7 d3c2 f7e7 c2b3 e7f7 f2f3 f7e7 g2g3 e7f7 e3g2 f7e7 b5c6 a7c7 g2h4 e7f7 g3h2 f8g7 h4g2 g6g5 g2e3 c7a7 h2h7 g8f8 e3f1 a7a1 f1g3 a1h1 h7h1 f8g8 h1a1 f7c7 a1a8 g8f7 b3a4 g7f8 a8a5 c7a5 a4a5 f8e7 g3e2 e7d8 a5b5 f7e7 e2c1 d8c7 c1b3 c7b8 b5b6 e7d8 b3c5 d6c5 b6c5 b4b3 c5b4 b8a7 b4b3 a7d4 b3a3 c8a6 b2b3 a6c4 b3c4 d8c7
Berlin,Berlin,1926.??.??,?,"Colle, Edgar","Johner, Paul F",0-1,,,D04,d2d4 g8f6 g1f3 d7d5 e2e3 c8g4 c2c4 e7e6 d1b3 d8c8 f3e5 g4f5 b1c3 c7c6 c4d5 e6d5 c1d2 f8d6 a1c1 e8g8 c3b5 d6e7 f1d3 f5d3 b3d3 b8a6 a2a3 c8e6 b5c3 a6c5 d3c2 c5e4 e1g1 e7d6 f2f4 e4c3 d2c3 f6e4 f1f3 f7f6 e5d3 a8c8 b2b4 b7b6 c3b2 c8c7 c2b3 e4d2 b3d1 d2f3 d1f3 f8e8 c1e1 e6e4 f3d1 c7e7 b2c3 e7c7 d3f2 e4g6 c3d2 c6c5 b4c5 b6c5 d2a5 c7d7 e3e4 c5d4 d1d4 d6f4 e1d1 g6f7 e4d5 f4e3 d4d3 e8e5 d5d6 e3f2
Berlin,Berlin,1926.??.??,?,"Bogoljubow, Efim","List, Paul",1-0,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 e8g8 d2f1 a5c6 f1e3 c7a7 e3d5 c8g4 d4c5 d6c5 h2h3 g4e6 c1g5 a8d8 g5f6 e7f6 d5f6 g7f6 d1c1 g8h8 c1h6 a7e7 f3h4 f8g8 e1e3 d8d7 a1c1 d7d6 e3f3 e7f8 h6f6 g8g7 c1d1 d6d1 c2d1 f8d8 f6d8 c6d8 f3d3 d8b7 h4f5 g7g8 a2a3 c5c4 d3d2 e6f5 e4f5 h8g7 d1c2 g8c8 f5f6 g7f6 c2h7 b7c5 f2f3 c8c6 g1f2 f6e7 h7c2 f7f6 f2e3 c6c8 g2g3 c8g8 e3f2 g8h8 h3h4 e7e6 c2g6 f6f5 h4h5 c5d3 f2g1 d3e1 g1f2 e1d3 f2f1 h8f8 b2b4 e6f6 a3a4 f6g5 a4a5 g5f6 f1e2 f6g5 d2d1 g5h6 e2e3 h6g5 d1d2 f8f6 d2d1 f6f8 d1g1 f8f6 g3g4 f5f4 e3e2 d3b2 e2d2 b2d3 d2c2 d3f2 g1f1 f2h3 f1e1 f6e6 g6f5 e6e8 f5d7 e8e7 d7c8 g5h4 c8a6 h3g5 a6b5 h4g3 a5a6 g3f3 e1a1 e7a7 b5c4 e5e4 b4b5
Berlin,Berlin,1926.??.??,?,"Bogoljubow, Efim","Johner, Paul F",1-0,,,A09,g1f3 d7d5 c2c4 d5c4 b1a3 a7a6 a3c4 b7b5 c4e3 c8b7 g2g3 e7e6 f1g2 g8f6 e1g1 b8d7 d2d3 f8d6 c1d2 e8g8 a2a4 c7c5 d1b1 d8e7 f1c1 f8b8 a4b5 a6b5 a1a8 b8a8 b2b4 c5b4 f3d4 b7g2 g1g2 d7e5 f2f3 a8b8 b1a1 e7b7 a1a2 f6d5 e3d5 b7d5 d2b4 e5d7 e2e4 d5e5 f3f4
Berlin,Berlin,1926.??.??,?,"Bogoljubow, Efim","Ahues, Carl Oscar",1/2-1/2,,,D30,g1f3 d7d5 c2c4 c7c6 d2d4 g8f6 e2e3 e7e6 b1d2 b8d7 f1d3 f8e7 e1g1 e8g8 d1e2 c6c5 b2b3 b7b6 c1b2 c8b7 a1d1 d8c7 f3e5 d5c4 b3c4 c5d4 e5d7 c7d7 e3d4 f8e8 d2f3 d7c6 d4d5 e6d5 c4d5 f6d5 d3b5 c6g6 b5e8 d5f4 e8f7 g6f7 e2e5 b7f3 d1d7 f4g6 e5e3 f3g4 d7c7 f7e6 e3g3 g4f5 h2h4 e7f6 b2f6 e6f6 h4h5 g6f8 h5h6 f8e6 c7a7
Berlin,Berlin,1926.??.??,?,"Johner, Paul F","Spielmann, Rudolf",1/2-1/2,,,D51,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 f8b4 c4d5 e6d5 f1d3 c7c5 d4c5 b4c3 b2c3 d7c5 d3b5 c8d7 b5d7 c5d7 g1e2 d8a5 e1g1 f6e4 d1d4 e8g8 g5e7 f8e8 e7b4 a5b5 e2f4 e4f6 f1d1 a7a5 b4a3 e8e4 d4d2 d7b6 a1b1 b5c6 d2c2 b6c4 a3c1 a8e8 c2b3 e4e7 b3b5 e7d7 h2h3 g7g5 f4e2 f6e4 f2f3 e4c5 b5c6 b7c6 e2d4 c5a4 b1b3 a4c5 b3b1
Berlin,Berlin,1926.??.??,?,"Ahues, Carl Oscar","Saemisch, Fritz",1/2-1/2,,,A41,c2c4 e7e5 b1c3 b8c6 g1f3 d7d6 d2d4 c8g4 d4d5 c6b8 h2h3 g4h5 e2e4 b8d7 c1e3 f8e7 f1e2 h5f3 e2f3 e7g5 d1d2 g5e3 d2e3 g8f6 e1g1 a7a5 b2b3 e8g8 g2g3 d8e7 a1e1 d7b6 f3e2 f8e8 e1a1 f6d7 g1h2 d7c5 a1e1 b6d7 e2d1 d7f8 e3d2 e7d8 a2a3 e8e7 d1c2 h7h6 f2f4 f8h7 d2f2 c5d7 c3d1 f7f6 d1e3 d8b8 e3f5 e7f7 c2d1 b8d8 d1h5 f7e7 f2f3 b7b6 f3c3 h7f8 f5e7 d8e7 h5d1 g8h8 h3h4 a8e8 f4f5 e8a8 g3g4 f8h7 h2g3 h8g8 f1h1 e7d8 d1c2 a8a7 e1a1 d8f8 g3f2 f8d8 c3e3 d8a8 a1g1 a8e8 h1h3 e8e7 f2g2 e7d8 g2h1 d8e7 c2d1 e7d8 g1g2 d8e7 g4g5 f6g5 d1h5 e7f6 h5g6 d7f8 g6h7 f8h7 h3g3 a7a8 e3e2 a8f8 h4g5 h7g5 e2h5 f6e7 g3g5 h6g5 g2h2 e7f6 h1g2 f8d8
