Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
FIDE Grand Prix 1 Pool C,Berlin GER,2022.02.04,1.2,"Keymer,Vincent","Dubov,Daniil",1/2-1/2,2664,2720,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f3h4 f5g6 h4g6 h7g6 c1d2 b8d7 d1b3 d8c7 c4d5 e6d5 e1c1 a7a5 b3c2 h8h2 h1h2 c7h2 a2a3 f8e7 c1b1 d7b6 f2f3 b6c4 d2c1 b7b5 e3e4 b5b4 c2a4 a8c8 a3b4 e7b4 c3a2 b4e7 f1c4 d5c4 d4d5 e8f8 a4c4 h2c7 d5c6 c7c6 c4c6 c8c6 c1d2 c6a6 a2c1 f8e8 d2c3 a5a4 b1a2 g6g5 c1d3 g5g4 d3b4 e7b4 c3b4 g4f3 g2f3 f6d7 f3f4 a6c6 b4c3 d7c5 d1d4 c5e6 d4a4 e6f4 c3g7 f7f6 g7h6 f4d3 a4d4 c6a6 a2b1 d3b2 b1b2 f6f5 h6d2 f5e4 d4e4 e8d7 b2b3 a6a1 b3c4 a1a6 d2b4 a6e6 e4h4 d7c6 b4c5 e6g6 c5d4 g6e6 h4h1 e6g6 h1a1 g6g2 a1a6 c6d7 c4d5 g2d2 a6a7 d7d8 d5c5 d8e8 a7a1 e8d7 c5d5 d2d3 a1g1 d3d2 g1h1 d7c7 h1h7 c7d8 d5e5 d8c8 d4c5 d2d7 h7h8 c8c7 c5d4 c7c6 h8h6 c6b5 e5e4 d7e7 e4d3 e7b7 h6e6 b7b8 e6d6 b8b7 d3e4 b7h7 d6b6 b5c4 b6c6 c4b5 c6c5 b5b4 c5c8 b4b5 d4e5 h7h4 e4d5 h4h5 c8b8 b5a5 d5d4 a5a6 e5c7 h5b5 b8g8 a6b7 d4c4 b5f5 c7g3 b7c6 c4d4
FIDE Grand Prix 1 Pool D,Berlin GER,2022.02.04,1.2,"Shirov,A","Harikrishna,P",1/2-1/2,2704,2717,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5 c1e3 d8b6 b1c3 b8c6 e1g1 b6b2 d1e1 c5d4 e3d4 c6d4 f3d4 f8b4 a1b1 b4c3 b1b2 c3e1 f1e1 b7b6 h2h4 h7h5 d4f5 e6f5 c2c4 g8e7 b2d2 e8c8 f2f4 d5c4 d2d8 h8d8 e2c4 e7d5 e1c1 c8b7 g2g3 d8d7 c1d1 b7c6 a2a4 c6c5 c4b3 a7a6 g1f2 c5c6 d1c1 c6b7 c1d1 b7c6 d1c1 c6b7 c1d1
FIDE Grand Prix 1 Pool A,Berlin GER,2022.02.04,1.1,"Esipenko,Andrey","Grischuk,A",1/2-1/2,2714,2764,E06,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 g2g3 f8e7 f1g2 e8g8 b2b3 d5c4 b3c4 c7c5 e1g1 c5d4 f3d4 a7a6 c1a3 e7a3 b1a3 d8c7 d1c1 c8d7 f1d1 d7a4 d1d2 b8d7 a1b1 d7c5 d4b3 a8d8 d2d8 f8d8 c1e3 c5b3 a2b3 a4c6 b3b4 h7h6 g2c6 c7c6 f2f3 b7b5 c4b5 a6b5 e3c5 c6a6 b1a1 d8c8 c5d4 a6a4 d4b2 f6d5 b2b1 d5b4 g1g2 g7g6 b1b2 b4c2 a3c2 c8c2 b2f6 c2e2 g2h3 e2a2 a1c1 a2c2 c1a1 c2a2 a1c1 a2c2 c1a1 c2a2 a1c1
FIDE Grand Prix 1 Pool D,Berlin GER,2022.02.04,1.1,"So,W","Dominguez Perez,L",1/2-1/2,2772,2752,D20,d2d4 d7d5 c2c4 d5c4 e2e4 b7b5 a2a4 c7c6 a4b5 c6b5 b1c3 d8b6 b2b3 e7e6 b3c4 f8b4 c1d2 b5c4 g1f3 g8e7 f1c4 e8g8 e1g1 a7a5 d4d5 c8a6 c3a4 b6d8 c4a6 a8a6 d5e6 a6e6 d2b4 a5b4 d1d8 f8d8 a4c5 e6c6 f1c1 d8c8 c5b3 c6c1 a1c1 c8c1 b3c1 f7f5 e4f5 e7f5 g1f1 b8c6 f1e2 g8f7 e2d3 f5d6 c1e2 f7f6 e2d4 c6d4 f3d4 d6f5 d4f3 f5d6 f3d4 d6f5 d4f3 f5d6 f3d4
FIDE Grand Prix 1 Pool C,Berlin GER,2022.02.04,1.1,"Aronian,L","Vidit,S",1-0,2772,2727,E48,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 c4d5 e6d5 a2a3 b4d6 d1c2 c7c6 g1e2 f8e8 c1d2 b7b6 e1g1 c8a6 g1h1 c6c5 a1d1 g7g6 c2b1 a6b7 e2f4 b8d7 f2f3 d7f8 b2b4 c5d4 e3d4 d6f4 d2f4 f6h5 f4e5 f7f6 e5g3 h5g3 h2g3 d8c7 c3e2 e8e3 b1a2 a8e8 a2d2 c7d6 d1c1 e3e7 d3b5 e8c8 c1c8 b7c8 d2f4 d6f4 e2f4 c8b7 h1g1 g8f7 g1f2 f8e6 f1h1 h7h5 b5d3 e6f4 g3f4 e7c7 f4f5 g6g5 h1h5 f7g7 h5h1 c7c3 f2e2 b7c6 h1a1 c6d7 e2d2 c3c8 b4b5 c8h8 g2g4 h8c8 a3a4 g7f8 a4a5 f8e7 a5b6 a7b6 a1a7 c8b8 d2e3 e7d6 f3f4 b8e8 e3f3 g5f4 f3f4 d7b5 d3b5 e8e4 f4f3 e4f4 f3e3 f4e4 e3f2 e4f4 f2e1 f4d4 a7a4 d4a4 b5a4 d6e5 e1d2 e5f4 a4d1 d5d4 d2d3 f4e5 d3c4 e5e4 d1c2 e4e3 c2b1
FIDE Grand Prix 1 Pool B,Berlin GER,2022.02.04,1.2,"Wojtaszek,R","Rapport,R",1-0,2686,2763,A40,d2d4 e7e6 c2c4 f8b4 c1d2 a7a5 g1f3 g8f6 g2g3 d7d5 f1g2 d5c4 d1c2 c7c5 a2a3 b4d2 b1d2 c5d4 d2c4 e8g8 c2d3 b8c6 e1g1 a8a6 f1d1 b7b5 c4e5 c8b7 e5c6 b7c6 d3d4 d8a8 a1c1 h7h6 g2f1 c6d5 f3e5 a8b8 f2f3 a6d6 d4c5 d6a6 c5c7 d5c4 c7b8 f8b8 e2e4 a6b6 d1d2 g7g5 g3g4 g8g7 f1c4 b5c4 e5c4 b6b3 g1f2 a5a4 c1c2 h6h5 h2h3 h5g4 h3g4 b8h8 c4e5 b3b5 e5d3 h8h2 f2f1 h2d2 c2d2 f6d7 f1e2 g7f6 d2c2 b5b8 c2c4 d7e5 c4b4 b8b4 d3b4 e5c4 b4d3 f6e7 e2d1 e7d6 d1c2 d6c6 c2c3 c6b5 c3d4 f7f6 e4e5 f6f5 g4f5 e6f5 e5e6 g5g4 e6e7 c4d6 d4d5 d6e8 f3f4 g4g3 d3e1 e8g7 e1g2 b5b6 d5d6 b6b5 g2e3 b5b6 d6d7 b6c5 e7e8q
FIDE Grand Prix 1 Pool B,Berlin GER,2022.02.04,1.1,"Fedoseev,Vl3","Oparin,G",1-0,2704,2681,E06,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 d5c4 d1c2 b7b5 a2a4 c8b7 a4b5 a7a6 b1c3 a6b5 a1a8 b7a8 c3b5 a8d5 f1d1 c7c5 d4c5 d8a5 f3d4 e7c5 g2d5 e6d5 b2b3 f8c8 b3c4 c5d4 b5d4 c8c4 c2b1 b8d7 c1b2 a5b4 d4f5 h7h5 f5e3 c4e4 b1a1 h5h4 b2d4 h4h3 f2f3 e4e8 g1f2 b4e7 a1c3 e7e6 d1c1 e6e7 c1c2 e8b8 c3a1 b8e8 a1c3 e7d6 c3d3 d6b4 d3d2 b4b1 c2c1 b1g6 d2c2 g6h6 c2f5 d7f8 c1c2 f6d7 f5d5 h6g6 c2c1 g6a6 c1a1 a6g6 a1d1 g6a6 d5f5 a6a4 f5g4 f7f6 d1a1 a4b5 a1a7 f8e6 e3f5 e6g5 d4e3
FIDE Grand Prix 1 Pool A,Berlin GER,2022.02.04,1.2,"Bacrot,E","Nakamura,Hi",1/2-1/2,2642,2736,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5f1 d6f5 e5f3 d7d5 d2d4 e8g8 b1c3 f5h4 f3h4 e7h4 c3e2 c8f5 e2f4 d8d7 c2c3 a8e8 c1e3 c6d8 f4d3 h4e7 d1b3 c7c6 e3f4 d8e6 f4g3 d7c8 d3e5 e7d8 f1d3 f5d3 e5d3 d8c7 g3c7 e6c7 a2a4 e8e1 a1e1 f8e8 b3d1 e8e1 d1e1 c8f5 e1e3 a7a5 h2h3 h7h5 h3h4 c7e6
FIDE Grand Prix 1 Pool D,Berlin GER,2022.02.05,2.2,"Harikrishna,P","So,W",1/2-1/2,2717,2772,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 a2a4 f8e7 b1c3 a7a6 b5f1 e5e4 c3e4 d6e4 e1e4 d7d5 e4e1 c8g4 h2h3 g4h5 f1e2 e8g8 d2d4 e7d6 f3e5 h5e2 e1e2 c6e5 d4e5 d6e7 e2d2 c7c6 c2c4 d8a5 c4d5 c6d5 d2d3 f8d8 c1e3 a8c8 d1b3 a5b4 b3b4 e7b4 a1d1 g8f8 d3d5 d8d5 d1d5 f8e7 d5d4 a6a5 d4h4 h7h6 h4g4 e7f8 g1f1 c8c2 b2b3 b4c5 g4e4 c5e3 e4e3 f8e7 f2f4 g7g6 e3d3 b7b5 a4b5 c2c5 f1f2 c5b5 f2f3 h6h5 g2g4 h5g4 h3g4 e7e6 f3g3 g6g5 f4g5 b5e5 g3h4 e6e7 d3f3 e5e4 g5g6 f7g6 h4g5 a5a4 b3a4 e4a4 g5g6
FIDE Grand Prix 1 Pool A,Berlin GER,2022.02.05,2.1,"Bacrot,E","Grischuk,A",1/2-1/2,2642,2764,B08,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 a7a6 a2a4 b7b6 f1e1 e7e6 e4e5 d6e5 f3e5 c8b7 e2f3 d8c8 c1g5 f6d7 g5f4 f8d8 e5g4 d8f8 d4d5 h7h5 g4e5 d7e5 f4e5 f7f6 d5d6 f6e5 d6d7 b8d7 f3b7 c8b7 d1d7 b7c8 d7c6 f8f7 a1d1 c8e8 c6e4 f7f4 e4b7 f4c4 b7f3 a8d8 d1d8 e8d8 f3e2 c4d4 e2a6 d4d2 a6c4 d8d4 c4e6 g8h7 e6f7 d4f4 f7f4 e5f4 e1c1 g7c3 b2c3
