Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
It,Bermuda BER,2005.01.30,1,"Macieja,B","Gelfand,B",0-1,2618,2696,B23,e2e4 c7c5 b1c3 d7d6 f2f4 g7g6 g1f3 f8g7 f1b5 c8d7 b5c4 b8c6 e1g1 c6a5 c4e2 g8f6 d2d4 c5d4 f3d4 e8g8 g1h1 a8c8 e2f3 a5c4 b2b3 d8a5 c3b1 e7e5 d4e2 c4b6 c2c3 d6d5 f4e5 f6e4 c1f4 f8e8 d1d4 g6g5 f3e4 d5e4 f4g5 a5e5 d4e5 g7e5 g5f6 e5f6 f1f6 d7g4 e2d4 b6d5 f6f1 d5c3 b1c3 c8c3 a1e1 c3d3 d4c2 e4e3 h1g1 d3c3 c2d4 e8e4 d4f5 e3e2 f1f2 c3c1 f5h6 g8g7 f2f7 g7h6 e1c1 e2e1r c1e1 e4e1 g1f2 e1e2 f2g3 g4e6 f7e7 e6c4 e7b7 e2g2 g3f4 g2f2 f4e3 f2f7 b7b8 c4d5 b8d8 d5b7 d8d4 h6g5 d4a4 b7c8 b3b4 c8g4 b4b5 h7h5 a4a6 g5h4 a2a4 h4h3 a4a5 h3h2 b5b6 a7b6 a6b6 h2g3 a5a6 f7f3
It,Bermuda BER,2005.01.30,1,"Dominguez,L","Volokitin,And",1-0,2661,2685,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 c1e3 g8f6 d1d2 f8b4 f2f3 d7d5 a2a3 b4a5 e1c1 e8g8 d4b3 d5e4 d2f2 c8d7 c3e4 f6e4 f3e4 c6e5 f2g3 a5c7 e3f4 f7f6 b3c5 f8f7 c5e6 d7e6 d1d8 a8d8 h2h4 d8d4 f1d3 e5d3 c2d3 c7f4 g3f4 d4d3 h1d1 d3d1 c1d1 h7h5 d1c2 f7e7 f4d6 g8f7 c2c3 e6g4 d6d5 f7g6 a3a4 e7d7 d5c5 g4e6 g2g3 e6g4 c3b4 d7d3 c5c2 d3g3 b4a5 g4e6 b2b4 g3g4 a5b6 g4h4 b6b7 h4g4 b4b5 a6b5 a4a5 g4g3 a5a6 e6c4 a6a7 c4d3 c2c6 g3g4 a7a8q d3e4 a8e8 g6f5 e8h5
It,Bermuda BER,2005.01.30,1,"Vescovi,G","Harikrishna,P",1/2-1/2,2645,2632,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6f5 d1d8 e8d8 b1c3 f5e7 h2h3 h7h6 b2b3 c8f5 f1d1 d8c8 d1d2 e7d5 c1b2 d5c3 b2c3 c6c5 f3h4 f5e6 f2f4 g7g6 a1f1 h6h5 f4f5 g6f5 h4f5 b7b6 f5e3 f8h6 d2d3 c8b7 e3d5 a8d8 d5f4 h6f4 f1f4 d8d3 c2d3 h8d8 f4f3 b6b5 g1f2 b5b4 c3b2 a7a5 f2e3 a5a4 b3a4 e6a2 f3f5 d8g8 e5e6 a2e6 f5c5 c7c6 c5h5 g8g2 b2e5 b4b3 h5h8 c6c5 h8b8 b7c6 a4a5 g2a2 b8b6 c6d5 e5f4 c5c4 b6b5 d5c6 b5b6 c6d5
It,Bermuda BER,2005.01.31,2,"Dominguez,L","Macieja,B",1/2-1/2,2661,2618,C43,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 b8d7 e5d7 c8d7 e1g1 f8d6 d1h5 e4f6 f1e1 d6e7 h5e2 d7g4 e2e3 g4e6 b1d2 e8g8 d2f3 f8e8 f3e5 d8c8 e3f3 e6g4 f3f4 e7d6 c1d2 g4h5 f4h4 h5g6 e5g6 h7g6 d2g5 f6h7 g5f4 d6f4 h4f4 c8d7 e1e5 e8e5 d4e5 h7f8 h2h4 f8e6 f4g4 e6c5 g4d7 c5d7 f2f4 d7c5 a1d1 g8f8 c2c3 c5d3
It,Bermuda BER,2005.01.31,2,"Volokitin,And","Harikrishna,P",1/2-1/2,2685,2632,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 a4c6 b7c6 d2d4 e5d4 f3d4 c8d7 b1c3 e8g8 d1f3 f8e8 b2b3 h7h6 e4e5 d6e5 d4c6 d7c6 f3c6 e7b4 c1e3 d8d7 c6d7 f6d7 e3d2 a8d8 c3e4 b4d2 e4d2 d7b6 d2e4 b6d5 a2a3 a6a5 a1d1 f7f5 c2c4 d5e7 e4c5 e7c6 g1f1 g8f7 c5a6 e8e7 d1d8 c6d8 e1d1 d8e6 b3b4 a5b4 a3b4 c7c6 d1d6 e6d4 f2f4 e7a7 f4e5 a7a6 d6d4 f7e6 d4d6 e6e5 d6g6 a6a4 g6c6
It,Bermuda BER,2005.01.31,2,"Gelfand,B","Vescovi,G",1/2-1/2,2696,2645,E05,d2d4 g8f6 g1f3 e7e6 g2g3 d7d5 f1g2 f8e7 c2c4 e8g8 e1g1 d5c4 d1c2 a7a6 c2c4 b7b5 c4c2 c8b7 c1d2 a8a7 f1c1 b7e4 c2b3 b8d7 d2a5 d8b8 b1d2 e4a8 a5b4 c7c5 b4c5 d7c5 d4c5 f8c8 b3a3 a7c7 b2b4 a6a5 a3a5 c7a7 a5b6 a7b7 b6a5 b7a7
It,Bermuda BER,2005.02.01,3,"Macieja,B","Volokitin,And",0-1,2618,2685,A20,c2c4 e7e5 g2g3 g8f6 f1g2 h7h6 b1c3 f8b4 e2e4 b4c3 b2c3 d7d6 g1e2 c8e6 d2d3 d8d7 h2h3 g7g5 f2f3 b8a6 h3h4 e8c8 h4g5 h6g5 c1g5 h8h1 g2h1 d8h8 e1f2 f6h7 g5h4 f7f5 e4f5 e6f5 d3d4 d7e6 c4c5 h7f6 d1b3 f6d5 a1e1 h8e8 e2c1 e6h6 b3d5 h6d2 c1e2 a6c5
It,Bermuda BER,2005.02.01,3,"Harikrishna,P","Gelfand,B",1/2-1/2,2632,2696,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f3h4 f5g6 d1b3 d8c7 h4g6 h7g6 c1d2 b8d7 h2h3 d7b6 c4d5 e6d5 f1d3 f8e7 e1c1 a7a5 c1b1 a5a4 b3c2 b6c4 g2g4 b7b5 c3e2 f6d7 h3h4 d7b6 e2f4 e7d6 d2c1 e8c8 h4h5 g6h5 g4h5 c7e7 d3f5 c8c7 e3e4 d5e4 f5e4 d6f4 c1f4 c7b7 f4c1 b6d5 f2f3 e7f6 c2f2 a4a3 e4d5 d8d5 b2b3 c4b6 h5h6 g7h6 c1a3 d5f5 d4d5 f5f3 f2b2 h8e8 b2f6 f3f6 d5c6 f6c6
It,Bermuda BER,2005.02.01,3,"Vescovi,G","Dominguez,L",1-0,2645,2661,D14,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 e7e6 d1b3 f8b4 f1b5 e8g8 e1g1 d8e7 b5c6 b7c6 c3a4 f6h5 a2a3 b4a5 f4g3 h5g3 h2g3 a8b8 b3d1 f7f6 a1c1 f8c8 b2b4 a5d8 c1c5 d8b6 c5c3 g7g5 d1e2 e6e5 d4e5 f6e5 f1c1 f5g4 a4b6 a7b6 e3e4 d5d4 c3c6 c8f8 e2a2 f8f7 c6c7 e7e6 a2e6 g4e6 c7f7 g8f7 f3g5 f7e7 g5e6 e7e6 a3a4 e6d6 c1a1 d6c6 a4a5 c6b5 a5b6 b8b6 g1f1 b5c4 f1e2 b6b4 a1c1 c4b5 f2f4 b4b3 e2f2 h7h5 f4e5 b3e3 c1e1 e3a3 e1h1 a3e3 h1h5 e3e4 h5h4 e4e5 h4d4 e5e8 g3g4 b5c5 d4f4 c5d5 f2g3 e8g8 g3h4 d5e5 g2g3 g8h8 h4g5 h8b8 g5h6 b8b6 h6h5
It,Bermuda BER,2005.02.02,4,"Harikrishna,P","Macieja,B",1-0,2632,2618,E39,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8 a2a3 b4c5 g1f3 b7b6 c1f4 b8c6 a1d1 c8b7 e2e4 c6e7 h2h3 e7g6 f4h2 f6h5 c2d2 f7f5 e4f5 b7f3 g2f3 g6h4 f1e2 d8f6 d2d3 h4g2 e1d2 h5f4 h2f4 g2f4 d3e4 f6h6 d2c2 a8e8 c2b1 e6f5 e4c2 c5f2 e2d3 f4d3 d1d3 e8e1 h1e1 f2e1 d3d7 h6h3 c2d1 h3h4 d1d5 g8h8 c3b5 h7h5 b5d6 h4f4 d5e6 e1h4 e6g6 h4f6 g6h5 h8g8 d6f5 f8c8 h5g6 f4e5 f5h6
