Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Credit Suisse,Biel,1997.07.21,1,"Pelletier, Yannick","Karpov, Anatoly",0-1,2465,2745,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c1g5 f8e7 d1a4 b7c6 a4b3 d5c4 b3c4 e8g8 e2e3 c6b7 f1e2 a7a6 a1c1 b8d7 e1g1 b6b5 c4a2 c7c5 f1d1 f6d5 g5e7 d8e7 d4c5 d7c5 b2b4 d5c3 c1c3 c5e4 c3d3 b7d5 a2b2 a8c8 f3d2 e4d6 f2f3 d5c4 d2c4 d6c4 b2b3 c4b6 e2f1 h7h6 d3d6 b6d5 d6a6 c8c3 b3b2 f8c8 e3e4 d5e3 d1e1 e3f1 e1f1 c3c2 b2e5 c8d8 e5b5 d8d2 b5b8 g8h7 b8g3 e7d7 a6a5 d7d4 g1h1 d2d1
Credit Suisse,Biel,1997.07.22,2,"Gelfand, Boris","Karpov, Anatoly",1/2-1/2,2695,2745,A17,g1f3 g8f6 c2c4 b7b6 g2g3 c8b7 f1g2 e7e6 e1g1 f8e7 b1c3 e8g8 f1e1 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 b8c6 d2d4 c6a5 d1c2 c7c5 d4d5 e6d5 e4d5 e7f6 e1d1 f8e8 f3d2 f6e5 d2f3 e5f6 f3d2 f6e5 d2f3
Credit Suisse,Biel,1997.07.22,2,"Milov, Vadim","Anand, Viswanathan",1/2-1/2,2635,2765,E41,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1e2 c5d4 e3d4 d7d5 c4d5 f6d5 a2a3 d5c3 b2c3 b4e7 d3e4 c8d7 e1g1 a8c8 e2f4 c6a5 f1e1 e8g8 d4d5 e6e5 d5d6 e7d6 d1d6 e5f4 c1f4
Credit Suisse,Biel,1997.07.23,3,"Karpov, Anatoly","Lautier, Joel",1-0,2745,2660,D39,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 d5c4 e2e4 f8b4 c1g5 c7c5 f1c4 c5d4 f3d4 b4c3 b2c3 d8a5 d4b5 f6e4 g5f4 e8g8 e1g1 c8d7 a2a4 d7c6 d1g4 e4f6 g4e2 a7a6 b5c7 a8a7 e2e3 b7b6 c7e6 f6d5 e3g3 f7e6 f4b8 a7f7 b8d6 f8e8 f1e1 g8h8 d6e5 d5f6 e5d4 f6e4 g3h4 e4d6 c4d3 d6f5 h4h5 h8g8 e1e5 b6b5 a1e1 g7g6 h5e2 f5d4 c3d4 a5d8 a4b5 a6b5 e2e3 e8f8 e1e2 f7f4 e5e6 f4d4 d3c2 d4d6 c2b3 g8h8 e3c3 f8f6 e6d6 d8d6 e2e6
Credit Suisse,Biel,1997.07.23,3,"Anand, Viswanathan","Gelfand, Boris",1-0,2765,2695,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3g5 h7h6 g5h4 g7g5 h4g3 f8g7 d1d2 b8c6 d4b3 f7f5 e4f5 c8f5 h2h4 d8d7 e1c1 c6b4 b3d4 a8c8 a2a3 c8c3 b2c3 d7a4 c1b2 b4d5 h4g5 h6g5 d2g5 g7d4 h1h8 d4h8 g5h5 e8d8 h5h8 d8d7 d1d2 g4f6 c3c4 d5c3 f2f3 c3d1 b2c1 d1e3 g3d6 e3f1 h8f8 f6d5 d6e7 f1d2 f8d8 d7e6 c4d5 e6e5 d8d6 e5d4 d6c5 d4e5 c5d6 e5d4 d6f4 d2e4 f4f5
Credit Suisse,Biel,1997.07.25,4,"Lautier, Joel","Milov, Vadim",1-0,2660,2635,D16,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 b8a6 e2e4 c8g4 f1c4 g4f3 g2f3 e7e6 c1e3 a6b4 f3f4 d8a5 e1g1 e8c8 d1e2 f8e7 g1h1 g7g6 a1c1 c8b8 f1g1 f6h5 e2f3 h5g7 g1d1 a5h5 f3g2 h5a5 d4d5 e6d5 e4d5 c6c5 c3e4 g7f5 d5d6 e7d6 e4g5 d6e7 g5f7 d8d1 c1d1 h8c8 b2b3 b4c6 c4e6 c8c7 g2e4 a5c3 d1c1 c3f6 e6d5 c6d4 f7e5 f6a6 d5c4 a6d6 c1d1 a7a6 b3b4 d6b6 b4c5 e7c5 e4d5 f5e3 f2e3 d4f5 d5d8 b8a7 a4a5 b6a5 d1b1 c5d6 e5c6 c7c6 d8a5
Credit Suisse,Biel,1997.07.25,4,"Karpov, Anatoly","Anand, Viswanathan",1/2-1/2,2745,2765,D46,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7 d1c2 f8d6 f1d3 e8g8 e1g1 d5c4 d3c4 a7a6 c1d2 c6c5 d4c5 d7c5 c4e2 b7b5 b2b4 c5d7 c3e4 d6e7 e4f6 e7f6 d2c3 c8b7 c3f6 d7f6 c2b2 d8e7 f1c1 f6d5 a2a3 f8c8 f3e5 d5b6 c1c8 a8c8 a1c1 c8c1 b2c1 e7d6 e5d3 b6d7 f2f3 g8f8 c1c3 f7f6 c3c2 d6c6 c2c6 b7c6 e3e4 f8e7 g1f2 e6e5 e2d1 e7d6 d1b3 d7f8 f2e3 g7g5 g2g3 c6b7 d3c5 b7c8 e3d2 a6a5 d2c3 a5a4 b3g8 h7h6 g8f7 c8e6 f7h5 e6d7
Credit Suisse,Biel,1997.07.26,5,"Milov, Vadim","Karpov, Anatoly",1/2-1/2,2635,2745,E48,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 d7d5 c4d5 f6d5 g1e2 c5d4 e3d4 b8c6 a2a3 b4d6 c3e4 d6e7 d3c2 e8g8 e1g1 d8c7 d1d3 f8d8 e4g5 g7g6 c2b3 e7f8 d3h3 d5f6 g5f3 c7b6 b3a2 f8g7 h3h4 f6d5 e2c3 c6e7 c3d5 e7d5 c1h6 f7f6 h6g7 g8g7 a1b1 c8d7 f1e1 d7e8 h4e4 e8f7 h2h4 h7h6 e1e2 a8c8 b1e1 c8c6 a2b1 b6c7 g2g3 h6h5 b1a2 d5e7 e4d3 d8d6 d3d2 e7d5 a2b1 c7c8 b1e4 c6c7 e4b1 c8d7 e2e4 c7c8 e4e2 d7b5 g1h2 d6c6 b1d3 b5b3 d3e4 b3b5 f3g1 c6c7 g1h3 c7d7 e4d5 b5d5 h3f4 d5f5 d2e3 c8c6 e2d2 c6d6 e1d1 d7d8 d2d3 a7a6 d3d2 f5a5 d2d3 a5b6 d3b3 b6a7 b3d3 d8d7 d1d2 a7b6 d3b3 b6d8 b3d3 a6a5 f2f3 d8b6 e3e4 b6c6 e4e3 c6b5 h2g2 b5f5 d2d1 d7d8 d1d2 d6d7 d2d1 d8e8 e3f2 g6g5 h4g5 f6g5 f4e2 e6e5 e2c3 f7g6 d3d2 g5g4 d4e5 g4f3 f2f3 f5f3 g2f3 d7f7 f3g2 e8e5 d2d4 g7h6 d1d2 b7b5 d2f2 f7b7 f2e2 e5e2 c3e2 b5b4 a3b4 b7b4 d4b4
Credit Suisse,Biel,1997.07.27,6,"Karpov, Anatoly","Pelletier, Yannick",1-0,2745,2465,D46,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7 d1c2 f8d6 f1d3 e8g8 e1g1 h7h6 f1d1 d8e7 h2h3 b7b6 c4d5 c6d5 c3b5 c8a6 c1d2 f6e4 d2e1 d6b4 e1b4 e7b4 a2a3 b4e7 c2a4 a6b7 a1c1 a7a6 b5c7 b6b5 a4a5 a8c8 c7a6 b7a6 a5a6 c8a8 a6c6 e4d6 d3b5 d7f6 b5a6 f8b8 b2b4 e7d8 b4b5 d6c4 c1c4 d5c4 f3e5 d8a5 e5c4 a5c3 d1f1 f6d5 c6c5 c3c2 c4d6 c2d3 f1c1 b8d8 a6b7 a8a3 b7d5 e6d5 b5b6 a3b3 d6f7 d8f8 c5d5 g8h7 f7e5 d3d2 c1f1 d2c2 d5c5 f8c8 c5d6 c8a8 h3h4 b3b1 f1b1 c2b1 g1h2 b1e4 h2g3 a8a2 h4h5 e4c2 d6g6 h7g8 g6f7 g8h7 e5d7
Credit Suisse,Biel,1997.07.28,7,"Karpov, Anatoly","Gelfand, Boris",1/2-1/2,2745,2695,D46,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 e2e3 c7c6 g1f3 b8d7 d1c2 f8d6 f1d3 e8g8 e1g1 d5c4 d3c4 b7b5 c4d3 c8b7 c1d2 b5b4 c3e4 f6e4 d3e4 d7f6 a2a3 b4a3 b2a3 f6e4 c2e4 d8e7 f1b1 a8b8 e4g4 c6c5 d4c5 d6c5 d2c3 f7f6
