Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
2nd Grand Slam Masters,Bilbao ESP,2009.09.06,1,"Karjakin,Sergey","Shirov,A",1/2-1/2,2722,2730,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 e8g8 f1c4 c8d7 e1c1 a8c8 c4b3 c6d4 e3d4 b7b5 c3d5 f6d5 d4g7 g8g7 e4d5 a7a5 a2a3 g7g8 h1e1 c8c5 g2g4 b5b4 a3b4 a5b4 d2b4 d8a8 c1d2 f8b8 d1a1 c5d5 d2e3 d5e5 e3d2
2nd Grand Slam Masters,Bilbao ESP,2009.09.06,1,"Grischuk,A","Aronian,L",1-0,2733,2773,D43,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 c1g5 h7h6 g5h4 d5c4 e2e4 g7g5 h4g3 b7b5 f3e5 c8b7 h2h4 g5g4 f1e2 b8d7 e2g4 h8g8 e5d7 d8d7 g4f3 e8c8 d1d2 g8g3 f2g3 e6e5 e1c1 d7d4 g3g4 f6d7 d2d4 e5d4 d1d4 f8g7 d4d1 d8g8 g4g5 d7e5 g5h6 g7h6 c1b1 b5b4 c3e2 c6c5 d1d6 h6g7 h1d1 c8c7 e2f4 g8h8 h4h5 b7c6 d6d2 g7h6 f4d5 c7b8 d2f2 c6a4 d1f1 e5d3 f2e2 d3e5 f1h1 a7a5 e2f2 a4d7 f3e2 d7e6 d5f4 e6c8 h1d1 c8b7 f4d5 h8e8 f2f6 e8e6 d1f1 h6g7 f6f5 e5d3 f5f7 g7d4 f7d7 e6e8 f1f7 b7c6 d7e7 e8d8 b2b3 d3e5 f7f5 c4b3 f5e5 b3a2 b1a2 d8f8 e5e6
2nd Grand Slam Masters,Bilbao ESP,2009.09.07,2,"Aronian,L","Karjakin,Sergey",1-0,2773,2722,E55,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 c7c5 g1f3 d7d5 e1g1 d5c4 d3c4 b8d7 d1e2 b7b6 f1d1 c5d4 e3d4 c8b7 d4d5 b4c3 d5e6 b7f3 g2f3 f7e6 b2c3 d8c7 c1a3 d7c5 d1d4 g8h8 a1e1 a8c8 e2e5 c7f7 a3c1 f6d5 c4d5 e6d5 e5d5 f7f3 d5f3 f8f3 e1e7 f3c3 c1e3 c3a3 d4g4 h7h5 g4g5 h5h4 e3d4 h8h7 g5g7 h7h6 d4b2
2nd Grand Slam Masters,Bilbao ESP,2009.09.07,2,"Grischuk,A","Shirov,A",1-0,2733,2730,D47,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 b1c3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e3e4 b5b4 c3a4 c6c5 e4e5 f6d5 e1g1 c5d4 f3d4 f8e7 f1e1 e8g8 d1g4 f8e8 d3b5 g8h8 c1d2 a7a6 b5c6 d8c7 a1c1 d7e5 c6b7 e5g4 c1c7 d5c7 b7a8 e8a8 d4c6 c7d5 c6e7 d5e7 d2b4 e7d5 b4d2 a8c8 e1c1 c8c1 d2c1 g4e5 a4c5 d5b4 b2b3 b4a2 c1b2 e5c6 c5a6 h8g8 g1f1 f7f6 f1e2 a2b4 a6b4 c6b4 e2e3 g8f7 e3d4 b4c2 d4c5 c2e1 c5c6 e1g2 b3b4 g2f4 b4b5 f4d5 c6d6 f7g6 b2d4 g6g5 b5b6 d5b6 d4b6 e6e5 d6e6 e5e4 e6f7 f6f5 f7g7 h7h5 g7f7 f5f4 f7e6 g5g4 e6e5 g4f3 h2h4
2nd Grand Slam Masters,Bilbao ESP,2009.09.08,3,"Shirov,A","Aronian,L",0-1,2730,2773,C89,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 d2d4 e7d6 e5e1 d8h4 g2g3 h4h3 c1e3 c8g4 d1d3 a8e8 b1d2 h3h5 a2a4 e8e6 a4b5 a6b5 d2f1 g4f5 d3d2 f5h3 b3d1 h5g6 d1f3 g6f5 f3h1 f8e8 e1e2 h7h5 d2c2 f5g4 e2e1 h5h4 c2d1 g4f5 d1f3 f5g6
2nd Grand Slam Masters,Bilbao ESP,2009.09.08,3,"Karjakin,Sergey","Grischuk,A",1-0,2722,2733,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a3 h7h6 d4d5 c6b8 f3h2 b8d7 d1f3 d8c8 d2f1 c7c6 d5c6 c8c6 h2g4 e8e7 f1g3 d6d5 e4d5 f6d5 g3f5 e7e6 f3g3 g8h8 c1e3 h6h5 a1d1 d5e3 g4e3 e6g6 g3h2 g6f6 b3d5 c6c8 h2g3 g7g6 g3g5 f8g7 f5e7 c8c7 e3g4 f6f4 g4h6 a8f8 h6f7 f4f7 e7g6 h8h7 g5h5 g7h6 d5f7 f8f7 d1d7 f7d7 g6f8 h7g7 f8e6
2nd Grand Slam Masters,Bilbao ESP,2009.09.10,4,"Shirov,A","Karjakin,Sergey",1/2-1/2,2730,2722,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c8b7 d2d4 f8e8 f3g5 e8f8 g5f3 f8e8 b1d2 e7f8 a2a4 h7h6 b3c2 e5d4 c3d4 c6b4 c2b1 c7c5 d4d5 f6d7 a1a3 c5c4 a4b5 a6b5 f3d4 a8a3 b2a3 b4d3 b1d3 c4d3 d4b5 d8a5 b5d4 a5c3 d4f5 d7c5 f2f3 b7d5 e4d5 e8e1 d1e1 c5b3 e1e8 c3c1 g1h2 b3d2 f5e7 g8h7 e8f8 d2f1 h2h1 f1g3 h1h2 g3f1 h2h1
2nd Grand Slam Masters,Bilbao ESP,2009.09.10,4,"Aronian,L","Grischuk,A",1-0,2773,2733,D11,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 e2e3 a7a6 b1c3 b7b5 c4c5 b8d7 a2a3 a6a5 f1d3 e7e5 d4e5 f6g4 d3b5 c6b5 d1d5 a8b8 h2h3 b5b4 a3b4 a5b4 c3e4 d7c5 d5d8 e8d8 e4c5 g4f2 e1f2 f8c5 c1d2 d8c7 h1c1 c7b6 f3d4 h8d8 c1c2 d8d5 a1c1 c8e6 d4b3 b8d8 f2e2 c5f8 b3d4 f8c5 d4e6 f7e6 e3e4 d5e5 c2c4 d8d4 c4d4 c5d4 b2b3 e5c5 c1f1 b6b5 f1f7 d4c3 d2e3 c5c6 f7b7 b5a6 b7b8 a6a5 e3g5 h7h6 g5e7 e6e5 g2g4 c6e6 e7f8 g7g5 b8d8 e6f6 d8d5 a5b6 d5d6
2nd Grand Slam Masters,Bilbao ESP,2009.09.11,5,"Aronian,L","Shirov,A",1-0,2773,2730,A20,c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6 e1g1 d5b6 b2b3 f8d6 c1b2 e8g8 d2d3 c8g4 h2h3 g4h5 b1d2 d8e7 d2e4 f7f5 e4d6 c7d6 b3b4 c6b4 d1b3 b4d5 f3e5 d6e5 g2d5 b6d5 b3d5 g8h8 f1e1 a8e8 a1c1 f5f4 g3g4 h5f7 d5e4 f7g6 e4g2 e7f7 c1c5 f7a2 c5b5 b7b6 e1a1 a2f7 b5e5 f7b3 e5e8 f8e8 b2d4 b3b4 g2d5 b4e7 a1c1 h7h6 d5f3 e7d6 d4b2 h8h7 c1c4 b6b5 c4c6 d6b4 b2c3 b4e7 f3f4 e8f8 f4e3 e7f7 c3e5 f8e8 f2f4 f7d7 e3c5 d7e7 c6c7 e7c5 c7c5
2nd Grand Slam Masters,Bilbao ESP,2009.09.11,5,"Grischuk,A","Karjakin,Sergey",1/2-1/2,2733,2722,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a4 h7h6 b3c2 e5d4 c3d4 c6b4 c2b1 c7c5 d4d5 f6d7 a1a3 c5c4 a4b5 a6b5 f3d4 a8a3 b2a3 b4d3 b1d3 c4d3 c1b2 d8a5 d4f5 g7g6 f5e3 d7e5 d2b3 a5a4 b2e5 e8e5 e3g4 e5e7 g4f6 g8h8 d1d3 f8g7 d3f3 a4a3 e1e2 a3a8 e2c2 a8d8 f3f4 e7e5 f6g4 e5e7 g4h6 d8f8 h6g4 f7f5 e4f5 f8f5 f4f5 e7e1 g1h2 g6f5 g4e3 g7e5 g2g3 f5f4 g3f4 e5f4 h2g2 f4e3 f2e3 e1e3 b3d4 e3d3 d4b5 d3d5 b5d6 d5d6 g2g3 b7c6 g3f4 h8g7 c2c5 c6e8 f4e5 d6h6 c5c3 h6h5 e5d6 e8g6 c3e3 g6f5 d6e5 f5c8 e5d4 g7f6 h3h4 c8f5 e3b3 f5e6 b3b4 h5h4 d4c3 h4h1 c3d4 h1d1 d4e4 e6d5 e4f4 d1f1 f4e3 f6e5 e3e2 f1h1 e2d2 d5e4 b4b5 e5f4 b5b3 h1h2 d2c3 h2h8 c3c4 h8c8 c4d4 c8d8 d4c3 e4d3 b3b4 f4e3 b4b2 d8c8 c3b3 e3d4 b3b4 c8c6 b4b3 c6c1 b2d2 c1c8 d2b2 d3c4 b3b4 d4d3 b2h2 c8b8 b4c5 b8b5 c5d6 b5g5 h2h3 d3d4 h3h4 d4c3 h4h3 c3b4 h3h7 g5d5 d6e7 b4c5 h7g7 d5h5 e7f6 c5d6 g7g5 h5h4 g5g7 c4e6 f6g5 h4g4 g5f6 g4f4 f6g5 f4f2 g5g6 d6e5 g6g5 e6f7 g5h6 e5f6 g7g6 f7g6
