Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Birmingham,Birmingham,1858.??.??,1,"Owen, John","Loewenthal, Johann Jacob",1/2-1/2,,,A00,d2d4
Birmingham,Birmingham,1858.??.??,1,"Loewenthal, Johann Jacob","Kipping, James Stanley",1-0,,,B00,e2e4 b7b6 d2d4 e7e6 g1f3 c8b7 f1d3 f8e7 c1e3 g8f6 b1d2 d7d6 e1g1 e8g8 c2c3 b8d7 f3e1 d6d5 e4e5 f6e8 d1h5 f7f5 e5f6 d7f6 h5h3 b7c8 h3g3 e8d6 f2f4 d6f5 g3f3 c8d7 e3f2 d7e8 g2g4 f5d6 e1g2 e8b5 d3b5 d6b5 f3e2 d8d7 g4g5 f6e8 a1e1 g8f7 d2f3 f7g8 f3e5 d7d6 e2b5
Birmingham,Birmingham,1858.??.??,1,"Salmon, G.","Szabo, Djuro",1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 f7f5 d4e5 f5e4 f3g5 d6d5 e5e6 f8c5 g5e4 d5e4 d1h5 g7g6 h5c5 c8e6 c5e5 d8f6 e5e4 b8c6 f1c4 e8f7 e1g1 a8e8 b1c3 g8e7 c3b5 e8c8 c1f4 e6c4 e4c4 f7g7 b5c7 h7h6 f4d2 c6d4 c4d4 f6d4 c7e6
Birmingham,Birmingham,1858.??.??,1,"Saint Amant, Pierre",Beetlestone,1-0,,,A00,d2d4
Birmingham,Birmingham,1858.??.??,1,"Owen, John","Hampton, TJ.",1-0,,,A00,d2d4
Birmingham,Birmingham,1858.??.??,1,"Falkbeer, Ernst Karl","Ingleby, C.",1-0,,,B22,e2e4 e7e5 d2d4 e5d4 f1c4 c7c5 c2c3 b8c6 g1f3 d7d6 c3d4 b7b6 d4c5 b6c5 c4f7 e8f7 d1d5 f7e8 d5c6 c8d7 c6d5 g8f6 d5d3 d8b6 b1c3 d7c6 e1g1 a8d8 c3d5 b6b7 f1e1 c6b5 d3b5 b7b5 d5c7 e8d7 c7b5 a7a6 b5c3 d7c8 c1f4 h7h6 e4e5 f6h5 c3d5 d6e5 e1e5 f8d6 e5h5 g7g6 h5e5 d6e5 f4e5 h8e8 a1d1 c8b7 h2h4 b7c6 d5e7 c6b7 d1d8 e8d8 e7g6 d8d1 g1h2 a6a5 h4h5 b7b6 g2g4 b6b5 e5g7 a5a4 g7h6 d1d8 h6g7
Birmingham,Birmingham,1858.??.??,1,"Falkbeer, Ernst Karl","Saint Amant, Pierre",0-1,,,A00,d2d4
Birmingham,Birmingham,1858.??.??,1,"Falkbeer, Ernst Karl","Loewenthal, Johann Jacob",1/2-1/2,,,C23,e2e4 e7e5 f1c4 f8c5 d1e2 g8f6 d2d3 b8c6 c2c3 h7h6 b2b4 c5b6 a2a4 a7a6 g1f3 d7d6 c1e3 b6e3 f2e3 c6e7 e1g1 e7g6 b1d2 e8g8 h2h3 c7c6 e2f2 d6d5 c4b3 d5e4 d3e4 d8d3 a1c1 c8e6 b3e6 f7e6 f3e1 d3d7 e1f3 a8d8 f2g3 g8h7 g3g6 h7g6 f3e5 g6h7 e5d7 d8d7 d2b3 e6e5 b3c5 d7e7 c1d1 b7b6 c5d3 f8d8 d3f2 e7d7 d1d7 d8d7 f1b1 d7d2 c3c4 d2c2 b4b5 c6b5 c4b5 a6a5 b1d1 c2a2 d1d8 a2a4 d8d6 a4a1 g1h2 a1f1 f2g4 f6g4 h3g4 f1e1 d6b6 e1e3 b6a6 e3e4 a6a5 e4g4 b5b6 g4b4 a5e5 b4b6
Birmingham,Birmingham,1858.??.??,1,"Staunton, Howard",Hughes,1-0,,,A00,d2d4
Birmingham,Birmingham,1858.??.??,1,"Falkbeer, Ernst Karl","Brien, Robert Barnett",1-0,,,C01,e2e4 e7e6 g1f3 d7d5 e4d5 e6d5 d2d4 g8f6 c1g5 f8d6 b1c3 c7c6 f1d3 e8g8 e1g1 c8e6 c3e2 b8d7 e2f4 h7h6 f4e6 f7e6 d1e2 d8e7 g5h4 f8d8 a1e1 d7f8 f3e5 d8e8 f2f4 c6c5 c2c3 c5d4 c3d4 d6b4 e1c1 a8c8 e5g4 f8d7 d3b5 e8f8 c1c8 f8c8 b5d7 e7d7 h4f6 d7f7 f6e5 f7f5 g4e3 f5e4 e2f3 e4f3 f1f3 c8c1 f3f1 b4d2 e3d1 b7b5 a2a3 a7a5 g2g4 b5b4 a3b4 a5b4 g1g2 b4b3 h2h4 c1c2 g2f3 g8f7 e5d6 f7e8 f1f2 d2c1 d6b4 e8d7 b4c3 d7c6 g4g5 c6b5 g5h6 g7h6 f2e2 c1f4 e2e6 f4d2 e6d6 d2c1 d6d5 b5a6 d5a5 a6b7 a5a3
