Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
SWIFT,Brussels,1986.??.??,?,"Jadoul, Michel","Karpov, Anatoly",0-1,2360,2700,B44,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5 d7d6 c2c4 g8f6 b1c3 a7a6 b5a3 f8e7 f1e2 e8g8 e1g1 b7b6 c1e3 c8b7 d1b3 f6d7 f1d1 d7c5 b3c2 d8c7 a1c1 a8c8 a3b1 c6e5 b1d2 c5d7 a2a3 f8e8 b2b4 d7f6 h2h3 e5g6 c2b1 b7a8 c3a4 c8b8 e2f1 h7h6 g2g3 f6d7 f1g2 b8c8 d2b3 c7b7 b1a2 b7b8 c4c5 b6b5 a4b2 d7f6 a2b1 h6h5 b3a5 d6c5 b4c5 h5h4 g3g4 g6f4 e3f4 b8f4 b2d3 f4c7 b1b4 f6e4 g2e4 a8e4 b4e4 c7a5 c5c6 e7a3 c1a1 a5c3 d3e5 a3b2
SWIFT,Brussels,1986.??.??,?,"Jadoul, Michel","Kortschnoj, Viktor",0-1,2360,2635,C17,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 g1f3 g8e7 d4c5 b8d7 d1d4 d8a5 c1d2 e7c6 d4g4 e8g8 f1d3 c6e5 f3e5 d7e5 d3h7 g8h7 g4h5 h7g8 h5e5 a5c5 e1c1 c8d7 a2a3 c5d6 e5d6 b4d6 c3e4 d6e7 d2b4 e7b4 a3b4 a7a5 e4c5 d7c6 c5d3 d5d4 f2f3 f7f6 c1d2 e6e5 d1a1 a5a4 h1e1 g8f7 d3f2 f8h8 h2h3 a8c8 a1c1 g7g5 c2c4 d4c3 c1c3 c8d8 c3d3 c6b5 d3d8 h8d8 d2c3 d8c8 c3d2 c8c4 e1e4 c4c8 e4e3 b5f1 g2g3 c8c4 e3e4 f7e6 e4c4 f1c4 d2e3 c4d5 f3f4 e5f4 g3f4 d5g2 f4g5 f6g5 f2e4 e6f5 e4g3 f5e5 g3e2 g2h3 e2c3 h3d7 b4b5 d7e8 c3a4 e8b5 a4c3 b5c6 c3e2 e5d5 e2g3 d5c4 e3d2 c4d4 d2e2 c6d7 g3h1 d7b5 e2d2 d4e4 h1f2 e4f3 f2h3 g5g4 h3g5 f3g2 d2e3
SWIFT,Brussels,1986.??.??,?,"Jadoul, Michel","Romanishin, Oleg M",0-1,2360,2560,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 d4c6 b7c6 f1d3 d7d5 e1g1 g8f6 f1e1 f8e7 e4e5 f6d7 d1g4 e8f8 g4h5 a8b8 a2a3 f8g8 b2b3 d7c5 d3f1 a6a5 c1e3 c5d7 e3f4 g7g6 h5h6 e7f8 h6g5 d8g5 f4g5 h7h6 g5d8 b8a8 c3a4 c8b7 d8c7 g8g7 c2c4 f8e7 c4d5 c6d5 f1b5 d7c5 a4b6 a8a7 b3b4 c5b3 a1b1 b3d4 b5d3 a5b4 a3b4 b7c6 c7d6 e7d6 e5d6 a7b7 b4b5 b7b6 b5c6 b6c6 b1b4 d4f5 d6d7 c6d6 b4b7 h8d8 d3b5 f5d4 b5a4 d6a6 e1a1 d4e2 g1f1 e2c3
SWIFT,Brussels,1986.??.??,?,"Jadoul, Michel","Torre, Eugenio",1-0,2360,2525,D34,g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 b2b3 c7c5 c1b2 b8c6 c4d5 e6d5 d2d4 f6e4 b1c3 e7f6 c3a4 c8g4 f3e5 g4h5 e5c6 b7c6 f2f3 e4d6 g3g4 h5g6 a4c5 h7h5 e2e4 f6e7 e4e5 d6b5 f3f4 h5g4 d1g4 e7c5 d4c5 g6d3 f4f5 f7f6 f1d1 d8e7 d1d3 e7c5 g1h1 c5c2 d3g3
SWIFT,Brussels,1986.??.??,?,"Jadoul, Michel","Zapata, Alonso",0-1,2360,2515,A26,c2c4 g7g6 b1c3 f8g7 g2g3 e7e5 d2d3 g8f6 f1g2 e8g8 g1f3 b8c6 e1g1 d7d6 a1b1 a7a5 a2a3 h7h6 b2b4 a5b4 a3b4 c8e6 b4b5 c6e7 c1b2 d8d7 e2e4 f6h5 c3d5 e7d5 c4d5 e6h3 d3d4 h3g2 g1g2 e5d4 f3d4 f8e8 f2f3 h5f6 f1f2 d7d8 d4b3 e8e7 b1a1 f6d7 b2g7 g8g7 f2c2 d7b6 c2a2 a8b8 h2h4 h6h5 d1d2 g7h7 d2c3 d8e8 b3d4 e8h8 a1c1 h8e8 c3d2 e8h8 a2c2 b8c8 d2g5 e7d7 d4e2 b6a4 e2f4 h7g8 g3g4 h5g4 g5g4 a4b6 h4h5 h8f6 h5g6 f7g6 f4e6 d7h7 e6c7 g8h8 g4g3 g6g5 g2f1 g5g4 g3g4 c8g8 g4f5 f6d4 f5h7 h8h7 c2h2 h7g6 c7e6 d4d3 h2e2 d3f3 f1e1 g8a8 e2g2 g6h5 e6g7 h5h4 g7f5 h4h3 g2g3 f3g3 f5g3 h3g3 c1c7 g3f3 c7b7 b6c4 e1d1 f3e4 b5b6 e4d5 b7a7
SWIFT,Brussels,1986.??.??,?,"Karpov, Anatoly","Ljubojevic, Ljubomir",1-0,2700,2605,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 c2c3 c7c5 f2f4 b8c6 d2f3 d8b6 g2g3 a7a5 a2a4 c5d4 c3d4 f8b4 e1f2 g7g5 h2h3 f7f6 c1e3 e8g8 a1c1 f8f7 h1h2 b4f8 d1d2 b6b4 d2b4 a5b4 b2b3 c6a5 c1b1 g5f4 g3f4 f8h6 f1d3 b7b6 h2g2 g8h8 g1e2 c8a6 d3a6 a8a6 f4f5 h6e3 f2e3 b6b5 a4b5 a6b6 b1g1 h7h5 e2f4 f6e5 f4g6 h8h7 f3g5 h7g7 g6e5 d7e5 g5f7 g7f7 d4e5
SWIFT,Brussels,1986.??.??,?,"Karpov, Anatoly","Miles, Anthony J",1-0,2700,2610,B41,d2d4 g8f6 g1f3 c7c5 c2c4 c5d4 f3d4 a7a6 b1c3 e7e6 e2e4 f8b4 f1d3 d8c7 e1g1 b8c6 d4f3 e8g8 c1d2 b7b6 a1c1 c7b8 d1e2 b4d6 g1h1 d6c7 d3b1 c8b7 c1d1 h7h6 b2b3 f8e8 d1e1 d7d6 d2e3 f6g4 e3c1 g4e5 c1b2 c7d8 e1d1 d8f6 f3e1 e5g6 f2f4 b8c7 e2g4 a8d8 e1f3 g6f8 c3d5 f6b2 d5c7 e8e7 c7e6 e7e6 g4g3 b2a3 f4f5 e6e8 f5f6 g7g6 g3h4 h6h5 h4f4 e8e6 f3g5 e6e5 d1d2 d8e8 h2h3 c6d8 g5f3 f8e6 f4h6 e5a5 d2d5 b6b5 f3g5
SWIFT,Brussels,1986.??.??,?,"Karpov, Anatoly","Seirawan, Yasser",1-0,2700,2605,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8e7 e1g1 b8c6 c2c4 c6b4 d3e2 c8e6 b1c3 e8g8 c1e3 f7f5 a2a3 e4c3 b2c3 b4c6 d1a4 f5f4 e3d2 g8h8 a1b1 a8b8 f1e1 d5c4 e2c4 e6g4 c4e2 e7d6 h2h3 g4h5 b1b5 h5e8 a4c2 a7a6 b5f5 f8f5 c2f5 e8g6 f5g4 d8f6 e2c4 b8f8 a3a4 g6c2 g4h5 h7h6 e1e8 c2f5 c4d5 f5d7 e8f8 f6f8 f3h4 d7e8 h5e2 c6d8 e2e4 f8e7 h4g6 e8g6 e4g6 c7c6 d5b3 b7b5 g1f1 e7f8 b3c2 h8g8 c2b3 g8h8 h3h4 d8b7 c3c4 f8g8 g6d3 g8h7 f1e2 g7g5 c4c5 d6c7 a4b5 a6b5 h4h5 c7a5 d2c1 h7e7 e2d1 e7e1 d1c2 e1f2 c2b1 f2g3 d3g3 f4g3 b1c2 h8g7 d4d5 b7c5 c1b2 g7f8 d5c6 c5a6 b2a3 f8e8 b3e6 a5b4 a3b2 b4f8 e6d7 e8d8 b2e5 a6b4 c2d2 b4d5 d7e6 d5c7 e6f7 c7e8 f7e8 d8e8 e5f6 g5g4 d2c3 f8d6 f6g7 d6f4 c3b4 e8d8 b4b5 d8c7 b5c5 f4e3 c5d5 e3f4 g7f8 c7b6 f8d6 f4g5 d6g3
SWIFT,Brussels,1986.??.??,?,"Karpov, Anatoly","Timman, Jan H",1-0,2700,2645,A30,g1f3 g8f6 c2c4 b7b6 g2g3 c7c5 f1g2 c8b7 e1g1 g7g6 d2d4 f8g7 b1c3 f6e4 c3e4 b7e4 d4d5 e7e5 d1b3 e8g8 g2h3 e4f3 b3f3 f7f5 e2e4 f5f4 f3d1 d7d6 c1d2 a7a5 d1a4 g7h6 a1c1 h6g5 c1c2 g8h8 a2a3 a8a7 d2e1 d8e8 a4e8 f8e8 e1d2 b8a6 f1b1 e8f8 c2c3 h8g7 h3g4 a7f7 c3b3 f8b8 g4d1 h7h5 h2h4 g5h6 g3g4 h5g4 d1g4 g7f6 g1f1 f7b7 f1e1 h6f8 b3h3 b7h7 e1e2 f8e7 h4h5 g6h5 h3h5 h7h5 g4h5 b8g8 h5f3 g8h8 f3g4 a6c7 g4d7 f6f7 b1a1 e7g5 d2c3 f7e7 d7f5 g5f6 a1d1 h8a8 e2d3 a8h8 c3e1 h8a8 e1d2 a8h8 d1c1 h8a8 c1c3 a8h8 c3b3 c7a8 d3e2 f6g5 d2e1 h8h1 f5c8 g5h4 e1d2 h1h2 d2e1 h2h1 c8b7 a8c7 b7c6 e7d8 e1d2 h1h2 d2e1 h2h1 c6a4 d8c8 e1c3 h1h2 b3b6 h2f2 e2d3 f2f3 d3c2 f3g3 b6d6 f4f3 d6h6 f3f2 h6h8 c8b7 a4c6 b7a6 h8f8 g3g8 f8f3 g8g3 f3f5 g3g5 f5f7 g5g7 f7f3 g7g3 f3f5 g3g5 f5f8 g5g8 f8f7 g8g7 f7g7 f2f1q g7c7 f1c4 a3a4 c4e4 c2b3 h4e1 d5d6 e4h4 c6b5 a6b6 c7c6 b6b7 d6d7 e1c3 b2c3 c5c4 c6c4 h4e1 d7d8n b7a7 c4c7 a7b8 c7d7 e1b1 b3c4 b1f1 c4d5 f1f3 d5d6 f3f8 d6e6 f8h6 e6e5 h6e3 e5d6 e3f4 d6c5 f4e3 c5c4 b8c8 d8f7 e3e4 c4c5 e4e3 c5c6 e3c3 c6b6 c3e3 b6a6 e3e6 f7d6 c8b8 d7d8 b8c7 d8c8
SWIFT,Brussels,1986.??.??,?,"Karpov, Anatoly","Van der Wiel, John TH",1/2-1/2,2700,2555,B44,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5 d7d6 c2c4 g8f6 b1c3 a7a6 b5a3 d6d5 c4d5 e6d5 e4d5 c6b4 f1e2 f8c5 c1e3 c5e3 d1a4 f6d7 a4b4 e3c5 b4e4 e8f8 e1g1 b7b5 a3c2 d7f6 e4d3 g7g6 e2f3 c8f5 d3d2 h7h5 c2d4 f5g4 d4c6 d8d6 c3e4 f6e4 f3e4 f8g8 a1c1 a8e8 d2d3 c5b6 e4f3 b6c7 g2g3 d6f6 c1c3 c7b6 c3b3 g4h3 f3g2 h3g4 g2f3 g4h3 f3g2 h3g4 d3c3 f6d6 f1e1 e8e1 c3e1 d6f6 h2h3 g4d7 b3f3 f6d6 e1c3 d7f5 h3h4 g8h7 g2h3 b5b4 c3e1 d6d5 h3g2 d5e6 e1b4 e6c6 f3f5 c6c1 g1h2 g6f5 b4b6 c1h6 b6d4 h8e8 g2h3 f5f4 g3f4 h7g8 b2b4 h6g7 d4d7 e8e1 d7d8 g8h7 h3f5 h7h6 d8g5 g7g5 f4g5 h6g7 f5d3 e1a1 d3c4 a1b1 a2a3 b1a1 c4a6 a1a3 a6e2 a3a2
