Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Budapest,Budapest,1913.??.??,1,"Forgacs, Leo","Marco, Georg",1/2-1/2,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 b8d7 c2c3 f8e7 f1c4 g8f6 b1d2 e8g8 e1g1 c7c6 c4b3 d8c7 f1e1 h7h6 d2f1 f8e8 f1g3 e7f8 c1e3 e5d4 e3d4 c6c5 d4f6 d7f6 f3d2 c8d7 d2f1 d7c6 d1d3 b7b5 b3d5 f6d5 e4d5 e8e1 a1e1 a8e8 e1e8 c6e8 f1e3
Budapest,Budapest,1913.??.??,1,"Brody, N.","Spielmann, Rudolf",0-1,,,C01,d2d4 e7e6 e2e4 d7d5 e4d5 e6d5 g1f3 f8d6 f1d3 c8g4 b1c3 g8e7 h2h3 g4h5 c3b5 b8c6 c2c3 f7f5 c1d2 a7a6 b5d6 d8d6 d3e2 e8c8 d1c2 d6e6 d2e3 h7h6 e1c1 g7g5 d1e1 f5f4 e3d2 e6f6 f3e5 h5e2 e1e2 c6e5 e2e5 e7g6 e5e1 g6h4 g2g3 h4f3 e1e2 f4g3 f2g3 h6h5 c2d3 g5g4 d2f4 h5h4 h3g4 h4g3 d3f3 h8h1 f3h1 f6f4 c1c2 f4g4 h1g2 d8h8 g2f1 c8b8 c2b3 b8a7 e2g2 h8h2 f1g1 h2g2 g1g2 c7c6 c3c4 d5c4 b3c4 g4h4 c4b3 h4h2 g2f3 g3g2
Budapest,Budapest,1913.??.??,1,"Barasz, Zsigmond","Szekely, Jeno",1-0,,,C02,e2e4 c7c6 d2d4 d7d5 e4e5 e7e6 f2f4 c6c5 g1f3 b8c6 c2c3 d8b6 f1e2 g8h6 d1b3 b6b3 a2b3 c5d4 c3d4 h6f5 e2b5 c8d7 b5c6 b7c6 g2g4 f5h6 h2h3 c6c5 c1e3 c5d4 e3d4 f8b4 b1d2 e8g8 e1e2 d7b5 e2e3 a7a6 a1c1 f8c8 f4f5 b5d7 f5f6 d7b5 d2b1 a8b8 b1c3 b5c6 c1a1 b4c3 b2c3 b8b3 a1a6 c6b7 a6a7 g8f8 h1a1 f8e8 a1a3 b3b1 e3f4 e8d7 f3d2 b1b5 d2b3 g7f6 e5f6 c8c7 b3c5 c7c5 d4c5 d7c6 c5d4 b5b1 a3a5 c6d6 a5a1
Budapest,Budapest,1913.??.??,1,"Asztalos, Lajos","Vidmar, Milan Sr",1-0,,,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 f8c5 e1g1 d7d6 a4c6 b7c6 c1e3 c5e3 f2e3 e8g8 b1c3 a8b8 b2b3 f6g4 d1e1 f7f5 e4f5 c8f5 h2h3 g4h6 e3e4 f5d7 e1g3 d8e7 c3e2 f8f6 f3h2 f6g6 g3e3 c6c5 f1f3 b8f8 f3f8 e7f8 a1f1 f8e7 f1f3 h6f7 f3g3 g6g3 e3g3 e7f6 h2f1 d7e6 f1e3 h7h6 g1h2 c7c6 g3e1 h6h5 c2c4 f7g5 e1f1 f6h6 f1f2 g5f7 f2f3 f7g5 f3f2 g5f7 f2f3 h6g5 h2g1 g7g6 f3g3 g5f6 g3f2 f6g5 f2g3 g5f6 g3f2 f6d8 e2c3 g8g7 g1f1 e6c8 f1g1 d8a5 c3a4 a5d8 a4c3 d8g5 g1f1 f7d8 h3h4 g5e7 f1e2 d8e6 e2d2 e6d4 c3e2 e7d8 e2d4 c5d4 e3d1 c8g4 d2c1 d8e7 d1b2 e7d8 g2g3 d8c7 f2d2 g4f3 b2a4 d6d5 a4c5 c7e7 d2a5 d5e4 d3e4 f3g2 a5b6 e7f6 b6c7 g7h6 c7c8 a6a5 c8e8 g2h3 c1b2 h6g7 c5d3 h3g2 d3e5 f6f2 b2a3 f2f8 e8f8 g7f8 e5g6 f8f7 g6f4 g2e4 a3b2 e4f3 c4c5 f7f6 a2a4 f3g4 b3b4 a5b4 a4a5 g4c8 f4h5 f6f5 h5f4 c8a6 h4h5 d4d3 h5h6 f5f6 g3g4 b4b3 b2b3
Budapest,Budapest,1913.??.??,1,"Balla, Zoltan","Tartakower, Saviely",1/2-1/2,,,B47,e2e4 c7c5 d2d4 c5d4 g1f3 b8c6 f3d4 e7e6 b1c3 a7a6 f1e2 g8f6 e1g1 d8c7 e2f3 f8e7 f1e1 e8g8 g2g3 e7b4 d4c6 d7c6 c1g5 e6e5 g5f6 g7f6 f3g4 g8h8 g4c8 c7c8 d1f3 c8e6 e1d1 f8d8 c3e2 b4e7 b2b3 b7b5 g1h1 a6a5 g3g4 a5a4 e2g3 a4b3 a2b3 a8a1 d1a1 e6d7 g3f5 e7f8 f5e3 f8e7 a1d1 d7e6 d1d8 e7d8 f3d1 d8e7 e3f5 h8g8 d1a1 e7f8 a1a7 e6c8 h1g2 c8d8 a7b7 d8d1 f5e3 d1d6 h2h3 d6c5 b7c8 c5d6 c8e8 d6e6 e8d8 e6d6 d8d6 f8d6 e3f5 d6b4 g2f3 g8f8 f3e2 f8e8 f2f3 b4f8 e2d3 e8d7 c2c4 b5b4 c4c5 f8c5 d3c4 c5f8 f5e3 d7c7 e3c2 c7b6 c2b4 f8h6 b4d3 h6e3 b3b4 e3g1 g4g5 b6c7 g5f6 c7d6 d3c1 g1f2 c1b3 f2h4 b3a5 h4f6 c4d3 f6h4 a5c4 d6e6 c4a5 e6d6 a5c4 d6e6
Budapest,Budapest,1913.??.??,1,"Breyer, Gyula","Sterk, Karoly",1-0,,,A06,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 b2b3 c7c5 c1b2 b8c6 a2a3 c5d4 e3d4 f8d6 f1d3 c8d7 e1g1 f6h5 f3e5 d6e5 d4e5 d8g5 g2g3 g7g6 f2f4 g5d8 f4f5 h5g7 b1c3 d8b6 g1g2 e8c8 c3d5 e6d5 e5e6 d5d4 e6d7 d8d7 f5g6 h7g6 f1e1 d7d5 d1g4 c8b8 g4f4 b6c7 f4c7 b8c7 d3c4 d5h5 h2h4 h5c5 c2c3 g7f5 c3d4 f5d4 b2d4 c6d4 e1e7 c7b8 c4f7 g6g5 h4h5 d4f5 e7e8 h8e8 f7e8 g5g4 e8g6 c5c2 g2g1 c2c5 b3b4 c5d5 g1f2 f5e7 a1e1 d5d2 e1e2 d2e2 f2e2
Budapest,Budapest,1913.??.??,2,"Vidmar, Milan Sr","Marco, Georg",1-0,,,D52,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 c7c6 g1f3 b8d7 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 e1g1 e7b4 c3e4 d7f6 a2a3 b4b2 e4d6 e8e7 a1b1 b2a3 d6c8 h8c8 b1b7 c8c7 d1b1 a8c8 c4d5 c6d5 f3e5 f6e4 b7c7 c8c7 b1b8 a3c3 b8g8 e7f6 g8d8
Budapest,Budapest,1913.??.??,2,"Reti, Richard","Forgacs, Leo",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 b1c3 d7d6 d2d4 b7b5 d4e5 d6e5 d1d8 c6d8 a4b3 f8d6 c1g5 c8b7 g5f6 g7f6 f3h4 d6b4 e1c1 b4c3 b2c3 d8e6 f2f3 h8g8 d1d2 a8d8 h1d1 d8d2 d1d2 b7c8 h4f5 e6d8 f5e3 c8e6 c1b2 e8e7 g2g4 d8b7 b3d5 g8d8 d2g2 b7a5 g2g3 c7c6 d5e6 f7e6 g3h3 d8d2 h3h7 e7d6 h7h6 d2e2 h6f6 e2e3 b2c1 e3e2 h2h4 a5c4 c1d1 e2h2 h4h5 d6e7 f6h6 c4e3 d1e1 e7f7 g4g5 e3g2 e1f1 g2f4 h6f6 f7e7
Budapest,Budapest,1913.??.??,2,"Asztalos, Lajos","Balla, Zoltan",1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 f8d6 f1d3 g8f6 e1g1 e8g8 c1g5 c8g4 b1d2 b8d7 c2c3 c7c6 d1c2 d8c7 a1e1 f8e8 g5h4 g7g6 h4g3 e8e1 f1e1 d6g3 h2g3 g4f3 d2f3 d7f8 c2d2 a8e8 e1e8 f6e8 d2e3 e8g7 f3e5 c7e7 e5g4 e7e3 g4e3 g7e6 g1f1 f7f5 f1e2 g8f7 d3c2 f8d7 e3f1 d7f6 f1d2 f7e7 d2f3 e7d6 f3e5 f6d7 e5d7 d6d7 e2e3 d7e7 c2d3 e7f6 d3c2 h7h5 c2d1 f6e7 d1c2 e7d6 c2b1 d6e7 b1c2 e7d6 c2b1
Budapest,Budapest,1913.??.??,2,"Sterk, Karoly","Brody, N.",1/2-1/2,,,B41,e2e4 c7c5 d2d4 c5d4 g1f3 e7e6 f3d4 a7a6 f1e2 g8f6 e2f3 d8c7 e1g1 d7d6 b1c3 f8e7 c1e3 b8d7 d4b3 d7e5 e3d4 e8g8 b3d2 b7b5 a1c1 c8b7 c3b1 e5f3 d1f3 e6e5 d4c3 f6e4 d2e4 f7f5 c3e5 d6e5 f3c3 a8c8 c3c7 c8c7 e4c3 b5b4 c3e2 f5f4 c2c3 b7g2 g1g2 f4f3 g2g1 f3e2 f1e1 e7c5 e1e2 c7c6 c1c2 c6g6 g1f1 b4c3 b1c3 c5d4 c3e4 h7h5 b2b3 f8f4 e4g3 h5h4 g3e4 f4f3 c2c8 g8h7 c8c6 f3f2 e4f2 g6c6 f2d3 c6g6 f1e1 g6g1 e1d2 g1a1 d3b4 a6a5 b4c2 a1a2 d2c1 d4c3 e2e3 c3d4 e3e2 d4c3 e2e3 c3d4 e3e2 a5a4 c2d4 a4b3 e2e5 a2h2 d4b3 h7h6 c1d1 g7g5 d1e1 h4h3 b3d4 h2a2 e5e2 h3h2 d4f5 h6h5 f5g3 h5h4 g3h1 a2a1 e1f2 a1h1 f2g2
Budapest,Budapest,1913.??.??,2,"Szekely, Jeno","Breyer, Gyula",0-1,,,D10,d2d4 d7d5 c2c4 c7c6 b1c3 e7e5 d4e5 d5d4 c3b1 c8f5 d1b3 b8a6 b3b7 a6b4 b1a3 a8b8 b7a7 b8a8 a7b7 d8a5 c1d2 f5c8 b7c6 b4c6 d2a5 a8a5 a3b5 f8b4 e1d1 c6e5 b5c7 e8d8 c7d5 b4e7 b2b3 g8f6 d5e7 d8e7 g1f3 f6e4 d1e1 e5f3 g2f3 e4c3 a2a3 c8f5 e1d2 c3b1 d2c1 b1a3 c1b2 a3c4
