Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
La Regence,Buenos Aires,1944.??.??,1,"Reinhardt, Enrique Heinrich","Cristia, Jose Maria",0-1,,,E14,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 e2e3 c8b7 f1d3 f6e4 b1d2 f7f5 e1g1 f8e7 d1c2 e4d2 f3d2 e8g8 e3e4 b8c6 d4d5 c6b4 c2b3 f5e4 d3e4 e6d5 c4d5 e7d6 d2f3 d8e8 f3g5 e8h5 g2g3 h7h6 a2a3 b4a6 e4f3 h5g6 f3e4 a6c5 e4g6 c5b3
La Regence,Buenos Aires,1944.??.??,1,"Michel, Paul","Piazzini, Luis Roberto",1/2-1/2,,,B29,e2e4 c7c5 g1f3 g8f6 b1c3 d7d5 e4d5 f6d5 f1b5 b8c6 e1g1 c8g4 h2h3 d5c3 b2c3 g4d7 d2d4 e7e6 d4d5 e6d5 d1d5 f8e7 f1d1 a7a6 f3g5 e8g8 b5d3 g7g6 g5h7 d7e6 d5d8 f8d8 h7g5 c5c4 g5e6 f7e6 d3e2 d8d1 e2d1 e7f6 d1g4 g8f7 c1d2 a8d8 d2e1 b7b5 a1b1 c6e7 g4f3 e7d5 f3d5 d8d5 g1f1 f7e7 f2f4 e6e5 f4e5 f6e5 f1e2 e5f6 e1d2 e7e6 a2a4 d5e5 e2d1 e5d5 d1c1 e6e5 a4b5 a6b5 b1a1 e5e4 a1a6 f6g5 a6e6 e4f5 e6e2 g5d2 e2d2 d5e5 c1b2 f5f4 d2d4 f4e3 b2a3 g6g5 a3b4 e5f5 g2g4 f5e5 d4d6 e3e2 d6f6 e2d2 f6f5 e5e3 f5f2 d2c1 f2h2 c1b2 b4b5 b2c3 b5c5 e3f3 h2e2 f3f4 c5d5 c3b2 d5e5 c4c3 e2g2 f4f1 h3h4 g5h4 g4g5 h4h3
La Regence,Buenos Aires,1944.??.??,2,"Cristia, Jose Maria","Becker, Albert",1/2-1/2,,,A47,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 c2c3 e7e6 e1g1 f8e7 c1g5 e8g8 b1d2 d7d6 d1c2 d8c8 e2e4 c5d4 f3d4 b8c6 d4c6 b7c6 f1e1 h7h6 g5f6 e7f6 d2c4 f6e7 c4e3 c8b7 a1d1 f8d8 f2f4 e7f8 c3c4 a8c8 f4f5 d8e8 c2d3 b6b5 b2b3 b5c4 b3c4 b7b2 d1d2 b2e5 d2f2 e5c5 e1f1 c8c7 g1h1 c6b7 f5e6 f7e6 g2f3 f8e7 e4e5 e8f8 f3b7 f8f2 f1f2 c7b7 d3e4 b7c7 e5d6 c5d6 h1g2 d6c6 e4c6 c7c6 g2f3 e7c5 f2c2 g8f7 e3g4 c6d6 g4e5 f7f6 c2e2 h6h5 g3g4 c5d4 f3e4
La Regence,Buenos Aires,1944.??.??,2,"Piazzini, Luis Roberto","Reinhardt, Enrique Heinrich",1-0,,,A47,d2d4 g8f6 g1f3 b7b6 e2e3 c8b7 b1d2 c7c5 f1d3 g7g6 d4c5 b6c5 b2b3 f8g7 c1b2 e8g8 c2c4 d8c7 e1g1 d7d6 d1c2 b8c6 a2a3 a7a5 f3g5 f8b8 f2f4 e7e6 f1f3 a5a4 f3h3 a4b3 c2b1 e6e5 d2e4 b7c8 e4f6 g7f6 g5h7 f6g7 f4f5 c6e7 g2g4 f7f6 b1f1 g6f5 g4f5 c8b7 f1f2 c7c6 f2g3 g8f7 g3g4 b8h8 g1f2 c6g2 g4g2 b7g2 f2g2 f7g8 d3e4 a8a4 h7f6 g7f6 h3h8 f6h8 a1c1 g8f7 e4b1 f7f6 e3e4 e7c6 c1c3 c6a5 b1d3 h8g7 b2c1 f6f7 d3e2 g7f6 e2d1 f7e7 g2f3 d6d5 c4d5 c5c4 f3g4 e7d7 h2h4 f6e7 h4h5 e7a3 h5h6 a3e7 h6h7 e7f6 c1g5 f6h8 f5f6 d7e8 g4f5 a5b7 f5e5 b7c5 e5f5 b3b2 d1a4 c5a4 c3c4 b2b1q c4c8 e8d7 c8h8 b1h1 h8d8 d7d8 f6f7 d8d7 f7f8q h1h7 f5e5 h7h2 g5f4 h2b2 e5f5 a4b6 f8d6 d7e8 f5e6
La Regence,Buenos Aires,1944.??.??,3,"Piazzini, Luis Roberto","Cristia, Jose Maria",0-1,,,C42,e2e4 e7e5 g1f3 g8f6 b1c3 f8b4 a2a3 b4c3 d2c3 e8g8 f3e5 f8e8 e5f3 e8e4 c1e3 f6g4 d1d2 g4e3 f2e3 d7d6 e1c1 b8c6 f1d3 e4e8 h2h4 d8e7 d1f1 e7e3 d2e3 e8e3 f3g5 h7h6 d3h7 g8h8 f1f7 h6g5 h4g5 c8h3 h7d3 h8g8 f7f2 e3d3 c2d3 h3g4 f2f4 c6e5 c1d2 g4d7 h1f1 a8e8 b2b3 c7c5 d3d4 e5g6 f4f7 d7c6 f7c7 e8f8 f1f8 g8f8 c7c8 f8f7 c8d8 c5d4 c3d4 g6f8 g2g3 f7e7 d8a8 f8e6 d2e3 a7a6 a3a4 e6g5 a8b8 g5e6 b3b4 e6d8 a4a5 g7g5 e3d2 e7d7 d2c3 d7c7 b8a8 d6d5 b4b5 c6b5 c3b4 b5d7 b4c5 d7e6 c5b4 e6c8 b4c5 d8c6
La Regence,Buenos Aires,1944.??.??,3,"Michel, Paul","Becker, Albert",1-0,,,B84,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 a7a6 f2f4 d8c7 e1g1 b7b5 e2f3 c8b7 a2a3 b8d7 g1h1 d7c5 d1e2 f8e7 c1d2 e8g8 b2b4 c5d7 g2g4 d7b6 g4g5 f6d7 f4f5 e6e5 d4b3 b6c4 f5f6 c4d2 f6e7 d2b3 e7f8q d7f8 c2b3 c7c3 a1c1 c3d4 c1d1 d4b6 f3h5 f8g6 h5g6 h7g6 e2f3 a8f8 h2h4 f7f5 g5f6 f8f6 f3e2 b6d8 e2g4 g8h7 h1h2 b7c8 g4g3 c8b7 g3g4 b7c8 g4g5 d8d7 g5g3 c8b7 f1f6 g7f6 g3h3 d7c6 h3d3 b7c8 h4h5 c8g4 h5g6 h7g6 d1g1 g6h5 h2g3 c6d7 g1h1 h5g6 d3e3 g4h5 g3f2 f6f5 e3h3
La Regence,Buenos Aires,1944.??.??,4,"Cristia, Jose Maria","Michel, Paul",1/2-1/2,,,D04,d2d4 d7d5 g1f3 c7c5 e2e3 g8f6 b1d2 b8d7 b2b3 g7g6 f1d3 f8g7 e1g1 e8g8 c1b2 e7e5 f3e5 d7e5 d4e5 f6g4 d2f3 d8e7 c2c4 d5c4 d3c4 g4e5 f3e5 g7e5 b2e5 e7e5 d1d5 e5d5 c4d5 a8b8 f1d1 b7b6 d1d2 g8g7 a1d1 f8d8 f2f4 g7f6 g1f2 f6e7 h2h3 h7h5 h3h4 c8e6 e3e4 e6g4 d1c1 d8d7 f2e3 b8d8 c1c2 f7f5 d5c6 d7d2 c2d2 d8d2 e3d2 f5e4 c6e4 g4f5 e4f3 b6b5 a2a3 b5b4 a3b4 c5b4 d2e3 e7d6 e3d4 f5e6 f3d1 a7a5 g2g3 d6e7 d4c5 a5a4 c5b4 a4b3 d1b3 e6b3 b4b3 e7f6 b3c3 f6f5 c3d4 f5g4 d4e4 g4g3 f4f5 g6f5 e4f5
La Regence,Buenos Aires,1944.??.??,4,"Becker, Albert","Reinhardt, Enrique Heinrich",1-0,,,B74,e2e4 c7c5 g1e2 b8c6 b1c3 g7g6 d2d4 c5d4 e2d4 f8g7 c1e3 d7d6 f1e2 g8f6 e1g1 e8g8 d4b3 a7a5 a2a4 c8e6 f2f4 d8d7 c3d5 e6d5 e4d5 c6b4 e2f3 d7c7 c2c3 b4a6 b3d4 c7c4 d1b3 c4d3 f1e1 a6c5 b3b5 f6d7 b5d3 c5d3 e1e2 f8c8 d4b5 g8f8 g2g3 c8c4 a1b1 d3c5 b2b3 c4c3 b5c3 g7c3 e2c2 c3b4 e3d2 b4d2 c2d2 c5a6 d2c2 d7c5 c2c3 a6b4 b1e1 b7b6 e1e2 a8a7 g1g2 e7e6 d5e6 f7e6 f3g4 f8f7 c3c5 b6c5 g4e6 f7f6 g3g4 h7h6 h2h4 g6g5 e6f5 b4d5 e2e6 f6g7 e6g6 g7f7 g6h6 d5e3 g2f2 e3f5 g4f5 a7a6 f4g5 a6b6 h6h7 f7e8 g5g6 d6d5 h7h8
La Regence,Buenos Aires,1944.??.??,5,"Becker, Albert","Piazzini, Luis Roberto",1-0,,,C59,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5e2 h7h6 g5f3 e5e4 f3e5 f8d6 d2d4 d8c7 c1d2 d6e5 d4e5 c7e5 d2c3 e5g5 d1d6 c8g4 e2g4 a8d8 d6e5 g5e5 c3e5 f6g4 e5c7 d8d5 b1c3 d5f5 c3e4 e8g8 e1g1 a5c4 b2b3 c4a3 c2c4 a3c2 a1d1 c6c5 h2h3 g4e5 d1d2 c2d4 f2f4 e5c6 g2g4 f8e8 e4d6 e8e2 d2d4 c5d4 d6f5 d4d3 c7e5 d3d2 e5c3 g7g6 f5h6 g8f8 f1d1 c6d4 g1f1
La Regence,Buenos Aires,1944.??.??,5,"Reinhardt, Enrique Heinrich","Michel, Paul",1/2-1/2,,,D61,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 g1f3 b8d7 e2e3 e8g8 d1c2 c7c6 a2a3 d5c4 f1c4 f6d5 g5e7 d8e7 e1g1 d5c3 c2c3 c6c5 a1c1 b7b6 c4b5 c8b7 b5d7 b7f3 g2f3 e7d7 d4c5 b6c5 c3c5 d7b7 b2b4 b7f3 c5c6 f3g4 c6g2 g4g2 g1g2 f8b8 c1c7 a7a5 f1b1 a5b4 a3b4 b8b5 c7c5 a8b8 c5b5 b8b5 g2f3 g8f8 f3e4 f8e7 e4d4 e7d6 f2f4 d6c6 b1c1 c6b6 c1g1 g7g6 d4c4 b5h5 g1g2 h5h3 g2e2 h3h4 c4d4 f7f6 d4e4 e6e5 e4f3 f6f5 f4e5 h4b4 e2d2 b6c6 d2d6 c6c7 d6d4 b4d4 e3d4 g6g5 d4d5 h7h5 h2h3 h5h4 f3g2
