Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Bugojno,Bugojno,1986.??.??,1,"Jussupow, Artur","Timman, Jan H",1/2-1/2,2645,2645,D86,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 b7b6 d1f3 e8g8 e4e5 c8a6 c4d5 c7c6 d5b3 d8d7 g1e2 e7e6 e1g1 c6c5 f1d1 b8c6 c1g5 c5d4 c3d4 a6e2 f3e2 c6b4 h2h4 f8c8 h4h5 b6b5 e2g4 c8c7 a1c1 a8c8 c1c7 c8c7 d4d5 b4d5 g4e4 d7c6 h5h6 g7f8 b3d5 e6d5 e4d5 c6e8 g5f4 c7c4 g2g3 e8e6 d5a8 c4c8 a8a7 b5b4 a7b7 c8e8 d1d5 e6f5 b7d7 e8e6 d7c8 e6e5 c8f5 e5e1 g1g2 g6f5 d5d8 e1e6 f4e3 e6c6 g2f3 f7f6 f3f4 g8f7 f4f5 c6c3 g3g4 c3c7 d8d5 c7b7 d5a5 f8e7 e3c5 e7c5 a5c5 b7a7 f2f4 a7b7 c5a5 b7c7 a5b5 c7a7 b5c5 a7b7 c5d5 b7c7 d5b5 c7a7 b5b4 a7a5 f5e4 a5a2 f4f5 a2e2 e4d5 e2d2 b4d4 d2h2 d4d1 h2h6 d1a1 h6h4 a1a7 f7g8 d5e6 h4g4 e6f6 h7h5 a7a8 g8h7 a8a7 h7g8 a7a8 g8h7
Bugojno,Bugojno,1986.??.??,1,"Miles, Anthony J","Ljubojevic, Ljubomir",1-0,2610,2605,A30,g1f3 c7c5 c2c4 g8f6 g2g3 b8c6 f1g2 d7d5 c4d5 f6d5 d2d4 d5c7 e2e3 c8g4 b1c3 c5d4 e3d4 e7e6 d1a4 d8d7 e1g1 f8e7 c1f4 c7d5 c3d5 e6d5 f1e1 a8d8 f4g5 g4f3 g2f3 e8g8 g5e7 c6e7 a4a7 f8e8 a7b6 e7c6 g1g2 e8e1 a1e1 d8a8 b6b5
Bugojno,Bugojno,1986.??.??,1,"Portisch, Lajos","Sokolov, Andrei",1/2-1/2,2610,2595,A34,c2c4 g8f6 b1c3 c7c5 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 d5c7 d2d3 e7e5 f3d2 c8d7 e1g1 f8e7 d2c4 f7f6 f2f4 b7b5 c4e3 a8c8 a2a4 b5b4 c3e4 f6f5 e4f2 e8g8 e3c4 e5f4 c1f4 c7e6 f4d6 d7e8 d6e7 d8e7 e2e3 e6g5 a1c1 c6e5 c4e5 e7e5 d3d4 e5e7 d4c5 e8f7 d1d4 a7a5 c5c6 f7h5 d4c5 g5f3 g1h1 e7c5 c1c5 f3d2 f1e1 d2b3 c5e5 f8d8 g3g4 h5e8 e5e8 d8e8 g2d5 g8f8 d5b3 f5f4 e3e4 c8c6 f2h3 e8d8 b3d5 c6c2 h3f4 f8e7 b2b3 d8f8 f4e2 e7d6 h1g2 d6e5 g2g3 g7g5 d5c4 h7h6 e1d1 c2c4 b3c4 e5e4 c4c5 f8c8 g3f2 c8c5 d1d4 e4e5 f2e3 c5c2 d4d2 c2c4 d2d4 c4c2 d4d2 c2c4 e2d4 b4b3 d4f3 e5e6 f3d4 e6e5 d4f3 e5e6 d2b2 c4g4 b2b3 g4a4 b3b6 e6f5 b6h6 a4a3 e3f2 g5g4 f3d4 f5g5 h6h8 a3a2 f2g3 a2a3 g3f2 a3a2 f2e3 a5a4 h8g8 g5h4 g8h8 h4g5 d4e2 a4a3 h8g8 g5f5 g8a8 f5g5 a8a5 g5f6 e3d3 f6g6 e2f4 g6f6 a5a6 f6f5 f4e2 f5g5 a6a8 g5f6 a8g8 a2a1 e2c3 a1g1
Bugojno,Bugojno,1986.??.??,1,"Spassky, Boris V","Karpov, Anatoly",1/2-1/2,2610,2700,B25,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 d2d3 d7d6 g1e2 e7e6 e1g1 g8e7 c1g5 e8g8 d1d2 a8b8 g5h6 b7b5 h6g7 g8g7 f2f4 c6d4 e2d4 c5d4 c3e2 e6e5 c2c3 d4c3 b2c3 f7f6 g1h1 a7a5 e2g1 c8e6 g1f3 d8c7 a1c1 b8c8 d2b2 c8b8 b2d2 b8c8 d2b2
Bugojno,Bugojno,1986.??.??,2,"Karpov, Anatoly","Jussupow, Artur",1-0,2700,2645,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 e1g1 e8g8 f1e1 a7a6 c4b3 c5a7 h2h3 h7h6 b1d2 f6h5 d2f1 d8f6 c1e3 h5f4 e3a7 a8a7 g1h2 c6e7 f1e3 a7a8 a2a4 c8e6 b3e6 f7e6 f3g1 a8d8 g2g3 f4g6 e1f1 d6d5 d1e2 e7c6 e3g2 f8f7 h3h4 d8f8 a1d1 g6e7 h4h5 g7g6 g1h3 f6f3 e2f3 f7f3 h5g6 e7g6 g2e3 d5d4 e3c2 f3f7 c3d4 c6d4 c2d4 e5d4 f2f4 c7c5 a4a5 b7b6 a5b6 f7b7 d1c1 b7b6 c1c5 b6b2 f1f2 b2f2 h3f2 f8a8 c5a5 g6e7 f2g4 e7c6 a5c5 c6e7 c5c7 g8f8 g4e5 a6a5 g3g4 a5a4 f4f5 e6f5 g4f5 e7f5 e4f5 a8a5 c7c5 a5c5 e5d7 f8e7 d7c5 a4a3 h2g3 e7d6 c5b3 d6e5 g3g4 h6h5 g4g5 h5h4 f5f6 e5e6 g5g6 h4h3 f6f7 h3h2 f7f8q h2h1q b3c5 e6e5 f8b8
Bugojno,Bugojno,1986.??.??,2,"Ljubojevic, Ljubomir","Spassky, Boris V",1/2-1/2,2605,2610,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 c2c3 c8g4 d2d3 f6d7 h2h3 g4f3 d1f3 d7c5 a4c6 b7c6 d3d4 c5d7 b1a3 e7f6 a3c4 a6a5 e1d1 e8g8 c4e3 f6g5 e3g4 f8e8 f3f5 g5c1 a1c1 d8e7 b2b3 e7e6 f5e6 e8e6 g4e3 e6e8 f2f3 f7f6 g1f2 e8b8 f2e2 d7f8 g2g3 f8e6 d4d5 c6d5 d1d5 a8a7 e3c4 b8a8 e2e3 g8f7 c1d1 f7e7 h3h4 e6c5 d5d2 a7a6 d2e2
Bugojno,Bugojno,1986.??.??,2,"Portisch, Lajos","Miles, Anthony J",1/2-1/2,2610,2610,A34,c2c4 c7c5 g1f3 g8f6 b1c3 d7d5 c4d5 f6d5 d2d4 d5c3 b2c3 g7g6 e2e3 f8g7 f1b5 b8d7 e1g1 e8g8 d1e2 a7a6 b5d3 e7e5 a1b1 d8a5 e2c2 b7b5 a2a4 a8b8 a4b5 a6b5 c1d2 c5c4 d3e2 c8b7 b1a1 a5d8 d2c1 e5e4 f3d2 f8e8 c1a3 d7f6 a3c5
Bugojno,Bugojno,1986.??.??,2,"Sokolov, Andrei","Timman, Jan H",1/2-1/2,2595,2645,C06,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 f1d3 c7c5 e4e5 f6d7 c2c3 b8c6 g1e2 c5d4 c3d4 f7f6 e5f6 d7f6 e1g1 f8d6 d2f3 d8c7 e2c3 a7a6 h2h3 e8g8 c1e3 c8d7 a1c1 d7e8 f3g5 c7e7 f2f4 h7h6 g5f3 f6h5 f3e5 h5g3 f1f2 g3f5 d3f5 f8f5 c3e2 a8d8 e2g3 f5f8 d1g4 d6e5 f4e5 f8f2 e3f2 e7f6 g3e2 f6g6 g4g6 e8g6 e2f4 g8f7 f2h4 d8g8 g2g4 g6h7 c1f1 g7g5 f4h5 f7e7 h4f2 h7g6 h5f6 g8c8 f1c1 c6a7 c1c8 a7c8 f2e1 g6b1 a2a4 b1c2 a4a5 c2a4 e1b4 e7f7 b4c5 a4b5 g1g2 f7g7 g2f2 g7f7 f2g3 f7g7 f6h5 g7f7 h3h4 b5a4 h4g5 h6g5 g3f2 a4d1 h5f6 d1a4 f2e3 f7g6 f6h5 a4d1 h5f6 d1a4 e3d2 a4b5 d2e1 b5a4 f6h5 a4b5 h5g3 b5d3 g3h1 d3e4 h1f2 e4f3 e1d2 g6f7 d2e3 f3g2 e3e2 f7g6 c5b4 c8a7 b4c3 a7c6 f2d3 g2h3 d3f2 h3g2 f2d3 g2h3 d3c5 h3g4 e2f2 c6a7 c5b7 a7b5 b7c5 b5c7 c5b7 c7b5 f2e3 g4h3 c3b4 h3f1 b4c5 b5c7 b7d6 c7b5 d6b7 b5c7
Bugojno,Bugojno,1986.??.??,3,"Jussupow, Artur","Ljubojevic, Ljubomir",0-1,2645,2605,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 d7d5 c4d5 e6d5 b1c3 c8b7 g2g3 f8e7 d1a4 c7c6 f1h3 e8g8 e1g1 c6c5 f1d1 b8c6 c1g5 f8e8 d4c5 b6c5 g5f6 e7f6 c3d5 e8e2 d5f4 c6d4 f3d4 c5d4 f4e2 d8d5 g1f1 g7g5 a1c1 g5g4 h3g4 d5h1 e2g1 h1g2 f1e2 g2e4 e2f1 e4g2 f1e1 g2g1 e1e2 d4d3 e2d3 g1f2 c1c7 f2b2 d1d2 b2b6 c7b7 b6b7 a4b4 b7c6 d3e2 f6c3
Bugojno,Bugojno,1986.??.??,3,"Miles, Anthony J","Sokolov, Andrei",1/2-1/2,2610,2595,E13,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4 c1g5 h7h6 g5h4 c8b7 e2e3 b4c3 b2c3 d7d6 f3d2 g7g5 h4g3 b8d7 h2h4 h8g8 h4g5 h6g5 d1c2 d8e7 e3e4 e8c8 f1e2 e6e5 f2f3 g8h8 h1h8 d8h8 d2f1 f6h5 e1c1 g5g4 g3f2 h5f4 f1e3 f4e2 c2e2 g4f3 g2f3 h8h2 d1g1 e7e8 e2e1 b7a6 g1h1 h2h1 e1h1 d7b8 h1d1 e8h8 d4d5 h8h2 d1g1 h2h3 g1g8 c8b7 g8f7 h3h1 c1d2 h1b1 e3f5 b1a2 d2e3 a2a3 e3d3 a6c4 d3c4 a3a6 c4b3 a6b5 b3c2 b5e2 c2b3 e2b5
Bugojno,Bugojno,1986.??.??,3,"Spassky, Boris V","Portisch, Lajos",1/2-1/2,2610,2610,C49,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 b4c3 b2c3 c8d7 a1b1 h7h6 g5h4 a7a6 b5c6 d7c6 f1e1 f8e8 f3d2 b7b5 d2f1 d6d5 f2f3 e8e6 f1e3 d8d7 e3f5 a8c8 h4f2 c6a8 d1c1 g8h7 e1e2 d7c6 b1b3 f6d7 h2h3
Bugojno,Bugojno,1986.??.??,3,"Timman, Jan H","Karpov, Anatoly",1/2-1/2,2645,2700,C93,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a3 h7h6 b3c2 c6b8 b2b4 b8d7 c1b2 g7g6 c3c4 e5d4 c4b5 a6b5 f3d4 c7c6 a3a4 b5a4 c2a4 d8b6 d4c2 b6c7 a4b3 a8a1 b2a1 f8g7 c2e3 c6c5 b4c5 d7c5 a1f6 g7f6
Bugojno,Bugojno,1986.??.??,4,"Ljubojevic, Ljubomir","Timman, Jan H",1-0,2605,2645,B81,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 g2g4 h7h6 h2h4 f8e7 d1f3 h6h5 g4h5 b8c6 f1b5 c8d7 b5c6 b7c6 e4e5 f6d5 e5d6 e7d6 c1g5 d8b6 e1c1 d6e5 c3d5 c6d5 c2c3 a8b8 d1d2 b6c7 h1e1 f7f6 e1e5 f6e5 h5h6 d7c8 h6g7 h8g8 d4c6 b8b6 g5h6 c7f7 f3f7 e8f7 c6e5 f7f6 f2f4 b6b7 d2g2 f6f5 h4h5 a7a5 c1c2 f5e4 g2e2 e4f5 c2d3 b7g7 h6g7 g8g7 d3d4 g7h7 e5g6 f5f6 e2e5 a5a4 e5g5 h7b7 g6e5 b7b2 h5h6 b2d2 d4e3 d2h2 e5g4
Bugojno,Bugojno,1986.??.??,4,"Miles, Anthony J","Spassky, Boris V",1/2-1/2,2610,2610,E14,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2 d7d5 e2e3 e8g8 a2a3 b4e7 f1d3 b7b6 e1g1 c8b7 b2b4 c7c5 b4c5 b6c5 a1b1 d8c7 d1b3 b7c6 c1b2 b8d7 b3c2 d5c4 d3c4 d7b6 c4b3 a8c8 d4c5 b6d7 f3d4 d7c5 d4c6
Bugojno,Bugojno,1986.??.??,4,"Portisch, Lajos","Jussupow, Artur",0-1,2610,2645,D36,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c4d5 e6d5 c1g5 f8e7 e2e3 b8d7 f1d3 e8g8 g1e2 f8e8 e1g1 c7c6 d1c2 d7f8 a1b1 c8e6 b2b4 a7a6 c3a4 f6d7 g5e7 d8e7 a4c5 d7c5 b4c5 a8d8 b1b2 g7g6 f1b1 e6c8 e2c1 d8d7 c1b3 f8e6 b3a5 e6d8 c2d1 h7h5 d1f3 g8g7 h2h3 h5h4 f3f4 d7c7 g1f1 e8h8 b2b3 g6g5 f4h2 f7f6 b1b2 d8f7 f1e1 h8e8 e1d1 f6f5 b2e2 e7d8 b3b6 f5f4 e3f4 e8e2 d1e2 d8f6 b6b4 g5f4 e2d2 c7e7 h2h1 f4f3 d2c3 f7g5 g2f3 f6f4 b4b1 g5f3 a5b3 g7f8 b1d1 f3g5 b3d2 e7f7 f2f3 g5h3 d1e1 h3g5 e1e2 f7e7 e2e7 f8e7 h1e1 c8e6 e1b1 h4h3 b1b7 e6d7 b7a8 h3h2 a8h8 g5h3
