Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Cambridge,Cambridge,1860.??.??,1,"Kolisch, Ignatz","Stanley, Charles Henry",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 f1d3 b8c6 e1g1 f8d6 f1e1 c8e6 d3f5 e8g8 f5e6 f7e6 f3g5 d8d7 f2f4 a8e8 b1c3 h7h6 g5f3 f6h5 g2g3 d7f7 c1e3 g7g5 f3e5 d6e5 f4e5 a7a6 d1e2 f7g6 a2a3 g5g4 e1f1 c6e7 e2d2 e7f5 e3f4 h5g7 c3e2 h6h5 f4g5 g6h7 g5f6 h5h4 d2g5 h4g3 h2g3 f8f7 f1f2 h7h5 g5d2 h5h6 d2h6 f5h6 f2h2 g7f5 g1f2 f7h7 a1h1 g8f7 e2f4 e8g8 h2h5 b7b6 f6g5 g8h8 b2b4 c7c5 b4c5 b6c5 d4c5 h8c8 f4d3 c8h8 c2c3 a6a5 c5c6 f7g6 d3f4 g6f7 c6c7 h8c8 g5h6 c8c7 f4e2 d5d4 h6d2 h7h5 h1h5 d4c3 h5h7 f5g7 d2h6
Cambridge,Cambridge,1860.??.??,1,"Stanley, Charles Henry","Rainger, F.",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 h7h6 h2h3 c8e6 f1d3 g8e7 e1g1 e7f5 f1e1 f8e7 c2c3 b8d7 d1c2 f5d6 f3e5 c7c6 e5g6 h8g8 f2f4 d6e4 d3e4 f7g6 e4g6 e6f7 b2b3 d8c7 c1a3 c6c5 d4c5 d7c5 g6f7 e8f7 c2f5 f7e8 f5d5
Cambridge,Cambridge,1860.??.??,1,"Kolisch, Ignatz",Geake,1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 c8g4 d4e5 g4f3 d1f3 d6e5 f1c4 g8f6 f3b3 d8d7 b3b7 d7c6 c4b5
Cambridge,Cambridge,1860.??.??,1,"Zytogorski, Adolf","Bateman, M.",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 c2c3 f8c5 f1c4 g8f6 d2d4 e5d4 e4e5 f6e4 e1g1 d7d6 c3d4 c5b6 c4d5 f7f5 e5f6 e4f6 d5c6 b7c6 f1e1 e8d7 c1g5 h8e8 b1c3 e8e1 d1e1 h7h6 g5f6 d8f6 a1d1 c8b7 c3e4 f6f7 e4c5 b6c5 d4c5 f7f6 c5d6 c7d6 f3e5 d7c7 e1a5 c7c8 e5c4 d6d5 c4e3 f6b2 a5c5 b2b6 c5f8 b6d8 f8g7 d8g5 g7f7 a7a5 e3f5 c8b8 d1b1 a8a7 f7f8 b8c7 f8d6
Cambridge,Cambridge,1860.??.??,1,"Horne, B.","Puller, A.",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 c2c3 f8c5 f1c4 d7d6 e1g1 c8g4 d2d3 h7h6 c1e3 d8f6 b1d2 g8e7 b2b4 c5b6 a2a4 a7a6 b4b5 c6a5 e3b6 c7b6 a1c1 a5c4 d2c4 g4f3 d1f3 f6f3 g2f3 e7c8 g1h1 e8g8 f1g1 f7f6 g1g6 c8e7 g6g2 e7c8 c1g1 f8f7 c4e3 c8e7 d3d4 a6b5 d4e5 f6e5 a4b5 g7g5 h2h4 f7f3 h4g5 f3h3 g2h2 h3h2 h1h2 h6g5 g1g5 g8f7 g5h5 f7g6 h5h4 a8f8 h2g2 g6g5 h4g4 g5f6 g4g3 e7g6 g3f3 g6f4 g2f1 f8a8 e3d5 f6g5 d5f4 e5f4 f3d3 a8a1 f1e2 g5g4 f2f3 g4g3 d3d6 a1a2 d6d2 a2d2 e2d2 g3f3 e4e5 f3g2 e5e6 f4f3 e6e7 f3f2 e7e8q f2f1q e8g6 g2f3 g6f7 f3g2 f7b7 g2g3 b7g7 g3h2 g7h6 h2g2 h6g5 g2h1 g5h5 h1g2 h5e2 f1f2 e2f2 g2f2 c3c4
Cambridge,Cambridge,1860.??.??,1,"Horne, B.","Stanley, Charles Henry",0-1,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 d7d6 c1e3 c5b6 h2h3 h7h6 b1c3 g8f6 c3d5 f6d5 c4d5 c6e7 d5b3 e7g6 d1d2 e8g8 e1c1 c8e6 h3h4 e6b3 c2b3 f7f5 h4h5 g6h8 e3h6 g7h6 d2h6 d8f6 h6f6 f8f6 e4f5 b6f2 g2g4 f2e3 c1b1 h8f7 h1h3 f7g5 f3g5 e3g5 d1h1 g8h7 b1c2 d6d5 h5h6 a8e8 h3h5 f6c6 c2d1 c6c1 d1e2 c1c2 e2d1 c2b2 h1h3 e8g8 h3f3 e5e4 d3e4 d5e4
Cambridge,Cambridge,1860.??.??,2,"Stanley, Charles Henry","Kolisch, Ignatz",0-1,,,C26,e2e4 e7e5 b1c3 g8f6 f1c4 c7c6 d1e2 b7b5 c4b3 a7a5 a2a4 b5b4 c3d1 f8c5 g1f3 d7d6 e1g1 e8g8 d2d3 c8a6 c1g5 b8d7 d1e3 d8c7 e3f5 d6d5 e2d2 d5e4 g5f6 d7f6 d2g5 f6e8 f3e5 g8h8 f5h4 c5e7 g5h5 e7h4 b3f7 f8f7 e5f7 h8g8 f7h6 g7h6 h5h4 e4d3 c2d3 a6d3 f1e1 d3g6 e1e7 c7d6 a1e1 e8g7 h4g4 a8d8 h2h3 g7f5 e7e6 d6d4 g4f3 d4b2 f3c6 b2d4 c6a6 f5g7 e6e5 b4b3 a6a5 b3b2 e5b5 d8c8 b5d5 d4f6 d5d1 c8b8 a5d5 f6f7 d5e5 f7b3 d1d7 g7e8 g1h2 b2b1q e1b1 g6b1 a4a5 b8a8 g2g3 b3a2 e5e3 e8f6 d7d2 a2a5 e3b3 g8h8 b3b2 a8f8 d2d6 a5f5 h2g1 b1e4
Cambridge,Cambridge,1860.??.??,2,"Stanley, Charles Henry","Horne, B.",0-1,,,B02,e2e4 d7d5 e4d5 g8f6 b1c3 f6d5 f1c4 e7e6 g1f3 d5c3 b2c3 b7b6 e1g1 c8b7 f3e5 f8d6 f2f4 g7g5 c4e6 d6e5 e6f7 e8f7 f4e5 f7g7 d1h5 h8f8 c1a3 c7c5 f1f8 d8f8 a1f1 f8e7 f1f6 b8d7 h5h6 g7g8 f6e6 e7f8 h6g5 g8h8 e6e7 b7c6 g5h4 f8g8 g2g3 a8e8 c3c4 e8e7 h4e7 g8f8 e7f8 d7f8 d2d4 f8g6 d4c5 b6c5 a3c5 a7a6 g1f2 h8g8 f2e3 g6e5 h2h4 e5c4 e3d4 c4d2 c5d6 g8f7 d4c5 c6f3 d6f4 d2f1 c5d4 f7f6 g3g4 f3g4 d4e4 f6g6 f4g5 g4f5 e4f3 f5c2 f3f2 c2d3 a2a3 g6h5 g5d8 a6a5 d8a5 h5h4 a5d8 h4g4 f2g1 h7h5 d8c7 f1d2 a3a4 h5h4 a4a5 d2f3 g1h1 h4h3 a5a6 d3f1
Cambridge,Cambridge,1860.??.??,2,"Rainger, F.","Stanley, Charles Henry",0-1,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 e1g1 g8f6 d2d4 e8g8 d4d5 c6e7 f3e5 d7d6 e5d3 f6e4 c1b2 f7f5 f2f3 e4g5 b1d2 g8h8 d3f4 c7c6 g1h1 b7b5 c4b3 c6d5 f4d5 c8b7 d5e7 d8e7 f1e1 e7f6 d1c2 f6h6 e1e7 b7c6 c3c4 g5f7 c4b5 a5d2 b5c6 f7e5 b3d5 d2f4 g2g3 f4g3 a1g1 f5f4 g1g2 h6g5 c6c7 g5e7 d5a8 f8c8 h2g3 f4g3 a8d5 c8c7 c2e4 e7g5 d5c4 g5h5 h1g1 e5f3 g1f1 h5h1 f1e2 h1g2
Cambridge,Cambridge,1860.??.??,2,Geake,"Kolisch, Ignatz",0-1,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 b1c3 f8c5 e1g1 d7d6 d2d3 c8g4 c4f7 e8f7 f3g5 f7e8 g5f3 c6d4 c1g5 d8d7 c3d5 f6d5 e4d5 g4f3 g2f3 d7h3
