Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
NAO Masters,Cannes FRA,2002.02.22,1,"Bareev,E","Leko,P",1-0,2707,2713,A30,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 e2e3 b8c6 g1e2 e7e6 d2d4 c5d4 e3d4 g8e7 d4d5 c6e5 d5e6 d7e6 d1d8 e8d8 e1g1 c8d7 f1d1 d8c7 b1c3 a7a6 c1f4 d7c6 e2d4 a8d8 d4c6 e7c6 d1e1 c7b6 c3a4 b6a7 f4g5 d8d6 e1d1 c6d4 g5e7 e5c4 e7d6 c4d6 g1f1 e6e5 a1c1 h8d8 c1c5 a7b8 c5d5 b8c7 a4c5 d8e8 d1c1 g7h6 c5a6
NAO Masters,Cannes FRA,2002.02.22,1,"Lautier,J","Bacrot,E",1/2-1/2,2687,2649,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 e4e5 d8e7 d1e2 f6d5 c2c4 c8a6 b2b3 g7g6 f2f4 e7b4 c1d2 b4b6 e2f3 b6d4 b1c3 d5c3 f3c3 c6c5 f1d3 f8g7 c3d4 c5d4 e1g1 e8g8 d2b4 f8e8 d3e4 c7c6 f1e1 f7f6 e5f6 g7f6 a1d1 g8g7 g1f2 d7d5 c4d5 c6d5 e4d3 a6d3 e1e8 a8e8 d1d3 e8c8 f2e2 g7f7 b4e1 c8e8 e2d1 e8e3
NAO Masters,Cannes FRA,2002.02.22,1,"Gelfand,B","Nataf,IA",1-0,2703,2546,E92,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 c1e3 f6g4 e3g5 f7f6 g5h4 b8c6 d4d5 c6e7 f3d2 g4h6 f2f3 c7c5 a1b1 h6f7 e1g1 f6f5 b2b4 b7b6 a2a4 g7h6 h4f2 g8h8 a4a5 e7g8 d1c2 g8f6 b1b2 f6h5 f1a1 c8d7 a5b6 a7b6 a1a8 d8a8 b2a2 a8d8 b4c5 b6c5 a2a7 h5f4 e2f1 d8g5 g2g3 f8d8 h2h4 f4e2 f1e2 g5d2 c2d2 h6d2 c3b5 h8g8 g1g2 f5e4 f3e4 h7h5 e2d1 d7c8 a7a2 d2b4 f2e3 g8f8 a2a7 d8d7 a7a8 d7d8 a8a7 d8d7 a7a8 d7d8 b5c7 c8g4 a8a1 d8b8 d1g4 h5g4 c7b5 b8b7 a1a8 f8g7 g2f1 b7d7 f1e2 d7b7 a8a6 b7d7 e3g5 g7f8 g5f6 f8g8 a6a8 g8h7 a8e8 b4a5 e8e7 d7e7 f6e7 a5d8 e7d6 f7d6 b5d6 h7g7 d6b5 d8a5 b5a3 g6g5 h4g5 g7g6 a3c2 g6g5 c2e3 a5d8 e2d3 g5h5 d3c2 d8g5 e3f5 h5g6 c2b3
NAO Masters,Cannes FRA,2002.02.22,1,"Karpov,An","Fressinet,L",1/2-1/2,2693,2591,D46,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7 d1c2 f8d6 f1d3 e8g8 e1g1 d5c4 d3c4 b7b5 c4e2 c8b7 f1d1 d8c7 e3e4 e6e5 g2g3 f8e8 d4e5 d7e5 c1g5 e5d7 a1c1 a7a6 c2d2 d6b4 c3b5 b4d2 b5c7 d2c1 g5c1 e8e4 e2d3 a8e8 c7e8 e4e8 d3f1 c6c5 f1g2 b7d5 b2b3 c5c4 b3c4 d5c4 a2a3 c4d5 c1e3 h7h6 e3d4 e8e2 f3d2 d5g2 g1g2 e2e6 d2c4 e6c6 c4e3 g8h7 h2h3 c6d6 f2f4 d6c6 g3g4 d7c5 d1c1 f6d7 e3f5 f7f6 f5g3 c6c7 f4f5 a6a5 g2f3 c5a6 c1c3 h7g8 g3e4 g8f8 e4d6 f8e7 d6b5 c7c3 d4c3 a5a4 f3e4 d7b6 c3d4 b6c8 b5c3 h6h5 c3a4 h5g4 h3g4 e7d6 a4c3 d6c6 e4f4 c8d6 c3e4 d6b5 d4b2 a6c7 a3a4 c7d5 f4f3 b5c7 b2a3 d5b6 a3f8 c7e8 f3g3 b6a4 g3h4 a4b6 e4c5 c6d5 c5e6 g7g5 h4h5 b6d7 f8a3 d7e5 a3b2 e5d3
NAO Masters,Cannes FRA,2002.02.22,1,"Topalov,V","Morozevich,A",1-0,2739,2742,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8c5 a2a4 a8b8 c2c3 d7d6 d2d4 c5b6 a4b5 a6b5 b1a3 e8g8 a3b5 c8g4 b3c2 h7h6 d4e5 c6e5 b5d4 d6d5 e4d5 d8d5 h2h3 g4h5 g2g4 f6g4 f3e5 g4e5 d1h5 b6d4 h5f5 e5f3 g1h1 d5f5 c2f5 d4f6 a1a7 c7c5 f5e4 f3e5 f1d1 e5c4 e4b7 f6g5 c1g5 h6g5 b2b3 c4e5 d1d5 f8e8 d5c5 e8e7 c5b5 e5d3 b7e4
NAO Masters,Cannes FRA,2002.02.23,2,"Bacrot,E","Topalov,V",1/2-1/2,2649,2739,E13,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 c1g5 h7h6 g5h4 c8b7 e2e3 c7c5 f1d3 c5d4 e3d4 b4c3 b2c3 d7d6 d1a4 b8d7 a4b4 d8c7 h4g3 e6e5 f3h4 b7e4 d3e4 f6e4 h4f5 g7g6 f5e3 e8g8 e3d5 c7d8 e1g1 f8e8 a1d1 e5d4 g3d6 e4c3 d5c3 d4c3 b4c3 d8f6 c3h3 d7e5 c4c5
NAO Masters,Cannes FRA,2002.02.23,2,"Nataf,IA","Karpov,An",0-1,2546,2693,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3 a7a6 c1e3 e7e6 g2g4 f5g6 g1e2 f7f6 e5f6 g7f6 d1d2 b8d7 h2h4 f8d6 h4h5 g6f7 f2f4 g8e7 e2c1 h8g8 f1e2 e6e5 c1b3 e5d4 e3d4 c6c5 d4e3 f6f5 e1c1 d8c7 g4f5 e8c8 e2f3 e7f5 f3d5 f5e3 d5f7 d6f4 c3e2 g8g2 d1g1 d7f8 g1g2 e3g2 e2f4 d8d2 b3d2 g2f4
NAO Masters,Cannes FRA,2002.02.23,2,"Fressinet,L","Lautier,J",1/2-1/2,2591,2687,B30,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 b5c6 b7c6 d2d3 g8e7 d1e2 f7f6 f3h4 g7g6 f2f4 f8g7 e1g1 e8g8 h4f3 h7h6 b1c3 e6e5 f4e5 f6e5 e2f2 g6g5 f2c5 d7d6 c5e3 e7g6 e3e1 a8b8 f3d2 g6f4 c3e2 b8b7 d2c4 d6d5 c4e3 d5e4 d3e4 b7f7 e2g3
NAO Masters,Cannes FRA,2002.02.23,2,"Bareev,E","Gelfand,B",1/2-1/2,2707,2703,A29,c2c4 g8f6 b1c3 e7e5 g1f3 b8c6 g2g3 f8b4 c3d5 b4c5 f1g2 d7d6 d2d3 h7h6 f3d2 f6d5 c4d5 c6d4 e2e3 d4f5 d3d4 e5d4 e3e4 f5e7 b2b4 c5b6 d2c4 c7c6 c1f4 b6c7 d1d4 c6d5 e4d5 e8g8 e1g1 e7g6 f4e3 b7b5 c4a5 c7a5 b4a5 d8a5 a2a4 b5a4 a1a4 a5b5 a4a7 a8a7 d4a7 c8b7 f1d1 g6e7 a7b6
NAO Masters,Cannes FRA,2002.02.23,2,"Leko,P","Morozevich,A",1-0,2713,2742,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8c5 a2a4 a8b8 c2c3 d7d6 d2d4 c5b6 b1a3 e8g8 a4b5 a6b5 a3b5 c8g4 b3c2 h7h6 d4d5 c6e7 h2h3 g4h5 g1h1 f6e4 c2e4 f7f5 e4c2 d8e8 c2a4 e5e4 b5c7 e8f7 c7e6 e4f3 g2f3 f7f6 e6f8 b8f8 a4b5 f6h4 h1g2 g7g5 a1a4 f5f4 b5d7 e7g6 a4e4 g6e5 e4e5 d6e5 d1d3 g8g7 d3e4 b6c7 d7f5 f8f6 c3c4 h5f7 c4c5 h6h5 d5d6 g5g4 f3g4 f7g6 f1g1 c7d8 e4e5 f4f3 g2f3 h4h3 f3e2 h5g4 g1g4 h3h5 c1g5 g6f5 g5f6 g7f7 f2f3
