Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Chicago,Chicago,1982.??.??,?,"Martz, William E","Lein, Anatoly",1/2-1/2,2405,2490,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 c7c5 d4d5 b4c3 b2c3 d7d6 e2e4 e6e5 f1d3 b8d7 g1e2 h7h6 h2h4 h6h5 e2g3 g7g6 g3f1 d8a5 c1d2 d7b6 f1e3 c8d7 e1g1 e8c8 d1e1 d7a4 g2g4 b6d7 e1g3 d8g8 e3g2 a5d8 f1f2 f6h7 g4g5 g8e8 f3f4 d8a5 f4f5 e8e7 g2e3 c8b8 d3f1 d7b6 f1h3 a4d7 a1b1 d7c8 d2e1 a5a4 h3f1 h8g8 g3f3 a4e8 f5f6 e7c7 f3d1 c8d7 b1b6 a7b6 f2b2 e8d8 b2b6 c7c8 d1b1 d8c7 e1g3 b8a7 b6b3 g8e8 e3c2 c8a8 g1h2 a7b8 c2a3 a8a5 g3f2 d7a4 b3b2 h7f8 a3b5 a4b5 c4b5 c7b6 c3c4 b8c7 f1d3 e8a8 d3c2 a5a3 c2b3 f8d7 f2e3 b6a7 b2c2 a7b8 e3c1 a3a7 c1d2 d7b6 b1f1 a7a4 h2g2 a8a7 f1e2 b8a8 d2c3 a4a3 c3b2 a3a4 b2c3 c7d8 c3e1 a4a3 e1c3 b6d7 c3e1 a8c8 g2h2 a7a4 e2d3 c8a8 d3e2 a8a7 h2g2 a4b4 e2d3 d8c7 g2h2 b4a4 d3e2 a7a8 h2g2 a8d8 e2f3 d7b6 f3e2 c7b8 g2h2 b6d7 e2f3 d8b6 h2g2 b6a7 f3e2
Chicago,Chicago,1982.??.??,?,"Huebner, Robert","Lein, Anatoly",1-0,2620,2490,B17,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 f1c4 g8f6 e4g5 e7e6 d1e2 d7b6 c4d3 h7h6 g5f3 c6c5 d4c5 b6d7 b2b4 f6d5 c1d2 a7a5 c2c3 d8f6 a1c1 a5b4 c3b4 d5f4 d2f4 f6f4 c1b1 g7g5 e2c2 d7e5 d3b5 e8e7 a2a4 f8g7 f3e5 g7e5 g2g3 f4f6 g1e2 h6h5 c2e4 h5h4 g3g4 h4h3 e1g1 h8h4 e2g3 e5f4 f2f3 f6e5 e4e5 f4e5 f1e1 f7f6 b1d1 h4h8 g3e4 h8d8 d1d8 e7d8 e1d1 d8e7 d1d3 e5f4 e4f2 f4c7 f2h3 b7b6 c5b6 c7b6 g1g2 a8a7 a4a5 b6c7 d3c3
Chicago,Chicago,1982.??.??,?,"Browne, Walter S","Dzindzichashvili, Roman",1-0,2585,2460,E12,g1f3 g8f6 c2c4 b7b6 b1c3 c8b7 d2d4 e7e6 a2a3 d7d5 c4d5 f6d5 e2e3 f8e7 f1b5 c7c6 b5d3 d5c3 b2c3 c6c5 e1g1 b8c6 d1e2 e8g8 c1b2 a8c8 a1d1 c5d4 c3d4 c6a5 e3e4 f7f6 d4d5 e6e5 f3h4 e7c5 g1h1 g7g6 f2f4 c5d6 e2g4 g8h8 h4f3 d8e7 f4e5 f6e5 g4g3 h8g8 f3e5
Chicago,Chicago,1982.??.??,?,"Browne, Walter S","Huebner, Robert",1/2-1/2,2585,2620,D79,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 g2g3 c7c6 f1g2 d7d5 c4d5 c6d5 f3e5 e8g8 e1g1 c8f5 b1c3 f6e4 c1f4 f7f6 e5d3 b8c6 d3c5 e4c3 b2c3 b7b6 e2e4 d5e4 c5e4 a8c8 f1e1 d8d7 d1e2 f8e8 a1d1
Chicago,Chicago,1982.??.??,?,"Browne, Walter S","Kortschnoj, Viktor",1-0,2585,2645,E21,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 b1c3 f8b4 d1b3 c7c5 e2e3 c8a6 a2a3 b4a5 c1d2 e8g8 e1c1 d8e7 d4d5 e6d5 c3d5 f6d5 c4d5 a6f1 h1f1 a5d2 f3d2 d7d6 e3e4 b8d7 f1e1 d7e5 c1b1 b6b5 f2f4 c5c4 b3b5 a8b8 b5a5 e5d3 d2c4 d3e1 a5e1 e7f6 e1d2 f6g6 d2c2 f8c8 d1d4 g6h6 g2g3 c8c5 e4e5 d6e5 f4e5 b8d8 d5d6 h6e6 c2d3 a7a5 a3a4 d8b8 b1a1 e6d7 b2b3 h7h6 g3g4 b8e8 a1a2 d7b7 d3e3 e8b8 e5e6 f7e6 e3e6
Chicago,Chicago,1982.??.??,?,"Browne, Walter S","Lein, Anatoly",1/2-1/2,2585,2490,E21,d2d4 g8f6 g1f3 e7e6 c2c4 b7b6 b1c3 f8b4 d1b3 c7c5 e2e3 e8g8 f1e2 f6e4 c1d2 e4d2 f3d2 b8c6 a2a3 b4a5 d2f3 c5d4 e3d4 c8a6 e1g1 a5c3 b3c3 a8c8 f1e1 c6e7
Chicago,Chicago,1982.??.??,?,"Browne, Walter S","Martz, William E",1-0,2585,2405,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 b7b6 e1g1 c8b7 d1d3 c5d4 c3d4 b7a6 d3e3 a6e2 e3e2 b8c6 d4d5 c6d4 f3d4 g7d4 f1d1 d4g7 c1a3 d8d7 e4e5 f8d8 h2h4 e7e6 d5d6 d7a4 d1d3 a8c8 b1b4 a4c2 b4e4 b6b5 a3b4 c2b1 d3d1 c8c1 d1c1 b1c1 e2e1 c1c2 b4a5 d8d7 e1e2 c2c1 g1h2 a7a6 f2f4 g7h6 g2g3 h6f8 e4e3 f7f6 e3c3 c1b1 c3c7 d7c7 a5c7 b1c1 c7a5 c1c6 e2g2 c6d7 g2c2 g8f7 c2c7 f7e8 e5f6 d7c7 d6c7 e8d7 h2g2 f8c5 g3g4 c5d4
Chicago,Chicago,1982.??.??,?,"Dzindzichashvili, Roman","Browne, Walter S",1/2-1/2,2460,2585,B20,e2e4 c7c5 g1e2 g8f6 b1c3 d7d5 e4d5 f6d5 c3d5 d8d5 e2c3 d5e5 f1e2 c8g4 f2f3 g4f5 e1g1 b8c6 e2b5 a8c8 d2d3 e5d4 g1h1 a7a6 b5c6 c8c6 c3e2 d4d7 b2b3 e7e6 c1b2 f7f6 e2g3 f5g6 f3f4 f8e7 d1g4 e8g8 a1e1 b7b5 f4f5 e6f5 g3f5 g6f5 g4f5 d7f5 f1f5 g8f7 g2g4 f8d8 b2c3 c6e6 h1g2 e6e1 c3e1 g7g6 f5f3 c5c4 d3c4 b5c4 e1c3 c4b3 c2b3 d8d5 f3f4 d5c5 c3d4 c5c2 f4f2 c2f2 g2f2 f7e6 d4c3 f6f5 g4f5 e6f5 f2f3
Chicago,Chicago,1982.??.??,?,"Dzindzichashvili, Roman","Huebner, Robert",0-1,2460,2620,D58,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 h7h6 g5h4 b7b6 a1c1 c8b7 h4f6 e7f6 c4d5 e6d5 f1e2 b8d7 e1g1 f6e7 d1b3 d7f6 f1d1 a7a6 f3e5 d8d6 e2f3 a8b8 b3c2 c7c5 e5g4 f6g4 f3g4 c5c4 a2a4 b7c6 e3e4 b6b5 a4b5 a6b5 e4d5 c6d5 c3d5 d6d5 g4f3 d5d6 b2b3 f8c8 b3c4 b5c4 c2e4 c4c3 h2h4 e7f6 g2g3 c8c4 f3e2 c4d4 d1d4 f6d4 e2d3 d6g3
Chicago,Chicago,1982.??.??,?,"Dzindzichashvili, Roman","Kortschnoj, Viktor",1/2-1/2,2460,2645,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 h2h3 a7a6 e1g1 c5a7 f1e1 e8g8 c4b3 d8e7 b1d2 c8e6 d2f1 a8d8 f1g3 d6d5 d1e2 g8h8 e4d5 e6d5 d3d4 f8e8 f3e5 c6e5 d4e5 d5b3 c1g5 d8d5 a2b3 d5e5 e2e5 e7e5 e1e5 e8e5 g5f4 e5e7 a1d1 g7g6 g3f1 e7e2 f1e3 f6e4 d1d7 g6g5 f4e5 f7f6 e5d4 a7d4 c3d4 h7h5 d7c7 e2e1 g1h2 e4f2 e3f5 h5h4 g2g3 f2e4 g3h4 e1f1 f5g3 e4g3 h2g3 f1d1 h4g5 f6g5
Chicago,Chicago,1982.??.??,?,"Dzindzichashvili, Roman","Lein, Anatoly",1/2-1/2,2460,2490,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 g8f6 e4e5 f6e4 a2a3 e4c3 e2c3 b4c3 b2c3 e8g8 f1d3 f7f5 g2g4 c7c5 g4f5 e6f5 d1h5 c8e6 h1g1 f8f7 h5h6 d8d7 d4c5
Chicago,Chicago,1982.??.??,?,"Dzindzichashvili, Roman","Martz, William E",1/2-1/2,2460,2405,A49,g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 d7d6 d2d4 e7e5 d4e5 f6d7 f1g2 e8g8 e1g1 d6e5 e2e4 b8c6 b1c3 f8e8 c3d5 d7c5 f3d2 c6d4 b2a3 c5e6 c2c3 d4b5 a3b2 c7c6 d5e3 d8c7 a2a4 b5d6 b2a3 e8d8 d1c2 b7b6 f1d1 c8a6 g2f1 a6f1 d2f1 d6b7 g1g2 a7a6 d1d8 a8d8
Chicago,Chicago,1982.??.??,?,"Huebner, Robert","Browne, Walter S",1-0,2620,2585,B82,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 f2f4 b7b5 d1f3 c8b7 f1d3 b8d7 g2g4 d7c5 g4g5 b5b4 g5f6 b4c3 f6g7 f8g7 b2b4 c5d3 c2d3 a8c8 h1g1 g7f6 a1c1 d8b6 d4e6 b6b4 e6g7 e8d8 f3h5 c8c7 e4e5 d6e5 f4e5 f6g7 g1g7 b7d5 g7g4 b4b7 h5h4 d8c8 g4b4 b7a8 h4d4 d5e6 c1c3 h8d8 c3c7 c8c7 d4c5 c7d7 b4e4 a8b7 e3g5 b7b1 e1d2 b1a2 d2e3
Chicago,Chicago,1982.??.??,?,"Huebner, Robert","Dzindzichashvili, Roman",1/2-1/2,2620,2460,B01,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b6 b1c3 e7e5 d4d5 c7c6 g1f3 c6d5 c4d5 f8b4 f1b5 c8d7 d1b3 b4c3
Chicago,Chicago,1982.??.??,?,"Huebner, Robert","Kortschnoj, Viktor",1/2-1/2,2620,2645,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 b1d2 e8g8 b3c2 e6f5 d2b3 f5g6 f3d4 c5d4 c3d4 a6a5 c1e3 a5a4 b3d2 a4a3 d2e4 a3b2 a1b1 g6e4 b1b2 d8d7 c2d3 e4d3 d1d3 f8b8 f1b1 b5b4 a2a3 b4a3 b2b8 a8b8 b1b8 c6b8 d3a3 d7c6 a3e7 c6d7 e7a3
Chicago,Chicago,1982.??.??,?,"Martz, William E","Kortschnoj, Viktor",1/2-1/2,2405,2645,D91,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1g5 f6e4 g5h4 e4c3 b2c3 d5c4 e2e3 c8e6 a1b1 b7b6 f1e2 f8g7 g1f3 e6d5 e1g1 e8g8 f3d2 c7c5 e2c4 d5c4 d2c4 d8d5 d1f3 d5f3 g2f3 c5d4 c3d4 f8c8 f1c1 f7f6 a2a4 b8d7 a4a5 g7f8 h4g3 c8c6 c4d2 c6c1 b1c1 b6a5 c1a1 e7e6 d2c4 f8b4 c4a5 b4a5 a1a5 a7a6 e3e4 f6f5
Chicago,Chicago,1982.??.??,?,"Huebner, Robert","Martz, William E",1-0,2620,2405,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 f8c5 c2c3 c7c6 b5a4 g8e7 d2d3 e8g8 b1d2 d4c3 b2c3 d7d5 d3d4 c5b6 c1a3 f8e8 f1e1 c8e6 a4c2 d8d7 h2h3 d5e4 d2e4 e7g6 e4d6 e8d8 c3c4 a8b8 e1e3 e6c4 d6c4 b6d4 e3d3 g6f4 a3d6 d7d6 c4d6 d8d6 d3d2 b8d8 d1g4 f4e6 a1e1 g7g6 c2b3 h7h5 g4f3 e6g7 f3f7 g8h7 d2d4
