Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Nordisk Skakforbund,Copenhagen,1924.08.11,1,"Nilsson, Allan","Lovenborg, Otto",1-0,,,B13,d2d4 c7c6 e2e4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 g8f6 c1f4 d8b6 d1b3 b6b3 a2b3 e7e6 h2h3 f8e7 g1f3 e7d8 e1g1 d8b6 b1d2 c8d7 b3b4 e8e7 d2b3 a8d8 b3c5 d7c8 b4b5 c6a5 f3e5 f6e8 b2b4 f7f6 b4a5 b6c7 e5c6 b7c6 f4c7 e8c7 b5b6 c7b5 d3b5 c6b5 b6b7 c8d7 c5d7 d8d7 a5a6 d7c7 a1a3 b5b4 c3b4 c7c4 b4b5 c4b4 f1c1
Nordisk Skakforbund,Copenhagen,1924.08.11,1,"Brinckmann, Alfred","Kier, Aage",0-1,,,D11,d2d4 g8f6 g1f3 d7d5 c2c4 c7c6 e2e3 f6e4 b1c3 f7f5 c4d5 e4c3 b2c3 c6d5 f3e5 g7g6 f1b5 b8d7 d1b3 e7e6 c3c4 a7a6 b5d7 c8d7 c4d5 d8a5 c1d2 a5d5 a1b1 b7b5 b3b2 f8d6 e5d7 e8d7 e1g1 h8c8 f2f3 c8c4 b1c1 a8c8 c1c4 c8c4 f1c1 c4c1 d2c1 e6e5 c1d2 f5f4 d4e5 d6e5 b2c2 f4e3 d2e3 e5d4 e3f2 d7d6 h2h3 d4f2 c2f2 d5c5 f3f4 a6a5 g2g4 b5b4
Nordisk Skakforbund,Copenhagen,1924.08.12,2,"Brinckmann, Alfred","Krause, Orla Hermann",0-1,,,A10,g1f3 f7f5 c2c4 b8c6 d2d4 d7d6 c1f4 h7h6 h2h4 g8f6 e2e3 f6g4 d4d5 e7e5 d5e6 c8e6 b1c3 g7g6 f3d4 d8d7 f1e2 f8g7 d4e6 d7e6 c3d5 e8c8 a1b1 g6g5 f4g3 g4f6 d5f6 g7f6 e1f1 f6e5 g3h2 e5h2 h1h2 c6e5 d1d4 c8b8 b2b4 d8f8 f2f4 e5c6 d4d2 g5g4 g2g3 f8d8 b4b5 c6e7 e2d3 d6d5 c4c5 d5d4 h2e2 e6d5 e3e4 d5c5 e4e5 e7d5 f1g1 d5c3 d3f5 d4d3
Nordisk Skakforbund,Copenhagen,1924.08.13,3,"Johner, Paul F","Brinckmann, Alfred",1-0,,,D64,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 b8d7 g1f3 e8g8 a1c1 c7c6 d1c2 f6e4 g5e7 d8e7 f1d3 e4c3 b2c3 h7h6 e1g1 d5c4 d3c4 e6e5 e3e4 e5d4 c3d4 d7b6 c4d3 c8e6 a2a4 e7b4 c1b1 b4a5 b1a1 f8d8 f1b1 a8b8 d4d5 e6d7 f3e5 b8c8 e5d7 d8d7 d5c6 c8c6 c2e2 c6d6 d3b5 d6d2 e2e3 d7d8 e4e5 b6d5 e3e1 d5c3 b1c1 a7a6 b5c4 a5b4 e5e6 f7e6 e1e6 g8h8 c1e1 d8f8 f2f3 b7b5 a4b5 a6b5 c4f1 c3d1 e6e5 f8d8 a1a7 d8g8 a7a6 b4h4 h2h3 b5b4 e1e4 h4f2 g1h2 h8h7 e5f5 h7h8 f5e5 h8h7 e5f5 h7h8 a6h6 g7h6 f5f6 g8g7 e4e8 h8h7 f6f5 g7g6 e8e7 h7h8 f5f8 g6g8 f8h6
Nordisk Skakforbund,Copenhagen,1924.08.13,3,"Nimzowitsch, Aaron ","Giersing, Johannes Hjalmar",1-0,,,D06,d2d4 d7d5 g1f3 c7c5 c2c4 c5d4 c4d5 g8f6 f3d4 d8d5 b1c3 d5a5 d4b3 a5h5 c1d2 e7e5 c3b5 b8a6 d2c3 f6e4 d1d5 e4c3 b2c3 h5g5 b3d2 g5e7 d2c4 e7e6 d5e5 e6e5 c4e5 c8e6 e2e3 f8c5 f1c4 e8e7 c4e6 e7e6 e5f3 a8c8 e1e2 a6c7 b5c7 c8c7 h1b1 a7a6 a2a4 b7b6 b1b3 f7f6 a1b1 h8c8 b1b2 e6d5 e2d3 c7d7 f3d4 g7g6 g2g4 d7c7 h2h4 c8e8 b2b1 e8c8 f2f4 c8e8 e3e4 d5d6 g4g5 f6g5 e4e5 d6d7 h4g5 d7c8 d3e4 c7f7 b3b2 c8c7 b2h2 e8e7 b1d1 e7e8 h2d2 f7g7 d4b3 c5a3 d2d5 g7f7 b3d4 c7c8 d4c2 a3f8 d1d4 f8c5 d4c4 e8f8 e4f3 f7d7 d5d7 c8d7 c2b4 a6a5 f3e4 a5b4 c3b4 c5g1 c4c2 b6b5 a4b5 f8b8 c2g2 g1a7 g2h2 b8h8 f4f5 g6f5 e4f5 h8f8 f5e4 f8f7 b5b6 a7b8 e4d5 f7e7 e5e6 d7c8 h2f2 e7e8 f2f7 e8d8 d5c4 d8e8 b6b7 c8d8 f7d7
Nordisk Skakforbund,Copenhagen,1924.08.14,4,"Berndtsson Kullberg, Karl","Olson, A.",1/2-1/2,,,B24,e2e4 c7c5 g2g3 b8c6 f1g2 g7g6 g1e2 f8g7 e1g1 e7e6 b1c3 g8e7 d2d3 e8g8 c1g5 a7a6 d1d2 c6d4 e2d4 c5d4 c3e2 e6e5 g5h6 d7d6 h6g7 g8g7 c2c3 d8a5 d2g5 f7f6 g5h4 d4c3 b2c3 a5b5 f1d1 h7h5 h2h3 f8h8 f2f4 c8e6 a1b1 b5a4 d1f1 a4d7 d3d4 e6c4 b1b2 a8c8 f1f3 c4e2 b2e2 e5d4 c3d4 e7c6 e2d2 d7e7 e4e5 d6e5 d4e5 f6e5 h4e7 c6e7 d2d7 g7f7 d7b7 h8d8 f4e5 f7e6 b7b6 e6d7 f3d3 d7e8 d3d8 c8d8 b6a6 d8d1 g1f2 d1d2 f2g1 d2d1 g1h2 d1d2 h3h4 e7f5 h2g1 f5g3 a2a4 g3f5 a6g6 e8e7 g2c6 f5h4 g6h6 h4f5 h6h5 f5d4 c6g2 d4e2 g1f2 e2c3 f2g3 c3a4 g2h3 a4c5 h5h7 e7e8 g3f4 d2e2 f4f5 c5d7 h7h8 e8e7 h8h7 e7e8 e5e6 e2e6
Nordisk Skakforbund,Copenhagen,1924.08.14,4,"Brinckmann, Alfred","Nimzowitsch, Aaron ",0-1,,,A83,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5 b7b6 f1c4 e7e6 g5f6 d8f6 c3e4 f6e7 c4d3 b8c6 c2c3 c8b7 g1f3 e8c8 e1g1 h8g8 d1e2 c8b8 a2a4 a7a5 f1b1 g7g5 b2b4 d7d5 e4g3 a5b4 a4a5 g5g4 f3e5 c6e5 d4e5 c7c5 c3b4 c5b4 b1c1 f8h6 c1b1 e7c5 a5b6 c5b6 a1a4 h6f8 g3h5 f8c5 h5f6 g8g7 d3b5 b7c8 b1a1 c8b7 g1h1 c5d4 a1b1 d4c3 f6e8 g7g5 e2f1 g5e5 e8f6 b6d6 f6g4 e5g5 f2f3 d8g8 b5a6 d6b6 f1d3 g8c8 a6b7 b8b7 d3h7 c8c7 h7d3 g5g8 h2h3 g8c8 g4e3 c7c5 f3f4 b6b5 d3d1 c8a8 a4a8 b7a8 f4f5 d5d4 f5f6 d4e3 d1f3 b5c6 f3e3 c3f6 b1f1 c5c2 e3g3 f6e5 g3g8 a8b7
Nordisk Skakforbund,Copenhagen,1924.08.14,4,"Kier, Aage","Lovenborg, Otto",0-1,,,D14,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 d8b6 d1b3 b6b3 a2b3 a7a6 f1e2 a8c8 e1g1 e7e6 f1c1 f6d7 c3a4 f7f6 f3e1 f8b4 e2d3 b4e1 d3f5 e1f2 g1f2 e6f5 b3b4 b7b5 a4c5 c6b4 f2e2 d7c5
Nordisk Skakforbund,Copenhagen,1924.08.15,5,"Nimzowitsch, Aaron ","Krause, Orla Hermann",1-0,,,A80,d2d4 f7f5 g1f3 g8f6 c1f4 d7d6 e2e3 h7h6 h2h4 b8c6 d4d5 e7e5 d5c6 e5f4 f1b5 b7b6 e3f4 d6d5 e1g1 f8c5 g2g3 f6e4 g1g2 g7g5 f3e5 e8g8 h4g5 h6g5 d1h5 d8f6 f2f3 e4d6 b1c3 c8e6 f4g5 f6e5 h5g6 e5g7 g6e6 g7f7 e6f7 g8f7 b5d3 c5d4 c3d5 d4b2 a1e1 a8e8 d5c7 e8e1 f1e1 f8c8 c7d5 c8c6 e1e7
Nordisk Skakforbund,Copenhagen,1924.08.15,5,"Nilsson, Allan","Brinckmann, Alfred",1-0,,,D66,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 b8d7 g1f3 e8g8 a1c1 c7c6 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e1g1 a7a6 d1e2 c6c5 f1d1 d8b6 f3e5 c5d4 e5d7 f6d7 g5e7 f8e8 e7h4 d4c3 d3h7 g8h7 d1d7 h7g8 c1c3 b7e4 h4g3 e6e5 h2h4 a8c8 c3c8 e8c8 e2g4 b6c6 g3e5 g7g6 d7d6 c6b7 g4g5 g8h7 g5f6 c8g8 d6d8
