Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
City of Culture GM,Donostia ESP,2009.07.07,1,"Nakamura,Hi","Karpov,Ana",1-0,2710,2644,D37,g1f3 g8f6 c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 c1f4 e8g8 d1c2 c7c5 d4c5 b8a6 e2e3 a6c5 f1e2 d5c4 e2c4 a7a6 a2a4 b7b6 e1g1 c8b7 c2e2 d8e8 f1d1 a8d8 f3d4 d8c8 e2f1 h7h6 f4g3 g8h8 h2h3 e7d8 b2b4 c5d7 a1c1 d8e7 c3a2 c8a8 f2f3 f6d5 f1e1 e7g5 g3f2 e8e7 h3h4 g5f6 e3e4 d5f4 e1d2 f6d4 f2d4 b6b5 c4f1 e6e5 d4f2 b7c8 c1c7 e7e6 a4b5 a6b5 a2c3 e6g6 f2e3 g6g3 e3f4 e5f4 c7d7 c8d7 d2d7 g3h4 d7d2 a8d8 c3d5 f7f5 e4e5 f8e8 d2e2 e8e6 d1d4 h4g3 d5c7 d8d4 c7e6 d4b4 e2c2 b4a4 c2d2 a4a1 e6f4 h8h7 f4d3 g3h4 f3f4 h4e7 d2b4 e7b4 d3b4 g7g5 g1f2 h7g7 b4c6 a1a2 f2e3 a2a3 e3f2 a3a4 f4g5 a4f4 f2e1 h6g5 f1b5 g7f7 e1e2 f7e6 e2d3 e6d5 c6e7 d5c5 b5c6 f4d4 d3e3 d4b4 c6d7 b4e4 e3f3
City of Culture GM,Donostia ESP,2009.07.07,1,"Svidler,P","Movsesian,S",1/2-1/2,2739,2716,C41,e2e4 d7d6 d2d4 g8f6 b1c3 e7e5 g1f3 b8d7 f1c4 f8e7 e1g1 e8g8 f1e1 a7a6 a2a4 b7b6 b2b3 c8b7 c1b2 c7c6 c4d3 f8e8 c3e2 e7f8 e2g3 g7g6 c2c4 e5d4 b2d4 f8g7 d1d2 d7e5 a1d1 e5f3 g2f3 d6d5 c4d5 c6d5 e4e5 f6d7 f3f4 d8h4 d3f1
City of Culture GM,Donostia ESP,2009.07.07,1,"San Segundo Carrillo,P","Ponomariov,R",1/2-1/2,2570,2727,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 c1e3 e8g8 f1e2 b7b6 e1g1 c8b7 d1d3 e7e6 f1d1 b8d7 a2a4 d8c7 a4a5 b6a5 f3d2 f8c8 d3b5 g7f8 b5a5 c5d4 c3d4 c7a5 a1a5 d7b6 d1b1 c8c3 e2a6 b7c6 g2g4 c3a3 a5a3 f8a3 f2f3 a8d8 g1f2 g8f8 b1b3 a3d6 h2h4 f8e8 b3b1 f7f5 g4f5 g6f5 e4f5 e6f5 e3g5 d8b8 b1e1 e8d7 a6d3 b8f8 e1a1 d6b8 d2c4 b6d5 c4e5 b8e5 d4e5 d7e6 a1a7 e6e5 a7h7 f8a8 h7f7 a8a2 f2g1 a2a1 g1h2 a1a2 h2g3 f5f4 g5f4 d5f4 f7f4 a2g2 g3g2 e5f4
City of Culture GM,Donostia ESP,2009.07.07,1,"Vallejo Pons,F","Granda Zuniga,J",1-0,2693,2647,B19,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 e7e6 c1d2 d8c7 e1c1 e8c8 c1b1 g8f6 c2c4 c8b8 d2c3 b8a8 d3e2 f8e7 f3e5 d7e5 d4e5 f6d7 f2f4 f7f5 e2c2 d7c5 b2b4 c5a6 a2a3 c7c8 g3e2 d8d1 h1d1 c8e8 d1h1 g7g5 h5g6 e8g6 g2g3 h6h5 c2d3 g6g4 d3e3 h8d8 c3e1 b7b6 e1f2 a6c5 e2d4 c5e4 d4c6 d8d2 c6e7 d2f2 c4c5 g4g7 h1h5 g7e7 h5h8 a8b7 e3d3 e7c7 b1a1 f2d2 d3c4 a7a6 g3g4 c7d7 c5c6 d7c6 h8b8
City of Culture GM,Donostia ESP,2009.07.07,1,"Vachier Lagrave,M","Kasimdzhanov,R",1-0,2703,2672,B77,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 c4b3 a8c8 e1c1 c6e5 c1b1 f8e8 h2h4 h7h5 g2g4 h5g4 h4h5 f6h5 e3h6 e7e6 d1g1 g4g3 h1h5 g6h5 g1g3 e5g6 d4f5 g7f6 f5d6 c8c6 d6e8 d7e8 d2h2 h5h4 g3g2 f6c3 b2c3 d8d1 h6c1 d1f3 g2g1 g8h7 h2b8 e8d7 b8d8 d7c8 d8g5 h7g8 g5h4 b7b6 h4e7 g8g7 e7a7 e6e5 g1g5 c6f6 a7c7 c8e6 c7e5 g7g8 e5d4 e6b3 a2b3 f6e6 d4d8 g8g7 c3c4 e6e4 d8d5 f3e2 c1b2 g7h6 g5g1 e2f3 b2d4 b6b5 d4f6 b5c4 d5f7
City of Culture GM,Donostia ESP,2009.07.08,2,"Nakamura,Hi","Vachier Lagrave,M",1-0,2710,2703,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3c1 g4f6 f2f3 e7e6 c1e3 b7b5 d1d2 b8d7 g2g4 h7h6 e1c1 c8b7 h2h4 b5b4 c3a4 d8a5 b2b3 d7c5 a2a3 a8c8 d2b4 a5c7 a4c5 d6c5 b4a4 f6d7 d4e2 b7c6 a4c4 d7e5 c4c3 e5f3 e3f4 e6e5 c3f3 e5f4 f3f4 c5c4 b3b4 a6a5 f4c7 c8c7 c2c3 c6e4 h1h3 f8e7 e2d4 a5b4 a3b4 e8g8 d4b5 c7b7 b5d6 e7d6 d1d6 b7c7 d6d4 e4b7 d4c4 c7e7 c4d4 e7e1 d4d1 f8e8 f1d3 b7c8 h3g3 g7g5 h4g5 h6g5 d1e1 e8e1 c1d2 e1e5 g3e3
City of Culture GM,Donostia ESP,2009.07.08,2,"Karpov,Ana","Ponomariov,R",1/2-1/2,2644,2727,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 c1e3 c7c5 d1d2 c5d4 c3d4 b8c6 f1b5 e8g8 g1f3 c8g4 b5c6 g4f3 g2f3 b7c6 e1g1 c6c5 a1d1 c5d4 e3d4 g7d4 d2d4 d8a5 d4d5 a5a6 d5e5 a6a2 e5e7 a7a5 d1a1 a2e2 g1g2 f8e8 e7g5 a5a4 f1e1 e2a6 e1e3 a8d8 h2h4 h7h5 e3a3 d8d4 a3c3 e8c8 c3c8 a6c8 a1c1 c8d8 c1c5 d8g5 c5g5 g8g7 g5a5 f7f5 a5a7 g7f6 a7a6 f6f7 a6a7 f7e6 a7a6 e6d7 e4e5 d4h4 a6g6 h4d4 g6a6 h5h4 g2h3 d4f4 h3g2 d7e7 a6b6 h4h3 g2h3 f4f3 h3g2 f3b3 b6a6 a4a3 f2f3 f5f4 g2h3 b3f3 h3g4 f3f2 a6a3 e7e6 a3a5 f4f3 g4f4 f2e2
City of Culture GM,Donostia ESP,2009.07.08,2,"Movsesian,S","Vallejo Pons,F",1/2-1/2,2716,2693,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1e2 c5d4 c3d4 g8h6 e2d3 h6f5 d3f5 e6f5 e1g1 h7h6 b1c3 c8e6 h2h4 f8e7 c3e2 a8c8 b2b3 g7g6 c1f4 e8f8 d1d2 f8g7 f1c1 b6a5 d2e3 a5d8 g2g3 e7a3 c1c2 c6b4 c2c8 d8c8 e3d2 c8c2 d2c2 b4c2 a1d1 h8c8 f4d2 a3e7 d1c1 e7a3 c1d1 a3e7 d1c1 e7a3
City of Culture GM,Donostia ESP,2009.07.08,2,"Kasimdzhanov,R","Svidler,P",1/2-1/2,2672,2739,D82,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 c7c5 d4c5 d8a5 a1c1 d5c4 f1c4 e8g8 g1f3 b8c6 e1g1 a5c5 c4b3 c5a5 h2h3 c8f5 d1e2 f6e4 g2g4 e4c3 b2c3 f5d7 f1d1 a8d8 d1d5 a5b6 c1b1 d7c8 d5b5 b6a6 b3c4 a6a3 b5b3 a3c5 b3b5 c5a3 b5b3 a3c5 b3b5
City of Culture GM,Donostia ESP,2009.07.08,2,"Granda Zuniga,J","San Segundo Carrillo,P",1-0,2647,2570,A01,b2b3 d7d5 c1b2 g8f6 e2e3 c7c5 g1f3 b8c6 f1b5 c8d7 e1g1 e7e6 c2c4 a7a6 b5a4 a8b8 b1a3 f8d6 d2d4 c5d4 c4d5 e6d5 a4c6 b7c6 e3d4 e8g8 f3e5 f8e8 a3c2 d6e5 d4e5 f6g4 f2f4 d8b6 d1d4 c6c5 d4d5 d7f5 h2h3 e8d8 d5f3 d8d3 f3e2 c5c4 g1h1 b8d8 e5e6 f5e6 f4f5 d3h3 g2h3 e6d5 f1f3 c4b3 c2d4 g4f6
