Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Dortmund,Dortmund,1983.??.??,1,"Grzesik, Thomas","Bischoff, Klaus",1/2-1/2,2330,2445,A08,e2e4 c7c5 g1f3 e7e6 d2d3 b8c6 g2g3 d7d5 b1d2 g8f6 f1g2 f8e7 e1g1 b7b6 f1e1 c8b7 e4e5 f6d7 h2h4 d8c7 d1e2 h7h6 d2f1 e8c8 c2c3 d8g8 f1h2 g7g5 h4g5 h6g5 h2g4 h8h5 a2a3 g8h8 d3d4 c6a5 b2b4 a5c4 c1e3 b7a6 e1b1 c5b4 c3b4 b6b5 f3e1 a6b7
Dortmund,Dortmund,1983.??.??,1,"Chandler, Murray G","Wedberg, Tom",1/2-1/2,2500,2500,C64,e2e4 e7e5 g1f3 b8c6 f1b5 f8c5 e1g1 c6d4 f3d4 c5d4 c2c3 d4b6 d2d4 c7c6 b5c4 d7d6 d4e5 d6e5 d1e2 d8h4 c1e3 g8f6 e3b6 a7b6 b1d2 e8g8 a1d1 b6b5 c4b3 f8e8 f2f3 f6h5 e2e3 h4f4 e3f2 f4g5 d2b1 c8e6 b3e6 e8e6 d1d7 a8d8 f1d1 d8d7 d1d7 g5c1 f2f1 c1e3 f1f2
Dortmund,Dortmund,1983.??.??,1,"Chiburdanidze, Maia","Hort, Vlastimil",1/2-1/2,2355,2585,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 a4c6 b7c6 d2d4 e5d4 f3d4 c6c5 d4e2 g8f6 b1c3 c8b7 f2f3 a8b8 e1g1 g7g6 c1e3 f8g7 d1d2 e8g8 a1d1 f8e8 e2f4 d8e7 f1e1 e7f8 b2b3 e8e5 f4d3 e5e8 d3f4 e8e5 f4d3
Dortmund,Dortmund,1983.??.??,1,"Lobron, Eric","Gufeld, Eduard",1-0,2515,2485,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8b6 d4b3 g8f6 b1c3 e7e6 f1d3 a7a6 e1g1 f8e7 g1h1 b6c7 f2f4 d7d6 d1f3 e8g8 c1d2 b7b5 a1e1 c8b7 f3h3 a8d8 a2a4 b5b4 c3d1 d6d5 e4e5 f6e4 d1f2 c6a5 b3a5 c7a5 b2b3 f7f5 e5f6 f8f6 f2g4 f6g6 f4f5 e6f5 f1f5 a5b6 e1e4 d5e4 d3c4 g6e6 g4h6 g7h6 c4e6 g8h8 f5f7 d8d2 h3g4 e7g5 f7f8 h8g7 f8g8 g7f6 g4f5 f6e7 g8g7 e7d6 g7d7 d6c6 f5e4
Dortmund,Dortmund,1983.??.??,1,"Suba, Mihai","Csom, Istvan",1-0,2535,2505,E38,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 d8c7 e2e3 a7a6 g1f3 b4c5 f1d3 c5e7 b2b3 d7d6 c1b2 b8d7 a1c1 b7b6 f3g5 c8b7 g5e4 e8g8 e1g1 f8c8 c2e2 c7b8 f2f4 a8a7 e4f6 d7f6 e3e4 f6d7 e4e5 d6e5 f4f5 d7f6 f5e6 f7e6 g1h1 e7c5 c3a4 c5d4 b2d4 e5d4 e2e6 g8h8 f1f6 b7g2 h1g2 g7f6 c1f1 a7g7 g2h1 c8e8 e6f6 b8a8 f6f3 a8f3 f1f3 b6b5 c4b5 a6b5 d3b5 e8c8 b5c4 g7g5 a4b6 c8e8 f3f1 e8d8 f1d1 h8g7 c4d3 g5a5 a2a4 d8b8 b6c4 a5d5 d3e4 d5d8 d1d3 g7f6 a4a5 d8d7 a5a6 d7a7 e4b7 a7b7 a6b7 b8b7 h1g2 f6e6 g2f3 e6d5 f3e2 b7e7
Dortmund,Dortmund,1983.??.??,1,"Short, Nigel D","Kindermann, Stefan",0-1,2510,2440,B07,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g2g3 f8g7 f1g2 e8g8 g1e2 b8d7 e1g1 c7c5 a2a4 a7a6 h2h3 d8c7 d4c5 d7c5 c1g5 c5d7 d1d2 a8b8 e2d4 e7e5 d4e2 d7b6 b2b3 c8e6 f1d1 b8d8 a4a5 b6c8 c3d5 e6d5 e4d5 c8e7 a1a4 f6e8 a4c4 c7d7 e2c3 f7f6 g5e3 f6f5 c3a4 e7c8 d2b4 e8f6 a4b6 c8b6 e3b6 d8c8 c4c8 f8c8 c2c4 e5e4 b6d4 d7e7 b4d2 f6d7 g2f1 g7d4 d2d4 e7g7 d4e3 g7b2 g1g2 d7c5 f1e2 b2b3 e3d4 g8f7 g3g4 f5g4 h3g4 c8f8 d1d2 f7g8 d2b2 b3a4 b2b6 a4d7 g2f1 g6g5 d4e3 f8f4 e3h3 f4f6 h3g3 d7e7 f1g2 h7h6 g2g1 f6f4 g3e3 e7e5 b6b1 g8f8 g1g2 e5f6 g2g1 f8e8 g1g2 e8d7 g2g1 d7c8 g1g2 c8b8 g2g1 f6e5 g1f1 e5f6 f1g1 f6d8 e3c3 b8a7 c3d2 d8c7 b1b6 c5d7 b6b1 d7e5 d2e3 c7c5 e3c5 d6c5 b1b6 e5f3 g1g2 f4g4 g2h3 g4f4 b6h6 f3g1
Dortmund,Dortmund,1983.??.??,2,"Kindermann, Stefan","Suba, Mihai",1/2-1/2,2440,2535,B84,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 e7e6 f1e2 a7a6 e1g1 f8e7 f2f4 e8g8 g1h1 d8c7 a2a4 f8d8 c1e3 b7b6 e2f3 c8b7 d1e2 g7g6 e4e5 f6e8 a1d1 b8d7 f3b7 c7b7 e2g4 e8g7 e5d6 e7f8 f4f5 e6f5 d4f5 g6f5 f1f5 b7c8 c3d5 c8c2 e3d4 c2d1 g4d1 g7f5 d1g4 f5g7 d5e7 g8h8 e7f5 f7f6 f5h6 a8c8 h6f7 h8g8 f7h6 g8h8
Dortmund,Dortmund,1983.??.??,2,"Hort, Vlastimil","Chandler, Murray G",1/2-1/2,2585,2500,B92,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 a7a6 f1e2 e7e5 d4b3 f8e7 c1e3 e8g8 e1g1 c8e6 a2a4 b8c6 d1d2 a8c8 f1d1 c6b4 e2f3 c8c4 a4a5 d8c8 h2h3 h7h6 e3b6 f6d7 b6e3 d7f6 e3b6 f6d7
Dortmund,Dortmund,1983.??.??,2,"Gufeld, Eduard","Bischoff, Klaus",1/2-1/2,2485,2445,B07,e2e4 d7d6 d2d4 g7g6 b1c3 f8g7 c1e3 c7c6 a2a4 g8f6 h2h3 e8g8 g2g3 a7a5 f1g2 b8a6 g1e2 a6b4 e1g1 d6d5 e4e5 f6e8 c3a2 b4a2 a1a2 f7f6 f2f4 f6f5 d1d2 e8c7 f1b1 f8f7 e2c1 g7f8 c1d3 e7e6 c2c3 a8a7 b2b4 c7a8 g2f1
Dortmund,Dortmund,1983.??.??,2,"Csom, Istvan","Chiburdanidze, Maia",0-1,2505,2355,D73,d2d4 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 g1f3 c7c5 b1c3 d7d5 d4c5 d8a5 e1g1 d5c4 d1d4 a5a6 d4h4 b8c6 c1h6 g7h6 h4h6 f6g4 h6h4 g4f6 f1d1 g8g7 h4f4 h7h6 f3e5 c8e6 e5c6 b7c6 f4c7 a8b8 c7e7 b8b2 e7d6 b2c2 d6d4 a6a3 c3e4 a3b2 e4f6 b2d4 d1d4 g7f6 g2c6 f8c8 c6a4 c2b2 c5c6 b2b4 a4c2 c8c6 a1c1 b4b2 a2a4 c4c3 f2f3 f6e5 d4d3 e6f5 e2e4 f5e6 f3f4 e5f6 c2d1 c3c2 d1f3 b2b1
