Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
GMA,Dos Hermanas ESP,2001.04.19,1,"Sokolov,I","Smirin,I",1/2-1/2,2659,2691,E70,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1d3 b8c6 g1e2 e8g8 e1g1 c8d7 d3c2 e7e5 d4d5 c6b4 c2b1 a7a5 f2f3 g8h8 c1e3 f6g8 c4c5 g7h6 e3f2 d8e7 c5d6 c7d6 c3a4 f7f5 a4b6 f5e4 b1e4 a8e8 b6d7 e7d7 a2a3 b4a6 d1e1 d7d8 e2c3 g8f6 a1d1 f6d7 e4d3 a6c5 d3b5 e8e7 b2b4 a5b4 a3b4 c5b3 c3e4 d7f6 e4f6 f8f6 e1c3 b3d4 d1d4 e5d4 f2d4 e7e5 d4e5 d6e5 c3e5 h6f8 f1b1 f8d6 e5c3 h8g7 b5f1 d8b6 g1h1 b6f2 c3e1
GMA,Dos Hermanas ESP,2001.04.19,1,"Illescas Cordoba,M","Dreev,A",1-0,2562,2685,B19,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 e7e6 f3e5 g6h7 f1d3 h7d3 d1d3 b8d7 f2f4 c6c5 c1e3 d8a5 e3d2 a5c7 e1c1 g8f6 f4f5 c5d4 e5d7 c7d7 f5e6 f7e6 h1e1 e8c8 d3c4 d7c6 c4e6 c6e6 e1e6 d8d5 d1f1 c8d7 e6e1 d4d3 c2c3 f8c5 g3f5 h8e8 e1e8 f6e8 c3c4 d5e5 f1f3 d7e6 f5g3 c5e7 d2c3 e7h4 c3e5 e6e5 f3e3 e5f6 e3e8 h4g3 c1d2
GMA,Dos Hermanas ESP,2001.04.19,1,"Gurevich,M","Almasi,Z",1/2-1/2,2688,2640,A36,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6 d2d3 e7e6 e2e4 g8e7 g1e2 d7d6 a1b1 e8g8 e1g1 a8b8 a2a3 b7b6 b2b4 c8b7 c1f4 c6d4 b4c5 b6c5 c3b5 e6e5 f4g5 f7f6 b5d4 c5d4 g5d2 b7c6 d1c2 b8c8
GMA,Dos Hermanas ESP,2001.04.19,1,"Azmaiparashvili,Z","Vallejo Pons,F",1/2-1/2,2670,2559,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f1d3 f5d3 d1d3 b8d7 e1g1 f8b4 c1d2 a7a5 a2a3 b4e7 b2b4 a5b4 a3b4 e8g8 a1b1 d7b6 c4c5 b6c4 b4b5 e6e5 f3e5 c4e5 d4e5 f6d7 d3c2 d7e5 c3e2 e5c4 d2b4 e7f6 f1d1 f8e8 e2g3 f6e5 g3f5 d8f6 e3e4 d5e4 b5c6 b7c6 f5d6 c4d6 c5d6 e8d8 c2c6 e4e3 c6f3 f6f3 g2f3 e3e2 d1d2 a8b8
GMA,Dos Hermanas ESP,2001.04.19,1,"Krasenkow,M","Radjabov,T",0-1,2655,2533,E90,g1f3 g8f6 d2d4 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 h2h3 e7e5 d4d5 b8d7 c1g5 h7h6 g5e3 d7c5 f3d2 a7a5 a2a3 f6e8 b2b4 a5b4 a3b4 a8a1 d1a1 c5d7 c4c5 f7f5 d2c4 f5f4 e3c1 d6c5 b4c5 d7c5 c1a3 b7b6 a3c5 b6c5 a1a5 f4f3 g2g3 d8e7 f1d3 h6h5 h3h4 g7h6 c3a4 e8d6 a4c5 g6g5 c5e6 c8e6 d5e6 d6c4 d3c4 g5h4 h1h4 f8b8 c4a2 b8b2 a5a4 b2e2 e1d1 e2f2 h4h5 f2f1 d1c2 e7c5 c2b3 c5e3 b3b4 e3d4 b4b3 d4d3 b3b4 h6d2 b4c5 f1c1
GMA,Dos Hermanas ESP,2001.04.20,2,"Almasi,Z","Radjabov,T",1/2-1/2,2640,2533,C05,e2e4 e7e6 d2d4 d7d5 b1d2 f8e7 g1f3 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 e1g1 a7a5 f1e1 c5d4 c3d4 d8b6 d2b1 c6d4 f3d4 b6d4 b1c3 d4b6 d1g4 e8g8 c1h6 g7g6
GMA,Dos Hermanas ESP,2001.04.20,2,"Smirin,I","Krasenkow,M",1-0,2691,2655,B30,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 c2c3 a7a6 b5a4 b7b5 a4c2 c8b7 d1e2 d7d5 e4e5 d5d4 c2e4 e7g6 c3d4 c5d4 d2d3 f8e7 b1d2 d8c7 d2b3 e8g8 c1d2 f8c8 a1c1 c7b6 h2h4 h7h6 h4h5 g6f8 f3d4 c6d4 b3d4 c8c1 f1c1 b6d4 e4b7 a8b8 d2e3 d4e5 d3d4 e5d6 e2f3 b8d8 a2a3 a6a5 c1c6 d6d7 c6a6 b5b4 a6a5 b4a3 b2a3 d8b8 b7e4 f7f5 e4d3 b8b3 f3d1 b3a3 a5a3 e7a3 d1b3 f5f4 b3a3 f4e3 f2e3 d7c7 d3e4 c7g3 g1f1 g3h4 e4f3 f8h7 f1e2 h7g5 a3e7 g8h7 e7b7 g5f3 b7f3 h7g8 e2d3 h4e1 d3c4 e1c1 c4b5 c1c2 b5b6 c2c4 g2g4 g8h7 f3e4 h7g8 e4e5 c4b3 b6c7 g8f7 c7d8 b3a3 e5f4 f7g8 d8e8 a3b3 e8e7 g8h8 f4e5 b3b7 e7e6 b7c8 e6f7 c8b7 f7f8 b7f3 e5f4 f3a8 f8e7 a8b7 e7d8 b7a8 d8c7 a8a5 c7c6 a5a4 c6c5 a4c2 c5d6 c2c8 f4f7 c8c3 f7e8 h8h7 e8e4 h7h8 d4d5 c3f6 d6d7
GMA,Dos Hermanas ESP,2001.04.20,2,"Vallejo Pons,F","Sokolov,I",1-0,2559,2659,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 d7d6 a4c6 b7c6 d2d4 e5d4 f3d4 c8d7 d1f3 e8g8 b1c3 a8b8 b2b3 f8e8 c1b2 e7f8 a1d1 d8c8 d4f5 d7f5 e4f5 d6d5 c3e2 c8d8 e2g3 d8d6 h2h3 e8e1 d1e1 d5d4 e1d1 c6c5 c2c3 d6d5 f3d3 d4c3 d3c2 d5c6 b2c3 b8e8 c2d3 f8e7 d1e1 g8f8 e1e2 f6d5 d3f3 e7f6 c3f6 g7f6 e2e8 f8e8 g3h5 e8e7 f3e4 e7d6 g2g4 c6b5 h5g7 d5e7 g7e6 b5c6 e4f4 d6d7 e6f8 d7e8 f8h7 e8d7 h3h4 e7d5
GMA,Dos Hermanas ESP,2001.04.20,2,"Dreev,A","Azmaiparashvili,Z",1/2-1/2,2685,2670,D24,d2d4 d7d5 c2c4 d5c4 g1f3 c7c5 d4d5 g8f6 b1c3 e7e6 e2e4 e6d5 e4e5 f6e4 d1d5 e4c3 d5d8 e8d8 b2c3 b8c6 f1c4 c8e6 c4e6 f7e6 f3g5 d8d7 c1e3 c6e5 e1c1 d7c6 e3f4 e5g6 f4g3 e6e5 g5f7 h8g8 h2h4 h7h5 h1e1 f8e7 c1c2 e7f6 g3e5 g6e5 f7e5 f6e5 e1e5 a8f8 f2f3 g7g6 e5e6 c6c7 e6e7 c7c6 e7e6 c6c7 d1d5 f8f5 e6e5 b7b6 c2d3 f5f4 e5e4 f4f5 e4e7 c7c6 d5e5 f5f4 e5e4 g6g5 h4g5 f4e4 e7e4 g8g5 e4e2
GMA,Dos Hermanas ESP,2001.04.20,2,"Gurevich,M","Illescas Cordoba,M",1-0,2688,2562,D97,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 d1b3 d5c4 b3c4 f8g7 e2e4 e8g8 f1e2 b8a6 g1f3 c7c5 d4d5 e7e6 e1g1 e6d5 e4d5 c8f5 c1f4 d8b6 f4e5 a8d8 a1c1 b6b2 c3b5 b2b4 b5d6 f6e4 e5g7 g8g7 d6f5 g6f5 c4c2 d8d5 e2c4 d5d8 f3h4 g7h8 h4f5 e4d2 c4a6 b7a6 f1e1 f8e8 e1e8 d8e8 f5d6 e8e7 c2f5 b4b2 f5c8 h8g7 d6f5
