Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Dresden,Dresden,1926.??.??,1,"Steiner, Lajos","Johner, Paul F",0-1,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 h2h3 a5c6 c1e3 e8g8 b1d2 c6d8 d2f1 g8h8 f1g3 g7g6 d1d2 d8e6 a1d1 c8b7 d4d5 e6g7 f3e5 d6e5 d5d6 e7d6 d2d6 c7d6 d1d6 g7e6 e3c5 e6c5 d6f6 a8d8 e1d1 d8d1 c2d1 f8d8 d1b3 c5b3 a2b3 d8d1 g1h2 h8g7 f6b6 b7c8 b6c6 c8e6 c6a6 d1d2 a6b6 d2f2 b6b5 h7h5 h3h4 g7f6 h2g1 f2f4 b5b4 f4h4 g3f1 h4f4 f1d2 h5h4 c3c4 g6g5 c4c5 g5g4 c5c6 f6e7 b4b6 g4g3 c6c7 e7d7 d2f3 d7c7 b6b5 f7f6 b5a5 f4e4 a5a4 e4e2 a4h4 e5e4 h4h7 c7d6 h7g7 e4f3
Dresden,Dresden,1926.??.??,1,"Saemisch, Fritz","Alekhine, Alexander",0-1,,,E14,d2d4 g8f6 g1f3 b7b6 c2c4 c8b7 e2e3 e7e6 f1d3 f8b4 c1d2 b4d2 b1d2 d7d6 e1g1 b8d7 d1c2 e8g8 a1d1 d8e7 f3g5 h7h6 g5h7 f8d8 h7f6 d7f6 d2e4 c7c5 e4f6 e7f6 d4c5 b6c5 d1d2 a8b8 f1d1 b7c6 b2b3 f6e5 c2b2 e5b2 d2b2 a7a5 b2d2 g8f8 d3c2 f8e7 f2f3 a5a4 g1f2 a4b3 c2b3 f7f5 f2e2 b8b4 e2d3 c6a4 b3a4 b4a4 d1b1 a4a3 d3e2 a3c3 a2a4 c3a3 b1b7 d8d7 d2b2 a3a4 b7d7 e7d7 b2b7 d7c6 b7g7 a4c4 g7g6 c6d5 g6h6 c4c2 e2f1 c5c4 h6h8 c4c3 h2h4 c2d2 f1e1 d2g2 h8c8 c3c2 h4h5 g2h2 h5h6 h2h6 c8c2 h6h1 e1d2 h1h2 d2d3 h2c2
Dresden,Dresden,1926.??.??,1,"Bluemich, Max","Nimzowitsch, Aaron ",0-1,,,A04,g1f3 c7c5 g2g3 b8c6 f1g2 e7e5 e2e4 f8e7 e1g1 d7d6 c2c3 c8g4 d2d3 d8d7 f1e1 g8f6 b1d2 a8d8 d1a4 e8g8 a4c2 d7c7 d2c4 h7h6 c4e3 g4d7 f3h4 f8e8 f2f4 c7b8 h4f5 e7f8 c2f2 d7f5 e3f5 d6d5 e1f1 d5e4 d3e4 b8c8 f2f3 c8e6 f4e5 f6d7 f3g4 d7e5 g4e2 e6c4 e2c4 e5c4 b2b3 c4d6 f5d6 f8d6 c1e3 b7b6 a1d1 d6e5 e3d2 d8d3 f1f3 d3d6 g1f1 e8d8 f1e2 c5c4 b3c4 c6a5 f3f1 a5c4 d2f4 d6d1 f1d1 d8d1 e2d1 e5f4
Dresden,Dresden,1926.??.??,1,"Von Holzhausen, Walther","Tartakower, Saviely",1/2-1/2,,,B15,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4g3 h7h5 h2h4 c8g4 f1e2 e7e6 e2g4 f6g4 c1f4 d8b6 g1f3 b6b2 e1g1 b7b6 f1e1 f8e7 c2c4 b2f2 g1h1 f2b2 e1e2 b2b4 d1c2 b8d7 a1b1 b4a5 b1e1 e8g8 f4d2 e7b4 f3g5 d7f6 d2b4 a5b4 g3h5 g7g6 h5f6 g4f6 e1f1 f6h7 e2e6 h7g5 h4g5 f7e6 c2g6 g8h8 g6h6 h8g8
Dresden,Dresden,1926.??.??,1,"Yates, Frederick","Rubinstein, Akiba",0-1,,,B02,e2e4 g8f6 e4e5 f6d5 f1c4 d5b6 c4b3 c7c5 d1e2 b8c6 g1f3 d7d5 e5d6 e7e6 b1c3 f8d6 c3e4 d6e7 d2d3 b6d5 e1g1 e8g8 c1d2 b7b6 a1d1 c8b7 f1e1 d8d7 d2c1 a8d8 e4g3 f8e8 e2e4 d5f6 e4h4 c6d4 f3e5 d7c7 g3h5 f6h5 h4h5 e7d6 e5g4 d4b3 a2b3 f7f5 g4e3 c7c6 h5h3 b6b5 e3f1 e6e5 c1g5 d8d7 f2f4 d7f7 h3g3 e8e6 g3f2 e6g6 f1d2 e5f4 d2f3 h7h6 h2h4 h6g5 h4g5 c6d7 d1d2 b7f3 f2f3 g6g5 d2e2 d7b7 e2e8 d6f8 f3h3 g5g3 h3h2 g7g6 g1f2 f7h7 h2g1 b7d5
Dresden,Dresden,1926.??.??,2,"Tartakower, Saviely","Saemisch, Fritz",1/2-1/2,,,A05,g1f3 g8f6 b2b3 b7b6 c1b2 e7e6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d2d3 c7c5 b1d2 d7d6 e2e4 b8c6 d1e2 a8c8 e4e5 d6e5 f3e5 c6d4 e2d1 b7g2 g1g2 d8d5 e5f3 f8d8 f1e1 d5b7 g2g1 c8c7 a1c1 d8d5 d2e4 f6e4 d3e4 d5d8 f3d4 c5d4 d1d3 e6e5 f2f4 f7f6 e1f1 f6f5 c1e1 b7c6 f1f2 e5f4 e4f5 f4g3 h2g3 e7f6 e1e4 c6d5 f2e2 h7h6 e4e8 g8f7 e8d8 d5d8 e2e4 d8c8 d3f3 c7e7 e4e7 f6e7 f3e4 e7f6 e4d5 f7e8 d5e4 e8f7 g3g4 c8c5 g1f1 f6e5 b2c1 f7f6 f1g2 c5c3 c1f4 c3c7 f4d2 c7d6 g2f3 d6d7 d2e1 d7d6 e1h4 g7g5 f5g6 f6g7 f3e2 e5f6 h4f6 d6f6 e2d3 f6g6 e4g6 g7g6 d3d4 g6g5 c2c4 g5g4 b3b4 g4f5 d4d5 f5f6 c4c5 b6c5 b4c5 h6h5 d5d6 h5h4 c5c6 h4h3 c6c7 h3h2 c7c8q h2h1q c8e6 f6g7 d6c7 h1h2 c7b7 h2f2 a2a4 f2c5 b7a6 c5d4 e6e7 g7g6 a4a5 g6h5 e7c7 h5h4 a6b7 h4h3 a5a6 h3g2 b7a8 g2f1 c7e7 d4b6 e7f7 f1e1 f7a7 b6d8
Dresden,Dresden,1926.??.??,2,"Johner, Paul F","Nimzowitsch, Aaron ",0-1,,,E50,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 c7c5 g1f3 b8c6 e1g1 b4c3 b2c3 d7d6 f3d2 b7b6 d2b3 e6e5 f2f4 e5e4 d3e2 d8d7 h2h3 c6e7 d1e1 h7h5 c1d2 d7f5 g1h2 f5h7 a2a4 e7f5 g2g3 a7a5 f1g1 f5h6 e2f1 c8d7 d2c1 a8c8 d4d5 g8h8 b3d2 f8g8 f1g2 g7g5 d2f1 g8g7 a1a2 h6f5 g2h1 c8g8 e1d1 g5f4 e3f4 d7c8 d1b3 c8a6 a2e2 f5h4 e2e3 a6c8 b3c2 c8h3 h1e4 h3f5 e4f5 h4f5 e3e2 h5h4 g1g2 h4g3 h2g1 h7h3 f1e3 f5h4 g1f1 g8e8
Dresden,Dresden,1926.??.??,2,"Rubinstein, Akiba","Von Holzhausen, Walther",1-0,,,D06,d2d4 d7d5 g1f3 c7c5 c2c4 c5d4 c4d5 d8d5 b1c3 d5a5 f3d4 a7a6 g2g3 e7e5 d4b3 a5b4 f1g2 g8f6 a2a3 b4b6 c1e3 b6c7 c3a4 b8c6 a4b6 a8b8 a1c1 f6g4 b6d5 c7d7 e3b6 f8d6 e1g1 e8g8 d1d2 d7e6 f1d1 e5e4 b3c5 d6c5 b6c5 e6f5 f2f3 e4e3 d5e3 g4e3 d2e3 c8e6 c5f8 b8f8 e3b6 f5e5 e2e4 f7f5 f3f4 e5b8 e4e5
Dresden,Dresden,1926.??.??,2,"Steiner, Lajos","Yates, Frederick",1-0,,,D64,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 f8e7 c1g5 b8d7 e2e3 c7c6 a1c1 e8g8 d1c2 f8e8 f1d3 d7f8 f3e5 f8g6 e1g1 f6d7 g5e7 d8e7 f2f4 a7a6 d3g6 h7g6 c4c5 g6g5 f1f3 f7f5 e5d7 c8d7 c2b3 a8b8 b3b6 e8c8 c3a4 d7e8 b6a5 e8h5 f3f2 g8h7 a5d2 c8h8 c1c3 b8f8 c3b3 f8f7 b3b6 e7f6 b2b3 h8g8 d2b4 g5f4 e3f4 f6e7 a4b2 h7h8 b4e1 g7g5 b2d3 f7g7 e1e5 h8h7 g2g3 h5g4 f4g5 e7g5 d3f4 g8e8 b3b4 g5h6 a2a4 g4d1 b4b5 d1a4 b5a6 b7a6 b6a6 a4b5 a6a3 g7e7 f2a2 b5c4 a2a1 h6g7 a3e3 h7g8 a1e1 g7e5 e3e5 g8f7 h2h3 c4a6 g1f2 a6c8 g3g4 f5g4 h3g4 e7a7 e5h5 a7a2 f2g3 a2a3 g3h4 a3a4 h5h7 f7g8 h7c7 a4d4 f4h5 e8f8 h4g5 e6e5 h5f6 f8f6 g5f6 d4f4 f6e5 f4f8 e1a1
Dresden,Dresden,1926.??.??,2,"Alekhine, Alexander","Bluemich, Max",1-0,,,A48,d2d4 g8f6 g1f3 g7g6 c1g5 f8g7 b1d2 e8g8 e2e3 d7d6 f1c4 b8c6 c2c3 a7a6 d1e2 c8g4 h2h3 g4d7 f3h2 d8c8 f2f4 e7e5 f4e5 d6e5 e1g1 f6h5 f1f7 f8f7 c4f7 g8f7 e2c4 d7e6 d4d5 e6d5 a1f1 h5f6 c4d5 c8e6 d5f3 e6f5 g5f6
