Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Duisburg ,Duisburg,1929.??.??,?,"Vordank, K.","Heinicke, Herbert",1-0,,,C10,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 b8d7 g1f3 f8e7 e4f6 d7f6 f1d3 e8g8 d1e2 c7c6 c2c3 f8e8 f3e5 g7g6 h2h4 f6d7 e5d7 c8d7 f2f4 f7f6 g5h6 e7f8 h6f8 e8f8 g2g4 d8c7 e2h2 a8e8 g4g5 e6e5 f4e5 f6e5 e1c1 d7f5 h4h5 c7g7 h5g6 g7g6 d3c4 g8h8 h2g3 e5d4 d1d4 g6g7 d4h4 g7e5
Duisburg ,Duisburg,1929.??.??,?,"Orbach, Wilhelm","Von Holzhausen, Walther",1-0,,,D15,d2d4 d7d5 g1f3 g8f6 c2c4 c7c6 b1c3 d5c4 e2e4 b7b5 d1c2 e7e6 c1e3 f8b4 f1e2 b4c3 b2c3 b8d7 e3f4 c8b7 e1g1 c6c5 e4e5 f6d5 f4g3 e8g8 g3h4 f7f6 a1b1 b7c6 d4c5 d7c5 e5f6 g7f6 f3d4 c6e8 c2d2 c5e4 d2h6 e4c3 e2g4 d5c7 d4e6 d8e7 e6c7 e8g6 c7a8 c3b1 a8c7 e7c7 g4e6 f8f7 h4f6
Duisburg ,Duisburg,1929.??.??,?,"Von Holzhausen, Walther","Helling, Karl",0-1,,,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 d2d4 e7e5 d4e5 f8b4 c1d2 b8c6 f2f4 c8f5 a2a3 b4c3 d2c3 a5a4 e5e6 a8d8 f1d3 g8f6 c3f6 g7f6 d1h5 f5g6 h5b5 a4f4 g1e2 f4e3 e6f7 e8f8 d3g6 h7g6 a1d1 d8d1 e1d1 f8g7 d1e1 h8d8 h1f1 e3d2 e1f2 d8d5 b5c4 d5f5
Duisburg ,Duisburg,1929.??.??,?,Schopper,"Kroll, Ove",0-1,,,A14,g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 e1g1 c7c5 b2b3 e8g8 c4d5 f6d5 e2e4 d5b4 a2a3 b4d3 b1c3 b8c6 d1c2 b7b6 f3e1 c8a6 e1f3 a8c8 f1d1 c6d4 c2a2 d4f3 g2f3 d8d4 d1f1 d3e5 f3g2 a6f1 g2f1 e5d3 f1d3 d4d3 a2b1 d3b1 a1b1 f8d8
Duisburg-B,Duisburg,1929.??.??,?,"Reinhardt, HJ.","Roedl, Ludwig",0-1,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 f8d6 f1d3 g8e7 e1g1 c8g4 b1d2 b8c6 c2c3 d8d7 b2b4 e8g8 b4b5 c6d8 d1b3 d8e6 c3c4 c7c6 c4c5 d6c7 a2a4 e6f4 d3c2 g4h5 g1h1 e7g6 g2g3 d7h3 f1g1 f4e2 g1g2 f8e8 c1b2 e8e7 b3d3 a8e8 f3e5 f7f6 e5f3 h5g4 a1f1 g8f8 d3b3 g6f4 g3f4 e2f4 g2g3 h3h5 f1g1 f4h3 g3h3 h5h3 b3d3 e7e1 b2c3 e1g1 h1g1 e8e1 d2f1 g4f3
Duisburg ,Duisburg,1929.??.??,?,"Rellstab, Ludwig Sr","Platz, Joseph",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 f1d3 c7c5 e4d5 e6d5 g1f3 g8f6 e1g1 f8e7 d4c5 e7c5 f1e1 c5e7 d1e2 c8g4 c1g5 a7a6 b1c3 b8c6 h2h3 g4e6 a1d1 d8c7 d3f5 e6f5 g5f6 g7f6 c3d5 c7d6 d5b6 d6b8 b6a8 b8a8 f3d4 f5e6 d4e6 f7e6 e2e6 h8f8 d1d7 f8f7 d7c7 a8a7 c7c6
Duisburg ,Duisburg,1929.??.??,?,"Kroll, Ove","Vordank, K.",1-0,,,D55,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 c1g5 f8e7 b1c3 e8g8 e2e3 f6e4 g5e7 d8e7 d1c2 c7c6 f1d3 f7f5 e1g1 b8d7 f3e1 d7f6 c2e2 e6e5 c4d5 e4c3 b2c3 f6d5 e2b2 e5e4 c3c4 d5f6 d3e2 g7g5 b2d2 g5g4 f2f3 h7h5 f3f4 h5h4 g1f2 f8f7 f1h1 f7h7 e1c2 f6h5 g2g3 c8e6 a1b1 a8d8 d2a5 b7b6 a5a4 c6c5 d4d5 e6c8 a4b3 d8d6 b3b2 d6h6 b2e5 g8f8 c2a3 a7a6 b1d1 e7d6 d1b1 h7e7 e5d6 h6d6 g3h4 e7h7 h2h3 g4g3 f2g2 d6g6 b1b2 c8b7 h1d1 g6d6 d1b1 b6b5 c4b5 h5f6 a3c4 d6d5 c4b6 d5d8 b5a6 b7c6 b6c4 f6d5 b2b8 f8e7 c4e5 h7h6 a6a7
Duisburg ,Duisburg,1929.??.??,?,"Helling, Karl","Wagner, Heinrich",1-0,,,D02,d2d4 g8f6 g1f3 d7d5 c1f4 e7e6 e2e3 f8d6 f3e5 b8d7 f1d3 d7f8 b1d2 f8g6 f4g3 d6e5 d4e5 f6d7 d1h5 d7c5 d3g6 f7g6 h5g4 d8e7 h2h4 c5e4 e1c1 e4d2 d1d2 c8d7 h4h5 g6g5 h5h6 g7g6 f2f4 e8g8 h1h3 a7a5 g3e1 d7c6 d2f2 b7b6 g4e2 e7c5 h3g3 f8f5 g3g5 f5g5 f4g5 c6b5 e2d2 c5c4 b2b3 c4e4 f2f6 e4e5 d2f2 e5g5 f6f7 c7c5 f7g7 g8h8 g7a7 a8e8 f2f7
Duisburg-B,Duisburg,1929.??.??,?,"Eppers, F.","Hennig, H.",0-1,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 c5d4 d1d4 b8c6 d4d1 e6d5 a2a3 d5d4 c3e4 c8f5 e4d2 f8c5 d2b3 c5b6 g1f3 g8f6 c1g5 h7h6 g5d2 e8g8 g2g3 f8e8 f1g2 d8d7 e1g1 e8e7 f1e1 a8e8 a1c1 f6e4 f3h4 f5h3 g2e4 e7e4 h4g2 d7d5 f2f3 e4e2 e1e2 d4d3 d2e3 d5f3 e2f2 e8e3 g2e3 f3e3
Duisburg-B,Duisburg,1929.??.??,?,"Hennig, H.","Benzinger, Josef",0-1,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 c5d4 d1d4 b8c6 d4d1 e6d5 d1d5 c8e6 d5d8 a8d8 e2e3 c6b4 f1b5 e8e7 b5a4 e6c4 g1e2 b7b5 a4d1 b4d3 e1f1 b5b4 c3e4 f7f5 e4g3 g7g6 d1c2 f8g7 c2d3 c4d3 f2f3 d8c8 f1e1 g8f6 e2f4 d3c2 c1d2 a7a5 a1c1 f6d7
