Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Dundee,Dundee,1867.??.??,?,"Blackburne, Joseph Henry","MacDonnell, George Alcock",0-1,,,A85,d2d4 e7e6 c2c4 f8b4 b1c3 f7f5 g1f3 g8f6 c1d2 e8g8 e2e3 b8c6 f1d3 d7d6 e1g1 e6e5 d3c2 e5e4 f3e1 b4c3 d2c3 d6d5 b2b3 c8e6 d1e2 d8e8 g2g3 e8f7 c4c5 g7g5 e1g2 g5g4 b3b4 c6e7 a2a4 h7h6 h2h4 g4h3 g2f4 e7g6 f4h3 f5f4 h3f4 g6f4 e3f4 e6g4 f2f3 g4f3 e2h2 f6g4 h2h4 g4e3 f1f2 f7g7 h4h3 f8f4 c2b3 f4g4 g1h2 g4g5 f2f3 e4f3
Dundee,Dundee,1867.??.??,?,"De Vere, Cecil Valentine","Steinitz, William",1-0,,,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 c6e5 e1e5 f8e7 d2d4 f7f6 e5e1 d6b5 d1h5 g7g6 h5b5 c7c6 b5b3 d7d5 c2c4 e8f7 b1c3 d5c4 b3c4 f7g7 d4d5 c6d5 c3d5 e7f8 d5f6 d8f6 c1d2 b7b5 c4d5 b5b4 a1c1 f6f7 d5a8 c8e6 a8e4 e6a2 e4e5 g7g8 c1c7 f7d5 e5d5 a2d5 e1e8
Dundee,Dundee,1867.??.??,?,"Neumann, Gustav Richard","Blackburne, Joseph Henry",0-1,,,C38,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 f8g7 d2d4 d7d6 e1g1 h7h6 g2g3 g5g4 f3e1 f4f3 c2c3 b8d7 b1a3 d7b6 c4b3 d8e7 e1d3 c8d7 d3f4 h6h5 d1d3 h5h4 a3b5 h4g3 h2g3 c7c6 b5c7 e8d8 c7a8 g8f6 a8b6 f6e4 b6d7 e4g3 f4e6 f7e6 d3g6 h8h2 f1f3 g4f3 g1h2 e7h4 h2g1 h4h1 g1f2 h1g2 f2e3 g3f1 e3f4 g2g6 f4f3 f1h2 f3f2 d8d7 c1f4 g6f5 f2g3 f5g4 g3h2 g4f4
Dundee,Dundee,1867.??.??,?,Robertson,"Blackburne, Joseph Henry",0-1,,,C42,e2e4 e7e5 f1c4 g8f6 g1f3 f6e4 b1c3 e4c3 d2c3 f7f6 e1g1 g7g6 f1e1 d7d6 c1f4 b8c6 c4b5 c8d7 b5c6 d7c6 d1e2 d8d7 a1d1 d7g4 f4g3 e8c8 e2e3 c8b8 h2h3 g4c8 b2b4 g6g5 c3c4 g5g4 h3g4 c8g4 f3d2 h7h5 b4b5 f8h6 e3e2 g4e2 e1e2 c6d7 g3h4 d8g8 h4f6 g8f8 f6h4 h6d2 d1d2 f8f4 h4g3 f4c4 g3e5 d7b5 e5d4 c4d4
Dundee,Dundee,1867.??.??,?,"Steinitz, William","Baxter, CM.",1/2-1/2,,,C30,e2e4 e7e5 b1c3 g8f6 f2f4 d7d6 g1f3 c8g4 f1c4 g4f3 d1f3 b8c6 e1g1 c6d4 f3d1 f8e7 d2d3 e8g8 c1e3 d8d7 e3d4 e5d4 c3e2 d6d5 e4d5 f6d5 c4d5 d7d5 d1d2 f7f5 e2c1 f8f6 c1b3 f6g6 g2g3 h7h5 d2g2 d5g2 g1g2 c7c5 a1e1 e7d6 b3d2 h5h4 d2c4 a8f8 e1e2 h4g3 h2g3 b7b6 g2f3 g8f7 f1e1 f8a8 a2a4 g6h6 a4a5 b6a5 c4a5 a8b8 a5c4 b8b7 b2b3 d6b8 e2e8 h6h2 e1e2 h2e2 e8e2 b7e7 e2e7 f7e7 f3e2 b8c7 c4d2 g7g5 f4g5 c7g3
Dundee,Dundee,1867.??.??,?,"De Vere, Cecil Valentine","Fraser Mitchell, James",1/2-1/2,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 f1e1 e4c5 f3e5 c6e5 e1e5 f8e7 a4b3 c5b3 a2b3 e8g8 d2d4 d7d5 b1c3 c7c6 d1d3 e7d6 e5g5 d8f6 h2h3 g7g6 c1e3 h7h6 g5g3 d6g3 f2g3 g6g5 a1f1 f6g6 d3d2 c8f5 f1f2 a8e8 c3d1 e8e7 g3g4 f5c8 f2f3 f8e8 d2f2 g8g7 d1c3 e8f8 c3a4 f7f5 e3d2 e7e8 d2b4 f8f7 g4f5 f7f5 a4c5 f5f3 f2f3 g6c2 c5d3 g7g8 f3h5 e8e6 d3e5 c2f5 h3h4 g8g7 b4d2 e6e5 d4e5 f5g4 h5g4 c8g4 h4g5 h6g5 d2g5 g7g6 g5f6 g6f5 g1f2 f5e4 f2g3
Dundee,Dundee,1867.??.??,?,"Steinitz, William","Neumann, Gustav Richard",1-0,,,C25,e2e4 e7e5 b1c3 b8c6 f2f4 e5f4 d2d4 d8h4 e1e2 d7d6 g1f3 c8g4 c1f4 g4f3 e2f3 g8e7 f1e2 e8c8 f4e3 h4f6 f3g3 d6d5 e2g4 c8b8 e4e5 f6g6 g3f2 h7h5 g4h3 f7f6 e5f6 g6f6 d1f3 f6f3 g2f3 g7g6 c3e2 e7f5 h3f5 g6f5 c2c3 f8d6 e3f4 b8c8 h1g1 c8d7 g1g7 c6e7 a1g1 d7e6 f4d6 d8d6 e2f4 e6f6 f4d3 d6b6 b2b3 h8h6 d3e5 b6b5 a2a4 b5a5 b3b4 a5a6 e5d7 f6e6 d7c5
Dundee,Dundee,1867.??.??,?,"Steinitz, William","Scott, R.",1-0,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 b4c3 b2c3 e6d5 g1f3 d8e7 f1e2 g8f6 a2a4 b8d7 c1a3 c7c5 e1g1 e8g8 f1e1 b7b6 c3c4 c8b7 c4d5 b7d5 e2b5 e7d6 f3e5 a8d8 e5d7 f6d7 b5d7 d8d7 d4c5 b6c5 c2c4 d5c4 d1d6 d7d6 a3c5 d6e6 e1e6 f7e6 c5f8 g8f8 a1c1 c4d5 c1c8
Dundee,Dundee,1867.??.??,?,"Blackburne, Joseph Henry","Hamel , S.",1-0,,,B00,e2e4 b7b6 d2d4 e7e6 f1d3 c8b7 c1e3 f7f5 f2f3 f5e4 f3e4 g8f6 b1d2 c7c5 e4e5 b7g2 e3g5 f8e7 e5f6 e7f6 d1h5 e8f8 d3e4 g2h1 g5f6 g7f6 e4h1 d7d5 g1f3 b8c6 e1c1 f8e7 d1e1 d8d7 c2c4 c6b4 e1g1 d7a4 g1g7 e7d6 f3e1 a8f8 h5f3 c5d4 a2a3 b4c6 c4d5 c6e5 d2e4 d6d5 e4c3 d5d6 f3b7
Dundee,Dundee,1867.??.??,?,"Blackburne, Joseph Henry","Fraser Mitchell, James",0-1,,,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 c8g4 f1c4 g8f6 f4e5 g4f3 d1f3 d6e5 d2d4 e5d4 e4e5 d8e7 e1g1 e7e5 c1f4 d4c3 g1h1 e5d4 f3e2 d4e4 b1c3 e4e2 c4e2 c7c6 f4g5 b8d7 a1d1 e8g8 f1f5 c5b6 e2c4 a8e8 d1f1 e8e5 f5e5 d7e5 c4b3 e5g4 h2h3 g4f2 h1h2 f6e4 c3e4 f2e4 g5e7 e4d2 f1d1 f8e8 d1d2 e8e7 h2g3 g7g6 g3f3 e7e3 f3f4 e3e7 d2d3 g8f8 b3d1 f8e8 d1f3 h7h6 f4g3 e7d7 f3e2 d7e7 e2f3 e7e5 f3g4 f7f5 g4d1 e5e1 d3d2 f5f4 g3g4 h6h5 g4f3 b6e3 d2d3 e1f1 f3e4 f1f2 d3b3 b7b6 d1f3 e8d7 g2g3 e3c1 g3f4 c1b2 f4f5 g6f5 e4f5 b2d4 a2a3 c6c5 b3d3 d7d6 f5e4 h5h4 f3g4 f2f1 d3d1 f1f8 g4h5 f8f6 d1d3 f6e6 e4f4 e6e1 h5f3 e1g1 f4e4 d6e6 f3g4 e6d6 d3d1 g1g3 d1d3 b6b5 g4e2 a7a6 e2d1 g3g5 d1f3 d6c7 e4f4 g5g3 f3e4 g3g1 a3a4 c7b6 a4b5 a6b5 d3b3 c5c4 b3b1 g1b1 e4b1 b5b4 f4f3 b4b3 f3e2 b6c5 b1g6 c4c3 e2d1 d4e3 g6d3 c5d4 d3g6 e3f4 g6f5 d4e3 f5g6 e3f2 g6e4 f2g3 e4f5 c3c2 f5c2 b3c2 d1c2 g3h3
