Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Wuelfing, O.","Schultz, Georg",1-0,,,C33,e2e4 e7e5 f2f4 e5f4 f1c4 d8h4 e1f1 g7g5 b1c3 f8g7 g2g3 f4g3 f1g2 h4h6 h2g3 h6g6 d2d4 d7d6 g1f3 h7h6 e4e5 c8g4 e5d6 c7d6 c3d5 e8d8 c2c3 b8c6 d5e3 g4f3 d1f3 g8e7 b2b4 f7f5 b4b5 g5g4 f3f4 c6a5 c4d3 h8f8 c1a3 d8c7 a3b4 b7b6 b4a5 b6a5 a2a4 h6h5 c3c4 g7h6 f4f2 h6e3 f2e3 a8e8 e3f4 f8f6 a1c1 g6h6 f4h6 f6h6 c4c5 d6d5 c1e1 c7d8 e1e5 e8h8 h1e1 h6h7 b5b6 a7b6 c5b6 d8d7 d3b5 d7d8 b6b7 d8c7 e5e7 h7e7 e1e7 c7b8 b5c6 h8d8 e7e5 b8c7 e5d5 d8b8 d5c5 b8d8 d4d5
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Wuelfing, O.","Lange, Max",0-1,,,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d4 e5d4 e4e5 f6e4 e1g1 f8e7 f1e1 e4c5 f3d4 c6d4 d1d4 e8g8 b1c3 c7c6 b5d3 c5d3 d4d3 f7f6 f2f4 f6e5 f4e5 d7d5 e1f1 f8f1 d3f1 d8b6 g1h1 c8e6 b2b3 a8f8 f1d3 d5d4 c3e2 c6c5 c1f4 e6d5 c2c4 d5c6 h1g1 g7g5 d3g3 g8h8 f4d2 b6d8 a1f1 f8f1 g1f1 d8f8 f1g1 f8f5 e2c1 c6e4 h2h4 g5h4 g3f4 f5g6 f4h2 g6g4 g1f2 h8g7 c1e2 h4h3 h2h3 e7h4 f2f1 g4h3 g2h3 e4d3 d2f4 g7f7 f4h2 f7e6 a2a3 a7a5 a3a4 b7b6 h2g1 e6e5 g1f2 h4f2 f1f2 d3e2 f2e2 e5e4
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Schultz, Georg","Lichtenscheidt, Richard",1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4e7 d2d4 c6a5 f3e5 a5c4 e5c4 d7d6 e1g1 g8f6 e4e5 d6e5 d4e5 d8d1 f1d1 f6d7 b1a3 a7a6 f2f4 b7b5 c4a5 e7c5 g1h1 e8g8 a5b3 c5b6 a3c2 d7c5 c1a3 c5e4 d1f1 f8e8 h2h3 e4g3 h1h2 g3f1 a1f1 c8b7 b3c5 b7d5 c5b3 a6a5 c2d4 b5b4 a3b2 a5a4 b3c1 b4c3 b2c3 c7c5 d4f5 c5c4 f5d6 e8d8 c1e2 b6c5 d6f5 d5e4 e2g3 e4d3 f1f3 a8b8 e5e6 b8b1 e6f7 g8f7 f5e3 d3e4 g3e4 c5e3 e4g5 f7g6 f3e3 h7h6 g5e6 d8d3 e3g3 g6f7 f4f5 g7g5 c3g7 d3d1 g3a3 d1h1 h2g3 b1g1 a3a4 g1f1 a4a7 f7e8 g7f6
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Schultz, Georg","Lange, Max",0-1,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4f5 d8f6 b1c3 g8e7 f1d3 d7d6 e1g1 e8g8 d1f3 c6e5 f5e7 f6e7 f3g3 c7c6 g1h1 f7f5 c1g5 e7f7 e4f5 e5d3 g3d3 c8f5 d3d2 d6d5 a1e1 h7h6
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Wuelfing, O.","Kohtz, Johannes",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 f8e7 d2d4 e5d4 e1g1 g8f6 e4e5 f6e4 f3d4 c6d4 d1d4 e4c5 d4g4 c5e6 f2f4 b7b5 a4b3 e8g8 f4f5 e7c5 g1h1 e6d4 c1h6 g7g6 f5g6 d4e6 b3e6
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Schultz, Georg","Von Hanneken, H.",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 d7d6 d2d4 e5d4 f3d4 g8f6 b1c3 f8e7 e1g1 c6e5 c4b3 a7a6 f2f4 c8g4 d1e1 e5c6 d4c6 b7c6 e4e5 d6e5 f4e5 d8d4 g1h1 f6d5 c3d5 c6d5 f1f4 d4d1 e1d1 g4d1 b3d5 e8c8 d5f7 d1c2 c1e3 d8d3 e3f2 h8d8 f2g3 d3d1 f4f1 d1a1 f1a1 c2e4 f7c4 d8d2 c4a6 c8d7 a6f1 d2b2 a2a4 c7c5 a4a5 c5c4 a5a6 c4c3 a6a7 c3c2 a1e1 b2b1 e5e6
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Wuelfing, O.","Von Hanneken, H.",0-1,,,C62,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 e5d4 f3d4 c8d7 b5c6 b7c6 e1g1 c6c5 d4f5 d7f5 e4f5 d8d7 d1f3 a8d8 f1e1 f8e7 f3g3 e8f8 g3f3 e7f6 g2g4 h7h6 b1c3 f6e5 c1f4 e5c3 f3c3 g8f6 h2h3 h6h5 f2f3 h5g4 f3g4 f6d5 c3f3 d5f4 f3f4 h8h3 g1g2 h3h8 e1h1 d7c6 f4f3 c6f3 g2f3 h8h1 a1h1 f7f6 h1h8 f8e7 h8d8 e7d8 f3e4 d8d7 c2c3 a7a5 e4d5 c7c6 d5c4 d7c7 a2a4 c7b6 c4d3 d6d5 d3d2 b6c7 d2e2 c7d7 e2d3 d7d6 d3e3 c5c4 e3d4 c6c5 d4e3 d6e5
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Von Hanneken, H.","Lange, Max",0-1,,,C38,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 f8g7 d2d4 d7d6 e1g1 h7h6 c2c3 b8c6 b2b3 d8e7 b1d2 c8d7 c4d5 g8f6 c1a3 f6g4 d1c1 g4e3 f1e1 g5g4 e4e5 g4f3 e5d6 f3f2 g1f2 e7h4 f2g1 e8c8 d2e4 e3d5 d6c7 d5c7 e4d6 c8b8 d6f7 c6d4 f7d8 d4f3 g2f3 g7d4 c3d4 h8g8 g1h1 h4f2 c1c7 b8c7 a1c1 d7c6 d8e6 c7c8
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Von Hanneken, H.","Kohtz, Johannes",1/2-1/2,,,C66,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4 e1g1 f8e7 c4d5 d7d6 d5c6 b7c6 f3d4 c8d7 b1c3 e8g8 f2f4 f6e8 f4f5 e7f6 c1e3 c6c5 d4e2 d7c6 d1e1 a8b8 b2b3 d8e7 e2g3 f6c3 e1c3 c6e4 a1e1 b8b5 a2a4 b5b4 f1f4 e8f6 c3b2 d6d5 e3d2 b4b8 g3e4 f6e4 f4g4 e7f6 b2f6 e4f6 g4g3 f8e8 e1e8 b8e8 d2h6 g7g6 f5g6 f7g6 h6g5 f6e4 g3e3 e8f8 g5e7 f8f7 e7d8 g6g5 c2c4 e4d2 h2h3 d5d4 e3e8 g8g7 d8g5 d2b3 e8b8 b3a5 b8b5 a5c4 b5c5 c4d6 c5d5 f7f5 d5f5 d6f5 g1f2 g7f7 f2e2 f7e6 g5f4 c7c5 a4a5 a7a6 g2g4 f5e7 h3h4 e7c6 f4c7 e6d7 c7b6 c6e5 b6c5 d4d3 e2e3 d7c6 c5d4 e5g4 e3d3 c6b5 d4c3 h7h5 d3e4 b5c4 c3e1 g4h2 e4f4 c4b3 e1g3 h2f1 g3f2 f1d2 f2e3 d2c4 e3b6 b3a4 f4g5 c4d6 b6c7 d6b5 c7d8 b5d6 g5h5 d6f5 h5g5 f5h4 g5h4 a4b5
Duesseldorf HT,Duesseldorf,1862.??.??,?,"Hipp, X.","Lichtenscheidt, Richard",1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 d4c3 d1b3 d8f6 c1g5 f6g6 b1c3 a5c3 b3c3 f7f6 g5h4 d7d6 c4d5 g8e7 f1e1 c8d7 a1b1 b7b6 f3d4 e7d5 e4d5 c6e7 c3c7 a8c8 c7d6 g6f7 f2f4 c8d8 d6b4 e8g8 e1e7
