Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
It,Enghien les Bains FRA,2003.06.13,1,"Lautier,J","Fressinet,L",1/2-1/2,2666,2595,D48,d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 g8f6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e1g1 a7a6 e3e4 c6c5 d4d5 d8c7 d5e6 f7e6 d3c2 c7c6 c1f4 a8d8 d1e2 f8e7 e4e5 f6d5 c3d5 c6d5 f1d1 d5c6 f4g5 d7b6 d1d8 e7d8 g5d8 e8d8 a1d1 b6d5 f3g5 d8c7 e2g4 c7b6 c2h7 c6e8 h7e4 e8h5 g4h5 h8h5 g5f7 b6c7 d1e1 b7c6 g2g3 d5e7 f2f4 c6e4 e1e4 e7d5 g1g2 h5f5 f7g5 c7d7 e4e2 c5c4 g2f3 f5f8 e2d2 d7e7 f3e4 f8d8 e4f3 b5b4 g5e4 c4c3 b2c3 b4c3 d2c2 d8c8 f3e2 c8c7 a2a3 c7c8 c2c1 c8c4 e2d3 c4a4 e4c3 a4a3 d3d4 d5b4 c1b1 a6a5 d4c4 e7f7 b1d1 f7e7 d1d6 b4c2 c3b5 c2e3 c4c5 a3a1 d6a6 a1c1 c5d4 e3f5 d4e4 c1b1 a6a7 e7f8 a7a5 b1b3 a5a8 f8e7 a8a7 e7f8
It,Enghien les Bains FRA,2003.06.13,1,"Bauer,Ch","Radjabov,T",1/2-1/2,2582,2644,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 b5a3 c8g4 d1d3 f8e7 c1g5 e8g8 a3c4 c6b4 d3d2 a8c8 a2a3 b4c6 g5f6 e7f6 d2d6 c6d4 d6d8 f6d8 c4e3 d8a5 e1d2 f8d8 f1d3 g4e2 a1b1 e2d3 c2d3 d4b3 d2c2 b3d4
It,Enghien les Bains FRA,2003.06.13,1,"Korchnoi,V","Gelfand,B",0-1,2632,2700,E21,g1f3 g8f6 c2c4 b7b6 b1c3 c8b7 d2d4 e7e6 g2g3 f8b4 c1d2 c7c5 f1g2 c5d4 c3b5 b4e7 b5d4 e8g8 e1g1 b8a6 a1c1 a6c5 d2f4 a7a6 f3e1 b7g2 e1g2 a8c8 b2b4 c5b7 d1a4 b7d6 a4b3 f6h5 f4d6 e7d6 f1d1 d8c7 b3a4 h5f6 a2a3 d6e7 a4a6 c8a8 a6b5 a8a3 f2f3 f8c8 g1f2 e7f8 g2e3 g7g6 c1a1 a3a1 d1a1 f8h6 d4c2 f6e8 a1a6 e8d6 b5b6 d6c4 b6c7 c8c7 b4b5 c4e3 c2e3 c7b7 a6a5 h6f8 e3c2 f8d6 f2e3 d6c7 a5a8 g8g7 c2a3 c7d6 e3d3
It,Enghien les Bains FRA,2003.06.13,1,"Polgar,Ju","Adams,Mi",1/2-1/2,2715,2723,C89,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 d2d3 e7d6 e5e1 c8f5 b1d2 d5f4 d2e4 f4d3 d1f3 f5g6 e1e2 d6c7 c1g5 g6e4 e2e4 d8g5 f3d3 a8d8 d3f3 c6c5 h2h4 g5h6 a1d1 c5c4 b3c2 d8d2 d1d2 h6d2 f3e2 d2e2
It,Enghien les Bains FRA,2003.06.13,1,"Akopian,Vl","Bareev,E",0-1,2703,2734,B19,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 e7e6 c1f4 g8f6 e1c1 f8e7 g3e4 f6e4 d3e4 d7f6 e4d3 d8a5 c1b1 e8g8 f3e5 a8d8 d3g3 g8h8 c2c4 f6d7 d1d3 e7f6 d3a3 a5b6 g3e3 c6c5 d4c5 d7c5 f4h6 f6e5 e3e5 f7f6 e5e3 d8d7 h6f4 e6e5 h5h6 g7g6 f4g3 f8d8 h6h7 d7d2 g3e5 b6e6 e5f6 e6f6 e3c3 f6c3 a3c3 d2f2 c3c2 d8d2
It,Enghien les Bains FRA,2003.06.14,2,"Adams,Mi","Lautier,J",1-0,2723,2666,B47,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 g2g3 a7a6 f1g2 d7d6 e1g1 c8d7 f1e1 f8e7 d4c6 d7c6 d1g4 h7h5 g4e2 h5h4 a2a4 h4g3 h2g3 g8f6 a4a5 a8c8 c1e3 e8f8 e3b6 c7b8 c3a4 c6b5 e2d2 f6d7 b6e3 e7f6 c2c3 d7e5 a4b6 c8d8 e3d4 b8c7 b2b3 b5c6 a1d1 c7e7 c3c4 g7g5 d2c3 e5g4 b6d5 c6d5 e4d5 e6e5 d4b6 d8e8 c4c5 f8g7 c3b4 g4h2 c5c6 g5g4 e1e4 h8h6 e4g4 h2g4 b4g4 h6g6 g4e4 f6g5 e4f5 b7c6 d5c6 e5e4 d1e1 g6e6 c6c7 e4e3 f2f4 g5f6 g2d5 f6c3 e1e2 c3d2 e2h2 d2c3 h2h7 g7g8 h7f7 e3e2 f5h7
It,Enghien les Bains FRA,2003.06.14,2,"Fressinet,L","Bauer,Ch",1-0,2595,2582,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8c5 f3e5 c6e5 d2d4 a7a6 b5e2 e5c6 d4c5 f6e4 c1e3 d8e7 f1e1 e4c5 e2a6 e8g8 a6f1 e7e5 b1c3 c5e6 d1d2 d7d6 f2f4 e5a5 a2a3 c8d7 f1b5 a8e8 b2b4 a5a8 f4f5 e6d8 c3d5 e8e5 f5f6 d8e6 f6g7 f8d8 e3h6 a8a7 g1h1 e5d5 d2d5 c6e7 d5h5 d7b5 h5b5 a7d4 h6g5
It,Enghien les Bains FRA,2003.06.14,2,"Radjabov,T","Korchnoi,V",1/2-1/2,2644,2632,D94,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 e7e6 d1c2 b8d7 e3e4 d5e4 c3e4 f6e4 c2e4 c6c5 c1e3 c5d4 e3d4 g7d4 f3d4 d8b6 a1b1 e6e5 d4b5 d7f6 e4h4 a7a6 b5c3 c8f5 c4c5 b6c6 b1d1 a8d8 b2b4 g8g7 h4g3 c6e6 g3e3 f8e8 h2h3 h7h5 f1e1 e5e4 b4b5 a6b5 c3b5 d8d1 e1d1 e6a2 b5d6 e8e5 e2c4 a2c2 d1c1 c2b2 c4f7 f5e6 f7e6 e5e6 c1d1 b2c2 e3d4 c2b3 c5c6 b7c6 d4a7 g7h8 d6f7 h8g8 f7h6 g8h8 h6f7 h8g8 f7h6
It,Enghien les Bains FRA,2003.06.14,2,"Bareev,E","Gelfand,B",1/2-1/2,2734,2700,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 d7d6 f2f3 d6d5 c1g5 b8d7 e2e3 f8e8 g1e2 b7b6 c4d5 e6d5 e2g3 c8b7 f1d3 h7h6 g5f4 a8c8 e1g1 d7f8 f4e5 f6d7 g3f5 d7e5 d4e5 f8e6 d3b5 e8f8 a1d1 d8g5 g2g4 d5d4 f5d4 e6d4 e3d4 f8d8 b5c4 b7d5 c4a6 c8b8 a6e2 c7c5 f3f4 g5h4 c3e3 d5a8 d4c5 b6c5 f4f5 b8b2 d1d8 h4d8 e5e6 d8d4 e3d4 c5d4
It,Enghien les Bains FRA,2003.06.14,2,"Akopian,Vl","Polgar,Ju",0-1,2703,2715,A30,g1f3 g8f6 c2c4 b7b6 g2g3 c7c5 f1g2 c8b7 e1g1 g7g6 b1c3 f8g7 d2d4 c5d4 d1d4 d7d6 c1e3 b8d7 a1c1 a7a6 d4d2 f6e4 c3e4 b7e4 g2h3 a8b8 e3h6 e8g8 h6g7 g8g7 h3d7 e4f3 e2f3 d8d7 f1e1 b8b7 e1e4 d7c6 c1e1 e7e5 f3f4 f7f6 b2b3 f8f7 a2a4 b7d7 d2d5 c6d5 c4d5 a6a5 b3b4 d7c7 e1b1 f6f5 e4e1 e5f4 b4a5 b6a5 b1b5 f4f3 b5a5 f7e7 e1f1 e7e5 a5b5 c7c4 a4a5 c4a4 h2h4 a4a2 g1h2 g7f6 g3g4 f5g4 h2g3 h7h5 f1c1 g6g5 c1c6 e5e1 c6d6 f6f5 d6f6 f5f6 h4g5 f6g6
It,Enghien les Bains FRA,2003.06.15,3,"Gelfand,B","Radjabov,T",0-1,2700,2644,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 e1g1 f8g7 f1e1 e7e5 b5c6 d7c6 d2d3 d8e7 b1d2 g8f6 d2c4 f6d7 c1d2 e8g8 a2a3 b7b6 d2c3 a7a5 a3a4 c8a6 b2b3 a6c4 b3c4 e7d6 a1b1 a8e8 g2g3 d6e6 g1g2 e8e7 h2h4 f7f5 d1e2 f5f4 f3g5 e6d6 e1h1 h7h6 g5f3 d6e6 h1h3 e7f7 b1e1 d7f6 g3f4 f6h5 c3d2 f7f4 f3g1 g7f6 g2h1 f6h4 d2f4 h5f4 h3h4 f4e2 e1e2 g8g7 h4h2 e6d7 e2e3 b6b5 c4b5 c6b5 a4b5 d7b5 c2c4 b5b1
It,Enghien les Bains FRA,2003.06.15,3,"Korchnoi,V","Fressinet,L",0-1,2632,2595,D30,c2c4 e7e6 g1f3 d7d5 d2d4 g8f6 c1g5 c7c6 b1d2 h7h6 g5f6 d8f6 a2a3 b8d7 e2e4 d5e4 d2e4 f6f4 f1d3 f8e7 e1g1 e8g8 f1e1 b7b6 d4d5 c6d5 c4d5 c8b7 d5d6 e7d8 d1a4 d7e5 f3e5 f4e5 a4d7 a8b8 e4c3 e5a5 d3e4 b7c8 d7c6 c8b7 c6c4 d8f6 e4b7 b8b7 e1e2 f6c3 b2c3 f8d8 e2d2 b7d7 c4c6 a5a6 g2g3 a6c8 c6c8 d8c8 d2d3 c8c5 a1d1 f7f6 f2f4 c5a5 d3d4 g8f7 a3a4 a5c5 d4d3 e6e5 f4f5 c5a5 d1a1 e5e4
