Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Frankfurt MT,Frankfurt,1878.??.??,1,"Wemmers, Carl","Von Minckwitz, Johannes",0-1,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 b4b5 c6a5 c4e2 d7d6 e1g1 g8f6 b1c3 e8g8 d2d4 e5d4 f3d4 d8e8 d1d3 e8e5 d4f3 e5h5 c1g5 h5g6 g5f6 g6f6 c3d5 f6h6 f3d4 c8e6 d4f5 e6f5 e4f5 f8e8 f5f6 g7f6 d3f3 g8g7 e2d3 e8e5 d5b6 a7b6 f3g4 e5g5 g4d7 g5h5 h2h3 h5c5 a1e1 f6f5 d3f5 h6f6 f5d3 a8d8 d7g4 g7h8 e1e3 c5g5 g4e4 g5g7 e3g3 d6d5 e4e2 c7c6 g3g7 f6g7 f1e1 c6b5 d3b5 a5c6 e2h5 g7g6 h5f3 c6d4 f3c3 g6g7 c3d3 d4e6 d3e3 d8g8 g2g3 g7d4 b5d3 d4e3 e1e3 h8g7 e3e5 g8d8 f2f4 h7h6 g1f2 d8d6 f2e3 f7f6 e5h5 d6d8 h5h4 d8h8 c2c4 d5d4 e3d2 h8a8 h4g4 g7f7 d3g6 f7e7 g6b1 a8a3 h3h4 h6h5 g4g8 e6c5 g8g7 e7e6 f4f5 e6d6 g7g6 d6e5 g3g4 h5g4 g6g4 a3h3 g4g2 d4d3 d2c1 h3h4 c1d2 h4h3
Frankfurt MT,Frankfurt,1878.??.??,1,"Schwarz, Adolf","Fritz, Alexander",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 b1c3 d7d6 d2d3 c8g4 c1e3 d8e7 h2h3 g4h5 c4b5 c5b6 c3d5 e7d7 e3g5 e8c8 g5f6 h5f3 d1f3 g7f6 f3f6 d8e8 d5b6 a7b6 f6h4 e8g8 f2f4 g8g7 f1f2 h8g8 a1f1 e5f4 b5c6 b7c6 g1h2 d7e6 h4f4 e6a2 c2c3 c8b7 d3d4 h7h5 f1e1 a2e6 f4f5 e6h6 d4d5 h6g5 f5g5 g7g5 d5c6 b7c6 e1e3 h5h4 e3f3 g8g7 f3f4 g5e5 f4h4 c6c5 h4f4 c5c4 f4f7 e5e7 f7g7 e7g7 g2g4
Frankfurt MT,Frankfurt,1878.??.??,1,"Paulsen, Wilfried","Anderssen, Adolf",1-0,,,A00,e2e3 c7c5 c2c4 e7e6 b1c3 f7f5 g2g3 g8f6 f1g2 f8e7 g1e2 e8g8 e1g1 a7a6 d2d4 d8c7 d4d5 e6e5 b2b3 d7d6 d1c2 g7g6 e3e4 f8f7 c1d2 f5e4 c3e4 f6e4 g2e4 c8h3 e4g2 h3g2 g1g2 b8d7 e2c3 d7f6 f2f4 e5f4 f1f4 e7f8 a1f1 f8g7 c3e4 c7e7 e4g5 f7f8 g5e6 f6h5 f4f8 g7f8 d2g5 e7d7 c2f2 f8g7 g3g4 a8f8 f2f8 g7f8 f1f8
Frankfurt MT,Frankfurt,1878.??.??,1,"Paulsen, Louis","Stern, Adolf",1-0,,,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 b8c6 f1e2 c5d4 c3d4 f8b4 b1c3 g8e7 e1g1 e7f5 c3a4 b6d8 a2a3 b4e7 b2b4 a7a6 c1b2 c8d7 a1c1 b7b5 a4c5 h7h5 e2d3 e7c5 c1c5 f5h4 f3h4 d8h4 f2f4 e8e7 f4f5 a8c8 g2g3 h4h3 f1f4
Frankfurt MT,Frankfurt,1878.??.??,1,"Hammacher, Eduard","Metger, Johannes",0-1,,,C49,e2e4 e7e5 b1c3 b8c6 g1f3 f8b4 f1b5 g8f6 c3d5 b4c5 d2d3 h7h6 e1g1 d7d6 f3e1 e8g8 b5c6 b7c6 d5e3 d6d5 e4d5 c6d5 g1h1 d8e7 d1e2 c7c6 c2c3 a7a5 f2f4 e5f4 f1f4 f8e8 d3d4 c5d6 f4h4 g7g5 h4h6 g8g7 h6f6 e7f6 e2f3 f6h6 h2h3 h6h4 e1d3 g5g4 f3f2 d6g3 e3f5 c8f5 f2f5 g4h3 f5h3 e8h8 h3h4 h8h4 h1g1 a8h8 g1f1 h8e8 d3f2 h4h1 f2h1 e8e1
Frankfurt MT,Frankfurt,1878.??.??,2,"Fritz, Alexander","Von Minckwitz, Johannes",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 a4c6 b7c6 h2h3 g7g6 c1e3 f8g7 d1d2 e8g8 b1c3 c8e6 c3e2 c6c5 b2b3 a6a5 e3h6 a5a4 b3a4 a8a4 h6g7 g8g7 c2c4 f6d7 g2g4 c7c6 e2c3 a4a3 e1e2 d8a8 f3h4 d6d5 c4d5 c6d5 h4f5 g7h8 e4d5 e6d5 c3d5 a8d5 f5e3 d5e6 d2b2 f8a8 e3c4 a3a6 h1b1 h8g8 f2f3 d7f6 e2f2 f6d5 f2g3 f7f6 a2a3 d5f4 b2c2 a8d8 b1b3 e6d5 c4e3 d5c6 a1b1 h7h5 c2c4 g8h8 b3b7 h5h4 g3f2 f4d3 f2e2 d3f4 e2f2 f4h3 f2e2 h3f4 e2f2 d8d2 f2e1 d2e2 c4e2 f4e2 e1e2 a6a3 g4g5 a3a2 e2e1 a2a8 e3g4 f6g5 e1f2 a8f8 g4e5 c6e6 e5d7 f8e8 d7b8 e6e2 f2g1 e2e3 g1g2 e3d2
Frankfurt MT,Frankfurt,1878.??.??,2,"Stern, Adolf","Hammacher, Eduard",1-0,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 f8c5 c2c3 d7d6 d3d4 b7b5 a4b5 a6b5 d4c5 d6c5 d1d8 c6d8 f3e5 f6e4 f2f3 e4d6 e5d3 d8e6 c1e3 c5c4 d3c5 e8g8 b1a3 f8e8 e1f2 c7c6 a3c2 d6f5 c5e6 c8e6 e3c5 a8d8 a1d1 d8d5 d1d5 e6d5 c2b4 f7f6 h1d1 f5e7 c5e7 e8e7 b4d5 c6d5 d1d5 e7b7 f2e3 g8f7 d5h5 b5b4 e3d4 b4c3 d4c3 b7a7 a2a3 a7b7 h5h4 b7b3 c3c2 b3e3 h4e4
Frankfurt MT,Frankfurt,1878.??.??,2,"Anderssen, Adolf","Metger, Johannes",1-0,,,C14,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1d2 a7a6 c3d1 c7c5 c2c3 b8c6 f2f4 c5d4 c3d4 e7b4 d2b4 c6b4 d1e3 d7b6 g1f3 c8d7 a2a3 b4c6 f1d3 a8c8 e1g1 e8g8 f4f5 e6f5 d3f5 d7e6 a1d1 h7h6 f5b1 c6a5 e3f5 e6f5 b1f5 c8c6 d1e1 g7g6 f5h3 a5c4 f1f2 f7f5 e5f6 c6f6 e1e7 c4d6 h3e6 g8h8 f3e5 d6f5 e6f5 g6f5 e7b7 f8c8 g2g4 f5f4 h2h4 c8c1 g1h2 b6c4 g4g5 h6g5 h4g5 f6b6 b7b6 c4b6 f2f4 c1c2 h2g3 c2b2 g5g6 b6c4 f4f8 h8g7 f8f7
Frankfurt MT,Frankfurt,1878.??.??,2,"Paulsen, Louis","Paulsen, Wilfried",1-0,,,D26,d2d4 d7d5 e2e3 e7e6 g1f3 g8f6 c2c4 d5c4 f1c4 f8e7 e1g1 e8g8 b1c3 b7b6 f1e1 c8b7 e3e4 b8d7 c4b3 h7h6 b3c2 f8e8 d1d3 d7f8 c1d2 a7a5 a1d1 f8g6 d2c1 b7a6 d3d2 f6h5 a2a3 h5f4 g2g3 f4h5 e4e5 a6b7 d2e3 e8f8 c2e4 b7e4 e3e4 d8e8 e4g4 f7f5 e5f6 h5f6 g4e6 e8f7 e6f7 f8f7 f3e5 g6e5 d4e5 f6g4 f2f4 e7c5 g1g2 h6h5 c3e4 c5f8 h2h3 g4h6 e5e6 f7e7 e4c3 c7c6 e1e4 g7g6 c1e3 h6f5 e3b6 e7b7 c3a4 c6c5 d1d7 b7b8 g3g4 h5g4 h3g4 f5d6 e4e2 d6c4 b6c7 b8e8 e6e7 f8g7 d7d8 g8f7 d8a8 e8a8 c7d8 f7e8 a4c5 g7b2 c5e6 a8c8 e2b2 c4b2 e6g7
Frankfurt MT,Frankfurt,1878.??.??,2,"Schwarz, Adolf","Wemmers, Carl",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 b1c3 d7d6 d2d3 c8g4 c1e3 c5b6 g1h1 h7h6 c3e2 g4f3 g2f3 g7g5 e2g3 d8d7 c4b5 d7h3 f1g1 e8c8 b5c6 b7c6 a2a4 d6d5 a4a5 b6e3 f2e3 d5e4 f3e4 h3e6 d1f3 f6e8 g1f1 e8d6 g3f5 d6f5 f3f5 h8f8 f1f2 e6f5 f2f5 f7f6 a1f1 d8d6 f5e5 f6e5 f1f8 c8d7 f8f7 d7d8 h1g2 c6c5 f7f5 d6e6 g2f3 d8e7 c2c3 a7a6 d3d4 c5d4 e3d4 e5d4 c3d4 e6c6 f3e3 c6c2 f5f2 c2c4 e3d3 c4b4 d3c3 b4b5 b2b4 g5g4 d4d5 b5b8 f2f5 b8g8 c3c4 g4g3 h2g3 g8g3 f5e5 e7f7 e5e6 h6h5 e6c6 h5h4 c6c7 f7f6 c7c6 f6g7 c4d4 g3b3 d4e5 h4h3 c6c7 g7g6 c7c2 b3b4 d5d6 g6f7 c2c7 f7e8 c7h7
