Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Gjovik,Gjovik,1983.??.??,?,"Helmers, Knut J","Miles, Anthony J",0-1,2465,2585,A30,g1f3 c7c5 c2c4 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 b8c6 d2d4 c8f5 e1g1 d5b4 d1a4 d8a5 a4a5 c6a5 b1a3 e7e6 c1e3 b4d5 e3d2 a5c6 a1c1 c5d4 a3b5 d4d3 f3d4 d3e2 f1e1 f5d3 d4c6 b7c6 b5d4 a8b8 b2b3 f8a3 c1c6 e8d7 g2d5 e6d5 c6c3 d3a6 c3c6 b8b6 c6b6 a7b6 d4e2 h8e8 e2d4 e8e1 d2e1 a3b2 d4c2 d5d4 e1d2 d7d6 f2f3 a6d3 c2b4 d3b1 g1f2 b2a3 f2e2 g7g6 g3g4 d6c5 b4d3 c5d5 d3b4 a3b4 d2b4 b1a2 g4g5 a2b3 e2d2 d5e5 b4e7 b3c4 e7f6 e5d5 f6d8 b6b5 d8e7 d5e5
Gjovik,Gjovik,1983.??.??,?,"Helmers, Knut J","Ogaard, Leif",1/2-1/2,2465,2485,E17,g1f3 g8f6 c2c4 e7e6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 e8g8 d4d5 e6d5 f3h4 c7c6 c4d5 c6d5 b1c3 b8a6 h4f5 a6c7 c1f4 e7c5 a1c1 b7c6 c3a4 d7d6 b2b4 d8d7 a4c5 d6c5 b4c5 d7f5 f4c7
Gjovik,Gjovik,1983.??.??,?,"Helmers, Knut J","Browne, Walter S",1/2-1/2,2465,2560,A14,g1f3 c7c5 c2c4 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 e7e6 b2b3 f8e7 c1b2 e8g8 b1c3 d7d5 c4d5 f6d5 c3d5 b7d5 a1c1 b8d7 d2d4 a8c8 d1d3 c5d4 d3d4 e7f6 c1c8 d8c8 d4d2 h7h6 f1c1 c8b7 b2f6 d7f6 f3e1 d5g2 e1g2 f8c8 f2f3 c8c1 d2c1 b7d7 g2e3 d7d4 g1g2 g7g5 a2a3 b6b5 b3b4 a7a6 e3f1 f6d5 c1d2 d4e5 g2f2 g8g7 f1e3 d5e3 d2e3 e5b2
Gjovik,Gjovik,1983.??.??,?,"Helmers, Knut J","Agdestein, Simen",0-1,2465,2400,B46,g1f3 c7c5 e2e4 e7e6 d2d4 c5d4 f3d4 a7a6 b1c3 b8c6 f1e2 g8e7 e1g1 c6d4 d1d4 e7c6 d4d3 d8c7 c1e3 f8e7 d3d2 a8b8 a1d1 d7d6 e3f4 c6e5 f4g5 e7g5 d2g5 e8g8 g5d2 f8d8 f2f4 e5g6 g1h1 g6e7 e2d3 f7f6 d2e2 b7b5 e2h5 c7c6 e4e5 f6f5 e5d6 e7g6 h5f3 c6f3 f1f3 c8b7 f3f2 d8d6 h1g1 b8d8 d1e1 g8f7 a2a3 f7f6 g2g3 g6e7 f2e2 e7c6 e2e3 h7h6 g1f2 g7g5 c3e2 c6e7 e2c3 e7g6 c3e2 e6e5
Gjovik,Gjovik,1983.??.??,?,"Helmers, Knut J","Karlsson, Lars",1/2-1/2,2465,2505,A46,d2d4 g8f6 g1f3 e7e6 g2g3 b7b5 f1g2 c8b7 c1g5 c7c5 c2c3 d8b6 e1g1 f8e7 a2a4 b5a4 b1d2 c5d4 d2c4 b6c7 d1d4 d7d5 c4e5 e8g8 d4a4 h7h6 g5f4 e7d6 e5d3 b8d7 f4d6
Gjovik,Gjovik,1983.??.??,?,"Ftacnik, Lubomir","Nunn, John DM",0-1,2535,2590,E94,g1f3 g7g6 d2d4 f8g7 c2c4 g8f6 b1c3 e8g8 e2e4 d7d6 f1e2 b8d7 e1g1 e7e5 d1c2 c7c6 f1d1 e5d4 f3d4 d8e7 c1g5 d7c5 f2f3 f8e8 b2b4 c5e6 d4e6 c8e6 c2d2 e7c7 a1b1 f6d7 c3d5 c6d5 c4d5 e6g4 h2h3 g4f3 g2f3 d7e5 g1g2 f7f5 b1c1 c7f7 g5e3 f5e4 f3e4 f7e7 e3g5 g7f6 g5f4 e5f7 e2d3 f6g5 d1e1 g5f4 d2f4 f7e5 d3e2 a8c8 c1c8 e8c8 e1c1 c8c1 f4c1 g8g7 c1e3 e7h4 a2a4 h4e1 b4b5 g7g8 g2h2 b7b6 h2g2 h7h6 g2h2 g6g5 h2g2 e5g6 e4e5 g6f4 g2f3 e1e2 e3e2 f4e2 e5d6 e2d4
Gjovik,Gjovik,1983.??.??,?,"Ftacnik, Lubomir","Karlsson, Lars",1-0,2535,2505,E91,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 a7a6 e1g1 c7c6 f1e1 f6d7 c1e3 b7b5 d1d2 b5c4 e2c4 d7b6 c4b3 a6a5 c3a4 c8g4 f3g5 b6a4 b3a4 g4d7 e4e5 d6e5 d4e5 g7e5 a1d1 d8c7 g5f3 d7g4 f3e5 g4d1 a4d1 c7e5 e3h6 e5d6 d2c3 d6f6 e1e7 f6c3 b2c3 b8a6 d1b3 a6c5 b3c4 f8d8 c4f7 g8h8 g2g3 d8d7 h6e3 h7h5 e3c5 d7e7 c5e7 h8g7 f7c4 a8e8 e7c5 e8e1
Gjovik,Gjovik,1983.??.??,?,"Ftacnik, Lubomir","Spassky, Boris V",1/2-1/2,2535,2605,D56,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 c1g5 f8e7 b1c3 h7h6 g5h4 e8g8 a1c1 f6e4 h4e7 d8e7 e2e3 e4c3 c1c3 c7c6 f1e2 d5c4 e2c4 b8d7 e1g1 b7b6 c4d3 c6c5 d3b5 f8d8 b5c6 c8a6 c6a8 a6f1 d1f1 d8a8 f1a6 e6e5 a6b7 a8e8 d4c5 d7c5 b7e7 e8e7 b2b4 c5e4 c3c8 g8h7 g2g4 e4f6 h2h3 g7g6 g1f1 h7g7 f1e2 f6e4 c8c4
Gjovik,Gjovik,1983.??.??,?,"Ftacnik, Lubomir","Adorjan, Andras",1/2-1/2,2535,2535,A30,g1f3 c7c5 c2c4 g8f6 b1c3 b7b6 g2g3 c8b7 f1g2 g7g6 e1g1 f8g7 d2d4 c5d4 f3d4 b7g2 g1g2 e8g8 e2e4 d8c7 c1e3 c7c4 a1c1 b8c6 c3b5 c4a2 c1a1 a2c4 a1c1 c4a2 c1a1 a2b2 a1b1 b2a2 b1a1 a2c4 a1c1 c4a2 c1a1 a2c4 a1c1
Gjovik,Gjovik,1983.??.??,?,"Browne, Walter S","Spassky, Boris V",1/2-1/2,2560,2605,E80,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 c7c6 c1e3 a7a6 c4c5 b7b5 c5b6 d8b6 d1d2 b8d7 a1c1 b6a5 f1d3 e8g8 g1e2 c6c5 e1g1 c8b7 f1d1 f8c8 b2b3 c5d4 e2d4
Gjovik,Gjovik,1983.??.??,?,"Ftacnik, Lubomir","Helmers, Knut J",1/2-1/2,2535,2465,B40,g1f3 c7c5 e2e4 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 f8b4 e4e5 f6d5 d1g4 e8g8 c1d2 d5c3 b2c3 b4e7 d2h6 g7g6 h6f8 e7f8 f1d3 d7d6 g4g3 d8a5 e1g1 d6e5 d4f3 b8d7 a1d1 a5c3 f3g5 c3c7 g3h4 d7f6 f2f4 e5e4 g5e4 f6e4 d3e4 c8d7 f1f3 d7c6 e4c6 c7c6 f3d3 c6c2 d3d7 c2a2 h4f6 f8c5 g1h1 a8f8 h2h4 h7h5 d7b7 a2c2 d1d8
Gjovik,Gjovik,1983.??.??,?,"Browne, Walter S","Ftacnik, Lubomir",1-0,2560,2535,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 c1e3 d8a5 d1d2 b8c6 a1b1 a7a6 b1c1 c5d4 c3d4 a5d2 e1d2 f7f5 f1d3 e8g8 d4d5 c6e5 f3e5 g7e5 f2f4 e5b2 c1c7 f5e4 d3c4 f8d8 c7e7 b2f6 d5d6 g8h8 e3c5 c8f5 c4e6 h7h6 e7f7 f5e6 f7f6 e6a2 f6g6 h8h7 f4f5 a2f7 g6f6 f7d5 c5e3 h6h5 h1c1 d5c6 c1c5 d8d7 f6h6 h7g7 c5e5 a8f8 e5e7 f8f7 h6g6 g7h7 g6h6 h7g8 e7e8 g8g7 h6g6 g7h7 e3d4 f7f5 g6g3 h7h6 e8h8
Gjovik,Gjovik,1983.??.??,?,"Browne, Walter S","Agdestein, Simen",1-0,2560,2400,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2 e8g8 a2a3 b4d2 d1d2 d8e7 e2e3 d7d6 b2b4 e6e5 d4e5 d6e5 c1b2 b8d7 d2c3 f8e8 c4c5 e5e4 f3d2 d7e5 d2c4 e5g6 f1e2 c8e6 a1d1 a8d8 e1g1 d8d5 d1d5 e6d5 f1d1 e7e6 b4b5 e6f5 b5b6 d5c4 c3c4 f6g4 e2g4 f5g4 c4a4 c7c6 h2h3 g4h5 b6a7 g6f8 d1b1 e8a8 b2d4 h5f5 b1b7 f5c8 a4b3 f8d7 a3a4
