Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
The Hague,The Hague,1921.??.??,1,"Yates, Frederick","Marco, Georg",0-1,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 b8d7 f1c4 c7c6 b1c3 f8e7 e1g1 h7h6 c1e3 g8f6 c4b3 d8c7 f3d2 g7g5 a2a4 d7f8 a4a5 f8g6 f1e1 g6f4 f2f3 h8g8 d2f1 c8e6 f1g3 c7d7 d4d5 e6h3 g2h3 d7h3 d1d2 f6h5 d2f2 g5g4 g1h1 g4f3 e1g1 e7h4 e3f4 e5f4 g3h5 h4f2 g1g8 e8e7 h5f4 h3h4 g8g7 e7f8 g7f7 f8f7 d5c6 f7g7 f4e6 g7h8 c3d5 b7c6
The Hague,The Hague,1921.??.??,1,"Euwe, Max","Kostic, Boris",1/2-1/2,,,B03,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3 c8f5 g1f3 e7e6 f1d3 f5d3 d1d3 d8d7 b1d2 c6b4 d3e4 d7c6 e4c6 b4c6 e1g1 f8b4 a1c1 b4d2 f3d2 a8d8 f1f4 c6e7 b2b3 b6d7 d2e4 e8g8 c1f1 c7c5 e4d6 c5d4 e3d4 e7c6 d6b7 d8b8 b7c5 c6d4 c5d7 d4e2 g1h1 e2f4 d7b8 f8d8 b8c6 d8d2 c6a7 d2a2 f1d1 g7g5 a7c6 a2g2 d1g1 g2g1 h1g1 g8f8 g1f2 f8e8 f2f3 e8d7 c6d4 f4d3 f3e4 d3f2 e4f3 f2d3 f3e4 d3f2 e4f3 f2d3 f3g4 d3e5 g4g5 f7f5 c4c5 h7h6 g5h6 e5g4 h6g5 g4h2 b3b4 h2g4 b4b5 g4e5 b5b6 e5c4 d4e6 c4b6
The Hague,The Hague,1921.??.??,1,"Tartakower, Saviely","Rubinstein, Akiba",1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 c1b2 d7d6 a2a4 a7a6 b4b5 a6b5 a4b5 a8a1 b2a1 c6d4 f3d4 e5d4 c2c3 g8f6 e1g1 e8g8 d2d3 d6d5 e4d5 f6d5 d1f3 d5f6 c3d4 b6d4 b1c3 f6g4 c3d5 d4a1 f1a1 g4e5 f3g3 f8e8 h2h3 c7c6 b5c6 b7c6 d5e3 g7g6 a1a8 h7h5 c4a6 h5h4 g3e5 e8e5 a8c8 d8c8 a6c8 e5a5 g1f1 a5a2 c8b7 a2d2 b7a6 g8g7 f1e1 d2b2 e3d1 b2b1 e1e2 f7f5 d3d4 g7f6 a6d3 b1b4 e2e3 g6g5 d3e2 b4b3 e3d2 b3b4 d2c3 b4a4 d1b2 a4a1 e2f3 g5g4 f3d1 f6g5 c3c2 g4h3 g2h3 g5f4 b2d3 f4e4 d3c5 e4f4 c2d2 a1a2 d2c3 a2a1 d1a4 a1a4 c5a4 f4f3 c3d2 f3f2 a4c5 f2g3
The Hague,The Hague,1921.??.??,1,"Mieses, Jacques","Maroczy, Geza",1/2-1/2,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 b1c3 g8f6 c1g5 f8e7 d1d2 e8g8 g2g3 c7c6 f1g2 f8e8 g1e2 c8f5 f2f3 f6d7 g5f4 d7b6 e1g1 b6c4 d2c1 e7d6 g3g4 d6f4 e2f4 f5d7 b2b3 c4e3 f1e1 e3g2 g1g2 b8a6 a2a3 d8h4 c3e2 e8e7 e2g3 a8e8 e1e7 h4e7 f4d3 f7f6 c1f4 e7e3 a1e1 e3f4 e1e8 d7e8 d3f4 e8d7 g2f2 g8f7 f2e3 a6c7
The Hague,The Hague,1921.??.??,1,"Alekhine, Alexander","Davidson, Jacques",1-0,,,D53,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 b8d7 e2e3 b7b6 c4d5 e6d5 d1a4 c8b7 f1a6 b7a6 a4a6 e8g8 e1g1 c7c5 d4c5 b6c5 f1d1 d8b6 a6d3 c5c4 d3c2 b6b7 a1b1 d7b6 a2a4 a8b8 a4a5 b6d7 c2f5 g7g6 f5h3 e7b4 a5a6 b7c6 g5f4 b8d8 b1a1 f8e8 f3d4 c6b6 c3a4 b6a6 f4c7 d8a8 a4b6 a6b7 b6a8 e8a8 c7f4 b4e7 a1a2 d7c5 f4g5 c5d3 h3h4 b7b6 d4e2 d3f2 g1f2 f6e4 h4e4 d5e4 g5e7 a8e8 e7h4 e8e5 e2c3 g8g7 h4g3 e5e6 d1d4 b6b3 d4d2 a7a6 a2a5 f7f6 a5c5 g6g5 h2h4 g5h4 g3h4 b3b4 c5c7 g7g6 h4g3 h7h5 f2e2 e6e8 c3d5 b4b5 d5f4
The Hague,The Hague,1921.??.??,2,"Kostic, Boris","Yates, Frederick",1-0,,,D64,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 b8d7 c1g5 f8e7 e2e3 e8g8 a1c1 c7c6 d1c2 f8e8 f1d3 d5c4 d3c4 f6d5 g5f4 d5f4 e3f4 d7f8 e1g1 b7b5 c4b3 a7a5 a2a4 c8a6 f1d1 d8b6 f4f5 a8b8 f5e6 f8e6 f3e5 a6c8 a4b5 c6b5 c3d5 b6d6 e5c6 e7g5 c6b8 g5c1 d1c1 c8b7 d5e3 e8b8 e3f5 d6f4 d4d5 e6d4 f5d4 f4d4 c2c7 b8e8 c7b7 d4b4 b7c8 g8f8 c8c3 b4c3 b2c3 a5a4 b3c2 e8c8 c2d1 f8e7 g1f1 e7d6 c1b1 d6c5 d1e2 c8b8 f1e1 a4a3 e1d2 c5d5 c3c4 d5c5 c4b5 a3a2 b1a1 b8a8 d2c3 a8a4 c3b3 a4f4 f2f3
The Hague,The Hague,1921.??.??,2,"Marco, Georg","Alekhine, Alexander",0-1,,,C70,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8e7 b1c3 g7g6 d2d4 f8g7 d4e5 c6e5 f3e5 g7e5 c1h6 c7c5 a4b3 b7b5 b3d5 a8a7 d1f3 e7d5 c3d5 d7d6 c2c3 f7f5 h6f4 e8g8 e1g1 a7d7 a1d1 c8b7 f1e1 f5e4 e1e4 d7f7 g2g3 f7f5 f3e2 b7d5 d1d5 d8a8 c3c4 e5f4 d5f5 g6f5 e4f4 f8e8 e2d2 e8e5 f4h4 a8d8 f2f4 e5e6 d2d5 d8f6 h4h5 f6d4 g1f1 d4d5 c4d5 e6f6 f1e2 g8g7 h5g5 g7f7 e2e3 h7h6 g5h5 f7g6 h5h4 h6h5 h2h3 f6f7 g3g4 f7h7 g4f5 g6f5 e3d3 f5g6 f4f5 g6f5 h4e4 h7g7
The Hague,The Hague,1921.??.??,2,"Maroczy, Geza","Euwe, Max",1/2-1/2,,,C48,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 c6d4 b5e2 d4f3 e2f3 f8c5 d2d3 d7d6 e1g1 c8e6 c1e3 c5b6 e3b6 a7b6 d3d4 e8g8 d4e5 d6e5 d1d8 f8d8 f1d1 g8f8 a2a3 f8e7 d1d8 a8d8 a1d1 d8d1 f3d1 c7c6 f2f3
The Hague,The Hague,1921.??.??,2,"Tartakower, Saviely","Mieses, Jacques",1/2-1/2,,,A82,d2d4 f7f5 e2e4 f5e4 f2f3 d7d5 c2c4 e7e6 b1c3 f8b4 d1c2 g8f6 c1g5 c7c5 c4d5 c5d4 c2a4 e8f7 d5e6 c8e6 a4b4 d4c3 b2c3 h8e8 f1b5 b8c6 b5c6 b7c6 g5f6 d8f6 g1e2 e4f3 e1g1 e6d5 e2d4 a7a5 b4c5 f7g8 d4f3 e8e2 a1e1 e2a2 c3c4 f6c3 e1e7 d5f3 f1f3 a2a1 g1f2 c3b2 e7e2 b2b7 e2e7 a1a2 f2g1 b7b1 f3f1 b1g6 g2g3 g6h6 h2h4 h6g6 c5e5 a8f8 f1f8 g8f8 e7b7 a2a1 e5a1 g6g3 g1f1 g3f3 f1g1 f3g3
The Hague,The Hague,1921.??.??,2,"Rubinstein, Akiba","Davidson, Jacques",1-0,,,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c3 b8c6 c1f4 g8f6 f1d3 d8b6 d1b3 b6b3 a2b3 e7e6 h2h3 f8e7 b1d2 e8g8 b3b4 b7b6 g1f3 c8d7 d3a6 d7c8 e1g1 c8a6 a1a6 f8c8 f1a1 g8f8 d2b3 e7d8 f3e5 f6h5 f4h2 c6e5 h2e5 d8c7 g2g3 c7e5 d4e5 f7f6 e5f6 h5f6 a6a7 a8a7 a1a7 e6e5 a7b7 c8c6 f2f4 d5d4 f4e5 d4c3 b2c3 c6c3 b3d4 c3g3 g1h2 f6h5 b7b8 f8f7 e5e6
The Hague,The Hague,1921.??.??,3,"Euwe, Max","Tartakower, Saviely",0-1,,,A83,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5 g7g6 f2f3 e4f3 g1f3 d7d5 f1d3 b8c6 e1g1 f8g7 d1d2 e8g8 a1e1 c6b4 f3e5 b4d3 d2d3 c8f5 f1f5 g6f5 d3f5 d8d6 c3b5 d6b6 f5d3 f6e4 e5d7 b6a5 e1e4 d5e4 d3c4 f8f7 b2b4 g7d4 b5d4 a5g5 h2h3 g5c1 g1h2 c1f4 h2g1 a8d8 c4d5 e7e6 d5e6 f4e3
The Hague,The Hague,1921.??.??,3,"Mieses, Jacques","Rubinstein, Akiba",0-1,,,B23,e2e4 c7c5 b1c3 e7e6 g2g3 d7d5 e4d5 e6d5 d2d4 c5d4 d1d4 g8f6 c1g5 f8e7 e1c1 b8c6 d4a4 c8e6 f1g2 e8g8 g1e2 d8b6 g5e3 e7c5 e3c5 b6c5 a4f4 a8c8 d1d2 b7b5 h1d1 f8d8 e2d4 b5b4 d4b3 c5c4 c3d5 e6d5 f4c4 d5c4 g2c6 d8d2 d1d2 g7g6 c6f3 h7h5 d2d4 c4b3 a2b3 a7a5 d4c4 c8e8 c4c5 e8e1 c1d2 e1f1 d2e3 f1a1 h2h3 g8g7 f3c6 a1a2 c2c4 a2b2 c6a4 b2f2 c5a5 f2h2 h3h4 h2g2 e3f3 g2c2 a5b5 f6g4 f3e4 c2d2 b5b7 g4f6 e4e3 d2g2 e3f3 g2d2 c4c5 d2c2 c5c6 c2c3 f3f4 c3c5 f4e3 c5c3 e3d4 f6e8 b7b4 c3g3 b4b7 g6g5 b7e7 e8d6 d4c5 g7f6 c5d6 g3d3 d6c5 f6e7 c6c7 d3c3
The Hague,The Hague,1921.??.??,3,"Yates, Frederick","Maroczy, Geza",0-1,,,D05,d2d4 d7d5 g1f3 e7e6 e2e3 g8f6 f1d3 c7c5 b2b3 b8c6 e1g1 f8d6 c1b2 e8g8 b1d2 d8e7 f3e5 c5d4 e3d4 d6a3 b2a3 e7a3 d2f3 c6b4 d1c1 a3a5 c1d2 a5b6 c2c4 b4d3 d2d3 d5c4 b3c4 b6c7 f1c1 c8d7 a1b1 d7c6 d3a3 f8d8 e5c6 b7c6 a3a6 c6c5 d4c5 c7c5 a6b5 f6e4 b5c5 e4c5 c1d1 f7f6 g1f1 d8d1 b1d1 a8b8 d1d2 g8f7 f1e2 b8b4 d2c2 e6e5 f3d2 f7e6 e2e3 f6f5 g2g3 b4a4 d2b1 a4b4 b1d2 b4a4 d2b1 a4b4 b1d2 g7g5 f2f3 a7a5 g3g4 f5f4 e3e2 e6d6 e2d1 d6c6 c2c3 a5a4 d1c2 b4b7 c3a3 h7h5 h2h3 h5g4 h3g4 b7h7 a3c3 h7h1 c2b2 h1d1 b2c2 d1g1 c3a3 g1g3 a3c3 g3g2 c2d1 e5e4 d2e4 c5e4 f3e4 c6c5 e4e5 c5d4 c3a3 d4e5 c4c5 g2g4 a3a4 g4g1 d1e2 g1c1 a4a5 e5e4 c5c6 f4f3 e2f2 c1c2 f2g3 c2g2 g3h3 g5g4 h3h4 f3f2 c6c7 f2f1q a5a4 e4e5 c7c8q f1f6
