Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Hastings3334,Hastings,1933.??.??,1,"Menchik, Vera","Milner Barry, Philip Stuart",1/2-1/2,,,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 d8e7 g2g3 b4d2 d1d2 d7d6 b1c3 e8g8 f1g2 b8d7 e1g1 d7b6 b2b3 e6e5 a1d1 f8e8 d4e5 d6e5 h2h3 c8d7 e2e4 a8d8 d2e3 d7c8 c3d5 f6d5 e4d5 e7a3 f1e1 f7f6 f3d2 f6f5 d2f3 b6d7 e3c3 a3d6 b3b4 b7b6 a2a3 h7h6 f3d2 e5e4 d2b3 d7e5 e1e3 c7c5 b4b5 e8e7 b3c1 d8f8 d1e1 f8e8 a3a4 d6f6 g1h1 g8f8 g2f1 f8g8 a4a5 c8d7 a5b6 a7b6 c1e2 e5d3 c3f6 g7f6 e1a1 d3f2 h1g1 f2d3 a1a7 e7g7 g1h2 e8b8 e2f4 d3f4 g3f4
Hastings3334,Hastings,1933.??.??,1,"Tylor, Theodore","Alekhine, Alexander",1/2-1/2,,,C42,e2e4 e7e5 g1f3 b8c6 b1c3 f8b4 c3d5 g8f6 f1c4 e8g8 e1g1 b4e7 d1e2 d7d6 c2c3 c6a5 d5e7 d8e7 c4d3 f6h5 d3c2 h5f4 e2b5 a5c6 d2d4 e7f6 c1f4 f6f4 f1e1 a7a6 b5c4 c8g4 e1e3 a8c8 a1d1 f8e8 h2h3 g4h5 g2g4 e5d4 c3d4 h5g6 f3h4 f4f6 h4g6 h7g6 c4c3 e8e7 c2a4 c6d8 e4e5 d6e5 d4e5 f6b6 a4d7 c8b8 a2a4 a6a5 d1d3 c7c6 g4g5 d8e6 d7e6 e7e6 d3d7 b8e8 e3e1 e6e7 d7e7 e8e7 e1d1 b6c7 f2f4 e7d7 d1d7 c7d7 g1f2 d7d5 b2b3 g8f8 f2g3 f8e7 b3b4 a5b4 c3b4 c6c5 b4b6 e7d7 b6b5 d7e6 h3h4 e6e7 a4a5 e7f8 a5a6 b7a6 b5b8 f8e7 b8c7 e7e8 c7c8 e8e7 c8c7 d5d7 c7c5 e7e8 g3f3 d7d3 f3f2
Hastings3334,Hastings,1933.??.??,1,"Michell, Reginald Pryce","Lilienthal, Andor",0-1,,,E23,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4c5 b3c2 f7f5 a2a3 b4c3 d2c3 e8g8 e2e3 c5e4 f1e2 b7b6 e1g1 c8b7 f1d1 d8e7 f3d2 e4c3 c2c3 d7d6 d2f3 f8f6 d1d2 f6g6 g2g3 c6d8 a1d1 d8f7 g1f1 g6h6 b2b4 a8c8 f1g1 b7a8 c3b3 e7b7 d2d6 f7d6 d1d6 b7c7 b3d1 a8d5 d6d5 e6d5 d1d5 c7f7 d5d3 h6f6 f3g5 f7e7 f2f4 c8d8 d3b3 g8h8 e2f3 e7d6 f3d5 b6b5 g5f7 f6f7 d5f7 d6d2 f7d5 b5c4 d5c4 d2c1 c4f1 h7h6 g1f2 d8d2 f1e2 c1h1 b3c4 h1h2 f2e1 d2d8 c4c5 h2g1 e2f1 g1g3 e1e2 g3g4
Hastings3334,Hastings,1933.??.??,1,"Flohr, Salo","Thomas, George Alan",1/2-1/2,,,D51,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 b8d7 e2e3 c7c6 a2a3 f8e7 d1c2 h7h6 g5h4 e8g8 g1f3 b7b6 c4d5 e6d5 f1d3 c6c5 e1g1 c5c4 d3f5 c8b7 f1e1 f8e8 a1d1 f6h5 h4e7 e8e7 e3e4 h5f4 e4e5 a7a6 g2g3 f4e6 f5h3 d7f8 f3h4 g7g6 f2f4 e6g7 h4g2 f8e6 g2e3 b6b5 h3g2 e6c7 e3g4 h6h5 g4f6 g8h8 f4f5 g7f5 e1f1 f5h6 c2d2 h6g8 g3g4 e7e6 d2f4 g8f6 e5f6 c7e8 g4h5 e6f6 f4e5 d8d6 e5d6 f6f1 d1f1 e8d6 h5g6 f7g6 f1f6 d6f5 f6f7 b7c6 c3d5 c6d5 g2d5 a8d8 d5e4 d8d4 e4f5 d4d1 g1g2 d1d2 g2g3 g6f5 f7a7 d2b2 a7a6 c4c3 g3f4 b2a2 a6c6 a2a3 f4f5 b5b4 f5g6 a3a8 c6c4
Hastings3334,Hastings,1933.??.??,1,"Eliskases, Erich Gottlieb","Alexander, Conel Hughes",1/2-1/2,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d1e2 d8e7 d2d3 e4f6 c1g5 e7e2 f1e2 f8e7 b1c3 c8d7 e1c1 b8c6 h2h3 h7h6 g5e3 e8c8 d3d4 d6d5 f3e5 d7e8 a2a3 f6e4 c3e4 d5e4 e2c4 h8f8 e5c6 b7c6 g2g4 e8d7 d4d5 c6c5 c4a6 c8b8 c2c4 f7f5 g4f5 f8f5 d1d2 e7h4 b2b3 f5f6 a6b5 d7b5 c4b5 f6f5 h1g1 h4f6 g1g4 f5d5 d2d5 d8d5 g4e4
Hastings3334,Hastings,1933.??.??,2,"Lilienthal, Andor","Tylor, Theodore",1-0,,,D41,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 f6d5 e2e4 d5c3 b2c3 c5d4 c3d4 f8b4 c1d2 b4d2 d1d2 e8g8 f1e2 b7b6 e1g1 c8b7 d2f4 b8c6 f1d1 c6e7 a1c1 e7g6 f4e3 d8d7 h2h4 f8c8 h4h5 g6e7 f3e5 d7d8 h5h6 e7g6 e5g4 c8c1 d1c1 a8c8 c1c8 b7c8 h6g7 e6e5 g4e5 g6e5 d4e5 c8e6 a2a3 d8c7 f2f4 e6c4 e2f3 g8g7 e3d4 g7g8 g1h1 c4b3 d4e3 b3a4 e3e1 a7a5 e1g3 g8f8 g3h4 b6b5 h4h6 f8e8 e5e6 c7c1 h1h2 a4b3 f3h5 c1a3 e6f7 b3f7 h6e6
Hastings3334,Hastings,1933.??.??,2,"Milner Barry, Philip Stuart","Eliskases, Erich Gottlieb",1/2-1/2,,,B85,e2e4 c7c5 g1e2 e7e6 b1c3 d7d6 d2d4 c5d4 e2d4 a7a6 c1e3 g8f6 f1e2 f8e7 e1g1 d8c7 f2f4 b8c6 e2f3 c6a5 g1h1 c8d7 d1e2 a8c8 a1d1 b7b5 a2a3 a5c4 e3c1 e8g8 g2g4 c4a3 g4g5 f6e8 f4f5 a3c4 f3g4 c4e5 g4h3 c7c4 e2h5 b5b4 c3e2 e6f5 b2b3 c4c7 e4f5 e5c6 h3g2 c6d4 e2d4 d6d5 g2d5 e7c5 f1f4 c5d4 f4h4 d7f5 h4d4 c7c2 c1f4 f5g6 h5f3 c8c3 f4e3 e8c7 d5c4 c2f5 d4f4 f5e5 e3d4 c3f3 d4e5 f3f4 e5f4 c7e6 f4e3 a6a5 d1a1 g6e4 h1g1 f8a8 e3b6 e6g5 a1a5 g5f3 g1f2 a8a5 b6a5 f3e5 a5b4 e5c4 b3c4
Hastings3334,Hastings,1933.??.??,2,"Thomas, George Alan","Michell, Reginald Pryce",1/2-1/2,,,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 d8e7 b1c3 b7b6 e2e3 c8b7 f1d3 b4c3 d2c3 f6e4 a1c1 e8g8 e1g1 d7d6 c3e1 b8d7 f3d2 f7f5 f2f3 e4d2 d1d2 e6e5 d3b1 a8d8 b2b4 e5e4 f3f4 d7f6 a2a4 c7c5 b1a2 g8h8 b4c5 b6c5 c1b1 f8f7 d4d5 e7c7 d2c3 h7h6 f1f2 h8h7 f2b2 b7a6 a4a5 g7g5 f4g5 h6g5 a2b3 d8b8 b3d1 b8b2 b1b2 h7g6 c3c2 c7e7 g2g3 g5g4 d1e2 f6d7 e1c3 d7e5 c3e5 e7e5 b2b8 f7e7 c2b2 e5b2 b8b2 e7b7 b2b7 a6b7 e2d1 b7a6 d1b3 g6f6
Hastings3334,Hastings,1933.??.??,2,"Menchik, Vera","Alekhine, Alexander",0-1,,,A43,d2d4 c7c5 g1f3 c5d4 f3d4 d7d5 c2c4 e7e5 d4c2 d5d4 e2e3 b8c6 e3d4 e5d4 f1d3 g8f6 e1g1 f8e7 f1e1 c8g4 f2f3 g4e6 b2b3 e8g8 c1b2 d8c7 b1d2 a8d8 d2f1 f6h5 g2g3 h5f6 f3f4 e6g4 d1d2 a7a5 b2a3 e7a3 c2a3 c6b4 a3b5 c7d7 a2a3 b4d3 d2d3 g4f5 d3d2 b7b6 e1e5 f5e4 d2e1 e4a8 a1a2 d7b7
Hastings3334,Hastings,1933.??.??,2,"Alexander, Conel Hughes","Flohr, Salo",0-1,,,B10,e2e4 c7c6 c2c4 e7e6 b1c3 d7d5 c4d5 e6d5 e4d5 c6d5 f1b5 b8c6 g1f3 a7a6 d1e2 f8e7 b5c6 b7c6 d2d4 c8g4 e1g1 g8f6 f1e1 a8a7 h2h3 g4f3 e2f3 e8g8 c1g5 f6e8 g5e7 a7e7 f3d3 e7e1 a1e1 d8a5 b2b3 e8c7 e1e7 c7e6 g1h2 a5b4 e7d7 e6d4 c3e2 d4e2 d3e2 a6a5 e2e5 b4d2 e5c7 d2a2 c7c6 a2f2 c6d6 h7h6 d7d8 f8d8 d6d8 g8h7 d8d5 f2f4 h2g1 f4c7 g1f2 c7b6 f2f3 h7g6 g2g4 g6f6 d5f5 f6e7 f5e5 e7f8 e5d5 g7g6 f3g2 b6b4 d5d8 f8g7 d8d5 b4c3 g2h2 c3e1 h2g2 h6h5 g4g5 e1c3 h3h4 c3b4 d5e5 g7h7 e5g3 h7g8 g2h3 g8f8 g3f3 b4c5 h3g2 c5f5 f3g3 f5d5 g2f2 d5c5 f2g2 f8e7 g3f3 c5b6 f3e4 e7f8 e4a8 f8g7 a8f3 b6b4 f3g3 b4e4 g2f2 e4c2 f2f1 c2c5 f1g2 g7f8 g3f3 f8e8 f3d3 c5b4 d3g3 b4e4 g2f1 e8d7 f1f2 d7e6 f2f1 e4f5
