Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
45th Capablanca Mem Elite,Havana CUB,2010.06.10,1,"Short,N","Ivanchuk,V",0-1,2685,2741,A45,d2d4 g8f6 c1g5 f6e4 g5f4 c7c5 f2f3 d8a5 c2c3 e4f6 b1d2 c5d4 d2b3 a5f5 f4b8 a8b8 d1d4 b7b6 e2e4 f5f4 g1h3 f4c7 e4e5 f6g8 e1c1 e7e6 f3f4 g8e7 h3g5 c8b7 f1d3 b7g2 h1g1 g2d5 g5h7 h8h7 d3h7 g7g6 c1b1 e7f5 d4d3 c7c4 d3c4 d5c4 b3d4 f8e7 g1g6 f7g6 h7g6 e8f8 d4f5 e6f5 g6f5 b8d8 d1d7 d8d7 f5d7 e7c5 b1c2 c5e3 f4f5 e3f4 e5e6 f8e7 h2h4 c4e2 d7c6 f4g3 h4h5 e2h5 c2d3 e7d6 c6g2 d6e5 g2h3 g3h4 b2b4 h4e7 a2a3 h5f3 d3c4 f3e2 c4b3 e2d3 a3a4 a7a5
45th Capablanca Mem Elite,Havana CUB,2010.06.10,1,"Dominguez Perez,L","Bruzon Batista,L",1/2-1/2,2713,2668,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8 e1g1 d7d6 b1d2 c5b6 d2c4 c6e7 b5a4 e7g6 a4c2 f8e8 f1e1 c7c6 c4b6 a7b6 d3d4 b6b5 h2h3 h7h6 a2a3 d8c7 c1e3 c8e6 f3d2 a8d8 d1f3 c7e7 a3a4 b5a4 a1a4 e6c8 f3e2 f6h7 f2f3 h7g5 g1h1 h6h5 e2f2 g5e6 c2d3 h5h4 d3f1 e6f4 a4a1 c8e6 a1a7 d8a8 e1a1 a8a7 a1a7 e5d4 e3d4 g6e5 b2b4 e6c8 d2c4 e5c4 f1c4 c8e6 c4f1 f4h5 h1g1 e6c8 a7a1 h5g3 f2d2 f7f5 e4f5 c8f5 d4f2 e7f6 a1d1 d6d5 d1e1 e8e1 d2e1 g8h7 f2d4 f6e6 e1d2 f5g6 d4e3 e6f5 d2d4 f5f6 d4d2 f6f5 d2c1 f5c2 c1c2 g6c2 e3g5 g3f5 g1f2 h7g6 f3f4 g6f7 f1e2 b7b5 e2g4 g7g6 g4f5 g6f5 g5h4 c2d1 h4d8 d1h5 f2g3 h5d1 d8b6 d1e2 g3h4 f7g6 b6d4 e2d1 g2g4 d1e2 h4g3 e2d1 d4e5 d1e2 g3f2 e2d1 g4f5 g6f5 f2e3 f5e6 h3h4 d1g4 e3d4 g4f5 h4h5 f5c2 d4c5 e6d7 h5h6 c2h7 e5f6 h7c2 f6h4 c2h7 c5d4 d7e6 d4c5 e6d7 c5d4 d7e6
45th Capablanca Mem Elite,Havana CUB,2010.06.10,1,"Nepomniachtchi,I","Alekseev,Evgeny",1/2-1/2,2695,2700,C43,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 d4e5 d7d5 b1d2 e4c5 d2b3 c5e6 b3d4 e6d4 d1d4 h7h6 c1d2 c8e6 h2h4 c7c5 d4f4 b8c6 h4h5 d8d7 c2c4 e8c8 e1c1 f8e7 d2c3 d5d4 c3d2 f7f6 e5f6 e7f6 f1d3 h8f8 d1e1 f6e7 f4g3 e7d6 g3h4 d6e7 h4g3 e7d6 g3h4 d6e7
45th Capablanca Mem Elite,Havana CUB,2010.06.11,2,"Ivanchuk,V","Alekseev,Evgeny",1-0,2741,2700,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c6 e2e3 e8g8 g1h3 f8e8 h3f2 e6e5 f1e2 b8d7 e1g1 d7f8 c4d5 c6d5 d4e5 e8e5 c3c4 e5e8 f1e1 f8g6 a1b1 b7b6 c4d5 f6d5 e2f1 d5c3 d1d8 e8d8 b1b3 c3a4 e3e4 c8e6 b3b4 a4c5 f3f4 g6e7 c1e3 a8c8 f4f5 e6d7 b4d4 c5b3 d4d1 d7a4 f1a6 d8d1 f2d1 c8c2 a6d3 c2c7 d1b2 a4c6 g1f2 c7d7 g2g4 g8f8 h2h4 b6b5 e1d1 f8e8 d3c2 d7d1 b2d1 b3a1 c2d3 a7a5 e3d4 a1b3 d4g7 b3c5 f2e3 c5d3 e3d3 e7c8 g7c3 c8d6 d1f2 d6c4 g4g5 c6b7 h4h5 b7a6 g5g6 f7g6 f5g6 h7g6 h5h6 b5b4 h6h7 c4e5 d3e3 e5f7 c3g7 b4a3 f2g4
45th Capablanca Mem Elite,Havana CUB,2010.06.11,2,"Bruzon Batista,L","Nepomniachtchi,I",1/2-1/2,2668,2695,A15,g1f3 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 d1a4 b8c6 f3e5 d8d6 e5c6 d6c6 a4c6 b7c6 g2g3 f8g7 f1g2 c8e6 b2b3 e8c8 c1b2 d5c3 b2c3 g7c3 d2c3 d8d6 f2f4 h8d8 e1f2 c6c5 h1c1 d6d2 g2f3 d2b2 c1b1 b2b1 a1b1 d8d2 b1a1 h7h5 f2e1 d2d6
45th Capablanca Mem Elite,Havana CUB,2010.06.11,2,"Short,N","Dominguez Perez,L",1/2-1/2,2685,2713,D13,g1f3 c7c5 c2c3 d7d5 d2d4 c5d4 c3d4 g8f6 b1c3 b8c6 c1f4 a7a6 f3e5 d8b6 e5c6 b7c6 d1d2 e7e6 e2e3 b6b7 a1c1 c6c5 f1e2 c8d7 f4e5 a8c8 e1g1 f8e7 d4c5 c8c5 e5f6 g7f6 e2f3 f6f5 c3e2 c5c1 f1c1 e8g8 e2f4 b7b4 d2b4 e7b4 f3e2 f8c8 c1c8 d7c8 g2g3 a6a5 e2b5
45th Capablanca Mem Elite,Havana CUB,2010.06.12,3,"Dominguez Perez,L","Ivanchuk,V",1/2-1/2,2713,2741,B63,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 f8e7 e1c1 c6d4 d2d4 e8g8 f2f3 a7a6 h2h4 b7b5 c1b1 c8b7 d4d2 a8c8 f1d3 f6d7 g5e7 d8e7 d3e2 c8c6 d2g5 f7f6 g5e3 f8c8 d1d4 d7b6 h1d1 e7c7 a2a3 g8f8 e3d2 c6c3 d2c3 c7c3 b2c3 d6d5 e4d5 b7d5 b1b2 c8c5 e2d3 f6f5 d1e1 g7g6 h4h5 f8e7 h5g6 h7g6 e1h1 e6e5 h1h7 e7f6 d4h4 b6a4 b2c1 f6g5 h4h3 c5c3 h3g3 g5f6 h7a7 a4c5 c1b2 c5a4 b2c1 a4c5 c1b2 c5a4
45th Capablanca Mem Elite,Havana CUB,2010.06.12,3,"Nepomniachtchi,I","Short,N",1/2-1/2,2695,2685,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 c2c3 g7g6 b1d2 f8g7 e1g1 e8g8 f1e1 f8e8 h2h3 h7h6 d3d4 b7b5 a4c2 e5d4 c3d4 c8b7 a2a3 c6a5 e4e5 d6e5 d4e5 f6h7 b2b4 a5c4 d2c4 b5c4 c1b2 h7g5 f3g5 d8g5 c2e4 a8d8 d1c1 g5c1 a1c1 b7e4 e1e4 d8d2 b2c3 d2a2 e4c4 a2a3 c4c7 g6g5 c1e1 e8e6 e1e3 a3b3 e3f3 g7e5 c7c8
45th Capablanca Mem Elite,Havana CUB,2010.06.12,3,"Alekseev,Evgeny","Bruzon Batista,L",1/2-1/2,2700,2668,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6f5 d1d8 e8d8 b1c3 c8d7 b2b3 d8c8 c1b2 f8e7 a1d1 h7h5 d1d3 a7a5 a2a4 b7b6 f1d1 d7e6 c3e2 c6c5 c2c4 g7g5 e2c3 g5g4 f3e1 c8b7 c3d5 e7g5 e1c2 a8d8 g1f1
45th Capablanca Mem Elite,Havana CUB,2010.06.13,4,"Ivanchuk,V","Bruzon Batista,L",1/2-1/2,2741,2668,D37,c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 g1f3 g8f6 c1f4 e8g8 e2e3 b8d7 c4c5 f6h5 f1d3 h5f4 e3f4 b7b6 b2b4 a7a5 a2a3 c7c6 e1g1 d8c7 g2g3 c8a6 f1e1 a6d3 d1d3 a8a7 a1c1 a5b4 a3b4 e7f6 h2h4 b6c5 b4c5 f8b8 e1e3 b8b3 d3c2 b3b4 c3e2 c7b8 g1g2 b4b2 c2d1 h7h6 c1c3 b2b1 e2c1 b1a1 d1d2 b8c8 f3e1 d7f8 e1c2 a1a4 h4h5 f8d7 d2d1 f6d8 c1d3 c8b7 d1e2 d8a5 c3a3
