Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Heidelberg,Heidelberg,1949.??.??,1,"Witkowski, Stefan","Wood, Baruch Harold",0-1,,,B74,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1e2 f8g7 c1e3 e8g8 e1g1 b8c6 d4b3 c8e6 f2f4 c6a5 f4f5 e6c4 b3a5 c4e2 d1e2 d8a5 e3d4 a8c8 a2a3 a7a6 a1d1 a5c7 e4e5 d6e5 d4e5 c7c4 d1d3 b7b5 f1f4 c4c6 f4h4 f8d8 f5g6 h7g6 h4d4 d8d4 d3d4 c6e6 h2h3 c8c3 b2c3 f6d7 d4d7 e6d7 e5g7 g8g7 e2e4 d7d1 g1f2 d1d2 e4e2 d2d6 f2e1 d6a3 e1d2 a3c5 e2f3 a6a5 d2c1 e7e5 g2g4 c5c4 c1b2 e5e4 f3f4 c4e6 f4e3 e6e5 b2b3 g6g5 b3a2 g7g6 a2b1 f7f6 b1a2 e5e6 a2b2 e6d5 b2c1 d5e5 c1b1 a5a4 b1a2 e5f4 e3e2 e4e3 e2b5 f4e5 b5f1 e3e2 f1e1 e5d5
Heidelberg,Heidelberg,1949.??.??,1,"O'Kelly de Galway, Alberic","Schmid, Lothar",1-0,,,C19,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 a3a4 d8a5 d1d2 b8c6 g1f3 c5d4 c3d4 a5d2 c1d2 e7f5 d2c3 f7f6 g2g4 f5h6 h2h3 h6f7 f1d3 f6e5 d4e5 c8d7 e1g1 e8c8 f1e1 d8f8 g1g2 h7h5 g2g3 c8b8 a4a5 b8a8 a1b1 f8c8 a5a6 b7b6 d3g6 h5g4 h3g4 c6e7 g6f7 c8c3 b1b3 h8c8 b3c3 c8c3 e1e3 c3e3 f2e3 e7c6 g3f4 c6d8 f7g8 a8b8 f3d4 b8c7 f4g5 d7c8 g5g6 c7d7 g6g7 d7e7 g4g5 c8a6 g5g6 a6c8 g7h8 a7a5 g6g7 a5a4 g8e6
Heidelberg,Heidelberg,1949.??.??,1,"Schmidt, Pa","Niephaus, Walter",1/2-1/2,,,D93,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 d7d5 c1f4 e8g8 a1c1 c7c6 e2e3 d5c4 f1c4 b8d7 e1g1 d7b6 c4b3 f6d5 f4g3 a7a5 a2a3 c8e6 e3e4 d5c3 c1c3 e6g4 c3d3 d8d7 h2h3 g4f3 d1f3 g7d4 g3e5 c6c5 f1d1 a5a4 e5d4 c5d4 d3d4 d7b5 d4b4 b5c5 b3d5 e7e6 f3e3 c5e3 f2e3 e6d5 b4b6 d5e4 b6b7 f8b8 d1d7 b8b7 d7b7 f7f5 g2g4 a8d8 g4f5 g6f5 g1f2 f5f4 e3f4 d8d3 f2g2 d3e3 f4f5 h7h5 b7b4 g8g7 b4a4 g7f6 g2f2 e3h3 a4e4 h3h2 f2g3 h2b2
Heidelberg,Heidelberg,1949.??.??,1,"Unzicker, Wolfgang","Kieninger, Georg",1/2-1/2,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 g1e2 d5e4 a2a3 b4e7 g5f6 g7f6 c3e4 b7b6 e2c3 c8b7 d1f3 c7c6 e1c1 f6f5 e4g3 b8d7 f1d3 d8c7 h1e1 e8f8 f3e2 d7f6 e2d2 h7h6 c1b1 f6d5 d3c4 a7a6 c3e2 e7g5 d2d3 b6b5 c4a2 a8b8 g3f1 g5e7 g2g3 e7d6 f1d2 a6a5 d2b3 c7b6 e2f4 b7c8 f4d5 c6d5 d3e3 a5a4 b3c5 b5b4 c5a4 b6a7 a4c5 b4a3 a2b3 b8a8 e3c3 a3b2 c3b2 h8g8 f2f4 d6c5 d4c5 a7c5 b2f6 c5a3 d1d5 e6d5 f6h6 g8g7 h6h8 g7g8 h8h6
Heidelberg,Heidelberg,1949.??.??,1,"Wade, Robert Graham","Rossolimo, Nicolas",1-0,,,B28,e2e4 c7c5 g1f3 a7a6 c2c4 b8c6 d2d4 c5d4 f3d4 e7e5 d4c2 f8c5 f1d3 d7d6 e1g1 g8e7 b1c3 e8g8 d1h5 c8e6 c3d5 e7g6 c2e3 d8h4 h5h4 g6h4 g2g3 h4g6 g1g2 g6e7 c1d2 e6d5 e3d5 e7d5 c4d5 c6e7 a1c1 a8c8 b2b4 c5d4 c1c8 f8c8 f1c1 g8f8 c1c8 e7c8 b4b5 a6b5 d3b5 d4c5 f2f4 f8e7 g2f3 e7d8 d2a5 b7b6 a5c3 f7f6 b5f1 c8e7 f1h3 d8c7 h3e6 b6b5 f4e5 d6e5 c3a5 c7d6 a5d8 c5a3 e6h3 a3c5 h3f1 b5b4 f1h3 c5d4 h3e6 d4g1 h2h4 g1d4 h4h5 d4a7 f3e2 a7g1 g3g4 g7g6 h5h6 g1h2 d8a5 d6c5 a5d8 c5d6 e2d3 h2f4
Heidelberg,Heidelberg,1949.??.??,2,"Kieninger, Georg","Wade, Robert Graham",1/2-1/2,,,C05,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 d8a5 e1f2 b7b5 c1e3 b5b4 c3c4 c5d4 f3d4 c6d4 e3d4 c8b7 g1f3 f8c5 c4d5 b7d5 d4c5 d7c5 f1d3 a8d8 d1e2 c5d3 e2d3 d5f3 d3f3 e8g8 h1d1 d8d1 f3d1 f8d8 d1c1 a5d5 b2b3 d5d4 f2f1 g7g5 f4g5 d4e5 f1g1 d8d5 h2h4 e5d4 g1h2 d4h4 h2g1 h4d4 g1h2 h7h6 c1c8 g8h7 a1f1
Heidelberg,Heidelberg,1949.??.??,2,"Niephaus, Walter","Unzicker, Wolfgang",0-1,,,E46,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4e7 e2g3 d5c4 f1c4 c7c5 e1g1 c5d4 e3d4 b8d7 c1f4 d7b6 c4a2 c8d7 f4e5 d7c6 g3h5 b6d7 h5f4 d7e5 d4e5 f6e4 c3e4 c6e4 d1e2 e4c6 a1d1 d8a5 b2b4 a5a3 b4b5 c6b5 e2b5 a3a2 b5b7 e7c5 b7d7 c5b6 d1d6 a8c8 g2g3 c8c7 d6d2 a2a5 d7d6 c7c5 f1d1 c5e5 g1g2 h7h6 d6c6 e5e1 c6f3 e1d1 f3d1 a5f5 h2h3 f8c8 d1a4 f5c5 a4d1 c5c6 g2h2 c6e4 d2e2 e4f3 d1e1 c8d8 f4g2 a7a5 e2b2 d8d1 g2h4 f3d5 e1d1 d5d1 b2b6 a5a4 b6a6 d1b3
Heidelberg,Heidelberg,1949.??.??,2,"Schmid, Lothar","Wood, Baruch Harold",1-0,,,B73,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1e2 f8g7 e1g1 e8g8 c1e3 b8c6 d1d2 d6d5 e4d5 f6d5 d4c6 b7c6 f1d1 c8b7 e3d4 g7d4 d2d4 d8b6 c3a4 b6d4 d1d4 e7e5 d4d2 a8c8 a4c5 c8c7 c2c4 d5f6 e2f3 b7c8 a1e1 f8e8 d2e2 f6d7 c5d7 c8d7 e2e5 e8e5 e1e5 c6c5 g1f1 g8f8 f1e1 d7e6 b2b3 f8e7 e1d2 e7d6 e5e1 a7a5 d2c3 c7a7 e1d1 d6c7 a2a3 a7a6 d1d2 f7f6 d2e2 c7d6 e2e3 a6a7 e3d3 d6c7 h2h4 a7a6 d3e3 c7d6 f3e4 a6b6 e4c2 b6b7 e3d3 d6c7 h4h5 f6f5 d3g3 e6f7 h5g6 h7g6 g3g5 c7d6 g2g4 d6e5 g4f5 e5f4 g5g3 g6f5 g3g7 f7d5 g7g6 d5e4 c2e4 f5e4 g6f6 f4g4 f6c6 b7d7 c6c5 d7d3 c3c2 a5a4 b3a4 d3a3 a4a5 g4f3 c2b2 a3d3 c5f5 f3g4 f5f7 e4e3 f2e3 d3e3 a5a6 g4g5 a6a7 e3e8 c4c5 g5g6 f7b7 e8a8 c5c6
Heidelberg,Heidelberg,1949.??.??,2,"O'Kelly de Galway, Alberic","Schmidt, Pa",1/2-1/2,,,B74,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f1e2 f8g7 e1g1 e8g8 c1e3 b8c6 d4b3 c8e6 f2f4 d8c8 g1h1 f6g4 e3g1 f7f5 b3d4 g7d4 g1d4 f5e4 c3e4 c6d4 d1d4 g4f6 e4g5 e6d5 c2c4 d5c6 e2f3 h7h6 g5e4 f6h5 g2g3 h5g7
Heidelberg,Heidelberg,1949.??.??,2,"Rossolimo, Nicolas","Witkowski, Stefan",1-0,,,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7 g1f3 c8d7 f1e2 c5c4 e1g1 d7a4 f3g5 h7h6 g5h3 b8c6 h3f4 e8c8 a1b1 g7g6 g2g3 c8b8 f4g2 b8a8 c1d2 f7f5 e5f6 g8f6 f2f4 c7h7 b1b2 f6e4 e2f3 e4d2 d1d2 g6g5 f1e1 h7g6 d2e2 d8d6 f3h5 g6g7 e1f1 h8f8 b2b1 d6d8 f1f2 g7e7 e2e1 a7a6 f2e2 f8f6 f4f5 f6f5 e2e6 e7g7 g2e3 f5f6 e6f6 g7f6 e1f1 f6e6 b1e1 e6d7 f1f6 d7d6 f6d6 d8d6 h5f3 c6a5 f3d5 a4c2 d5b7 a8b7 e3c2 b7c6 e1e5 a5b3 c2e3 b3d2 e5c5 c6d7 e3c4 d2f3 g1g2 d6f6 c4e5 f3e5 d4e5 f6b6 g2h3 b6b3 a3a4 b3a3 a4a5 a3a2 c3c4 d7e6 h3g4 a2h2 c5c6 e6e5 c6a6 h6h5 g4g5 h2h3 a6c6 h3g3 g5h5 g3g1 a5a6 g1g2 h5h6 e5d4 a6a7 g2a2 c6c7 d4e5 c4c5 e5d5 h6g7 d5e6 g7f8 a2h2 c7g7 h2a2 c5c6 e6d6 c6c7 a2f2 g7f7 f2h2 c7c8n
