Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Homburg,Homburg,1927.??.??,?,"Reti, Richard","Bogoljubow, Efim",0-1,,,A13,g1f3 d7d5 c2c4 e7e6 g2g3 d5c4 d1a4 b8d7 f1g2 g8f6 e1g1 f8d6 b1a3 d6a3 b2a3 e8g8 a4c4 d7b6 c4c2 c8d7 c1b2 d7a4 c2b1 a4c6 f3g5 b6d7 g2c6 b7c6 f1c1 c6c5 c1c5 a8b8 c5c4 h7h6 g5e4 f6d5 b1c2 d7b6 c4c6 d8c8 d2d3 c8b7 b2e5 b7a6 e5c7 b8c8 c7b6 c8c6 c2c6 f8c8 e4c5 c8c6 c5a6 c6b6 a6b4 d5c3 e2e3 a7a5 b4c2 b6b2 c2d4 c3a2 a1e1 b2d2 e1a1 a5a4 d4b5 g7g5 g1g2 g5g4 b5d6 a2c3 d6e4 d2d3 e4f6 g8g7 f6g4 f7f6 h2h4 h6h5 g4h2 c3b5 h2f3 d3a3 a1a3 b5a3 f3d4 g7f7 g2f3 e6e5 d4e2 a3b1 f3e4 a4a3 e2c1 b1c3 e4d3 a3a2 c1b3 c3a4 b3a1 a4c5 d3e2 c5e4 e2f3 f6f5 f3g2 e4d2 f2f3 e5e4 f3e4 d2e4 g2f3 f7f6 f3f4 e4c5 a1c2 c5d3
Homburg,Homburg,1927.??.??,?,"Bogoljubow, Efim","Tartakower, Saviely",1-0,,,D37,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 b1c3 f8e7 c1f4 c7c6 e2e3 e8g8 f1d3 b8d7 e1g1 f6h5 f4e5 d7e5 d4e5 g7g6 d1e2 f7f6 a1d1 d8c7 e2c2 c7b8 c2b3 f6e5 c4d5 e6d5 e3e4 g8g7 e4d5 c8g4 d3e4 h5f6 h2h3 f6e4 h3g4 e4c5 b3c2 f8f4 c2e2 e7d6 f3g5 h7h6 g2g3 f4d4 g5f3 d4g4 f3e5 g4g5 e5f3 g5h5 d5c6 b7c6 b2b4 c5b7 c3e4 h5d5 d1d5 c6d5 e2b2 g7g8 e4f6 g8f7 f6g4 b8h8 b2b3 f7f8 b3d5 a8b8 f3e5 h8g8 d5f3 f8g7 e5d7 b8c8 f3b7 c8c7 b7e4 c7c4 e4e3 g6g5 g4f6 g8f7 f6e8
Homburg,Homburg,1927.??.??,?,"Yates, Frederick","Reti, Richard",1/2-1/2,,,C97,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 b1d2 c8d7 d2f1 f8c8 d4d5 b5b4 g2g4 b4c3 b2c3 c8b8 f1g3 a5c4 g3f5 e7d8
Homburg,Homburg,1927.??.??,?,"Orbach, Wilhelm","Tartakower, Saviely",0-1,,,A84,d2d4 f7f5 c2c4 e7e6 g1f3 g8f6 a2a3 b7b6 c1g5 c8b7 e2e3 f8e7 b1c3 f6e4 g5e7 d8e7 f1e2 e4c3 b2c3 c7c5 e1g1 d7d6 f3d2 e8g8 e2f3 b8c6 d1c2 c6a5 f3b7 e7b7 f2f4 a8c8 c2a4 c8c7 a1c1 f8c8 c1c2 h7h6 f1e1 g8h7 a4b5 a7a6 b5a4 d6d5 c4d5 e6d5 c2b2 c5d4 e3d4 a5c4 d2c4 c7c4 a4c2 b7d7 b2b6 c4d4 c2f2 d4e4 e1e3 d7a4 e3e4 d5e4 f2d4 a4a3 d4e5 a3c1 g1f2 c1c2 f2g1 e4e3 h2h3 c8c4 e5e3 c4c3 e3e5 c3g3 e5d5 c2c1 g1h2 c1f4 h2g1 f4e3 g1h2 g3g2
Homburg,Homburg,1927.??.??,?,"Bogoljubow, Efim","Orbach, Wilhelm",1/2-1/2,,,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 d1c2 c7c5 e2e4 c5d4 f3d4 d7d6 f1e2 b8c6 d4c6 b7c6 c1f4 f8e7 e1g1 d8c7 f1d1 e8g8 d1d2 f8d8 a1d1 a8c8 b2b4 e6e5 f4e3 c7b7 f2f3 b7c7 c2b3 c8b8 d2b2 d8c8 d1c1 c7b7 g1f2 c6d7 a2a4 h7h6 b2d2 d7e6 c1d1 a7a6 d1a1 c8c7 c3d5 f6d5 e4d5 e6f5 a4a5 b6a5 a1a5 b7b4 b3b4 b8b4 c4c5 b4b3 a5a6 b3e3 c5d6 e7d6 a6d6 e3c3 d6d8 g8h7 d5d6 c7d7 d8a8 c3c6 a8a6 c6a6 e2a6 d7a7 a6c4 h7g6 g2g4 f5d7 d2b2 g6f6 b2b8 d7e6 c4e2 e6d5 b8d8
Homburg,Homburg,1927.??.??,?,"Saemisch, Fritz","Reti, Richard",0-1,,,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3h4 g7g6 b1c3 f8g7 e1g1 e8g8 c1g5 b8c6 c3d5 h7h6 d5f6 g7f6 g5f6 d8f6 d1d7 a8b8 g2c6 b7c6 d7d2 g6g5 h4g2 f8e8 a1e1 b8d8 d2c1 d8d4 f2f3 e8d8 e2e4 d4d2 f1f2 d2f2 g1f2 d8d3 e1e3 c6e4 e3d3 e4d3 b2b3 d3e4 c1d1 g5g4 f3f4 f6b2 f2e3 b2g2 d1g4 g8h7 f4f5 e4b1
Homburg,Homburg,1927.??.??,?,"Saemisch, Fritz","Tartakower, Saviely",1/2-1/2,,,B15,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4g3 e7e5 g1f3 e5d4 f3d4 f8c5 d1e2 c5e7 e2d3 e8g8 d4f5 e7b4 c2c3 f8e8 c1e3 d8d3 f1d3 b4c5
Homburg,Homburg,1927.??.??,?,"Tartakower, Saviely","Bogoljubow, Efim",1-0,,,C58,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 d2d3 h7h6 g5f3 e5e4 d1e2 a5c4 d3c4 f8c5 f3d2 e8g8 d2b3 c8g4 e2f1 c5b4 c2c3 b4d6 h2h3 g4h5 g2g4 h5g6 c1e3 f6d7 b1d2 f7f5 g4f5 g6h5 d2e4 d7e5 b3d4 e5f3 d4f3 h5f3 e4d6 d8d6 h1g1 f8f5 f1d3 a8f8 e1d2 b7b5 e3d4 g7g5 c4b5 f3d5 a1e1 f5f3 d4e3 f3h3 d3d4 f8f5 d2c1 d5a2 d4d6 c7d6 e3a7 f5b5 f2f4 a2b3 f4g5 h6g5 a7e3 h3h5 e3f4 b5d5 g1g2 g8f7 f4g3 h5h3 g3f2 h3d3 f2d4 d5f5 g2h2 f7g6 e1h1 f5d5 h2h6 g6f5 h6f6 f5g4 h1g1 d3g3 g1g3 g4g3 c1d2 g5g4 d2d3 g3g2 c3c4 d5h5 d3c3 h5h3 c3b4 d6d5 c4c5 b3c4 c5c6 h3b3 b4c5 c4a6 c6c7 a6b7 f6f8 b3h3 f8b8 b7a6 b2b4 h3h1 b4b5 h1c1 c5d6
Homburg,Homburg,1927.??.??,?,"Tartakower, Saviely","Reti, Richard",1/2-1/2,,,C58,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 d2d3 h7h6 g5f3 e5e4 d1e2 a5c4 d3c4 f8d6 h2h3 e8g8 f3d4 c7c6 d5c6 b7c6 b1c3 d8b6 d4b3 c8e6 e1g1 b6a6 c3e4 f6e4 e2e4 f8e8 f1d1 e6c4 e4h4 c4d5 c1e3 e8e4 h4h5 a8e8 d1d4 e8e6 d4e4 d5e4 b3d4 e6g6 f2f3 e4c2 e3f2 a6d3 a1e1 d3d2 h5h4 g6g5 f3f4 g5d5 d4c6 c2a4 c6e7 d6e7 h4e7 d2b2 e7a7 b2a2 a7b8 g8h7 b8b1 a2b1 e1b1
Homburg,Homburg,1927.??.??,?,"Tartakower, Saviely","Yates, Frederick",1-0,,,C50,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 b1c3 f8c5 d2d3 d7d6 c1e3 c5b6 d1d2 c8e6 c4b5 e8g8 d3d4 e5d4 f3d4 c6d4 e3d4 c7c6 b5e2 d6d5 e4d5 f6d5 e1c1 b6a5 e2f3 f8e8 f3d5 c6d5 d2d3 a8c8 d3g3 f7f6 h1e1 b7b5 e1e3 e6f5 g3f3 e8e3 d4e3 f5g6 d1d5 d8e7 f3g4 e7e8 e3d2 a5c3 b2c3 g6e4 d5d7 e4g6 d7a7 c8d8 h2h4 h7h5 g4f3 e8e6 f3b7 g6f7 b7b5 e6d6 b5d3 d6b8 d3a6 f7d5 g2g3 b8e5 a6d3 e5e8 d3e3 e8g6 e3b6 d8e8 d2e3 g8h8 a2a4 d5e4 b6b3 g6f5 a4a5 f5f3 a7d7 f3f5 b3a4 e8a8 d7e7 e4f3 a5a6 f5c8 a6a7 c8c3 e3d4 c3c8 d4f6 g7f6 a4f4 c8f8 f4f3
