Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
10th Essent,Hoogeveen NED,2006.10.22,1,"Mamedyarov,S","Topalov,V",1-0,2728,2813,D47,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e3e4 b5b4 c3a4 c6c5 e4e5 f6d5 a4c5 d7c5 d4c5 f8c5 e1g1 h7h6 f3d2 e8g8 d2e4 c5d4 e4d6 b7c6 d3h7 g8h7 d1d4 f7f6 c1d2 d8d7 a1c1 a7a5 d4d3 f6f5 c1c5 d5e7 f1c1 a8a7 d2e3 f8a8 d3e2 a7a6 h2h4 d7d8 e3g5 h6g5 e2h5 h7g8 h5f7 g8h7 f7h5 h7g8 h5f7 g8h7 h4g5 e7g6 c5c6 d8g5 c6c8 g6f4 g2g3 a8c8 c1c8 g5g4 f7g8 h7g6 g8e8 g6h7 e8h8 h7g6 c8c7 g4d1 g1h2 d1h5 h8h5 f4h5 c7e7 a6c6 e7e6 g6h7 d6f7 c6e6 f7g5
10th Essent,Hoogeveen NED,2006.10.22,1,"Polgar,Ju","Sokolov,Iv",1-0,2710,2670,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2 f8e7 c2c3 e8g8 b3c2 f7f5 d2b3 d8d7 f3d4 c6d4 b3d4 c7c5 d4e6 d7e6 f2f3 e4g5 a2a4 a8d8 a4b5 a6b5 a1a7 d8d7 a7d7 e6d7 g1h1 f5f4 b2b4 c5c4 d1d2 g5e6 f1d1 e6c7 d2f2 d7e6 f2d4 e6c6 h1g1 g7g6 g1f1 e7g5 c1b2 f8a8 d4d2 c7e6 c2b1 a8d8 d2e1 c6c7 h2h4 g5e7 b2c1 c7c6 e1f2 d8f8 b1c2 e7d8 f2d2 d8h4 d2d5 c6b6 d5d2 h4g3 d2e2 b6a7 c2e4 g8h8 e4d5 e6g7 e5e6 a7e7 e2e5 e7h4 f1e2 h7h5 d5e4 f8g8 d1d7 h4h1 c1d2
10th Essent,Hoogeveen NED,2006.10.23,2,"Sokolov,Iv","Mamedyarov,S",0-1,2670,2728,B07,d2d4 g7g6 e2e4 f8g7 g1f3 d7d6 c2c3 g8f6 f1d3 e8g8 e1g1 b8d7 f1e1 e7e5 c1g5 h7h6 g5h4 b7b6 a2a4 a7a6 b1d2 c8b7 d4e5 d6e5 d2c4 d8e8 b2b4 f6h5 c4e3 h5f4 d3b1 a8d8 e3c4 d7f6 d1c1 g6g5 h4g3 f6e4 b1e4 b7e4 e1e4 e8c6 c1c2 f7f5 g3f4 f5e4 f3e5 c6e6 f4g3 b6b5 a4b5 a6b5 c2e4 b5c4 e4c4 e6c4 e5c4 g7c3 a1c1 d8d4 c4e3 c3d2 g3e5 d4e4
10th Essent,Hoogeveen NED,2006.10.23,2,"Polgar,Ju","Topalov,V",1-0,2710,2813,B81,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 g2g4 h7h6 f1g2 g7g5 d1e2 b8d7 e1c1 d7e5 h2h3 f6d7 f2f4 g5f4 e3f4 b7b5 h1f1 c8b7 e2f2 a8c8 c3e2 f8g7 e2g3 h8h7 g3h5 g7h8 c1b1 d7c5 f4g3 c5e4 g2e4 b7e4 g3h4 d8c7 h4f6 e4g6 f6h8 h7h8 h5f6 e8d8 h3h4 c7c5 h4h5 g6h7 f2h4 h7c2 d4c2 c5c2 b1a1 c8c4 f6e4 d8c7 e4d6 c4f4 h4e7 c7b6 e7b7 b6a5 b7a7 b5b4 f1e1 e5f3 d1c1 f3e1 c1c2 e1c2 a1b1
10th Essent,Hoogeveen NED,2006.10.24,3,"Mamedyarov,S","Polgar,Ju",1/2-1/2,2728,2710,E18,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 e8g8 e1g1 f6e4 c1d2 f7f5 d1c2 e7f6 a1d1 e4c3 d2c3 b7e4 c2c1 d7d6 g2h3 d8e8 f3e1 b8d7 f2f3 e4b7 e1d3 e8h5 d3f4 h5h6 h3g2 f6g5 h2h4 g5f4 c1f4 h6f4 g3f4 d7f6 g1f2 f6h5 e2e3 a7a5 g2h3 d6d5 c4d5 e6d5 d1c1 a8e8 c1c2 b7a6 f1c1 a6d3 c2d2 d3b5 d2c2 b5d3 c2d2 d3b5 b2b3 e8e6 d2c2 b5d3 c2d2 d3b5 d2c2 b5d3 c2b2 f8e8 c3d2 e6g6 d2e1 g6e6 e1d2 e6g6 d2e1 g6e6
10th Essent,Hoogeveen NED,2006.10.24,3,"Topalov,V","Sokolov,Iv",1/2-1/2,2813,2670,D18,d2d4 g8f6 c2c4 c7c6 g1f3 d7d5 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 b8d7 d1e2 f5g4 f1d1 d8a5 e3e4 a5h5 d1d3 e6e5 h2h3 g4f3 d3f3 e5d4 g2g4 h5c5 c3a2 e8g8 f3f5 c5e7 e4e5 d4d3 c4d3 f6d5 c1g5 e7e6 a2b4 d5b4 d3c4 b4d5 a1d1 a8e8 c4d5 c6d5 e2b5 d7e5 b5d5 e6d5 d1d5 f7f6 g5e3 b7b6 g4g5 g8f7 g5f6 g7f6 d5d6 e8e6 d6d1 e5c4 d1d7 e6e7 d7e7 f7e7 f5h5 f8g8 g1f1 c4e3 f2e3 g8g7 f1f2 e7e6 f2f3 g7c7 h3h4 f6f5 h5h6 e6e5 h4h5 c7f7 b2b4 e5d5 f3f4 d5c4 b4b5 c4b4 h6e6 b4a4 e6e5 a7a5 b5a6 b6b5 e5f5 f7a7 f5f6 b5b4 e3e4 b4b3 f6b6 a4a3 e4e5 b3b2 e5e6 a3a2 f4e5 b2b1q b6b1 a2b1 e5f6 a7a6 f6f7 a6a2 e6e7 a2f2 f7g7 f2e2 g7f7
10th Essent,Hoogeveen NED,2006.10.26,4,"Sokolov,Iv","Polgar,Ju",0-1,2670,2710,E49,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 a2a3 b4c3 b2c3 d5c4 d3c4 c7c5 g1e2 d8c7 c4a2 b7b6 e1g1 c8a6 f1e1 b8c6 e2g3 a8d8 c1b2 e6e5 d1c2 d8d7 a1d1 f8d8 h2h3 c5c4 a3a4 d8e8 b2a3 e5e4 a2b1 d7d5 g3e2 d5g5 e2f4 a6c8 c2e2 c7d7 e2c4 c6a5 c4b4 f6d5 f4d5 d7d5 h3h4 g5g4 b4b5 d5d8 g2g3 a7a6 b5b4 d8h4 b1e4 g4g3 f2g3 h4e4 d1d2 e4f3 g1h2 f3h5 h2g1 h5f3 g1h2 c8f5 e3e4 f5e4 e1e4 f3e4 d4d5 a5c4
10th Essent,Hoogeveen NED,2006.10.26,4,"Topalov,V","Mamedyarov,S",1-0,2813,2728,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 a2a4 e7f8 c2d3 c7c6 a1b1 d8c7 d1c2 g7g6 a4b5 a6b5 d4e5 d6e5 d2b3 e8b8 c3c4 b5c4 d3c4 b7a6 b3d2 d7c5 c4a6 a8a6 d2c4 f6d7 e1d1 c5e6 c1e3 a6a8 c2d2 b8d8 d2c3 c6c5 f3e5 f8g7 f2f4 g6g5 g2g3 g5f4 g3f4 d7e5 c4e5 g7e5 f4e5 g8h8 e3f2 c7e7 c3f3 d8g8 g1h1 g8g6 d1d5 a8g8 b1g1 g6g1 f2g1 g8g6 h1h2 h8g7 g1e3 c5c4 d5d6 e7c7 h3h4 c7a5 d6d5 a5e1 h2h3 g7f8 d5d7 g6g3 f3g3 e1h1 h3g4 h1e4 g4h5
10th Essent,Hoogeveen NED,2006.10.27,5,"Polgar,Ju","Mamedyarov,S",0-1,2710,2728,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 d2f1 e7f8 f1g3 g7g6 b2b3 d6d5 c1g5 h7h6 g5h4 g6g5 f3g5 h6g5 h4g5 e5d4 e4e5 e8e5 e1e5 d7e5 c3d4 e5c6 g3f5 b7c8 a1c1 c8f5 c2f5 d8d6 g5h4 c6e7 h4g3 d6b4 f5b1 c7c6 g3e5 f8g7 a2a3 b4a3 c1c3 f6d7 c3g3 d7e5 d4e5 a3b4 g3g4 b4c3 f2f4 d5d4 g1h2 e7d5 f4f5 d4d3 d1d3 c3e5 g4g3 d5f6 d3f3 a8d8
10th Essent,Hoogeveen NED,2006.10.27,5,"Sokolov,Iv","Topalov,V",0-1,2670,2813,A43,d2d4 g8f6 g1f3 c7c5 d4d5 g7g6 b1c3 f8g7 e2e4 d7d6 f1b5 f6d7 a2a4 b8a6 e1g1 a6c7 f1e1 c7b5 a4b5 e8g8 c1f4 d7b6 e4e5 c8f5 h2h3 h7h6 d1e2 g6g5 f4g3 d8d7 h3h4 f7f6 e5e6 d7e8 f3h2 f5g6 f2f4 g6h5 e2d3 g5f4 g3f4 e8g6 h2f1 f6f5 g1h2 g6g4 d3g3 g4g3 f1g3 h5e8 g3e2 g8h7 f4g3 b6c4 b2b3 c4e3 a1c1 f8g8 c3d1 e3d5 c2c4 d5b4 d1e3 a7a6 b5a6 a8a6 e3f5 g7f6 e2f4 a6a2 f4d5 b4d5 c4d5 e8h5 e1f1 a2d2 f5e3 f6d4 e3c4 d2d3 g3f4 d3b3 c4d2 b3b2 c1b1 h5g6 b1b2 d4b2 f1f3 g8f8 d2c4 g6e4 f4d6 e4f3
