Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Johannesburg,Johannesburg,1981.??.??,1,"Andersson, Ulf","Nunn, John DM",1-0,2600,2580,A26,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 b1c3 b8c6 d2d3 e7e5 a1b1 a7a5 a2a3 c6d4 b2b4 a5b4 a3b4 c7c6 b4b5 c8g4 c1g5 g4f3 g2f3 h7h6 g5f6 d4f3 e2f3 g7f6 b5c6 b7c6 b1b7 a8a3 d1c2 d6d5 c4d5 c6d5 c3b5 a3a5 c2c6 f6g7 f1b1 a5a2 b5d6 e5e4 d6f7
Johannesburg,Johannesburg,1981.??.??,1,"Andersson, Ulf","Kortschnoj, Viktor",1/2-1/2,2600,2695,E03,g1f3 g8f6 c2c4 e7e6 g2g3 d7d5 d2d4 d5c4 d1a4 b8d7 a4c4 c7c5 f1g2 a7a6 c4c2 b7b5 d4c5 f8c5 f3d4 f6d5 d4b3 c8b7 b3c5 d7c5 e1g1 a8c8 f1d1 e8g8 b1c3 c5d7 g2d5 b7d5 c2d3 d5c6 c1f4 e6e5 f4e3 f7f5 f2f3 d8e8 a2a4 e5e4 f3e4 f5e4 d3d4 b5a4 d1f1 e8e6 c3a4 f8f1 a1f1 c8f8 f1f8 g8f8 a4c5 d7c5 d4c5 f8f7 e3d4 e6d5 c5d5
Johannesburg,Johannesburg,1981.??.??,1,"Huebner, Robert","Andersson, Ulf",1/2-1/2,2640,2600,B81,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 g2g4 h7h6 f1g2 b8c6 h2h3 a7a6 e1g1 c6d4 d1d4 e6e5 d4d3 f8e7 f2f4 e5f4 c1f4 c8e6 g1h1 e8g8 a1e1 a8c8 c3d5 e6d5 e4d5 f6d7 e1e2 b7b5 d3a3 d7c5 a3g3 e7h4 g3h2 c5b7 g2e4 f8e8 f1f3 c8c7 e4d3 e8e2 h2e2 c7e7 f3e3 b7c5 h1g2 e7e3 f4e3
Johannesburg,Johannesburg,1981.??.??,1,"Kortschnoj, Viktor","Huebner, Robert",1-0,2695,2640,D41,c2c4 c7c5 g1f3 g8f6 b1c3 e7e6 g2g3 b8c6 f1g2 d7d5 c4d5 f6d5 e1g1 f8e7 d2d4 e8g8 e2e4 d5b4 d4c5 e7c5 e4e5 c5e7 a2a3 b4d3 d1e2 d3c1 a1c1 d8a5 f1d1 f8d8 c3b5 a5a6 g2f1 c8d7 e2e3 a6b6 e3b6 a7b6 b5d6 a8b8 b2b4 d7e8 d6e8 d8e8 c1c3 e8d8 d1d8 b8d8 f1b5 g7g5 h2h3 d8d1 g1g2 d1a1 b5c6 b7c6 c3c6 a1a3 c6b6 a3b3 b6b7 g8f8 b7b8 f8g7 b8e8 e7b4 f3g5 b4c3 e8e7 c3e5 e7f7 g7g6 f7f3 b3f3 g5f3 e5c3 g2f1 c3b4 f1e2 b4c5 f3d2 g6f5 e2f3 h7h6 d2c4 f5f6 c4b2 f6f5 b2d3 c5b6 h3h4 b6d8 g3g4 f5g6 h4h5 g6f6 f3e4 d8b6 f2f3 b6g1 d3e5 f6g7 f3f4 g1c5 e5f3 c5d6 g4g5 d6e7 g5g6 g7f6 f3e5 f6g7 e4d4 e7b4 d4c4 b4d2 e5d3 d2e3 c4b5 g7f6 b5c6 f6e7 g6g7 e7f7 c6d7 f7g7 d7e6 e3d2 f4f5 d2c3 d3f2 c3b2 f2g4 b2c1 f5f6 g7g8 e6e7 c1a3 e7e8 g8h7 g4e3
Johannesburg,Johannesburg,1981.??.??,1,"Kortschnoj, Viktor","Nunn, John DM",0-1,2695,2580,E94,c2c4 g8f6 b1c3 g7g6 e2e4 d7d6 d2d4 f8g7 f1e2 e8g8 g1f3 b8d7 e1g1 e7e5 d1c2 a7a5 f1d1 e5d4 f3d4 d7c5 d4b5 f8e8 c1g5 c8d7 f2f3 c5e6 g5e3 f6h5 e2f1 f7f5 e4f5 g6f5 e3f2 e8f8 g2g3 h5f6 c2f5 f6g4 f5g4 e6g5 g4h5 d7e8 h5g5 d8g5 b5c7 f8f3 c7a8 f3f2 g1f2 g5c5 f2g2 g7c3 a8c7 e8g6 c7d5 g6e4 g2h3 c3b2 a1b1 c5f2 b1b2 f2b2 d5f4 e4f5 g3g4 b2f2
Johannesburg,Johannesburg,1981.??.??,1,"Nunn, John DM","Huebner, Robert",0-1,2580,2640,C52,e2e4 e7e5 f1c4 f8c5 g1f3 b8c6 b2b4 c5b4 c2c3 b4a5 d1b3 d8f6 e1g1 a5b6 d2d4 d7d6 d4e5 c6e5 f3e5 d6e5 a2a4 a7a6 g1h1 g8e7 f2f4 c8e6 a4a5 b6c5 b3b7 e8g8 f4e5 f6g6 b1d2 e6c4 d2c4 g6e6 b7b3 a8b8 b3a4 e7c6 c1f4 b8b5 a1d1 c5a7 h2h3 h7h6 d1d5 b5d5 e4d5 e6d5 c4e3 a7e3 f4e3 c6e5 e3f4 f8d8 f4e5 d5e5 a4c4 d8d5 c4a6 d5a5 a6c4 a5d5 c4b3 g7g6 b3c4 g8g7 c4b3 e5e4 b3a2 e4d3 f1f3 d3e4 f3f1 h6h5 a2b3 e4d3 h1g1 d5d7 b3b4 d3e3 g1h1 d7d5 b4b3 e3d3 h1g1 c7c5 b3b7 d3e3 g1h1 e3e6 b7c7 d5g5 c7f4 g5f5 f4c1 f5e5 c1d1 e5e2 d1d3 e6e4 d3g3 e2e3 g3f2 f7f5 c3c4 e3h3 h1g1 h3e3 f1d1 e3e2 f2g3 e4e5 g3h4 g7h6
Johannesburg,Johannesburg,1981.??.??,2,"Andersson, Ulf","Huebner, Robert",1/2-1/2,2600,2640,E02,g1f3 d7d5 d2d4 g8f6 c2c4 d5c4 d1a4 b8d7 g2g3 a7a6 b1c3 e7e6 f1g2 f8e7 f3e5 a8b8 e5d7 d8d7 a4c4 b7b5 c4c6 c8b7 c6d7 e8d7 e1g1 b7g2 g1g2 h8d8 f1d1 d7e8 c1g5 h7h6 g5f6 e7f6 e2e3 c7c5 d4c5 f6c3 b2c3 b8c8 d1d8 e8d8 a2a4 c8c5 a4b5
Johannesburg,Johannesburg,1981.??.??,2,"Huebner, Robert","Kortschnoj, Viktor",1-0,2640,2695,C09,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 f1b5 b8c6 g1f3 f8d6 d4c5 d6c5 e1g1 g8e7 d2b3 c5d6 f1e1 e8g8 c1g5 d8c7 c2c3 h7h6 g5e7 c6e7 b3d4 a7a6 b5d3 c8d7 h2h3 f8e8 d1b3 d6c5 e1e2 c7b6 f3e5 a8d8 e5d7 d8d7 b3b6 c5b6 d4f5 g8f8 a1e1 d5d4 d3c2 d7c7 f5d4 b6d4 c3d4 e8d8 e1d1 c7d7 e2d2 e7c6 d4d5 c6e5 c2b3 f8e7 b3a4 b7b5 a4b3 g7g5 d2c2 h6h5 d1d4 g5g4 c2e2 e7f6 g1h2 d7e7 d4e4 f6f5 h2g3 f7f6 h3g4 h5g4 e4g4
Johannesburg,Johannesburg,1981.??.??,2,"Huebner, Robert","Nunn, John DM",1-0,2640,2580,E96,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 b8d7 e1g1 e7e5 f1e1 c7c6 e2f1 a7a5 d4e5 d6e5 c3a4 d8e7 d1c2 f8d8 h2h3 d7c5 a4c5 e7c5 c1e3 c5e7 a1d1 d8d1 e1d1 c8e6 f3e5 e6h3 e5c6 b7c6 g2h3 f6e4 f1g2 f7f5 b2b3 a8e8 g2e4 f5e4 c2d2 e7h4 d2d7 e8f8 d7e6 g8h8 d1d7 h4h5 e6e7 h5e5 e7f8
Johannesburg,Johannesburg,1981.??.??,2,"Kortschnoj, Viktor","Andersson, Ulf",1-0,2695,2600,A33,c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 d2d4 c5d4 f3d4 e7e6 d4b5 f8b4 c1f4 e8g8 f4d6 b4d6 b5d6 f6e8 e2e3 d8b6 a1b1 b6b4 d6e8 f8e8 f1e2 e8d8 e1g1 b7b6 d1d2 c8a6 f1d1 a8c8 a2a3 b4e7 b2b3 d7d6 d2b2 e7c7 d1d2 c6e7 e3e4 d8d7 b1d1 c8d8 d2d3 a6b7 d3g3 g7g6 e2g4 a7a6 h2h4 c7c5 h4h5 c5e5 b2d2 b7c6 a3a4 g8h8 h5g6 h7g6 g3h3 h8g8 d1e1 e5g7 e1e3 d7b7 e3d3 c6e8 d2g5 e7c6 h3h6
