Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Krakow,Krakow,1940.??.??,1,"Muller, Hans","Richter, Kurt",*,,,A46,d2d4 g8f6 g1f3 b7b5 e2e3 a7a6 f1d3 c8b7 b1d2 e7e6 e1g1 c7c5 c2c3 b8c6 a2a4 c5c4 d3c2 d7d5 a4b5 a6b5 a1a8 b7a8 e3e4
Krakow,Krakow,1940.??.??,1,"Kohler, Anton","Gilg, Karl",1-0,,,C81,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 c6a5 b1d2 e4d2 c1d2 c7c5 c2c3 a5b3 a2b3 d8b6 d2e3 b5b4 a1a4 e6d7 a4a1 d5d4 c3d4 d7b5 d4c5 b6b7 e2c2 b5f1 a1f1 a8c8 f1c1 b7c6 f3d4 c6d5 d4f5 d5e5 e3d4 e5e6 g1f1 e8d7 c2d3 d7c7 c5c6 f7f6 d3g3
Krakow,Krakow,1940.??.??,1,"Kieninger, Georg","Lokvenc, Josef",0-1,,,E80,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3 b8d7 c1e3 c7c6 d1d2 h7h6 g1h3 d8a5 h3f2 a7a6 a2a4 c6c5 d4d5 d7e5 f1e2 a5b4 a4a5 c8d7 e1g1 g6g5 d2c2 f6h5 e3d2 h5f4 b2b3 b7b5 c3b5 f4e2 g1h1 e2d4 b5d4 b4b7 d4e2 a8b8 a1b1 g7f6 d2c3 h6h5 c3e5 f6e5 f2d3 e5f6 b3b4 c5b4 b1b4 b7c7 b4b8 c7b8 f1b1 b8c7 c2a2 e8g8 b1b4 f8c8 f3f4 d7g4 f4g5 f6g5 e2d4 g4d7 h2h3 g5f6 d4e2 c7a7 a2d2 c8b8 b4b8 a7b8 d2b4 b8c7 b4b6 c7c4 b6d8 g8g7 d3f4 f6e5 f4h5 g7h7 h5g3 c4a4 d8e7 h7g6 e7h4 a4a5 e2f4 g6g7 h4g5 g7f8 f4d3 a5a1 h1h2 e5f6 g5f4 f8e7 h3h4 a1c3 d3f2 a6a5 f2g4 d7g4 f4g4 f6e5 g4g5 e7d7 h4h5 a5a4 h5h6 a4a3 h6h7 a3a2 h7h8q e5h8 g5f4 a2a1q f4f7 d7c8
Krakow,Krakow,1940.??.??,2,"Lokvenc, Josef","Rellstab, Ludwig Sr",1/2-1/2,,,E14,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 b1d2 b7b6 e2e3 c8b7 f1d3 e8g8 e1g1 f8e8 a2a3 b4f8 b2b4 a7a5 b4b5 d7d6 f1e1 e6e5 e3e4 b8d7 d1c2 g7g6 c1b2 f6h5 a1d1 f8g7 d3f1 e5d4 f3d4 d7c5 f2f3 h5f4 g2g3 f4e6 d4e6 e8e6 b2g7 g8g7 f1h3 e6e8 d2f1 d8f6 h3g2 g7g8 f1e3 e8e7 c2d2 a8e8 e3g4 f6g7 d2g5 e7e6 g5d2 c5b3 d2d3 b3c5 d3d2 g8f8 g4e3 g7h6 d2c3 f7f5 e3d5 b7d5 c4d5 e6e7 e4f5 e7e1 d1e1 e8e1 c3e1 g6f5 f3f4 h6f6 e1e3 f6a1 g2f1 c5e4 e3d3 a1b2 f1e2 f8g7 d3e3 e4f6 e3e7 g7g6 e7e6 b2d4 g1f1 d4d5 e2h5 g6h5 e6f6 h5g4 f6g7 g4f3 g7c3 f3e4 c3c7 d5b5 f1g2 b5b2 g2h3 d6d5 c7c6 b2a2 a3a4 h7h6 c6e8 e4d3 e8e6 d3c3 e6f5 d5d4 f5e5 a2a4 f4f5 a4d7 g3g4 a5a4 f5f6 a4a3 e5e1 c3b3 e1b1 b3a4 b1d1 a4b4 d1e1 b4b3 e1b1 b3a4 b1d1 a4b4 d1e1 b4b3
Krakow,Krakow,1940.??.??,2,"Eisinger, Max Jr","Kohler, Anton",1-0,,,B29,e2e4 c7c5 g1f3 g8f6 e4e5 f6d5 b1c3 e7e6 c3d5 e6d5 d2d4 d7d6 f1b5 c8d7 b5d7 d8d7 e1g1 c5d4 f1e1 f8e7 e5d6 d7d6 c1g5 f7f6 f3d4 d6d7 d1h5 e8d8 g5f4 g7g6 h5f3 b8c6 d4e6 d8c8 e6c7 c6e5 f4e5 f6e5 c7a8 h8f8 f3c3 c8b8 c3e5 e7d6 e5e6 d7d8 e1e2 b8a8 a1e1 a7a6 e6e8 a8a7 e8d8 f8d8 g2g3 a7b6 e2e8 d8d7 e1d1 d6c5 g1g2 d7f7 f2f4 f7d7 c2c3 a6a5 g2f3 c5e7 g3g4 b6c6 f4f5 g6f5 g4f5 a5a4 c3c4 d5c4 e8c8 d7c7 c8c7 c6c7 d1c1 b7b5 b2b3 a4a3 b3c4 b5b4 c1b1 c7c6 f5f6
Krakow,Krakow,1940.??.??,3,"Rellstab, Ludwig Sr","Kieninger, Georg",1-0,,,C62,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 d7d6 d2d4 c8d7 b5c6 d7c6 d1d3 e5d4 f3d4 c6d7 e1g1 f8e7 b2b3 e8g8 c1b2 f8e8 a1e1 e7f8 f2f4 c7c5 d4e2 d7c6 e2g3 a8b8 c3d1 b7b5 h2h3 b8b7 e1e2 b7d7 c2c4 a7a6 f1e1 b5c4 b3c4 d7b7 d1f2 f6d7 g3f5 d8b8 b2g7 f8g7 d3g3
Krakow,Krakow,1940.??.??,3,"Richter, Kurt","Gilg, Karl",1-0,,,B49,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 a7a6 e1g1 d8c7 c1e3 b7b5 f2f4 b5b4 c3a4 f6e4 e2f3 d7d5 f3e4 d5e4 f4f5 c6d4 d1d4 e6e5 d4e4 c8b7 e4g4 b7c6 a4b6 a8b8 b6c4 c6b5 b2b3 f7f6 g1h1 b8c8 c4b6 b5f1 g4h5 c7f7 h5f3 f7c7 b6c8 c7c8 a1f1 f8e7 f3h5 e8f8 f1d1 c8e8 h5f3 g7g5 f3b7 e8b5 b7c8 f8g7 c8e6 h8e8 d1d7 g7f8 h2h3 b5f1 h1h2 f1b5 d7e7 e8e7 e6f6 e7f7 f6d8 f8g7 d8g5 g7f8 g5d8 f8g7 d8g5 g7f8 g5g4 f8e7 e3g5 e7d6 f5f6 b5c5 g4e4 d6e6 e4g4 e6d6 g4e2 c5b5 e2e4 b5b7 e4d3 d6e6 g2g4 b7b5 d3f5 e6d6 h2g3 b5d5 f5c8 d5b7 c8d8 d6e6 d8e8 e6d5 e8d8 d5e6 d8d3 b7b5 d3f5 e6d6 g5h6 b5d5 f5c8 d5b5 h6f8 d6d5 f8e7 a6a5 g4g5 d5d4 h3h4 e5e4 c8c4 b5c4 b3c4 d4c3 g3f4 c3c2 f4e4 c2b2 h4h5 b2a2 g5g6 b4b3 g6f7 b3b2 f7f8q b2b1q e4e5 b1e1 e5d5 e1d1 d5e6 d1g4 e6f7 g4h5 f7g7 h5g6 g7h8 h7h5 f6f7 h5h4 f8g7 g6h5 h8g8
Krakow,Krakow,1940.??.??,5,"Ahues, Carl Oscar","Lokvenc, Josef",1-0,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 e2e3 d7d6 f1d3 e6e5 d4d5 b4c3 c2c3 c6e7 e3e4 e8g8 g1e2 f6d7 c1e3 c7c5 e1g1 f7f5 e4f5 e7f5 d3f5 f8f5 e2g3 f5f8 f2f4 b7b6 a1d1 d8h4 f4e5 d7e5 f1f8 g8f8 d1f1 f8g8 e3f4 c8d7 g3e4 e5g6 c3g3 h4e7 f1e1 g6f4 g3f4 a8e8 e1f1 h7h6 e4d6 e7e3 f4e3 e8e3 f1f7 d7g4 h2h3 e3e1 g1f2 e1e2 f2f1 g4h5 g2g4 e2b2 g4h5 b2a2 f7b7 g8f8 d6f5
Krakow,Krakow,1940.??.??,5,"Blumich, Max","Rellstab, Ludwig Sr",1-0,,,C29,e2e4 e7e5 b1c3 g8f6 f2f4 d7d5 f4e5 f6e4 g1f3 f8b4 f1e2 b8c6 e1g1 e8g8 d1e1 c8g4 d2d3 e4c5 e1g3 g4f3 e2f3 b4c3 b2c3 c5e6 a1b1 a8b8 d3d4 c6e7 c1a3 f8e8 f1f2 e7g6 b1f1 d8d7 f3h5 d7a4 a3c1 e8e7 h5g4 b8e8 h2h4 c7c5 h4h5 g6f8 c1h6 g8h8 h6e3 c5d4 c3d4 h8g8 h5h6 f8g6 c2c3 a4c6 h6g7 e6g7 e3d2 g7e6 f2f6 c6c4 d2h6 e6d4 e5e6 e7e6 f6f7 d4e2 g4e2 c4c5 g1h2 e6e2 f7g7 g8h8 f1f7 c5c6 g7h7 h8g8 f7g7 g8f8 g7g6
Krakow,Krakow,1940.??.??,5,"Bogoljubow, Efim","Eisinger, Max Jr",1-0,,,E87,d2d4 g8f6 c2c4 g7g6 f2f3 c7c5 d4d5 d7d6 e2e4 f8g7 b1c3 e8g8 f1d3 e7e5 c1e3 f6h5 d1c2 f7f5 e4f5 c8f5 g1e2 b8a6 a2a3 a6c7 e1g1 d8h4 c3e4 f5e4 d3e4 b7b5 b2b4 c5b4 c4c5 c7a6 a3b4 a6b4 c2d2 h5f4 e3f4 e5f4 d2b4 g7a1 f1a1 h4f6 a1b1 a7a5 b4b5 a5a4 b5b2 f6b2 b1b2 a4a3 b2a2 d6c5 g1f2 g8g7 d5d6 a8a6 d6d7 f8d8 e4b7 a6a7 b7c8 g6g5 e2c3 a7a5 c3e4 c5c4 f2e2 a5b5 a2a3 b5b2 e4d2 h7h5 a3c3 g5g4 c3c4 g4f3 g2f3
