Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Krefeld MT,Krefeld,1871.??.??,?,"Anderssen, Adolf","Pitschel, Karl",1-0,,,C10,e2e4 e7e6 d2d4 d7d5 b1c3 a7a6 g1f3 b8c6 f1d3 b7b6 e1g1 f8e7 c1e3 c6b4 d3e2 g8f6 a2a3 d5e4 f3d2 b4d5 d2e4 d5c3 e4c3 e8g8 e2d3 e7d6 d1f3 a8b8 a1d1 f8e8 c3e2 c8d7 c2c4 e6e5 d3f5 e5e4 f3h3 d7f5 h3f5 d8c8 f5c8 b8c8 c4c5 d6f8 d4d5 e8d8 e2c3 f6g4 e3d4 d8e8 h2h3 g4f6 f1e1 f6d7 c3e4 f7f5 e4g3 f8c5 g3f5 c5d4 f5e7 g8f7 e7c8 d7e5 d5d6 e8c8 d1d4 c7d6 d4d6 c8e8 e1e4 e8e7 d6b6 g7g5 b6h6 f7g7 h6h5 g7g6 h5g5 g6g5 f2f4 g5f5 e4e5 e7e5 f4e5
Krefeld MT,Krefeld,1871.??.??,?,"Anderssen, Adolf","Von Minckwitz, Johannes",1-0,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d4 f5e4 f3e5 f8d6 e1g1 d6e5 d4e5 c6e5 b1c3 g8f6 c1g5 c7c6 g5f6 g7f6 d1h5 e8f8 c3e4 d7d5 a1d1 c8g4 h5h6 f8f7 f2f3 g4d7 f3f4 e5g4 h6h5 f7g7 b5e2 h8e8 e2g4 e8e4 d1d3 d7g4 h5g4 g7h8 d3g3 d8e7 h2h4 e4e3 f1f3 e3f3 g4f3 a8g8 f3e3 g8g7 g1f2 e7e3 g3e3 h8g8 e3e8 g8f7 e8a8 a7a6 f4f5 f7e7 f2f3 e7d6 a8h8 d6e5 g2g4 e5d6 f3f4 g7e7 h4h5 e7e4 f4f3 e4e7 h5h6 d6e5 h8g8 e5d6 g8g7 b7b6 g4g5 f6g5 f3g4 e7e2 g7h7 e2c2 h7g7 d6e5 g4g5 c2g2 g5h5 g2b2 h6h7 b2h2 h5g6 h2g2 g6f7 g2h2 f5f6
Krefeld MT,Krefeld,1871.??.??,?,"Pitschel, Karl","Paulsen, Wilfried",1-0,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 h2h3 e8g8 e1g1 d6d5 e4d5 f6d5 f1e1 d8d6 b2b4 c5b6 b4b5 c6a5 c4d5 d6d5 e1e5 d5d7 d1e2 c7c5 b1a3 d7d6 c3c4 f7f6 e5d5 d6e6 c1e3 c8d7 a1e1 f8e8 e2d2 e6f7 e3c5 e8e1 f3e1 b6c7 c5d6 c7d6 d5d6 b7b6 d6d4 a5b7 a3c2 b7c5 c2b4 f7g6 b4d5 a8e8 d5f4 g6h6 e1f3 d7c8 d4d5 g7g5 f4e2 c8b7 d5f5 b7c8 f5d5 c8b7 d5d6 h6f8 d6d4 c5e6 d4g4 h7h5 g4g3 g8h7 f3d4 e6d4 e2d4 f8c5 g3e3 e8g8 d2e2 h7h6 d4e6 c5f5 d3d4 g5g4 h3h4 b7f3 e2d2 h6h7 g2g3 g8c8 d2b4 h7g8 e3e1 c8e8 b4d6 f3e4 e6f4 g8f7 c4c5 f7g8 a2a4 g8h7 d6c7 h7h6 c7f7 e4c6 e1f1 f5e4 b5c6 e4c6 f7g6
Krefeld MT,Krefeld,1871.??.??,?,"Anderssen, Adolf","Goering, Carl Theodor",1-0,,,C63,e2e4 e7e5 g1f3 b8c6 f1b5 f7f5 d2d4 f5e4 f3e5 g8f6 e1g1 f8e7 c2c3 e8g8 d1b3 d7d5 e5c6 b7c6 b5c6 c8a6 c6a8 a6c4 b3d1 d8a8 f1e1 a8c8 c1e3 c8f5 b1d2 c4d3 h2h3 h7h5 d2f1 h5h4 f1h2 e7d6 h2g4 f6h5 g4e5 h5f6 f2f4 c7c5 d4c5 d6e5 f4e5 f6d7 e3d4 d7e5 d4e5 f5e5 d1d3
Krefeld MT,Krefeld,1871.??.??,?,"Paulsen, Wilfried","Goering, Carl Theodor",0-1,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 b4b5 c6a5 c4e2 d7d6 e1g1 g8f6 d2d3 a7a6 a2a4 c8d7 c2c4 c7c6 b5a6 b7a6 c1e3 a5b7 b1c3 b7c5 d1c2 c5e6 e3b6 d8b6 a4a5 b6a7 c3a4 e8g8 a4b6 a8b8 f1d1 d7c8 d3d4 a7c7 c4c5 d6c5 d4e5 f6g4 c2c3 f7f6 b6c8 c7c8 e5f6 g4f6 e2c4 g8h8 e4e5 f6h5 d1d6 h5f4 a1d1 e6d4 f3d4 c8g4 c3f3 f4h3 g1f1 f8f3 d4f3 g4c4 f1e1 g7g6 g2h3 c4e4 e1f1 e4f3 f1g1 b8f8 d1d2 f8f5
Krefeld MT playoff-1pl,Krefeld,1871.??.??,?,"Von Minckwitz, Johannes","Anderssen, Adolf",0-1,,,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 f1c4 g8f6 d2d3 c7c6 b1c3 d8e7 f4e5 d6e5 d1e2 b7b5 c4b3 a7a5 a2a4 b5b4 c3d1 c8a6 d1e3 g7g6 e3c4 b8d7 c1e3 c5d6 e1c1 d6c7 h2h3 f6h5 e2f2 h5g7 h1f1 g7e6 d3d4 e5d4 f3d4 e6d4 d1d4 a6c4 d4c4 d7e5 e3c5 e7g5 c5e3 g5e7 e3c5 c7d6 c5d6 e7d6 c4c5 e8g8 f1d1 d6e7 f2d4 f8e8 d1d2 g8g7 d2f2 f7f6 d4e3 e8d8 f2d2 d8d2 c1d2 e7d6 d2e2 d6c7 c2c3 a8d8 e3f4 g6g5 f4e3 d8d3 e3f2 c7d6 e2f1 d3d1
Krefeld MT playoff-1pl,Krefeld,1871.??.??,?,"Paulsen, Louis","Von Minckwitz, Johannes",1/2-1/2,,,C47,e2e4 e7e5 b1c3 b8c6 g1f3 g8f6 f1e2 f8b4 d2d3 d7d5 c1d2 d5e4 d3e4 e8g8 e1g1 b4c3 d2c3 f6e4 d1d8 f8d8 c3e5 c6e5 f3e5 d8e8 f2f4 e4d6 e2f3 c8f5 f1f2 f7f6 f3d5 g8f8 e5f3 f5e4 a1d1 e4d5 d1d5 e8e7 g2g3 a8e8 d5d4 d6f5 d4d3 f8f7 b2b3 h7h5 c2c3 g7g6 f2d2 b7b6 d3d7 e7d7 d2d7 e8e7 d7d2 c7c5 g1f2 e7e6
Krefeld MT playoff-1pl,Krefeld,1871.??.??,?,"Anderssen, Adolf","Paulsen, Louis",0-1,,,C01,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 f1d3 c7c5 e4d5 e6d5 g1f3 b8c6 e1g1 c5c4 d3e2 f8b4 c1d2 e8g8 b2b3 c4b3 a2b3 f6e4 c3b5 e4d2 f3d2 a7a6 d2f3 c8g4 c2c3 b4a5 b3b4 a5b4 c3b4 a6b5 a1a8 d8a8 e2b5 c6b4 d1b3 g4f3 b3b4 f3e4 f2f3 e4f5 b4c5 a8a5 f1c1 f5e6 b5d3 a5d2 c5c3 d2g5 g2g3 g7g6 f3f4 g5h5 c3e1 f8e8 e1e5 h5f3 e5e2 f3e2 d3e2 e6d7 e2f3 d7c6 c1c5 e8d8 g1f2 f7f6 h2h4 h7h6 f2e3 g8f7 f4f5 g6g5 h4g5 f6g5 g3g4 f7f6 c5c1 d8e8 e3d3 h6h5 c1h1 h5h4 h1a1 f6e7 d3d2 e7d6 a1a3 c6b5 a3b3 b5c6 b3a3 h4h3 f3h1 e8h8 d2e3 b7b5 e3f2 h3h2 f2g3 b5b4 a3b3 h8b8 g3h2 c6a4 b3h3 b8d8 h1g2 a4c2 g2f1 b4b3 h3h6 d6c7 h6h7 d8d7 h7d7 c7d7 f1b5 d7c7 b5a4 c2d1
Krefeld MT,Krefeld,1871.??.??,?,"Paulsen, Louis","Pitschel, Karl",1-0,,,C01,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 c1e3 c8e6 b1d2 f8d6 c2c4 e8g8 c4c5 d6e7 a1c1 c7c6 f1d3 b8d7 e1g1 h7h6 d3b1 d8c7 d1c2 f8e8 f1e1 d7f8 f3e5 f8d7 e3f4 g7g5 f4g3 c7d8 e5d7 d8d7 g3e5 g8f8 f2f4 f6e4 d2e4 d5e4 c2e4 f7f5 e4e2 g5g4 c1c3 e7h4 g2g3 h4d8 a2a3 f8f7 h2h4 h6h5 c3e3 a7a5 g1h2 a5a4 e5d6 d8f6 e3e6 d7e6 e2e6 e8e6 b1a2 a8e8 d6e5 f7g6 a2e6 e8e6 e1d1 e6e8 h2g2 e8d8 g2f2 d8d5 f2e3 f6d8 d1c1 d8a5 e3e2 g6f7 c1d1 b7b5 d1d3 d5d7 e5d6 f7e6 d3e3 e6f6 e3e8 a5d8 d6e5 f6f7 e8h8 f7g6 h8g8 g6f7 g8g7 f7e6 g7g6 e6d5 e2d3 d8a5 g6f6 a5e1 f6f5 e1g3 f5h5 d7b7 e5d6 d5e6 f4f5 e6f6 d6g3 b5b4 g3e5
Krefeld MT,Krefeld,1871.??.??,?,"Von Minckwitz, Johannes","Paulsen, Louis",1-0,,,C71,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 d2d4 e5d4 f3d4 g8e7 c1g5 c8d7 b1c3 h7h6 g5e3 c6d4 a4d7 d8d7 e3d4 e7c6 c3d5 e8c8 e1g1 d7e6 f2f3 h8g8 c2c4 g7g5 d4c3 f8g7 c3g7 g8g7 b2b4 g5g4 b4b5 g4f3 f1f3 c6e5 f3f2 e5g4 f2f4 d8g8 b5a6 b7b5 a6a7 c8b7 a1b1 g4e5 b1b5 b7c6 b5b8 g7g2 g1h1 g2a2 d1b1 g8g1 b1g1 a2a7 g1a7
Krefeld MT,Krefeld,1871.??.??,?,"Pitschel, Karl","Von Minckwitz, Johannes",0-1,,,C54,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 a2a4 a7a6 c2c3 g8f6 d2d3 d7d6 c1g5 c8e6 b1d2 c6e7 c4e6 f7e6 d1b3 d8d7 d2c4 b6a7 b4b5 e8g8 h2h3 e7g6 b5b6 c7b6 b3b4 a8d8 e1e2 d7c7 g5e3 d6d5 e3b6 a7b6 b4b6 c7b6 c4b6 d5e4 d3e4 g6f4 e2f1 f6e4 b6c4 f4d3 a1a2 d3f2 h1h2 d8d1 f1e2 e4c3 e2f2 c3a2 c4e5 a2c3 a4a5 d1d5 f2e3 d5a5 g2g4 c3d5 e3d3 a5a3
Krefeld MT,Krefeld,1871.??.??,?,"Paulsen, Louis","Goering, Carl Theodor",1-0,,,C48,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8c5 d2d3 d7d6 c3a4 c5b6 a4b6 a7b6 c2c3 c8d7 e1g1 c6e7 b5c4 e7g6 c4b3 e8g8 f3e1 d7g4 f2f3 g4e6 b3c2 f6h5 g2g3 d8d7 a2a3 d6d5 e1g2 c7c6 c1e3 c6c5 d1e2 d5d4 c3d4 c5d4 e3d2 f7f5 e4f5 f8f5 g3g4 h5f4 g2f4 g6f4 d2f4 f5f4 e2e5 a8f8 a1e1 e6d5 c2a4 b6b5 a4d1 g8h8 h2h3 d5c6 e5e7 d7c8 e1e5 f8f7 e7h4 c8f8 f1e1 h7h6 h4h5 h8h7 e5e6 f7f6 g4g5 g7g6 e6f6 f4f6 h5h6 f8h6 g5h6 h7h6 g1g2 f6f5 h3h4 g6g5 h4g5 f5g5 g2f2 h6g6 d1b3 g6f5 b3e6 f5f4 e1h1 g5g6 h1h4 f4e5 e6g4 g6f6 f2g3 c6e8 g4h3 e8c6 f3f4 e5d6 h3g4 c6e8 h4h8 e8c6 h8d8 d6e7 d8d4 f6h6 g4f3 c6d7 f3b7 h6h3 g3g2 h3h5 b7f3 h5c5 d4e4 e7f6 e4e2 d7f5 e2d2 c5c7 d3d4 c7g7 g2f2 f6e6 d2e2 e6d6 e2e5 f5d7 e5d5 d6c7 d5g5 g7f7 f2e3 c7b6 g5g6 b6a5 b2b4 a5a4 g6a6 a4b3 f3d5
Krefeld MT,Krefeld,1871.??.??,?,"Paulsen, Wilfried","Anderssen, Adolf",0-1,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 b4b5 c6a5 c4e2 d7d6 e1g1 g8f6 b1c3 e8g8 d2d4 c8g4 d4e5 g4f3 e2f3 d6e5 c3a4 a5c4 a4b6 a7b6 c2c3 d8d1 f1d1 c4d6 c1b2 f8e8 a2a4 f6e4 d1e1 e4c5 f3d1 c5d3 e1e2 d3b2 e2b2 d6e4 d1f3 e4c5 b2a2 a8d8 f3e2 g7g6 e2c4 g8g7 a2e2 c5a4 e2e3 a4c5 a1e1 f7f5 f2f3 g7f6 g2g3 d8d2 c4f1 g6g5 f3f4 g5f4 g3f4 e5e4 e3g3 c5e6
Krefeld MT,Krefeld,1871.??.??,?,"Goering, Carl Theodor","Pitschel, Karl",0-1,,,C42,e2e4 e7e5 g1f3 g8f6 b1c3 d7d5 e4d5 c8g4 f1b5 b8d7 e1g1 f8d6 d2d3 a7a6 b5a4 h7h6 c3e4 f6d5 c2c4 d5f6 h2h3 g4f5 e4d6 c7d6 f3h4 f5h7 f2f4 e8g8 f4f5 b7b5 a4c2 a8c8 b2b3 d8b6 g1h1 b6d4 c1h6 d4h4 h6e3 f6h5 e3f2 h4g5 g2g4 h5f6 d1e1 f6g4 f2h4 g5e3 h3g4 e3h3 h1g1 h3g4 g1h2 h7f5 c2d1 g4h3 h2g1 f5d3 f1f3 h3g4 g1h2 g4d4 a1c1 e5e4 f3f5 d4b2 d1c2 d3c2 e1d2 e4e3 d2c2 b2d4 h4e1 d7e5 f5h5 g7g6 c2g2 g8g7 e1c3 d4f4 h2h1 f8h8 h5h8 c8h8 h1g1 e3e2 c3e5 d6e5 c1e1 f4e3 g2f2 h8h1 g1g2 h1h2 g2h2 e3f2
Krefeld MT,Krefeld,1871.??.??,?,"Anderssen, Adolf","Paulsen, Louis",0-1,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 d2d3 b7b5 a4b3 c6a5 b1c3 g8f6 e1g1 f8e7 h2h3 e8g8 c3e2 a5b3 a2b3 c7c5 e2g3 f6e8 c1d2 g7g6 d2a5 d8d7 b3b4 f7f6 c2c3 e8g7 b4c5 d6c5 d3d4 c5d4 c3d4 e5d4 a5b6 g7e6 b6d4 e6d4 f3d4 g8h8 a1c1 c8b7 c1c3 e7d6 d4e2 a8d8 c3d3 d7e7 e2c3 d6g3 f2g3 b5b4 c3d5 e7e4 f1f4 e4e5 f4b4 b7d5 b4d4 d5b3 d4d8 b3d1 d8f8 h8g7 f8d8 d1a4 d3d4 a4c6 g1h2 g6g5 d4d2 h7h5 d8d3 h5h4 d3c3 f6f5 d2f2 h4g3 c3g3 f5f4 g3c3 f4f3 g2g3 e5e1 c3c2 c6e4 c2d2 e4d3
Krefeld MT+,Krefeld,1871.??.??,1,"Von Minckwitz, Johannes","Paulsen, Wilfried",1/2-1/2,,,C01,d2d4 e7e6 e2e4 d7d5 e4d5 e6d5 g1f3 g8f6 f1d3 f8d6 e1g1 e8g8 c1g5 c8g4 b1c3 c7c6 h2h3 g4f3 d1f3 b8d7 c3e2 d8c7 e2g3 f8e8 a1e1 e8e1 f1e1 a8e8 e1e8 f6e8 g3f5 d7f8 f5d6 c7d6 c2c3 f8g6 f3f5 d6c7 f5g4 h7h6 g5d2 e8f6 g4f5 c7d8 f2f3 f6d7 h3h4 g6f8 g2g3 d8f6 g1f2 f6f5 d3f5 d7f6 g3g4 f8e6 f2g3 g8f8 b2b3 f8e7 d2c1 f6e8 g4g5 h6g5 h4g5 g7g6 f5d3 e8c7 c1a3 e7d7 g3g4 c7b5 a3b2 b5d6 f3f4 e6g7 g4f3 g7f5 b2c1 b7b5 c1a3 a7a5 a3c5 d7c7 a2a3 c7d7 c5b6 d6b7 d3f5 g6f5 a3a4 b5a4 b3a4 d7d6 f3e3 c6c5 d4c5 b7c5 b6a5 c5a4 a5b4 d6e6 e3d4 a4b2 b4a5 b2c4 a5c7
