Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lake Hopatcong,Lake Hopatcong,1926.??.??,1,"Marshall, Frank James","Maroczy, Geza",0-1,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 d1g4 c7c5 g1f3 b8c6 f1b5 c5d4 f3d4 c6d4 g4d4 a7a6 b5d7 c8d7 e1g1 a8c8 d4g4 h7h5 g4g3 h5h4 g3d3 h4h3 g2g3 d8c7 f1e1 c7c4 c1e3 c4g4 d3e2 g4f5 a1d1 c8c4 d1d4 f8b4 f2f4 b4c3 b2c3 c4c3 e1c1 d7b5 e2d2 c3c4 a2a4 c4a4 c2c4 a4c4 c1c4 b5c4 d4c4 d5c4 d2d6 f5d3 e3d4 d3d1 g1f2 d1d2 f2f3 d2g2 f3e3 g2d5 d6b8 d5d8 b8b7 e8g8 b7a6 d8c8 a6a1 f8d8 g3g4 c8b7 f4f5 b7b3 e3f4 b3d3 d4e3 c4c3
Lake Hopatcong,Lake Hopatcong,1926.??.??,1,"Capablanca, Jose Raul","Lasker, Edward",1-0,,,D52,g1f3 g8f6 c2c4 c7c6 d2d4 d7d5 b1c3 e7e6 c1g5 b8d7 e2e3 d8a5 c4d5 e6d5 f1d3 f6e4 e1g1 d7f6 g5f6 e4c3 b2c3 g7f6 d1c2 f8d6 d3f5 c8e6 a1b1 a5c7 f5e6 f7e6 e3e4 e8c8 c3c4 d6f4 b1b3 d5c4 c2c4 c7f7 f1b1 d8d7 e4e5 f6e5 d4e5 h8d8 c4c6 c8b8 g2g3 d7d1 g1g2 d1b1 b3b1 d8d5 c6c3 f7f5 c3b4 b7b5 f3h4 a7a5 b4b5
Lake Hopatcong,Lake Hopatcong,1926.??.??,2,"Lasker, Edward","Marshall, Frank James",0-1,,,C42,e2e4 g8f6 b1c3 e7e5 g1f3 f8b4 f3e5 e8g8 f1e2 f8e8 e5d3 b4c3 d2c3 f6e4 e1g1 d7d5 d3f4 c7c6 c1e3 e4d6 e2d3 c8f5 d1f3 f5e4 f3h3 d8d7 e3c5 d7h3 f4h3 d6c4 d3c4 d5c4 a1c1 b8d7 c5d4 h7h6 f1d1 e4f5 h3f4 g7g5 f4h5 f5g4 d4e3 e8e7 d1d7 g4d7 h2h4 g5h4 e3h6 d7f5 c1d1 e7e6 h6g5 f5g4
Lake Hopatcong,Lake Hopatcong,1926.??.??,2,"Kupchik, Abraham","Capablanca, Jose Raul",0-1,,,A47,d2d4 g8f6 g1f3 e7e6 e2e3 b7b6 f1d3 c8b7 e1g1 f6e4 b1d2 f7f5 c2c3 f8e7 d1c2 d7d5 f3e5 e8g8 f2f3 e4d2 c1d2 b8d7 e5d7 d8d7 a1e1 c7c5 c2d1 f8f6 d1e2 a8f8 d3b5 d7c7 f3f4 c5c4 g1h1 e7d6 f1f3 h7h5 e1f1 f6h6 d2e1 g7g6 e1h4 g8f7 e2e1 a7a6 b5a4 b6b5 a4d1 b7c6 f3h3 a6a5 h4g5 h6h8 e1h4 b5b4 h4e1 f8b8 h3f3 a5a4 f3f2 a4a3 b2b3 c4b3 d1b3 c6b5 f1g1 c7c3 e1c3 b4c3 f2c2 h8c8 g5h4 b5d3 c2c1 b8b3 a2b3 a3a2
Lake Hopatcong,Lake Hopatcong,1926.??.??,3,"Maroczy, Geza","Lasker, Edward",1-0,,,D30,d2d4 d7d5 g1f3 e7e6 c2c4 c7c6 e2e3 g8f6 b1d2 b8d7 f1d3 f8d6 e1g1 e6e5 c4d5 c6d5 d4e5 d6e5 f3e5 d7e5 d2f3 d8c7 d3b5 c8d7 b5d7 e5d7 c1d2 e8g8 d2c3 c7c4 f3e5 d7e5 c3e5 f6d7 e5d4 f7f6 a1c1 c4a6 c1c7 f8f7 d1b3 d7b6 c7f7 g8f7 d4b6 a6b6 b3d5 f7f8 b2b3 a8d8 d5h5 h7h6 f1c1 b6d6 g2g3 b7b6 g1g2 d6e6 c1c7 e6e4 h5f3 e4f3 g2f3 a7a5 c7b7 d8d6 h2h4 h6h5 a2a4 f8g8 f3e4 g8h7 f2f3 h7h6 g3g4 h5g4 f3g4 d6e6 e4d4
Lake Hopatcong,Lake Hopatcong,1926.??.??,3,"Marshall, Frank James","Kupchik, Abraham",1/2-1/2,,,D13,d2d4 g8f6 c2c4 c7c6 b1c3 d7d5 c4d5 c6d5 g1f3 b8c6 c1f4 e7e6 e2e3 f8e7 f1d3 e8g8 a1c1 a7a6 e1g1 f6h5 f4e5 f7f5 c3a4 h5f6 e5f6 e7f6 a4c5 d8d6 d1b3 b7b6 c5a4 a8b8 b3c3 c8d7 a2a3 c6a5 b2b4 f8c8 c3b2 d7a4 b4a5 b6a5 c1c8 b8c8 h2h3 h7h6 f1b1 g8h7 g2g4 g7g6 b2d2 d6a3 b1b7 f6g7 d2a5 c8c1 g1g2 a3d3 a5a4 c1b1 b7a7 d3f1 g2g3 b1b2 a7g7 h7g7 a4d7 g7f6 g4g5 h6g5 d7d8 f6g7 d8e7 g7g8 e7e6 g8g7 e6e5 g7g8 e5d5 g8g7 d5e5 g7g8 e5e8 g8g7 e8e7 g7g8 e7g5 f1f2 g3f4 g8f7 g5d8 b2e2 d8d7 f7f6 d7d6 f6f7 d6d5 f7f8 d5d8 f8f7 d8d7 f7f6 d7c6 f6f7 c6c7 f7f8 c7d6 f8f7
Lake Hopatcong,Lake Hopatcong,1926.??.??,4,"Capablanca, Jose Raul","Marshall, Frank James",1/2-1/2,,,B07,g1f3 g8f6 d2d4 g7g6 b1d2 f8g7 e2e4 d7d6 f1c4 e8g8 e1g1 c8g4 h2h3 g4f3 d2f3 d6d5 e4d5 f6d5 c2c3 b8c6 f1e1 d8d7 c1g5 a8e8 d1d2 d5b6 c4b5 f7f6 g5h6 a7a6 h6g7 g8g7 b5c6 d7c6 e1e2 b6c4 d2c2 b7b5 a1e1 e7e6 b2b3 c4b6 c3c4 b5c4 b3c4 c6c4 c2c4 b6c4 e1c1 c4d6 c1c7 f8f7 c7c6 f7d7 c6a6 g7f7 e2b2 d6f5 b2b4 e8d8 a6a4 g6g5 g2g3 h7h5 g1g2 f5e7 b4c4 e7d5 a4a3 d5e7 a3c3 g5g4 h3g4 h5g4 f3e1 d7d4 e1c2 d4c4 c3c4 f6f5 a2a4 d8d5 g2f1 d5a5 c2d4 a5a6
Lake Hopatcong,Lake Hopatcong,1926.??.??,4,"Kupchik, Abraham","Maroczy, Geza",1-0,,,D64,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 g1f3 b8d7 a1c1 c7c6 d1c2 f8e8 a2a3 h7h6 g5f4 f6h5 f4e5 h5f6 e5g3 f6h5 g3e5 h5f6 e5g3 f6h5 c4d5 h5g3 d5e6 g3f1 e6d7 c8d7 e1f1 d7e6 h2h3 a8c8 f1g1 d8a5 g2g3 e8d8 g1g2 c6c5 h1d1 c5d4 f3d4 e6d7 c2e4 e7f6 c3d5 f6g5 d5e7 g5e7 e4e7 c8c1 d1c1 a5d5 g2h2 d7c6 d4c6 b7c6 b2b4 d8d7 e7e8 g8h7 h2g1 d7d6 e8e7 a7a5 b4a5 c6c5 e7c7 d6c6 c7b7 d5e6 a3a4 c5c4 b7b5 c4c3 b5d3 g7g6 c1c3 c6d6 d3c4 e6f6 c3c1 g6g5 c4c2 h7g8 g1g2 h6h5 c1b1 d6d8 b1b5
Lake Hopatcong,Lake Hopatcong,1926.??.??,5,"Lasker, Edward","Kupchik, Abraham",0-1,,,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 d1b3 e8g8 c1a3 b8d7 f1c4 c7c5 g1f3 c5d4 c3d4 d7b6 c4e2 c8d7 a1c1 f8e8 e1g1 e7e6 a3c5 d7c6 e2b5 a8c8 b5c6 c8c6 a2a4 d8c7 c1b1 b6d7 b3b7 d7c5 d4c5 c6c5 b7c7 c5c7 b1b5 c7c4 b5a5 e8e7 e4e5 e7c7 f1e1 g7f8 e1f1 f8c5 f3d2 c4b4 g2g3 c5b6 a5a6 c7c2 a4a5 c2a2 g1g2 g8g7 d2f3 b4b2 a5b6 a2a6 b6a7 a6a7 f3e1 b2e2 e1d3 a7d7 g2f3 e2d2 d3f4 g6g5 f4h3 g7g6 f1e1 d7d3 f3g2 g6f5 e1b1 h7h6 h3g1 g5g4 b1b7 d3d7 b7b4 h6h5 h2h3 d2d4 b4b8 d4a4 h3g4 h5g4 b8f8 a4a2 f8h8 d7d2 h8h5 f5e4 h5h4 d2f2 g2h1 e4e5
Lake Hopatcong,Lake Hopatcong,1926.??.??,5,"Maroczy, Geza","Capablanca, Jose Raul",0-1,,,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 f1d3 b8c6 c2c3 g8f6 c1f4 c8g4 d1b3 c6a5 b3a4 g4d7 a4c2 d8b6 g1f3 e7e6 e1g1 d7b5 b1d2 b5d3 c2d3 a8c8 a1b1 f8e7 h2h3 e8g8 f1e1 a5c4 d2c4 c8c4 f3e5 c4c8 f4g5 b6d8 g5f6 g7f6 e5g4 g8h8 f2f4 f6f5 g4e5 e7d6 d3f3 d6e5 e1e5 f8g8 e5e2 d8h4 g1h2 g8g6 g2g3 h4f6 b1g1 h8g7 f3d3 a7a6 g1c1 h7h5 h3h4 g7h6 c3c4 d5c4 c1c4 g6g3 d3g3 c8c4 e2d2 f6g6 g3g5 g6g5 h4g5 h6g6 h2g3 c4c6 g3f3 c6d6 f3g3 f7f6 g5f6 g6f6 g3f3 h5h4 d2h2 d6d4 h2h4 b7b5 h4h6 f6e7 h6h7 e7d6 h7a7 d4a4 a2a3 d6d5
