Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Las Palmas,Las Palmas,1981.??.??,1,"Bellon Lopez, Juan Manuel","Garcia Padron, J.",1-0,2415,2370,B82,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 b8c6 c1e3 d8c7 d4b3 g8f6 f2f4 d7d6 b1c3 f8e7 d1f3 e8g8 e1c1 c6b4 c1b1 f6d7 g2g4 b7b5 e3d2 b4d3 c2d3 d7c5 b3c1 c8b7 d3d4 c5d7 c1d3 c7c4 f3e3 e7f6 c3e2 e6e5 f4e5 d6e5 d4d5 c4c7 d1c1 c7b8 d2a5 f6d8 a5d8 f8d8 e2g3 d7f6 g3f5 f6e8 h1f1 b8a7 d3e5 a7e3 f5e7
Las Palmas,Las Palmas,1981.??.??,1,"Kortschnoj, Viktor","Timman, Jan H",1/2-1/2,2650,2620,E42,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 f6e4 a2a3 e4c3 e2c3 b4c3 b2c3 b7b6 d1f3 b8c6 d4d5 e6d5 c4d5 c6e5 f3g3 e8g8 f1e2 d7d6 e1g1 c8b7 f1d1 a8c8 a3a4 d8c7 c1a3 f8e8 e2b5 e8d8 a1c1 c7e7 d1d4 c8c7 b5f1 e7f6 c1e1 c7e7 e1e3 e5g6 a3c1 h7h6 f1d3 e7e5 d3g6 f6g6 g3g6 f7g6 c3c4 d8c8 c1a3 b7a6 a3d6 e5e3 f2e3 c8c4 d6b8 c4d4 e3d4 a6c8 b8a7 c8d7 a7b6 d7a4 g1f2 a4b3 d5d6 b3a4 g2g4 g8f7 d4d5 a4d7 f2f3 g6g5
Las Palmas,Las Palmas,1981.??.??,1,"Larsen, Bent","Seirawan, Yasser",1/2-1/2,2610,2555,B13,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c3 b8c6 c1f4 c8f5 f1d3 f5g6 g1f3 e7e6 e1g1 f8d6 f4d6 d8d6 d3g6 h7g6 b1d2 g8f6 d1e2 d6f4 f1e1 a7a6 a2a4 g6g5 e2e3 e8e7 a4a5 h8h5 d2f1 f6e4 c3c4 a8d8 c4d5 e6d5 f1g3 f4e3 e1e3 h5h8 f3g5 c6d4 g3e4 d5e4 e3e4 e7f6 h2h4 f6g6 a1a4 d4c6 e4g4 d8d1 g1h2 f7f6 g5f3 g6h7 a4c4 h8e8 b2b4 d1b1 g4f4 e8e7 g2g3 e7d7 h2g2 d7d3 g3g4 d3a3 g4g5 f6g5 f3g5 h7g6 g5e6 a3a1 e6f8 g6h6 f4e4 b1g1 g2h2 g1h1 h2g3 a1g1 g3f3 g1e1 f8d7 e1e4 c4e4 h1b1 d7c5 b1b4 c5b7 h6h5 e4b4 c6b4 f3g3 b4c6 g3h3 c6e5 b7c5 e5c4 c5b3 c4d6 h3g3 d6b7 f2f3 g7g6 g3h3 b7d6 b3c5 d6c4 c5b7 c4e5 f3f4 e5c6
Las Palmas,Las Palmas,1981.??.??,2,"Kortschnoj, Viktor","Larsen, Bent",0-1,2650,2610,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 a7a5 d1c2 b4d2 b1d2 d7d6 e2e4 b8c6 e4e5 d6e5 d4e5 f6d7 c2c3 d8e7 a2a3 a5a4 f1d3 d7c5 d3c2 f7f5 e5f6 e7f6 d2e4 c5e4 c2e4 f6c3 b2c3 c6a5 f3e5 a5b3 a1d1 a8a5 f2f4 b3c5 e4f3 c5d7 e5d7 c8d7 e1f2 e8e7 d1d4 h8f8 h1d1 d7c8 h2h4 a5c5 g2g4 b7b6 f2g3 h7h6 d1e1 f8e8 g4g5 h6g5 h4g5 e8h8 f3g4 e7f7 g4d1 e6e5 f4e5 h8h3 g3f4 c8e6 d1f3 c5c4 d4c4 h3h4 f4e3 h4c4 e3d3 c4h4 f3e4 h4h3 d3d2 h3h2 e1e2 h2h4 e4c2 e6d5 c2f5 f7e7 e2f2 b6b5 f5d3 c7c6 g5g6 h4h5 f2f4 h5e5 c3c4 b5c4 d3c4 e5e4 f4e4 d5e4 c4e2 e4g6 e2d1 e7d6 d1a4 g6f5 a4d1 g7g5 d2e3 d6c5 d1e2 c5b6 e3d4 f5d7 d4e5 c6c5 e5e4 g5g4 e2c4 b6a5 c4d3 d7e6
Las Palmas,Las Palmas,1981.??.??,2,"Seirawan, Yasser","Bellon Lopez, Juan Manuel",1-0,2555,2415,D45,c2c4 e7e6 b1c3 d7d5 d2d4 c7c6 e2e3 g8f6 g1f3 b8d7 d1c2 f8d6 e3e4 d5e4 c3e4 f6e4 c2e4 e6e5 d4e5 d8e7 c1f4 d6b4 f4d2 b4d2 e1d2 d7c5 e4h4 g7g5 h4h6 c8f5 a1e1 e7d8 h6d6 d8a5 d2e3 c5e4 d6a3 a5b6 c4c5 e4c5 e1d1 c5e6 e3e2 g5g4 f3h4 f5c2 d1d6 a8d8 e2e1 d8d6 e5d6 e8d7 f1e2 e6d4 e2g4 f7f5 g4h5 c2e4 a3c3 h8f8 e1d2 f8f6 h1d1 f6h6 h4f3 h6d6 f3e5 d7e6 d2c1 e6e5 f2f3 d6d5 b2b4 b6a6 f3e4 a6a2 e4d5
Las Palmas,Las Palmas,1981.??.??,2,"Timman, Jan H","Garcia Padron, J.",1-0,2620,2370,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 d2f1 e7f8 c1g5 h7h6 g5h4 c7c5 d4c5 d6c5 f3h2 d8c7 d1f3 f8e7 f1e3 g7g6 a1d1 a8d8 e1e2 g8g7 e2d2 d7f8 h2g4 f8h7 h4g3 h7g5 f3e2 d8d2 d1d2 f6g4 e3g4 f7f6 h3h4 g5e6 h4h5 g6g5 g4e3 e8d8 e3d5 b7d5 e4d5 e6f8 c3c4 c7b7 c2d3 d8b8 f2f3 e7d6 c4b5 a6b5 b2b3 b7f7 d3b5 f7h5 a2a4 h5f7 e2e4 f7c7 d2c2 c7e7 g3f2 h6h5 c2c3 h5h4 f2e3 f8g6 b5d3 g6f8 a4a5 b8b4 d3c4 e7d7 a5a6 f8g6 e4g4 d7c7 c3c1 b4b8 c1a1 g6f8 c4d3 c7a7 b3b4 a7f7 b4c5 f7a7 a1c1 f8d7 g4e4 d6c5 e4h7
Las Palmas,Las Palmas,1981.??.??,3,"Bellon Lopez, Juan Manuel","Kortschnoj, Viktor",0-1,2415,2650,B82,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f2f4 b8c6 c1e3 e6e5 d4c6 b7c6 f1e2 d8c7 e1g1 f8e7 g1h1 c8e6 d1e1 e8g8 e1g3 g8h8 b2b3 c7a5 e3d2 e5f4 d2f4 f6d7 c3a4 d7e5 a1d1 a8d8 d1d4 f7f6 f1d1 e6f7 a4c3 f8e8 d4a4 a5c7 a4a6 e7f8 f4e3 d8a8 d1d4 c7b7 d4a4 c6c5 c3b5 c5c4 b5c3 e5c6 g3f2 a8c8 e3a7 c4b3 a2b3 d6d5 e4d5 c6b4 a6b6 b7c7 d5d6 f8d6 c3b5 c7c2 b5d6 c2e2 d6f7 h8g8 f2g1 c8c1 f7h6 g7h6 g1c1 e2e1
Las Palmas,Las Palmas,1981.??.??,3,"Garcia Padron, J.","Seirawan, Yasser",1/2-1/2,2370,2555,E16,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b1d2 a6b7 f1g2 f8e7 e1g1 e8g8 d1c2 c7c5 b2b3 c5d4 f3d4 b7g2 g1g2 d8c7 c1b2 a7a6 f1d1 d7d6 f2f3 c7b7 e2e4 b8d7 c2d3 f8e8 d2f1 e7f8 f1e3 d6d5 e4d5 e6d5 e3d5 f6d5 c4d5 b7d5 a1c1 d7e5 d3e4 d5e4 f3e4 a8d8 h2h3 g7g6 c1c2 d8d7 d1d2 f8g7 d4f3 e5d3 b2g7 g8g7 c2c6 e8e4 c6b6 e4e3 b6a6 d3e1 g2f2 e3f3 f2e1 d7e7 d2e2 e7e2 e1e2 f3g3 b3b4 g3h3 b4b5 h7h5 b5b6 h3h2 e2d3 h2b2 d3c3
Las Palmas,Las Palmas,1981.??.??,3,"Larsen, Bent","Timman, Jan H",1/2-1/2,2610,2620,B66,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 c6d4 e3d4 b7b5 f1d3 c8b7 f2f4 f8e7 c1b1 e8g8 d2e2 b5b4 c3a4 f6d7 e4e5 d6e5 f4e5 d8c7 h1f1 c7c6 b2b3 c6g2 f1f2 g2g5 d1f1 a8c8 f2f4 g5g2 d3a6 g2e2 a6e2 g7g5 f4f2 b7e4 e2h5 e4f5 b1b2 f7f6 f2f5 e6f5 e5e6 d7e5 a4b6 c8c6 b6d5 c6e6 d5e7 e6e7 d4c5 e7c7 c5f8 g8f8 f1f5 f8e7 f5f2 e7e6 f2d2 f6f5 d2d4 c7b7 c2c3 g5g4 c3b4 e5f3 d4d8 f3h2 d8g8 e6e5 a2a4 f5f4 h5g4 h2g4 g8g4 f4f3 g4g1 b7b4 b2c3 b4e4 a4a5 e5f4 a5a6 f3f2 g1g8 e4e5
Las Palmas,Las Palmas,1981.??.??,4,"Kortschnoj, Viktor","Garcia Padron, J.",1-0,2650,2370,A65,d2d4 g8f6 c2c4 e7e6 b1c3 c7c5 d4d5 e6d5 c4d5 d7d6 e2e4 g7g6 f2f3 f8g7 c1g5 e8g8 d1d2 f8e8 g1e2 b8a6 e2g3 a6c7 f1e2 d8e7 e1g1 a7a6 a1e1 b7b5 e2d1 e7d7 d2f4 d7e7 f4d2 e7d7 g5h6 c8b7 d1c2 e8f8 d2f4 g7h6 f4h6 g8h8 c3d1 f6g8 h6f4 c7e8 f4d2 e8c7 d1e3 a8e8 a2a3 d7e7 f3f4 f7f6 b2b4 c5c4 d2d4 b7c8 e3d1 e7g7 d1c3 g8h6 d4d2 f8f7 g3e2 f6f5 e2d4 c8d7 d4f3 f5e4 c3e4 f7e7 e4d6 e7e1 f3e1 e8d8 d6b7 d8b8 b7c5 d7f5 c2f5 h6f5 d5d6 c7a8
