Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Leiden,Leiden,1970.??.??,1,"Donner, Jan Hein","Larsen, Bent",1-0,,,A43,d2d4 c7c5 d4d5 d7d6 e2e4 g8f6 f1d3 g7g6 g1e2 f8g7 e1g1 e8g8 c2c4 e7e6 e2c3 e6d5 c4d5 b8d7 b1d2 a7a6 a2a4 f6h5 f2f4 g7d4 g1h1 d7f6 d2f3 f8e8 f4f5 g6f5 e4f5 g8h8 f3d4 c5d4 c3e4 f6e4 d1h5 d8f6 c1h6 c8d7 f1f4 e4c5 h6g5 f6e5 h5h6
Leiden,Leiden,1970.??.??,1,"Larsen, Bent","Spassky, Boris V",1/2-1/2,,,A01,b2b3 e7e5 c1b2 b8c6 c2c4 g8f6 e2e3 d7d5 c4d5 f6d5 a2a3 f8d6 d1c2 e8g8 g1f3 d8e7 b1c3 d5c3 c2c3 f7f5 f1b5 e5e4 b5c6 b7c6 f3e5 c6c5 b3b4 c5b4 a3b4 c8b7 a1a4 a7a6 e1g1 f5f4 e3f4 f8f4 b4b5 a6b5 a4a8 b7a8 c3b3 g8h8 b3b5 f4f8 h2h3 e7e8 b5e8 f8e8 e5f7 h8g8 f7d6 c7d6 f1a1 a8b7 g1h2 g8f7 a1a5 g7g6 h3h4 f7e6 h2g3 e8a8 a5b5 b7c6 b5b6 e6d5 b2c3
Leiden,Leiden,1970.??.??,1,"Botvinnik, Mikhail","Donner, Jan Hein",1/2-1/2,,,A08,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 c7c5 e2e4 b8c6 b1d2 d7d5 f1e1 b7b6 c2c3 d5e4 d3e4 f6g4 g2f1 g4e5 d1c2 c8b7 f3e5 c6e5 f2f4 e5d7 f1g2 d8c7 d2f1 a8d8 c1e3 c5c4 a1d1 d7c5 e3c5 c7c5 c2f2 c5f2 g1f2 e7e5 f1e3 b6b5 f4f5 f8e8 h2h4 g7f6 f2e2 f6e7 e1f1 g8g7 d1d8 e8d8 e3d5 b7d5 e4d5 d8b8 g2e4 b8b6 e2d2 a7a5 b2b3 a5a4 b3c4 b5c4 f1b1 b6b1 e4b1 h7h5 f5g6 f7g6 b1c2 a4a3 d2e2 g7f6 e2f3 e7d6 f3e4 d6c7 c2d1 c7a5
Leiden,Leiden,1970.??.??,1,"Larsen, Bent","Botvinnik, Mikhail",1-0,,,A28,c2c4 e7e5 b1c3 b8c6 a2a3 g8f6 g1f3 d7d5 c4d5 f6d5 d2d3 f8e7 e2e3 e8g8 f1e2 c8e6 c1d2 f7f6 b2b4 d5c3 d2c3 e7d6 e1g1 d8d7 d1c2 a7a6 f1d1 d7f7 a1b1 f8d8 a3a4 c6e7 e3e4 e7c6 g2g3 d6f8 b4b5 a6b5 a4b5 c6d4 c3d4 e5d4 f3d2 a8a2 b1b2 a2a3 d2c4 a3c3 c2d2 f8c5 e2f1 g8h8 b2b1 f7e7 d2f4 e6c4 d3c4 d4d3 d1d2 c3c4 d2d3 c4c2 d3f3 d8d2 b1a1 e7d8 g1h1 c5f2 f3d3 d2d3 f1d3 c2b2 f4c7 d8g8 c7b7 b2a2 a1c1 a2a8 c1c7 a8b8 b7d5 f2b6 c7c6 g8f8 d5f5 f8g8 h1g2 b6d4 f5d5 d4b6 h2h4 g8f8 e4e5
Leiden,Leiden,1970.??.??,1,"Spassky, Boris V","Donner, Jan Hein",1-0,,,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 c8d7 d1d2 d7c6 e4f6 d8f6 f3e5 e8g8 e1c1 f8d8 d2e3 c6e8 g2g3 b8d7 f1g2 c7c6 f2f4 f6e7 h2h4 f7f6 e5f3 e8h5 g2h3 h5f3 e3f3 d7f8 h1e1 e7f7 h3f1 d8d6 f1c4 a8d8 f4f5 d6d4 f5e6 d4d1 e1d1 d8d1 f3d1
Leiden,Leiden,1970.??.??,1,"Botvinnik, Mikhail","Spassky, Boris V",1/2-1/2,,,D31,c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 c4d5 e6d5 c1f4 c7c6 e2e3 c8f5 g2g4 f5e6 h2h4 b8d7 h4h5 d8b6 a1b1 g8f6 f2f3 h7h6 f1d3 b6a5 g1e2 b7b5 e2c1 a5d8 c1b3 e8g8 c3e2 a7a5 e2g3 a5a4 b3c1 c6c5 g3f5 e6f5 d3f5 c5d4 e3d4 d8b6 c1e2 e7d6 d1d2 d6f4 e2f4 f8e8 e1f1 d7b8
Leiden,Leiden,1970.??.??,2,"Spassky, Boris V","Botvinnik, Mikhail",1/2-1/2,,,B19,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1f3 b8d7 h2h4 h7h6 h4h5 g6h7 f1d3 h7d3 d1d3 d8c7 h1h4 e7e6 c1f4 f8d6 f4d6 c7d6 g3e4 d6b4 d3c3 b4c3 b2c3 e8e7 e4c5 g8f6 c5b7 h8c8 f3e5 c6c5 b7a5 c8c7 e1c1 a8c8 e5d7 f6d7 d4d5 e6d5 d1d5 d7b6 d5e5 e7f8 a5b3 c5c4 b3d4 c7c5 h4e4 b6d7 e5f5 c5f5 d4f5 c8c5 g2g4 g7g6 h5g6 f7g6 f5h6 d7f6 e4e6 f8g7 f2f4 f6h7 f4f5 h7f8 e6e8 c5a5 c1d2 g7h6 e8f8 h6g7 f8c8 g6f5 g4f5 a5a2 d2e3 g7f6 e3e4 a2c2 c8c6 f6f7 c6c4 a7a5 c4c7 f7f6 c7c6 f6f7 e4d4 c2f2 d4e5 f2e2 e5d5 e2f2 c6c7 f7f6 c7a7 f2a2 c3c4 a5a4 c4c5 a4a3 c5c6 a2d2 d5c5 d2c2 c5d6 c2d2 d6c7 a3a2 a7a5 d2c2 c7d7 c2d2 d7c8 d2c2 c6c7 c2d2 c8b7 d2b2 b7c6 b2c2 c6d7 c2d2 d7e8 d2e2
Leiden,Leiden,1970.??.??,2,"Donner, Jan Hein","Spassky, Boris V",1/2-1/2,,,A61,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 f3d2 f8g7 d2c4 e8g8 c1f4 f6e8 d1d2 b7b6 e2e3 c8a6 a2a4 a6c4 f1c4 b8d7 e1g1 d7e5 c4e2 f7f5 e3e4 a7a6 e4f5 g6f5 f4g3 d8d7 f2f4 e5g6 a1b1 a8a7 b2b4 g7c3 d2c3 d7a4 b4c5 b6c5 b1a1 a4d7
Leiden,Leiden,1970.??.??,2,"Donner, Jan Hein","Botvinnik, Mikhail",1/2-1/2,,,A84,d2d4 e7e6 c2c4 f7f5 e2e3 g8f6 f1d3 d7d5 g1f3 f8e7 e1g1 e8g8 b2b3 f6e4 c1a3 b8c6 a3e7 d8e7 d1c1 c8d7 b1c3 e4c3 c1c3 d7e8 f3e1 f5f4 e3e4 e6e5 e4d5 c6d4 e1c2 c7c5 f2f3 e7f6 c2d4 e5d4 c3c2 g7g6 a1e1 e8d7 e1e4 d7f5 e4e2 a8e8 d3e4 e8e5 f1e1 f8e8 e4f5 g6f5 e2e5 e8e5 e1e5 f6e5 c2d2
Leiden,Leiden,1970.??.??,2,"Spassky, Boris V","Larsen, Bent",1/2-1/2,,,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1d3 b8c6 d4b3 a7a6 e1g1 b7b5 f2f4 d8b6 g1h1 c8b7 d1e2 f8e7 a2a4 b5b4 c3b1 e8g8 a4a5 b6c7 c1e3 e6e5 f4f5 d6d5 e3b6 c7d7 b1d2 c6d4 b6d4 d5e4 d2e4 e5d4 e4f6 e7f6 b3c5 d7c7 c5b7 c7b7 f1e1 a8a7 e2e4 b7d7 e4f4 h7h6 e1e4 d7d5 b2b3 d5c5 h2h4 a7e7 g2g3 e7e5 e4e5 f6e5 f4f2 c5c6 h1h2 c6f6 h2g2 e5c7 a1e1 c7a5 f2f4 a5d8 f4e5 f6b6 e5d5 d8f6 d5d7 b6b8 d3c4 f6e5 f5f6 e5f6
Leiden,Leiden,1970.??.??,2,"Botvinnik, Mikhail","Larsen, Bent",1-0,,,E81,c2c4 g7g6 b1c3 f8g7 d2d4 d7d6 e2e4 g8f6 f2f3 e8g8 c1e3 a7a6 d1d2 c7c6 f1d3 b7b5 g1e2 b8d7 e1g1 a8b8 c4b5 a6b5 b2b4 d7b6 a2a4 b5a4 c3a4 b6a4 a1a4 c8d7 a4a5 d8b6 f1b1 f8c8 e2c3 b6d8 d2a2 d7e6 a2a3 d6d5 e4e5 f6d7 c3a4 e6f5 d3f5 g6f5 a5a6 c8c7 b1c1 d8c8 a6a5 e7e6 e3d2 g7f8 f3f4 g8h8 a4c5 d7c5 d4c5 c8d8 a3d3 d8d7 c1a1 c7b7 a5a8 d7c8 a8b8 c8b8 d3a3 h8g8 a3a4 b8c7 a1a3 h7h6 a4a8 b7b8 a8a5 c7c8 a5a6 f8e7 a6c8 b8c8 g1f2 g8f8 f2f3 h6h5 f3e2 f8g7 d2e1 g7g6 a3a7 e7d8 e1c3 h5h4 e2d3 h4h3 g2h3 d8h4 d3e2 h4d8 e2f3 d8h4 f3g2 c8d8 g2f3 d8c8 f3e2 h4d8 c3e1 f7f6 e2f3 f6e5 f4e5 c8c7 a7a8 d8g5 a8g8 g6h5 h3h4 g5h6 g8h8 h5g6 h4h5 g6g7 h8a8 h6g5 a8a6 c7c8 b4b5 c6b5 a6e6 g5c1 e1b4 d5d4 e6g6 g7h7 g6d6 c1b2 d6d7 h7g8 e5e6 b2c3 e6e7 c8e8 d7d8 g8f7 d8e8 f7e8 c5c6
