Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Leipzig m,Leipzig,1876.??.??,1,"Anderssen, Adolf","Paulsen, Louis",1-0,,,B45,e2e4 c7c5 g1f3 e7e6 b1c3 b8c6 d2d4 c5d4 f3d4 g8f6 d4b5 f8b4 b5d6 e8e7 c1f4 e6e5 d6f5 e7f8 f4g5 d7d5 e4d5 d8d5 f5e3 d5a5 e3c4 b4c3 b2c3 a5c3 g5d2 c3d4 c2c3 d4e4 d2e3 f6d5 f2f3 e4h4 e3f2 h4d8 d1b3 d5f4 a1d1 d8e7 g2g3 f4e6 f1g2 g7g6 e1g1 f8g7 f1e1 e7c7 d1d5 f7f6 c4d6 e6g5 d6c8 h8c8 d5b5 b7b6 f3f4 g5f7 f4e5 f6e5 e1f1 f7d6 g2c6 c7c6 b5e5 d6f5 g3g4 c6f3 e5e7 g7h8 g4f5 f3g4 f2g3 c8c4 f5g6 a8d8 b3c4
Leipzig m,Leipzig,1876.??.??,2,"Paulsen, Louis","Anderssen, Adolf",0-1,,,C25,e2e4 e7e5 b1c3 f8c5 g1f3 d7d6 c3a4 b8d7 a4c5 d7c5 d2d4 e5d4 d1d4 c5e6 d4e3 g8f6 f1d3 e8g8 e1g1 f8e8 f3d2 c8d7 f1e1 d7c6 f2f3 d6d5 e4e5 f6h5 d2b3 f7f6 e3f2 g7g6 c1d2 f6f5 a1d1 b7b6 d3a6 d8e7 b3d4 e6d4 f2d4 h5g7 d2b4 e7f7 d4c3 f7d7 c3d3 g7e6 c2c4 d5d4 d3a3 a8d8 c4c5 c6b5 d1c1 b5a6 c5c6 d7c8 b4e7 d8d5 a3b3 d5b5 e7b4 c8d8 b3a4 d8d5 a2a3 a6c8 a4a7 d4d3 c1d1 d5d4 g1f1 b5d5 d1d2 d4c4 a7a4 e6d4
Leipzig m,Leipzig,1876.??.??,3,"Anderssen, Adolf","Paulsen, Louis",1-0,,,C70,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 b7b5 a4b3 c8b7 d2d3 g7g6 b1c3 f8g7 a2a4 b5a4 c3a4 d7d6 a4c3 g8e7 e1g1 e8g8 c1e3 c6d4 e3d4 e5d4 c3e2 c7c5 f3d2 d6d5 e4d5 e7d5 d2e4 d8b6 d1d2 f7f5 e2f4 f8d8 e4c5 b6c5 a1a5 c5a7 f4d5 g8h8 f2f4 a8c8 f1e1 a7b8 e1e7 b7d5 a5d5 d8d5 b3d5 b8d6 d5b7 c8b8 d2e1 g7f8 e7d7 d6f4 g2g3 f4e3 e1e3 d4e3 g1f1 g6g5 d3d4 f5f4 f1e2 a6a5 g3f4 g5f4 c2c4 a5a4 c4c5 f8h6 c5c6 f4f3 e2f3 b8f8 f3e2 f8f2 e2e1 h6f4 c6c7 f4c7 d7c7 f2b2 b7e4 b2h2 d4d5 a4a3 c7a7 a3a2 d5d6 h7h6 d6d7 h2d2 e4c6 h8g8 a7a2 d2d6 a2a8
Leipzig m,Leipzig,1876.??.??,4,"Paulsen, Louis","Anderssen, Adolf",1-0,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4f5 d8f6 b1c3 g8e7 f5e3 d7d6 f1d3 c6e5 e1g1 c7c6 g1h1 c5e3 c1e3 f6h4 f2f4 e5g4 e3g1 f7f5 f1f3 c8e6 d1e2 e8g8 e4f5 e6f5 d3f5 e7f5 f3h3 a8e8 e2f3 g4h2 h1h2 h4f6 a1d1 d6d5 g1a7 f8f7 a7f2 h7h6 f2c5 g7g5 c5f2 f6g7 f4g5 f5e3 f2e3 f7f3 h3f3 h6g5 e3g5 d5d4 f3g3 g7h7 g5h6 g8h8 d1d4 h7c2 d4h4 e8e7 h6e3
Leipzig m,Leipzig,1876.??.??,5,"Anderssen, Adolf","Paulsen, Louis",0-1,,,C13,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 g1f3 e8g8 f1e2 b7b6 e1g1 c8b7 e4d5 e6d5 c3b5 c7c5 c2c3 b8c6 b5a3 d8d6 a3c2 g7g6 d1d2 a8e8 a1d1 c5c4 c2e3 f6g7 d1e1 f7f5 f3g5 h7h6 g5h3 f5f4 e3c4 d5c4 e2c4 g8h7 e1e8 f8e8 h3f4 c6e5 c4b3 e8e7 b3c2 e7f7 f4h5 b7g2 g1g2 e5f3 h5f4 f3d2 c2g6 h7h8
Leipzig m,Leipzig,1876.??.??,6,"Paulsen, Louis","Anderssen, Adolf",1-0,,,C46,e2e4 e7e5 g1f3 b8c6 b1c3 g7g6 f1c4 f8g7 a2a3 d7d6 d2d3 c8g4 h2h3 g4f3 d1f3 d8d7 c3e2 c6d8 c1d2 d8e6 e1g1 g8e7 c2c3 e8g8 a1d1 c7c6 f3g3 d6d5 c4a2 f7f5 e4d5 c6d5 f2f4 a8d8 f4e5 f5f4 d2f4 e6f4 e2f4 g7e5 d3d4 e5b8 g3e3 f8f7 d1e1 d8f8 f4d5 e7d5 f1f7 d7f7 e3f3 f8d8 f3e4 g8g7 e1f1 d5f6 e4h4 f7e7 f1e1 e7d6 e1e6 d6h2 g1f2 b8g3 h4g3 f6e4 e6e4 d8f8 g3f3 f8f3 f2f3 h2d6 a2e6 h7h5 d4d5 g6g5 a3a4 h5h4 e4g4 g7f6 f3e2 d6e5 e2d2 f6e7 a4a5 e7d6 e6c8 b7b6 a5b6 a7b6 c8e6 b6b5 e6g8 e5h2 g8h7 h2g1 h7d3 g1f2 d3e2 b5b4 c3b4 f2f6 d2c1 d6d5 e2f3 d5d6 g4c4 f6e5 c1c2 e5e3 b4b5 e3f2 c2b3 d6e5 b3a3 f2b6 f3c6 e5d6 a3b4 b6f2 b4b3 d6c7 c4c2 f2d4 c2c4 d4d1 b3a2 c7b6 a2a3 d1d6 a3b3 d6e6 b3b4 e6e1 c4c3 e1b1 b2b3 b1e1 b4c4 e1e6 c4d4 e6d6 d4e3 b6a5 c3d3 d6c5 e3f3 c5f5 f3e2 f5e5 d3e3 e5b2 e2f3 b2f6 f3e2 f6b2 e2f1 b2b1 f1f2 b1b2 f2f3 b2f6 f3e4 a5b4 e3f3 f6e6 e4d4 g5g4 h3g4 e6g4 d4e5 g4g7 e5f5 b4c5 f3h3 c5d6 h3h4 g7f7 f5g4 f7e6 g4f4 e6f7 f4g3 f7b3 g3h2 d6e5 c6f3 b3b2 h4h6 b2d4 h6h5 e5f6 b5b6 f6g6 b6b7 d4d6 h2h1 d6c7 h5h8 c7c1 h1h2 c1f4 h2h3 f4f5 f3g4 f5d3 h3h4
Leipzig m,Leipzig,1876.??.??,7,"Anderssen, Adolf","Paulsen, Louis",1-0,,,C13,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 g1f3 e8g8 f1d3 b7b6 e1g1 c7c5 e4d5 c5d4 c3b5 c8b7 d5e6 f7e6 f3d4 f6d4 b5d4 d8d5 d1g4 f8f6 a1d1 h7h5 g4h3 g8f8 d4b5 b8a6 c2c4 d5g5 b5d6 f6f3 h3e6 f3f6 d6e4 g5g6 e6d7 b7e4 d3e4 g6e4 f1e1 e4c4 d1c1 c4g4 d7b7 a8b8 b7a6 g4f5 a6a7 f5f2 g1h1 f2f4 h2h3 f8g8 c1c7 f4g3 a7b8 g8h7 e1g1 f6c6 c7b7 g3g6 b8e5 c6c2 b7b6 g6b6 e5h5 b6h6 h5f5 h6g6 f5g6 h7g6 g1b1 g6g5 a2a4 g5h4 a4a5 g7g5 a5a6
Leipzig m,Leipzig,1876.??.??,8,"Paulsen, Louis","Anderssen, Adolf",1/2-1/2,,,C46,e2e4 e7e5 g1f3 b8c6 b1c3 g7g6 f1c4 f8g7 a2a3 d7d6 h2h3 c6d4 d2d3 c8e6 c3d5 c7c6 d5e3 g8e7 f3h2 e6c4 e3c4 d6d5 c4e3 d4e6 e1g1 e8g8 c1d2 f7f5 e4d5 c6d5 d2b4 d5d4 e3c4 b7b5 c4d2 f8e8 b4e7 d8e7 h2f3 e6f4 f1e1 e7b7 h3h4 e5e4 d3e4 f5e4 f3g5 e4e3 d1f3 b7f3 d2f3 h7h6 g5h3 f4h3 g2h3 e8f8 g1g2 a8c8 e1e2 e3f2 e2f2 f8f4 f2e2 c8f8 a1f1 g7f6 f1d1 g8g7 d1d3 a7a6 e2e6 a6a5 e6d6 f8c8 g2g3 f4e4 d6d7 g7g8 d7d6 g8f7 d3d2 c8c5 g3g2 f7e7 d6a6 a5a4 a6a7 e7e6 a7h7 h6h5 h7b7 c5d5 b7b6 e6f7 b6c6 f7g7 c2c4 d5f5 c4b5 e4f4 d2d3 f5b5 c6c4 b5b2 g2g3 f4e4 c4a4 g7h6 a4b4 b2a2 a3a4 e4e2 f3d4 e2g2 g3f3 g2h2 f3e4 f6h4 e4d5 h2f2 d4f3 h4e7 b4e4 e7f6 d5e6 f6g7 h3h4 f2e2 e4e2 a2e2 e6f7 e2a2 d3d6 a2g2 a4a5 g2g4 d6d3 g4a4 f3g5 a4a5 d3d8 a5a7 f7e6 g7a1 d8d7 a7d7 e6d7 a1d4 d7e6 d4f2 g5f3 f2h4 f3h4 h6g5 h4f3 g5f4 f3h4 g6g5 h4g6 f4g3 e6f5 h5h4 g6e5 h4h3 e5g4
Leipzig m,Leipzig,1876.??.??,9,"Anderssen, Adolf","Paulsen, Louis",0-1,,,C13,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 g1f3 e8g8 f1d3 b8c6 c3e2 c6b4 e1g1 b7b6 e4d5 e6d5 d3b5 c8b7 c2c3 b4c6 b5d3 c6e7 e2g3 g7g6 d1d2 d8d6 a1e1 c7c5 f3e5 e7c6 e5g4 f6g7 g4h6 g8h8 g3f5 g6f5 h6f5 d6f6 e1e3 c5d4 e3g3 d4c3 d2e2 c6d4 f5d4 f6d4 e2h5 f7f5 f1e1 d4f6 g3h3 h7h6 h3g3 f6f7 g3g6 a8e8 e1e8 f7e8 g2g4 e8e1 d3f1 b7a6
Leipzig m,Leipzig,1876.??.??,10,"Paulsen, Louis","Anderssen, Adolf",1-0,,,C46,e2e4 e7e5 g1f3 b8c6 b1c3 g7g6 d2d4 e5d4 f3d4 f8g7 c1e3 g8e7 d1d2 d7d6 e1c1 c8e6 d4e6 f7e6 f1c4 d8d7 e3h6 g7h6 d2h6 c6e5 c4b3 e5g4 h6h4 h7h5 h2h3 g4h6 h4f6 h8f8 f6e6 d7e6 b3e6 f8f6 c3d5 e7d5 e4d5 f6f2 g2g4 e8e7 g4h5 g6h5 h1g1 a8h8 g1g7 h6f7 d1e1 e7f8 e1g1 a7a5 g7g3 f8e7 g3c3 c7c5 c3b3 f7d8 e6c8 e7f7 c8b7 h8e8 b7a6 e8e5 b3g3 f7e7 g1d1 d8f7 a6f1 f7g5 c2c4 g5f3 g3g7 e7f6 g7d7 f3e1 f1d3 e1d3 d1d3 e5e1 d3d1 e1d1 c1d1 f6e5 d1c1 f2h2 d7a7 h2h3 a7a5 h3h2 a2a4 h5h4 a5a8 h2g2 a8h8 g2g4 b2b3 e5f4 a4a5 f4g3 a5a6 g4g7 h8h6 h4h3 h6d6 h3h2 d6h6 g3g2 c1b2 h2h1q h6h1 g2h1 b3b4 c5b4 b2b3 g7a7 b3b4 a7a6 c4c5
