Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
October Revolution 60,Leningrad,1977.??.??,?,"Knezevic, Milorad","Karpov, Anatoly",1/2-1/2,2500,2690,D37,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 a2a3 c5e7 f1e2 b8c6 e1g1 d5c4 e2c4 f6h5 d1d8 f8d8 f4c7 d8d7 c7e5 g7g5 h2h3 c6e5 f3e5 d7c7 c4e2 h5f6 f1d1 g8f8 a1c1 f6e8 c3b5 c7c1 d1c1 e8d6 c1d1 d6b5 e2b5 a7a6 b5d3 h7h6 d3e4 a8b8 e5d7 c8d7 d1d7 b7b5 d7a7 b8b6 b2b4 e7f6 e4b7
October Revolution 60,Leningrad,1977.??.??,?,"Knezevic, Milorad","Kuzmin, Gennadi P",1/2-1/2,2500,2550,E39,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8 g1f3 b8a6 e2e3 a6c5 c1d2 b7b6 f1e2 c8b7 e1g1 c5e4 c3e4 b7e4 e2d3 e4d3 c2d3 b4d2 d3d2 a8c8 a1c1
October Revolution 60,Leningrad,1977.??.??,?,"Knezevic, Milorad","Beliavsky, Alexander G",1/2-1/2,2500,2555,D95,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 e2e3 f8g7 d1b3 e7e6 g1f3 e8g8 c1d2 b7b6 c4d5 e6d5 f1e2 c7c5 e1g1 c8e6 f3g5 b8c6 g5e6 f7e6 b3a4 c6e7 d4c5 b6c5 a4a3 d5d4 e3d4 c5d4 c3b5 f6d5 b5d6 e7f5 d6e4 a8b8
October Revolution 60,Leningrad,1977.??.??,?,"Karpov, Anatoly","Tal, Mihail",1/2-1/2,2690,2620,D41,c2c4 g8f6 b1c3 c7c5 g1f3 e7e6 g2g3 d7d5 c4d5 f6d5 f1g2 b8c6 e1g1 f8e7 d2d4 e8g8 e2e4 d5b6 d4d5 e6d5 e4d5 c6b4 f3e5 e7d6 e5d3 c8g4 d1g4 b4d3 c1g5 d6e7 g5e7 d8e7 a1b1 a8d8 f1d1 d3e5 g4e2 f8e8 d1e1 e7d7 b2b3 c5c4 e2d2 c4b3 a2b3 d7f5 e1e3 e5g4 e3e8 d8e8 b1d1 e8d8 d5d6 b6c8 c3e4 g4f6 e4f6 g7f6 d2b4 b7b6 g2b7 g8g7 b7c8 f5c8 d6d7 c8c5 b4g4 c5g5 g4f3 g5e5 f3b7 e5e2 d1d6 e2e5 d6d3 e5e2 b7d5 e2e5 d5f3 e5e6 f3d1 e6f5 d3d4 a7a5 d4d5 f5e4 g3g4 e4f4 h2h3 h7h6 d5d4 f4e5 d1d2 e5g5 d2d1 g5e5 d4d5 e5f4 g1g2 g7f8 d5d4 f4e5 d1d3 f8g7 d4d6 e5c5 d3d2 b6b5 d6d5 c5c6 g2g3 a5a4 b3a4 b5a4 d2d4 c6e6 g4g5 a4a3 g5h6 g7h7
October Revolution 60,Leningrad,1977.??.??,?,"Knezevic, Milorad","Radulov, Ivan",1/2-1/2,2500,2500,D36,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 g1f3 f8e7 c4d5 e6d5 c1g5 c7c6 d1c2 c8g4 f3e5 g4h5 c2f5 b8d7 e2e3 h5g6 e5g6 h7g6 f5c2 e8g8 f1d3 f6e8 g5e7 d8e7 e1g1 e8d6 f1e1 f8e8 a1d1 d6e4 d3e4 d5e4 d4d5 a8c8 d5d6 e7e6 d1d4 f7f5 e1d1 c8d8 b2b4 d7b6 c3a4 b6a4 c2a4 a7a6 a4a5 d8d7
October Revolution 60,Leningrad,1977.??.??,?,"Knezevic, Milorad","Gheorghiu, Florin",1/2-1/2,2500,2545,E39,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 c7c5 d4c5 e8g8 c1e3 f6g4 e3d2 b4c5 e2e3 b8c6 f1e2 g4f6 g1f3 b7b6 e1g1 c8b7 a2a3 d7d5 c4d5 f6d5 c3d5 d8d5 c2c4 d5c4 e2c4 f8d8 f1d1
October Revolution 60,Leningrad,1977.??.??,?,"Karpov, Anatoly","Smyslov, Vassily",1/2-1/2,2690,2595,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 b1d2 e8g8 b3c2 e6f5 d2b3 f5g4 b3c5 e4c5 f1e1 f8e8 c1f4 g4h5 f4g3 h5g6 f3d4 d8d7 f2f3 a8c8 a1c1 c5e6 g3f2 c6e7 b2b4 g6c2 d1c2 e7g6 d4b3 e6f4 b3c5 d7c6 c2f5 f4e6 c5b3 c6c4 g2g3 g6e7 f5c2 c4c6 g1g2 c6d7 c2d2 c8d8 f2d4 e7c6 f3f4 c6e7 d2f2 g7g6 c1d1 d7c8 f2f3 c8a8 g3g4 e6g7 d4c5 e7c6 d1d5 d8d5 f3d5 a6a5 e1e2 a5b4 c3b4 g7e6 e2f2 g6g5 c5e3 g5f4 e3f4 c6b4 d5a8 e8a8 f4e3 b4d3 f2e2 d3e5 e3g1 e5g4 g2f3 g4e5 f3e4 f7f6 b3d4 g8f7 e2c2 e6d4 c2c7 f7g6 g1d4 a8a2 h2h3 a2e2 e4f4 e5d3 f4f3 e2e6 c7b7 d3e1 f3f4 b5b4 b7b5 h7h5 b5b7 h5h4 b7b8 e1d3 f4f3 g6g5 b8g8 g5f5 g8g4 d3e1 f3f2 e1c2 d4b2 b4b3 g4h4 c2e3 h4d4
October Revolution 60,Leningrad,1977.??.??,?,"Karpov, Anatoly","Taimanov, Mark E",0-1,2690,2530,B28,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 a7a6 c2c4 e7e5 d4b3 g8f6 b1c3 f8b4 f2f3 e8g8 c1e3 d7d6 a1c1 b7b6 f1d3 b4c5 d1d2 c8e6 b3c5 b6c5 e1g1 c6d4 c3d5 f6d7 f3f4 a8b8 f4f5 e6d5 c4d5 d8b6 f1f2 f7f6 c1c4 a6a5 c4a4 b8a8 d2e1 a8a7 b2b3 f8a8 f2b2 b6c7 e3d2 d7b6 a4a5 c5c4 d3f1 a7a5 d2a5 c7c5 a5b6 c5b6 g1h1 c4b3 a2b3 g7g6 f5g6 h7g6 b3b4 g8g7 b4b5 f6f5 e4f5 d4f5 b2b3 b6d4 b5b6 a8a1 b3b1 f5g3
October Revolution 60,Leningrad,1977.??.??,?,"Karpov, Anatoly","Ribli, Zoltan",1/2-1/2,2690,2595,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 e1g1 f8e7 f2f4 e8g8 g1h1 b8c6 c1e3 d8c7 a2a4 f8d8 d1e1 c6d4 e3d4 e6e5 d4e3 e5f4 e3f4 c8e6 e1g3 f6d7 e2d3 d7e5 c3d5 e6d5 e4d5 g7g6 c2c3 e7f6 d3c2 f6g7 g3f2 a8c8 a1d1 d8e8 h2h3 b7b5 a4b5
October Revolution 60,Leningrad,1977.??.??,?,"Karpov, Anatoly","Radulov, Ivan",1/2-1/2,2690,2500,D20,d2d4 d7d5 c2c4 d5c4 e2e4 e7e5 g1f3 f8b4 b1c3 e5d4 d1d4 d8d4 f3d4 g8f6 f2f3 c8d7 f1c4 b8c6 d4c6 d7c6 c1f4 f6d7 e1c1 b4c3 b2c3 e8c8 f4g3 h8f8 e4e5 d8e8 h1e1 e8e7 e5e6 f7e6 e1e6 f8e8 d1e1 e7e6 e1e6 d7f6 g3e5 e8e6 c4e6 c6d7 e6b3 c8d8 c1d2 c7c6 e5d6 d8e8 d2d3 f6d5 d3d4 d7e6 d6b8 a7a6 b8e5 g7g6 g2g4 e8d7 h2h4 b7b6 e5g3 d7e7 d4e5 e6f7 g3f2 d5c3 f2b6 c3a2 b6c5 e7e8 b3c2 f7d5 f3f4 e8f7 f4f5 a2c1 f5g6 h7g6 h4h5 g6h5 g4h5 d5c4 c2g6 f7g7 c5d4 c6c5 d4a1 c1b3 a1b2 c4f7
