Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Leon,Leon,1996.??.??,1,"Polgar, Judit","Topalov, Veselin",1-0,2675,2700,B71,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 f2f4 b8c6 d4f3 f8g7 f1d3 e8g8 e1g1 c8g4 d1e1 g4f3 f1f3 e7e6 g1h1 a8c8 f3f1 f8e8 e1f2 a7a6 f4f5 f6d7 f2g3 d8b6 c3d1 c6e5 c1e3 b6a5 e3g5 h7h6 g5e3 g8h7 g3h3 e6f5 e4f5 a5b4 d1f2 d7c5 a2a3 b4a4 a1e1 c5d3 c2d3 h6h5 e3d2 e5g4 f2e4 a4c2 e1c1 c2b2 h3f3 g4e5 f3e3 b2a3 d2c3 h7g8 f5g6 f7g6 e3b6 e8f8 b6b7 a3a2 c3e5
Leon,Leon,1996.??.??,1,"Illescas Cordoba, Miguel","Leko, Peter",0-1,2635,2625,A33,c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 d2d4 c5d4 f3d4 e7e6 g2g3 d8b6 d4b3 c6e5 e2e4 f8b4 d1e2 d7d6 f2f4 e5c6 c1e3 b4c3 b2c3 b6c7 f1g2 e8g8 e1g1 b7b6 g3g4 c8b7 g4g5 f6d7 f1f3 a8c8 f3h3 f8e8 e2h5 d7f8 a1f1 c6e7 b3d2 b7a6 e3d4 a6c4 f1f2 e6e5 f4e5 d6e5 d2c4 e5d4 h5f7 g8h8 g2f1 d4c3 e4e5 e7g6 f7c7 c8c7 h3c3 b6b5 c4d6 c7c3 d6e8 f8e6 f2f7 e6g5 f7a7 c3c2 f1b5 g6e5 g1f1 e5g4 f1e1 g5f3
Leon,Leon,1996.??.??,2,"Topalov, Veselin","Leko, Peter",1-0,2700,2625,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 c2c3 f8g7 e4f5 c8f5 a3c2 f5e6 g2g3 e8g8 f1g2 a6a5 e1g1 f7f5 d1e2 a8b8 f1d1 g8h8 d1d2 d8d7 a1d1 d7f7 b2b3 c6a7 g1h1 a7c8 c2a3 c8a7 f2f4 e6d5 d2d5 e5f4 g3f4 g7c3 e2d3 c3b2 a3c2 a7c6 d5b5 c6b4 c2b4 a5b4 b5b8 f8b8 d3d6 f7f8 d6d7 f8c5 g2d5 b8f8 d7e6 b2g7 d1g1 c5c7 g1g3 c7d8 e6c6 d8e7 d5e6 h7h6 h1g2 f8f6 c6a8 g7f8 e6d5 h8h7 d5g8 h7h8 g2h3 f6d6 g8c4 d6d8 a8a5 f8g7 a5f5 d8f8 f5d5 e7f6 d5d7 f6f5 d7f5 f8f5 h3g4 f5a5 g3g2 g7f6 g4f3 f6g7 f3e4 h8h7 h2h3 h7h8 c4e6 h8h7 g2c2 g7c3 e4d3 h7g7 f4f5 g7f6 c2g2 f6e5 d3c4 a5a7 h3h4 a7c7 c4d3 e5f4 g2g6 c7g7 a2a4
Leon,Leon,1996.??.??,2,"Polgar, Judit","Illescas Cordoba, Miguel",1-0,2675,2635,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 c3d5 f8e7 g5f6 e7f6 c2c3 e8g8 a3c2 a8b8 h2h4 g7g6 g2g3 c8e6 f1h3 f6g7 h4h5 a6a5 c2e3 d8g5 d5c7 e6h3 h1h3 f8d8 e1f1 b5b4 c7d5 d8c8 d1a4 b4c3 b2c3 g5d8 f1g2 c6e7 h5g6 h7g6 h3h1 e7d5 e3d5 c8c5 a1b1 b8b1 h1b1 d8a8 c3c4 g7f8 a4d7 a8c8 d7a7 c5d5 c4d5 c8c2 b1e1 c2a2 e1e3 a2a4 e3f3 a4e8 a7a5 e8d7 a5a8 g8g7 a8c6 d7e7 c6c8 e7a7 f3b3
Leon,Leon,1996.??.??,3,"Illescas Cordoba, Miguel","Topalov, Veselin",1/2-1/2,2635,2700,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g1f3 g7g6 c4b5 a7a6 b5b6 d7d6 b1c3 b8d7 a2a4 d8b6 a4a5 b6a7 e2e4 f8g7 f1e2 e8g8 e1g1 a8b8 f3d2 f6e8 d2c4 e8c7 c1g5 f8e8 c3a4 c7b5 a4b6 a7b7 a1a2 d7f6 g5f6 g7f6 b6c8 b8c8 c4b6 c8b8 e2c4 b5c7 d1d3 b7a7 b2b3 c7a8 b6a8 b8a8 g2g3 e8b8 g1g2 g8g7 h2h4 h7h5 f1e1 f6d4 e1b1 b8b4 d3e2
Leon,Leon,1996.??.??,3,"Leko, Peter","Polgar, Judit",1/2-1/2,2625,2675,B81,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e6 g2g4 h7h6 f2f4 d8b6 a2a3 b8c6 f1e2 b6c7 d4b3 b7b5 e2f3 c8b7 d1e2 e8c8 e1c1 f8e7 h2h4 f6d7 g4g5 g7g6 c1b1 h6h5 e2f2 c8b8 h1e1 h8e8 a3a4 b5a4 c3a4 e7f8 a4b6 d7c5 b3c5 d6c5 b6c4 c6a5 c4e5 b8c8 e3d2 a5c6 d2c3 c6e5 c3e5 f8d6 e5d6 d8d6 d1d6 c7d6 e4e5 d6d4 f2d4 c5d4 f3e2 c8c7 b2b3 e8d8 b1b2 c7b6 e2d3
Leon,Leon,1996.??.??,4,"Topalov, Veselin","Polgar, Judit",1-0,2700,2675,B84,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e6 f2f4 b8d7 e2f3 d8b6 a2a3 e6e5 d4e2 b6c5 g2g4 e5f4 e2f4 d7e5 h2h3 c8e6 g4g5 f6d7 f4d5 g7g6 f3e2 f8g7 c1e3 c5c6 d1d2 e5c4 e2c4 c6c4 e1c1 a8c8 c1b1 c8d8 b2b3 c4c6 e3d4 g7d4 d2d4 d7e5 d4f2 e8d7 d1d4 f7f5 g5f6 h8f8 h1d1 d7e8 f2e3 d8c8 d1d2 c6c5 b1b2 b7b5 e3g3 f8f7 h3h4 a6a5 a3a4 b5b4 c3b5 f7b7 b2b1 b7b5 a4b5 c5b5 g3f4 e5f7 f4f2 c8c5 d5f4 c5e5 d4d6 f7d6
Leon,Leon,1996.??.??,4,"Leko, Peter","Illescas Cordoba, Miguel",1/2-1/2,2625,2635,B47,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d8c7 b1c3 e7e6 g2g3 a7a6 f1g2 g8f6 e1g1 f8c5 d4c6 d7c6 c3a4 c5a7 c2c4 b7b5 e4e5 f6d7 c4b5 a6b5 a4c3 c8a6 f1e1 e8g8 c1f4 d7c5 c3e4 a8d8 d1h5 c5e4 g2e4 g7g6 h5h6 a7d4 f4g5 d4e5 g5d8 f8d8 a1d1 c6c5 d1d8 c7d8 h6e3 e5d4 e1d1 b5b4 b2b3 g8g7 e4f3 d8f6 e3e4 e6e5 g1g2 a6c8 e4c6 c8e6 d1d2 f6g5 d2c2 g5d8 c6b7 h7h5 h2h4 d8d6 b7c6 d6d8 c6b7 d4c3 b7c6 d8d3 f3e4 d3d4 e4f3 e6f5 c2e2 f5e6 e2e4 d4d2 e4e2 d2d3 e2e3 d3d2
Leon,Leon,1996.??.??,5,"Leko, Peter","Topalov, Veselin",1/2-1/2,2625,2700,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 g2g3 g8e7 c1e3 b7b5 d4b3 d7d6 f2f4 c8d7 f1g2 e7c8 b3d4 c8b6 d4c6 d7c6 e3d4 b5b4 c3e2 b6d7 d1d3 e6e5 d4f2 d8b8 e1c1 f8e7 h1e1 e8g8 c1b1 a6a5 e2c1 b8b7 d3e2 f8c8 c1d3 c8c7 d1d2 e7f6 f4f5 f6g5 f2e3 g5e7 e3f2 d7b6 b2b3 b6d7 h2h4 c6b5 g3g4 a8c8 g4g5 f7f6 g5g6 h7h6 e2d1 c7c3 d3b2 g8h8 g2f3 e7f8 f3e2
Leon,Leon,1996.??.??,5,"Illescas Cordoba, Miguel","Polgar, Judit",1/2-1/2,2635,2675,D87,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 c7c5 g1e2 e8g8 e1g1 b8c6 c1e3 c8g4 f2f3 c6a5 c4d5 g4d7 a1b1 d8c7 d4c5 e7e6 d5b3 d7b5 d1c2 f8d8 f1d1 a5b3 a2b3 b5e2 c2e2 g7c3 e2c4
