Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Linares,Linares,1995.??.??,1,"Ivanchuk, Vassily","Short, Nigel D",1/2-1/2,2700,2655,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 f1e1 d7d6 d2d4 e5d4 f3d4 c8d7 b5c6 b7c6 c2c4 e8g8 b1c3 f8e8 b2b3 h7h6 c1f4 c6c5 d4f3 d7c6 h2h3 f6d7 e4e5 d6e5 f4e5 e7f6 e5f6 d8f6 c3b5 e8e1 f3e1 d7f8 b5c7 a8d8 c7d5 c6d5 c4d5 d8d5 d1d5 f6a1 d5d2
Linares,Linares,1995.??.??,1,"Ljubojevic, Ljubomir","Dreev, Alexey",1/2-1/2,2580,2650,C11,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 e8g8 c2c3 b8d7 d1c2 e6e5 e1c1 e5d4 e4f6 d8f6 d1d4 d7c5 f1c4 c8f5 c2d2 b7b5 c4b5 f5g6 d4f4 f6b6 b5c4 a8b8 h1e1 f8d8 f4d4 d8d4 f3d4 c5e4 d2e2 h7h6 c4d3 e4c5 d3c4 c5e4 c4d3 e4c5 d3c4 c5e4
Linares,Linares,1995.??.??,1,"Lautier, Joel","Sokolov, Ivan",1-0,2655,2645,E00,d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2 e8g8 g1f3 c7c5 d4c5 e7c5 e1g1 b8c6 b1c3 h7h6 d2f4 d7d6 c3a4 e6e5 a4c5 e5f4 c5b3 f4g3 h2g3 c8e6 a1c1 d8d7 d1d2 e6h3 f1d1 h3g2 g1g2 a8d8 b3d4 f8e8 d4b5 f6e4 d2c2 d7g4 d1h1 d8c8 h1h4 g4g6 h4e4 e8e4 b5d6 g6d6 c2e4 c8d8 c1c3 d6f6 c3b3 d8b8 b3b5 g7g6 e2e3 a7a6 b5b6 f6d8 c4c5 d8f8 b2b4 b8e8 e4f4 c6d8 f3d4 h6h5 f4f6 e8e7 b6d6 f8e8 d4f5 g6f5 f6g5 g8f8 d6h6
Linares,Linares,1995.??.??,1,"Khalifman, Alexander","Illescas Cordoba, Miguel",1/2-1/2,2635,2595,E14,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 b1d2 b7b6 e2e3 c8b7 f1d3 e8g8 e1g1 d7d5 a2a3 b4e7 b2b4 c7c5 b4c5 b6c5 a1b1 b7a6 f3e5 c5d4 e3d4 d8c8 c1b2 b8d7 d1f3 a6b7 f1c1 d5c4 f3h3 c4d3 c1c8 a8c8
Linares,Linares,1995.??.??,1,"Karpov, Anatoly","Shirov, Alexei",1/2-1/2,2780,2710,B08,d2d4 g7g6 e2e4 f8g7 g1f3 d7d6 f1e2 g8f6 b1c3 e8g8 e1g1 c7c6 f1e1 b8d7 e4e5 d6e5 d4e5 f6g4 e5e6 f7e6 h2h3 g4f6 e2c4 f6d5 c3e4 d7e5 f3e5 g7e5 d1e2 d8b6 c2c3 c8d7 c1e3 d5e3 e2e3 e5f4 e3c5 a8e8 c5b6 a7b6 g2g3 f4h6 f2f4 g8g7 e4f2 g6g5 f4g5 h6g5 h3h4 g5f6 c4e6 d7e6 e1e6 e8d8 a1e1 d8d2 e1e2 f8d8 g1g2 b6b5 g2f3 d2d5 e6e3 d8d7 f2e4 g7g6 e2h2 h7h5 g3g4 c6c5 a2a3 c5c4 g4h5 g6h5 e4g3 h5h6 f3f4 d5d1 e3e2 d7d3 g3e4 h6h5 e4g3 h5h6 h4h5 d3d5 e2e6 d1d2 h2e2 d2e2 e6e2 h6g7 g3f5 g7f7 f5h6 f7g7
Linares,Linares,1995.??.??,1,"Topalov, Veselin","Akopian, Vladimir",1-0,2630,2655,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8e7 e1g1 b8c6 c2c4 c6b4 d3e2 c8e6 b1c3 e8g8 c1e3 e6f5 a1c1 d5c4 e2c4 c7c6 f3e5 e4c3 b2c3 b4d5 d1f3 f5e6 e3d2 e7g5 d2g5 d8g5 f1e1 a8e8 g2g3 g5f5 f3d1 d5b6 c4d3 f5f6 d1c2 g7g6 c1b1 e6c8 e1e2 e8e7 b1e1 f8e8 c2b3 c8e6 b3a3 b6c8 e2e3 f6g7 a3b4 g7f8 a2a4 e7c7 b4b2 c8d6 c3c4 e8d8 h2h4 d6f5 e3e4 f5g7 e4f4 g7h5 f4f3 f8d6 g3g4 e6g4 e5g4 d6d4 g4h6 g8g7 b2c1 f7f6 e1e4 d4c5 h6g4 c7f7 f3e3 f7d7 d3e2 d8f8 c1c3 c5f5 g4h2 f5c5 e2g4 d7d8 h2f3 g7h8 g4h5 c5h5 e4f4 h8g8 g1h2 d8d6 c4c5 h5h6 h2g3
Linares,Linares,1995.??.??,1,"Beliavsky, Alexander G","Tiviakov, Sergei",1-0,2650,2625,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6 c1g5 c7c5 d4c5 b6c5 e2e3 a7a5 g1e2 d7d6 e1c1 a8a6 c3c2 b8d7 e2c3 c8b7 f2f3 d8e7 f1e2 f8b8 d1d2 a6b6 h1d1 e7f8 g5f4 e6e5 f4g5 b7a8 c3a4 b6a6 c2f5 g7g6 f5h3 b8e8 a4c3 e8e6 g2g4 a6b6 h3f1 f8b8 h2h4 b6b3 d2c2 g8g7 h4h5 h7h6 g5f6 d7f6 h5g6 f7g6 f1h3 e6e8 d1h1 f6g8 e2d3 e8f8 g4g5 f8f3 g5h6 g7h8 h3g4 g8e7 d3e4 f3f7 g4e6 b8f8 e4a8 f7f6 e6d7 f6f1 h1f1 f8f1 c3d1 b3d3 c2d2 d3e3 d7e8
Linares,Linares,1995.??.??,2,"Illescas Cordoba, Miguel","Shirov, Alexei",1/2-1/2,2595,2710,A70,d2d4 g8f6 g1f3 e7e6 c2c4 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 h2h3 f8g7 e2e4 e8g8 f1d3 b7b5 d3b5 f6e4 c3e4 d8a5 f3d2 a5b5 e4d6 b5a6 d2c4 b8d7 e1g1 d7b6 c4b6 a6b6 d6c8 a8c8 d1b3 c5c4 b3b6 a7b6 a2a4 f8d8
Linares,Linares,1995.??.??,2,"Khalifman, Alexander","Lautier, Joel",1-0,2635,2655,B33,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f8g7 f1d3 c6e7 d5e7 d8e7 e1g1 f6f5 c2c4 e8g8 d1f3 b5c4 a3c4 d6d5 e4d5 e5e4 f3e3 c8b7 d5d6 e7f6 d3c2 f5f4 e3h3 a8c8 c2b3 c8c5 a1d1 c5g5 d1d2 b7d5 c4b6 d5b3 b6d7 f6g6 d7f8 g7f8 a2b3 f8d6 f1c1 d6e7 d2d7 g6f6 c1c8 g8g7 h3c3 f6c3 b2c3 g5a5 g1f1 e7h4 c8c4 a5a1 f1e2 a1a2 d7d2
Linares,Linares,1995.??.??,2,"Short, Nigel D","Topalov, Veselin",0-1,2655,2630,B78,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 e8g8 f1c4 c8d7 e1c1 c6e5 c4b3 a8c8 g2g4 b7b5 g4g5 f6h5 c3b5 e5c4 b3c4 c8c4 d2d3 c4b4 b5c3 d8b8 d4b3 d7e6 d3a6 g7c3 b2c3 b4b7 d1d4 f8c8 c1d2 b8c7 a6d3 d6d5 d2c1 d5e4 f3e4 e6c4 d3d2 e7e5 d4d6 h5f4 e3f4 e5f4 h1d1 f4f3 d2f4 c7e7 h2h4 c4e2 d1d5 b7c7 b3d4 e2c4 f4f3 c4d5 d6d5 c7c3 f3f6 e7c7 f6f2 c7c4 c1b2 c4b4 b2a1 c3h3 f2f1 h3e3
