Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Lodz,Lodz,1935.??.??,1,"Regedzinski, Teodor","Fine, Reuben",1/2-1/2,,,E37,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2 b8c6 g1f3 e6e5 e2e3 c8f5 f1d3 e5d4 e3d4 d5c4 c2c4 e8g8 e1g1 e4d6 c4c3 c6e7 f1e1 e7d5 c3c2 f5d3 c2d3 d8d7 c1d2 f8e8 e1e5 c7c6 a1e1 f7f6 e5e8 a8e8 e1e8 d7e8 h2h3 e8e6 a3a4 g7g5 g1f1 g8g7 b2b3 d6e4 d2e3 a7a5 e3d2 b7b6 f1g1 h7h6 d3e2 e6f5 e2c4 f5d7 c4e2 e4d6 e2d3 d6f5 d3e4 f5e7 f3e1 d7d6 e1c2 f6f5 e4e2 d6f6 e2c4 f5f4 c4d3 f6f5 d3f5 e7f5 g1f1 g7f7 f1e2 f7e6 e2d3 d5e7 b3b4 a5b4 d2b4 e7g6 a4a5
Lodz,Lodz,1935.??.??,1,"Tartakower, Saviely","Steiner, Lajos",1-0,,,D02,d2d4 d7d5 g1f3 g8f6 g2g3 e7e6 f1g2 c7c5 e1g1 b8c6 b2b3 f8e7 c1b2 e8g8 b1d2 f6e4 d2e4 d5e4 f3e5 c6d4 g2e4 f7f5 e4g2 e7f6 e5d3 d8c7 e2e3 d4b5 b2f6 g7f6 d1d2 c5c4 d3f4 a7a5 f1d1 a8a6 a2a4 b5d6 d2c3 c7c5 f4h5 c5e5 d1d4 b7b5 f2f4 e5c5 a4b5 d6b5 d4c4 c5e7 c3e1 c8b7 e1e2 b7d5 c4a4 e7a7 e2b5 a7e3 g1h1 d5g2 h1g2 a6d6 h5f6 g8f7 f6e4 f5e4 b5h5 f7g8 h5g5 g8f7 a4a5 e3d2 g2h3 d6d7 g5h6 f8g8 a5g5
Lodz,Lodz,1935.??.??,1,"Winter, William","Mikenas, Vladas",1-0,,,A97,d2d4 e7e6 g1f3 f7f5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c2c4 d7d6 b1c3 d8e8 f1e1 e8h5 e2e4 f5e4 c3e4 f6e4 e1e4 b8c6 c1f4 e7f6 h2h4 h7h6 a1c1 a7a6 c4c5 c6d4 e4d4 e6e5 d4d5 c7c6 c5d6 c6d5 d1d5 g8h8 f3e5 f6e5 f4e5 h5f7 c1c7 c8d7 d5f7 f8f7 g2b7 a8e8 f2f4 d7e6 b7a6 e6a2 b2b4 a2e6 b4b5 f7d7 b5b6 e8b8 b6b7 h8g8 c7c8 d7d8 d6d7
Lodz,Lodz,1935.??.??,2,"Fine, Reuben","Appel, Isaak",1/2-1/2,,,E85,d2d4 g8f6 c2c4 g7g6 f2f3 f8g7 e2e4 d7d6 b1c3 e7e5 g1e2 b8c6 d4d5 c6e7 c1e3 e8g8 d1d2 f6e8 e1c1 f7f5 e4f5 e7f5 e3g5 d8g5 d2g5 g7h6 g5h6 f5h6 e2g3 b7b6 c3e4 h6f5 f1d3 f5h4 d1d2 c8d7 b2b4 a7a5 a2a3 a5b4 a3b4 e8f6 c1b2 f6e4 f3e4 g6g5 b2b3 h4g6 h1c1 g6f4 d3f1 f4h5 d2c2 h5f6 f1d3 g8g7 c1f1 h7h6 c2f2 f6g4 f2f8 a8f8 f1a1 g4h2 a1a7 f8f7 a7c7 h6h5 b4b5 h5h4 c7b7 g5g4 g3e2 h2f1 e2g1 f1e3 b7b6 e3g2 b6d6 g2f4 d3f1 h4h3 g1h3 g4h3 f1h3 f4h3 b5b6 d7c8 d6c6 c8g4 b3b4 h3f2 b4b5 f2e4 b5a6 g4e2 b6b7 f7b7 a6b7 e2c4 c6c7 g7g6 b7c6 e4f6 c7e7 g6f5 c6d6 e5e4 d6c5 c4d5 c5d4 f5f4 e7e5 d5b3 e5b5 b3c2 b5b2 c2d1 b2b7 d1h5 b7e7 h5g6 e7e6 f4g5 d4e5 f6g4 e5d4 g4f2 e6g6
Lodz,Lodz,1935.??.??,2,"Mikenas, Vladas","Tartakower, Saviely",0-1,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 e8g8 e2e3 d7d6 a2a3 b4c3 c2c3 e6e5 d4d5 c6e7 f3d2 e7g6 g2g3 f6d7 e3e4 f7f5 e4f5 f8f5 f1d3 f5f8 d2e4 d7f6 f2f3 f6e4 d3e4 c8f5 e4f5 f8f5 e1g1 d8d7 c1d2 a8f8 a1e1 c7c6 c3d3 c6c5 g1g2 h7h6 e1e4 d7f7 e4g4 e5e4 g4e4 g6e5 d3c2 e5f3 e4f4 f5f4 d2f4 f3d4 c2d3 f7e7 d3e3 e7f6 e3d3 b7b5 f4e3 d4f5 e3c1 b5c4 d3c4 f6b2 g2g1 b2d4 c4d4 f5d4 f1f8 g8f8 g1f2 d4b5 f2e3 b5c3 e3d3 c3d5 d3c4 d5c7
Lodz,Lodz,1935.??.??,4,"Frydman, Paulino","Fine, Reuben",0-1,,,B84,e2e4 c7c5 g1f3 e7e6 b1c3 d7d6 d2d4 c5d4 f3d4 g8f6 c1e3 a7a6 f1e2 d8c7 a2a4 b7b6 e1g1 c8b7 f2f3 f8e7 d1e1 e8g8 g2g4 b8c6 g4g5 f6d7 f3f4 c6d4 e3d4 e6e5 d4e3 e5f4 e3f4 e7g5 a1d1 g5f4 f1f4 d7e5 e1f2 f8d8 e2f1 c7c5 c3d5 b7d5 d1d5 c5f2 f4f2 g8f8 g1g2 f8e7 f2d2 a6a5 g2f2 a8c8 f2e3 c8c5 f1e2 g7g6 c2c3 e7e6 e3f4 h7h6 e2g4 e5g4 f4g4 f7f5 g4f3 f5e4 f3e4 c5d5 d2d5 d8f8 d5d2 g6g5 b2b3 f8f4 e4d3 f4h4 d2f2 e6e5 f2b2 e5d5 b2e2 h4h3 d3d2 g5g4 e2g2 h6h5 g2e2 h3f3 d2c2 h5h4
Lodz,Lodz,1935.??.??,4,"Steiner, Lajos","Opocensky, Karel",0-1,,,B18,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1h3 b8d7 h3f4 e7e5 f4g6 h7g6 d4e5 d8h4 e5e6 f7e6 d1e2 e8c8 c1d2 g8f6 e1c1 f8c5 d2e3 f6g4 e3c5 d7c5 c2c3 h4g5 c1c2 d8d1 c2d1 h8f8 f2f4 f8f4 d1e1 f4f2 e2d1 g5e3 f1e2 f2e2
Lodz,Lodz,1935.??.??,4,"Kolski, Josek","Regedzinski, Teodor",1-0,,,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 d8e7 a2a3 b4d2 d1d2 e8g8 b1c3 d7d6 g2g3 c7c6 a1d1 b8d7 f1g2 f8e8 e1g1 e6e5 e2e4 b7b6 f1e1 c8b7 d2c2 d7f8 b2b4 f8g6 c3a4 a8d8 a4c3 e7c7 c2b3 b7c8 h2h3 c8e6 d4d5 c6d5 c4d5 e6c8 d1c1 c7b8 g2f1 a7a6 b4b5 a6a5 c3a4 f6d7 c1c6 c8b7 b3e3 b7c6 d5c6 d7c5 a4c3 g6f8 f1c4 f8e6 f3h4 b8a7 h4f5 g7g6 c3d5 g6f5 e3h6 f7f6 c6c7 d8c8 d5f6 g8f7 e4f5 a7c7 f6e8 c8e8 f5e6 c5e6 c4e6
Lodz,Lodz,1935.??.??,4,"Mikenas, Vladas","Appel, Isaak",1/2-1/2,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6 c1d2 e8g8 a2a3 b4c3 d2c3 d8e7 g2g3 e6e5 d4e5 d6e5 f1g2 a7a5 h2h3
Lodz,Lodz,1935.??.??,5,"Tartakower, Saviely","Frydman, Paulino",1-0,,,D93,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 c7c6 e2e3 f8g7 d1b3 e8g8 g1f3 d5c4 f1c4 b7b5 c4e2 c8e6 b3c2 f6d5 c3d5 c6d5 e1g1 d8b6 c2b3 b5b4 f1c1 b8c6 c1c5 f8c8 a1c1 a7a5 b3a4 c6a7 c5c8 e6c8 a4e8 g7f8 f3g5 b6f6 g5h7 f6g7 e8f8 g7f8 h7f8 g8f8 c1c5
