Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
London,London,1866.??.??,1,"Minchin, James Innes","Trelawney, J.",1-0,,,A43,e2e4 e7e6 d2d4 c7c5 d4d5 g7g6 g1f3 f8g7 f1e2 g8f6 b1c3 d8a5 e1g1 a7a6 d5e6 d7e6 d1d6 b8d7 c1g5 g7f8 d6f4 f6h5 f4h4 h7h6 g5d2 a5c7 e4e5 d7e5 f3e5 c7e5 h4a4 c8d7 e2b5 a8d8 b5d7 d8d7 f1e1 e5d4 a4b3 c5c4 b3a4 d4b6 d2e3 b6c6 a4c6 b7c6 c3e4 f7f5 e4c3 e8f7 c3a4 f8b4 c2c3 b4e7 e3c5 h5f4 c5e7 d7e7 a1d1 f4d3 e1e2 e7d7 a4b6 d7d5 b6c4 d3f4 e2d2 h8d8 g2g3 d5d2 d1d2 d8d2 c4d2 f4d3 d2c4 f7f6 g1f1 e6e5 f1e2 d3c5 f2f3 f5f4 c4d6 f4g3 h2g3 c5a4 d6e4 f6e7 b2b3 a4b6 c3c4 b6d7 a2a4 a6a5 e2d3 e7e6 d3c3 c6c5 c3d3 h6h5 d3e3 e6e7 f3f4 e7e6 e3f3 e6f5 e4d6 f5e6 d6b7 e6f5 f4e5 d7e5 f3g2 e5d3 b7a5 d3c1 a5c6 c1b3 a4a5 b3d4 c6d4 c5d4 a5a6
London,London,1866.??.??,1,"De Vere, Cecil Valentine","Bird, Henry Edward",1-0,,,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 f8c5 d2d3 g8e7 d1h5 c5b6 c1g5 e8g8 b5c4 d8e8 f2f4 g8h8 e4e5 d7d6 g5e7 e8e7 b1d2 c8e6 e5d6 c7d6 a1e1 d6d5 c4d5 e7c5 e1e5 e6d5 e5d5 c5c2 d2f3 c2d3 f4f5 d3e2 f1e1 d4d3 g1h1 e2f2 f5f6 g7f6 h5h6 f8g8 h6f6 g8g7 g2g3 a8g8 d5d3 b6a5 e1d1 g8e8 b2b4 f2b6 f6b6 a5b6 d3d7 f7f6 a2a4 e8e7 d7d6 g7f7 f3h4 f6f5 d6d5 f7f8 h4f5 e7e4 a4a5 b6c7 d5d7 e4c4 f5e3 c4c6 e3d5 c7d6 b4b5 c6c2 d7d6 f8f2 d5f4
London,London,1866.??.??,1,"Minchin, James Innes","MacDonnell, George Alcock",0-1,,,C30,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 c8g4 f1e2 g4f3 e2f3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 e8g8 e1g1 b8c6 c1e3 b4c3 b2c3 d8e7 e4e5 d6e5 f4e5 f6d7 f3c6 b7c6 d1f3 c6c5 f3g3 c5d4 c3d4 f7f6 e5f6 d7f6 e3g5 e7d7 g3h4 f6g4 f1f8 a8f8 a1d1 h7h6 g5c1 d7f5 h4e1 g4f2 c1a3 f8f6 d1d2 f2h3 g2h3 f5f3 d2g2 f3a3 e1e8 f6f8 e8e6 g8h8 g2f2 a3c1 g1g2 f8f2 g2f2 c1f4 f2g2 f4d4 e6c8 h8h7 c8f5 g7g6 f5e6 h6h5 h3h4 d4g4 e6g4 h5g4 g2g3 h7h6 g3g4 c7c5 g4f4 h6h5
London,London,1866.??.??,1,"Minchin, James Innes","De Vere, Cecil Valentine",0-1,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6 a2a4 a7a6 e1g1 d7d6 a4a5 b6a7 c2c3 g8f6 d2d3 h7h6 c1e3 e8g8 d1b3 c6e7 b1d2 c7c6 b3c2 d6d5 c4a2 e7g6 a1e1 f8e8 a2b1 d5e4 d3e4 d8d7 e3a7 a8a7 d2c4 d7g4 c4e3 g4h5 e3f5 g6f4 f5g3 h5g6 f3h4 g6g4 h4f5 c8f5 e4f5 h6h5 f2f3 g4g5 g1h1 h5h4 g3e4 f6e4 e1e4 g5f5 c2f2 a7a8 f2h4 f4g6 h4f2 f5f6 g2g3 a8d8 f1e1 g8f8 h2h4 f6d6 h4h5 g6h8 f2e3 d6d2 e3c5 d2d6 c5d6 d8d6 f3f4 f7f6 b1a2 d6d3 f4e5 e8e5 e4e5 f6e5 a2e6 d3c3 e1e5 c3g3 e6d7 g3d3 e5e8 f8f7 d7c6 b7c6 e8h8 d3b3 h8a8 b3b4 a8a6 b4b5 a6a7 f7e6 a5a6 b5h5 h1g2 h5a5 a7a8 e6d6 a6a7 d6c5 g2f3 c5b6 a8b8 b6a7 b8b3 a5b5
London,London,1866.??.??,1,"Minchin, James Innes","Bird, Henry Edward",1-0,,,C42,e2e4 e7e5 f1c4 g8f6 g1f3 f6e4 b1c3 e4f6 f3e5 d7d5 d1e2 c8e6 c4b3 c7c6 d2d4 h7h6 e1g1 f8e7 f2f4 g7g6 c1d2 d8d6 a1e1 h8g8 g1h1 b8d7 g2g4 d7f8 f4f5 e6c8 d2f4 g6f5 c3b5 c6b5 e5g6 d6e6 e2b5 c8d7 b5b7 f7g6 b7a8 e8f7 e1e6 f8e6 a8a7 d7b5 f1e1 g8e8 f4e5 f5g4 e5f6 f7f6 e1e6
London,London,1866.??.??,1,"MacDonnell, George Alcock","De Vere, Cecil Valentine",0-1,,,C54,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 f8c5 c2c3 g8f6 e4e5 d7d5 c4b5 f6e4 c3d4 c5b6 e1g1 e8g8 b5c6 b7c6 b1c3 f7f5 e5f6 d8f6 c3e4 d5e4 f3e5 f8d8 d1b3 c8e6 c1g5 e6b3 g5f6 g7f6 e5c6 b3d5 c6d8 b6d4
London m1,London,1866.??.??,1,"Anderssen, Adolf","Steinitz, William",1-0,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 d4d5 c6a5 c1b2 g8e7 c4d3 e8g8 b1c3 c7c6 c3e2 f7f5 a1c1 f5e4 d3e4 c8f5 e4f5 f8f5 d5c6 b7c6 e2d4 f5f6 d4c6 e7c6 b2f6 d8f6 c1c6 a5c6 d1d5 f6f7 d5c6 a8d8 a2a4 d6d5 f1d1 d5d4 d1d3 f7f5 c6c4 g8h8 h2h3 d8c8 c4b3 h7h6 g2g4 f5f6 b3d5 c8c3 f3e5 c3c5 d5a8 h8h7 a8e4 h7g8 e5g6 c5c3 e4e8
London m2,London,1866.??.??,1,"Steinitz, William","Bird, Henry Edward",1-0,,,C29,e2e4 e7e5 b1c3 b8c6 f2f4 g8f6 f4e5 c6e5 d2d4 e5g6 e4e5 f6g8 g1f3 d7d5 f1d3 f8b4 e1g1 c8e6 f3g5 g8e7 g5e6 f7e6 d1g4 d8d7 c1g5 e8c8 f1f7 d8e8 c3e2 d7c6 c2c3 b4a5 a2a4 c6b6 b2b4 a5b4 c3b4 g6e5 a4a5 b6b4 g4e6 e5d7 a1b1 b4a3 d3f5
London m1,London,1866.??.??,2,"Steinitz, William","Anderssen, Adolf",1-0,,,C37,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 f3e5 d8h4 e1f1 g8h6 d2d4 d7d6 e5d3 f4f3 g2g3 h4h3 f1e1 h3h5 b1c3 c7c6 c1d2 h5g6 d3f4 g6f6 d2e3 b8d7 e1f2 h6g8 e4e5 f6e7 e5e6 f7e6 f4e6 d7f6 e3f4 c8e6 c4e6 e8d8 h1e1 e7g7 d4d5 c6c5 c3b5 f6e8 d1d2 g8f6 d2a5 b7b6 a5a4 g7b7 f4g5 f8e7 e6f7 b7d7 f7e8 h8e8 e1e6 a7a6 a1e1 d7b5 a4b5 a6b5 g5f6 a8a7 e6d6 a7d7 d6e6 e7f6 e6e8 d8c7 e8e6 f6b2 e6e7 b2d4 f2f1 d7e7 e1e7 c7d6 e7h7 d6d5 h7h4 d5c4 h4g4 c4c3 h2h4 c3c2 h4h5 d4e3 g4f4 c5c4 h5h6 e3f4 g3f4 c4c3 h6h7 c2b1 h7h8q c3c2 h8h7 b1b2 h7g7 b2a2 g7c3
London,London,1866.??.??,2,"De Vere, Cecil Valentine","MacDonnell, George Alcock",1-0,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 e5d4 d1d4 c8e6 b1c3 a7a6 c1e3 b8c6 d4d2 g8f6 f1e2 f8e7 e1g1 e8g8 a1d1 b7b5 a2a3 c6e5 f3g5 c7c5 f2f4 e5c4 d2c1 c4e3 c1e3 d8c7 g5e6 f7e6 e4e5 d6e5 f4e5 f6d7 f1f8 a8f8 e3h3 c7e5 d1d7 e7d6 d7d6 e5d6 h3e3 b5b4 a3b4 c5b4 c3d1 a6a5 b2b3 f8f5 d1f2 f5e5 f2e4 d6e7 e2d3 e7c7 h2h3 h7h6 e3g3 c7b6 g1h2 b6d4 e4f6 g8f8 f6d7
London,London,1866.??.??,2,"Bird, Henry Edward","De Vere, Cecil Valentine",0-1,,,A00,d2d4
