Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Leonid Stein Mem,Lviv UKR,2000.05.12,1,"Krasenkow,M","Romanishin,O",1-0,2661,2578,A17,g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 g2g4 e8g8 g4g5 f6e8 d1c2 d7d5 b2b3 b4e7 h1g1 c7c5 e2e3 b8c6 f1d3 f7f5 g5f6 e8f6 a2a3 d8e8 c1b2 e8h5 d3e2 d5d4 f3d4 c6d4 e3d4 h5h2 e1c1 c5d4 c3e4 h2f4 e2d3 f6e4 d3e4 h7h6 b2d4 e7f6 d4e3 f4d6 c4c5 d6a6 a3a4 a6a5 e3h6 a5b4 g1g7 f6g7 e4h7 g8h8 h6g7 h8g7 c2g6 g7h8 g6h5 f8f2 h7e4 h8g7 d1g1 g7f8 h5h6 f8e7 g1g7 f2f7 h6g5 e7e8 g7g8
Leonid Stein Mem,Lviv UKR,2000.05.12,1,"Ivanchuk,V","Beliavsky,A",1-0,2709,2640,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f8e8 d2d4 c8b7 b1d2 e7f8 a2a4 c6a5 b3a2 c7c5 b2b4 c5d4 c3d4 a5c6 d1b3 d8c7 d4d5 c6e7 a2b1 b5a4 b3a4 e8b8 a4a5 f6e8 a5c7 e8c7 d2c4 b8d8 c1e3 c7b5 f3d2 a8b8 b1d3 f7f5 f2f3 f5e4 f3e4 b5d4 e3d4 e5d4 d2f3 g7g6 a1b1 f8g7 f3g5 b7c8 e1f1 d8d7 g5e6 h7h6 f1f3 g6g5 b1f1 e7g6 e4e5 g6f4 e6f4 g5f4 e5e6 d7d8 f3f4 c8b7 f4g4 d8f8 f1f8
Leonid Stein Mem,Lviv UKR,2000.05.12,1,"Korchnoi,V","Gelfand,B",1/2-1/2,2659,2692,E46,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4e7 e2f4 c7c6 h2h3 b8d7 c4d5 f6d5 f4d5 e6d5 f1d3 f8e8 d1c2 d7f6 g2g4 g7g6 c1d2 c6c5 e1f1 e7f8 a1d1 c5c4 d3e2 a8b8 b2b3 b7b5 d1b1 a7a6 c2a2 c8b7 h3h4 d8d6 g4g5 f6e4 c3e4 e8e4 a3a4 d6d7 f2f3 e4e8 f1f2 f8d6 a2c2 c4b3 b1b3 b5a4 b3b6 e8c8 c2d3 b7c6 d3a6 b8b6 a6b6 c8b8 b6a5 a4a3 f3f4 b8a8 a5b6 a8b8 b6a5 b8a8 a5b6 d7b7 h1b1 b7d7 e2g4 d7g4 b6c6 g4h4 f2g2 h4g4 g2f2 g4h4
Leonid Stein Mem,Lviv UKR,2000.05.13,2,"Gelfand,B","Ivanchuk,V",0-1,2692,2709,A31,g1f3 c7c5 c2c4 b8c6 d2d4 c5d4 f3d4 g8f6 g2g3 d8b6 d4b3 e7e6 f1g2 c6e5 d1c2 b6a6 c4c5 d7d5 c5d6 f8d6 e1g1 c8d7 b1c3 a8c8 f1d1 d6e7 c1f4 e5c4 b3d2 c4d2 c2d2 e8g8 f4d6 e7d6 d2d6 d7c6 d1d4 a6b6 d6b4 b6b4 d4b4 b7b6 a1d1 h7h6 g2c6 c8c6 b4a4 f8a8 a4d4 c6c8 e2e4 f6g4 f2f4 g4e3 d1d3 e3c4 b2b3 c4b2 d3e3 c8c5 d4d2 a8c8 d2b2 c5c3 e3c3 c8c3 g1f2 g7g5 b2e2 g8g7 e2e3 c3c1 e3e1 c1c5 f2f3 g7g6 e1e2 c5c3 e2e3 c3c2 e3d3 c2h2 a2a4 h2b2 d3c3 h6h5 f4g5 g6g5 c3d3 f7f6 d3e3 e6e5 e3c3 a7a6 c3d3 b2c2 d3e3 b6b5 a4a5 b5b4 e3d3 c2c5 d3d8 c5a5 d8g8 g5h6 g8b8 a5c5 b8b4 c5b5 b4a4 b5b3 f3f2 b3b6 f2f3 h6g5 a4a3 b6c6 a3a4 c6c3
Leonid Stein Mem,Lviv UKR,2000.05.13,2,"Krasenkow,M","Korchnoi,V",1-0,2661,2659,D21,d2d4 d7d5 g1f3 e7e6 c2c4 d5c4 d1a4 c8d7 a4c4 d7c6 b1c3 g8f6 f3e5 f8e7 c1g5 e8g8 e5c6 b8c6 e2e3 e6e5 d4e5 c6e5 c4b5 f6d7 g5f4 c7c6 b5e2 d8a5 e1c1 e7b4 e2c2 d7f6 f1e2 f8e8 h1f1 e5g6 f4g3 b4c3 b2c3 f6e4 c1b2 b7b5 d1d4 e4g3 h2g3 a8b8 b2a1 g6f8 f1h1 e8e5 c2b2 a5c7 h1d1 g7g6 e2f3 e5e6 b2d2 c7a5 d1b1 c6c5 d4d5 a5c7 b1d1 b5b4 c3b4 c5b4 d1c1 c7e7 f3d1 b4b3 d2b2 a7a5 a2b3 a5a4 d5d3 e6a6 a1b1 e7e4 b2d4 e4g2 d4f4 b8b6 c1c8 g8g7 f4e5 b6f6 e5e8 f6f2 e8f8 g7f6 f8h8 f6g5 c8c5
Leonid Stein Mem,Lviv UKR,2000.05.13,2,"Romanishin,O","Beliavsky,A",1-0,2578,2640,A27,c2c4 e7e5 b1c3 b8c6 g1f3 f7f5 g2g3 g7g6 f1g2 f8g7 e1g1 g8e7 a1b1 d7d6 b2b4 e5e4 f3e1 c8e6 c1b2 e6c4 b4b5 c6e5 d2d3 e4d3 e1d3 c4d3 e2d3 e8g8 d3d4 e5d7 g2b7 a8b8 b7g2 f5f4 a2a4 g8h8 c3e4 e7f5 d4d5 g7b2 b1b2 a7a6 b5a6 b8a8 d1d3 d7e5 d3c3 f5g7 f1b1 a8a6 g3f4 e5d7 e4g5 h8g8 g5e6 d8f6 c3c7 g7e6 d5e6 f6e6 b2b7 f8f7 c7c8 d7f8 c8e6 f8e6 g2d5
Leonid Stein Mem,Lviv UKR,2000.05.14,3,"Korchnoi,V","Romanishin,O",1-0,2659,2578,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 c1g5 f8e7 d1c2 d7d6 a1d1 b8d7 e2e4 h7h6 g5c1 d8c8 f1e2 e6e5 e1g1 e8g8 f3h4 e5d4 h4f5 f8e8 d1d4 e7f8 f1d1 d7e5 c3d5 c8d8 f2f3 b7c8 f5e3 c7c6 d5f6 d8f6 b2b4 c8b7 f3f4 e5g6 e3g4 f6e7 e4e5 d6e5 d4d7 e7b4 d7b7 e5f4 g1f1 e8e7 b7e7 b4e7 e2f3 h6h5 f3c6 a8d8 d1d8 e7d8 g4f2 d8h4 c6d5 f8c5 f2h3 g6e7 c1f4 h4f6 g2g3 f6a1 f1g2 e7d5 c4d5 a1d4 h3g5 d4d5 c2e4 d5e4 g5e4 c5d4 e4d6 a7a6 g2f3 d4c5 d6b7 c5a3 f3e4 f7f6 e4d5
Leonid Stein Mem,Lviv UKR,2000.05.14,3,"Ivanchuk,V","Krasenkow,M",1/2-1/2,2709,2661,C83,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c1e3 f8e7 c2c3 e8g8 b1d2 d8d7 f1e1 g8h8 d2e4 d5e4 d1d7 e6d7 e5e6 d7e6 b3e6 f7e6 f3d2 c6e5 d2e4 e5d3 e1e2 c7c5 f2f3 c5c4 e4f2 a8d8 f2d3 c4d3 e2d2 d8d5 a1d1 f8d8 f3f4 e7f6 g2g3 h7h5 g1g2 e6e5 f4e5 f6e5 e3d4 h8h7 d2d3 b5b4 g2f3 b4c3 b2c3 e5f6 d3d2 d5a5 f3e2 d8c8 d1f1 c8c6 e2d3 h7g6 f1b1 a5f5 b1b4 f5f3 d3e4 f3f5 b4a4 c6e6 e4d3 e6c6 d2b2 c6e6 a4b4 f5a5 b4b6 g6f7 b6e6 f7e6 d4f6 g7f6 c3c4 h5h4 g3h4 a5a3 d3d4 a3h3 d4c5 h3h4 a2a4 e6d7 b2b7 d7c8 b7f7 h4h2 c5b6 h2b2 b6c6 c8b8 c4c5 a6a5 f7f6 b2b4 c6d7 b4a4 f6b6
Leonid Stein Mem,Lviv UKR,2000.05.14,3,"Beliavsky,A","Gelfand,B",1/2-1/2,2640,2692,D19,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f5g6 f3e5 b8d7 e5g6 h7g6 f1d1 d8a5 c1d2 a8d8 d2e1 c6c5 d4d5 e6d5 c4d5 f6d5 c3d5 b4e1 d1e1 d7f6 e2b5
Leonid Stein Mem,Lviv UKR,2000.05.15,4,"Beliavsky,A","Korchnoi,V",1/2-1/2,2640,2659,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6 c1g5 c8a6 c3f3 b8c6 e2e3 c6a5 a1c1 c7c5 d4d5 e6d5 g5f6 d8f6 f3f6 g7f6 c4d5 a6f1 e1f1 f8e8 g1e2 e8e5 e2f4 a5b3 c1c3 c5c4 g2g4 b6b5 f1g2 f6f5 h2h3 b3c5 h1d1 f5g4 h3g4 f7f5 g4f5 e5f5 d1h1 a8f8 c3c2 c5d3 f4d3 c4d3 c2d2 f5g5 g2f1 f8c8 d2d1 g5d5 h1h3 d3d2 f1e2 c8c2 h3f3
