Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Madrid,Madrid,1996.??.??,?,"Topalov, Veselin","Gelfand, Boris",1/2-1/2,2700,2700,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 f2f3 b8d7 g2g4 b7b5 g4g5 f6h5 a2a4 b5a4 a1a4 f8e7 c3d5 e7g5 e3g5 d8g5 d5c7 e8e7 c7a8 g5h4 e1d2 h4g5 d2e1 g5h4 e1d2 h4g5 d2e1 g5h4
Madrid,Madrid,1996.??.??,1,"Adams, Michael","Illescas Cordoba, Miguel",0-1,2660,2635,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g8f6 e4e5 f6d5 e1g1 g7g6 c2c3 f8g7 d2d4 c5d4 c3d4 e8g8 b1c3 d5c7 c1g5 h7h6 g5h4 g6g5 h4g3 c7b5 c3b5 a7a6 b5c3 d7d6 d4d5 c6e5 f3e5 d6e5 f1e1 f7f6 d1b3 g8h8 a1d1 b7b5 f2f3 d8c7 d1c1 f6f5 c3e4 c7b6 e4c5 b6d6 g3f2 f8d8 c1d1 a8b8 h2h3 c8b7 b3c2 b8c8 b2b4 f5f4 c2f5 b7d5 c5b7 d6d7 f5d7 d8d7 b7c5 d7d6 a2a3 h8g8 d1c1 g8f7 c1c2 c8d8 e1a1 d5a8 a1e1 h6h5 g1f1 f7g6 f1e2 g5g4 f2h4 g7f6 h4f2 g4f3 g2f3 g6f5
Madrid,Madrid,1996.??.??,1,"Kortschnoj, Viktor","Gelfand, Boris",1/2-1/2,2645,2700,D48,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e3e4 c6c5 e4e5 c5d4 c3e4 f6d5 e1g1 h7h6 a2a4 b5b4 d3c4 c8b7 d1d4 d8b6 f1d1 a8c8 a4a5 b6d4 d1d4 d7c5 e4d6 f8d6 e5d6 e8g8 c1d2 f8d8 a1c1 d8d6 d2b4 d6c6 c4d5 e6d5 d4d5 c6g6 f3h4 b7d5 h4g6 f7g6 b4c5 g6g5 h2h3 d5b3 c1c3 b3a4 b2b4 a4b5 c3c1 g8f7 c1d1 c8e8 d1d6 e8e6 d6b6 e6b6 a5b6 b5c6 g2g4 g7g6 c5d4 f7e6 d4g7 h6h5 g7h6 h5g4 h3g4 c6f3 g1h2 e6f6 h2g3 f3b7 h6f8 f6e6
Madrid,Madrid,1996.??.??,1,"Salov, Valery","Topalov, Veselin",1-0,2670,2700,A46,d2d4 g8f6 c1g5 e7e6 g1f3 h7h6 g5h4 g7g5 h4g3 f6e4 b1d2 e4g3 h2g3 f8g7 c2c3 d7d6 e2e4 a7a6 f1d3 b8d7 d1e2 d8e7 d2c4 b7b6 c4e3 c8b7 a2a4 e8f8 f3d2 c7c5 d4d5 d7e5 d3c2 a6a5 c2b3 b7a6 d2c4 f7f5 c4e5 g7e5 b3c4 f5f4 g3f4 g5f4 e3g4 a6c4 e2c4 e5g7 d5e6 h6h5 c4d5 a8e8 d5f5 f8g8 h1h5 h8h5 f5h5 e7e6 e1c1 e6e4 g4h6 g7h6 h5h6 e8e6 h6g5 g8f7 d1h1 e6f6 g5g4 e4f5 g4f3 d6d5 h1h5 f5e4 h5d5 e4a4 f3h5 f7e6 h5e5 e6f7 e5c7 f7g6 c7c8 a4a1 c1c2 a1a4 c2c1 a4a1 c1c2 a1a4 c2d2 a4c6 c8g8 g6h6 g8h8 h6g6 h8g8 g6h6 c3c4 c6e6 g8h8 h6g6 d5h5 e6d7 d2c1 d7e7 c1b1 e7e4 b1a1 f6e6 f2f3
Madrid,Madrid,1996.??.??,1,"San Segundo, Pablo","Shirov, Alexei",0-1,2535,2690,D31,d2d4 d7d5 c2c4 c7c6 b1c3 e7e6 e2e4 f8b4 c1d2 d5c4 f1c4 g8f6 d1e2 d8d4 g1f3 d4d8 e1g1 b8d7 a2a3 b4e7 a1c1 e8g8 e4e5 f6d5 f1d1 b7b6 c3e4 c8b7 c4d3 c6c5 e4g5 g7g6 e2e4 f8e8 e4h4 d7f8 d3b5 a7a6 b5e8 d8e8 h4h6 e8a4 b2b4 a4a3 b4c5 b6c5 g5e4 d5e3 d2e3 b7e4 e3g5 e7g5 f3g5 e4d5 h6h4 a3b4 h4g3 a8b8 h2h4 a6a5 g5h3 a5a4 h3f4 d5b3 d1e1 b4d2 g3g5 b8d8 e1f1 d8d4 g2g3 b3c4 f1e1 h7h5 g5f6 a4a3 f4h3 f8d7 f6d8 g8g7 h3g5 a3a2 g5f3 d2d3 f3d4 d3d4 c1c4 a2a1q e1a1 d4a1 g1g2 a1a2 c4f4 a2d5 g2f1 d7e5 d8d5 e6d5 f4a4 g7f6 a4a5 e5d7 f1e2 d5d4 e2d3 f6e5 d3c4 e5e4 f2f4 d4d3 c4c3 d7b6 a5a1 b6d5 c3d2 c5c4
Madrid,Madrid,1996.??.??,1,"Azmaiparashvili, Zurab","Morozevich, Alexander",1/2-1/2,2660,2625,D39,g1f3 g8f6 c2c4 e7e6 d2d4 d7d5 b1c3 d5c4 e2e4 f8b4 c1g5 c7c5 f1c4 c5d4 f3d4 c8d7 e1g1 b8c6 a1c1 a7a6 a2a3 b4e7 d4f3 f6g4 g5e7 d8e7 d1e2 e7f6 c1d1 h7h5 h2h3 c6e5 f3e5 f6e5 g2g3 g4f6 e2e3 h5h4 g3g4 g7g5 f1e1 d7c6 c4d5 a8c8 d5c6 c8c6 e3a7 e8g8 a7b7 f8c8 c3d5 g8g7 d5b4 c6c4 b4d3 e5a5 d3b4 a5e5 b4d3 e5a5 d3b4 a5e5
Madrid,Madrid,1996.??.??,2,"Morozevich, Alexander","Adams, Michael",1/2-1/2,2625,2660,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 f1c4 g8f6 e4f6 d7f6 c2c3 d8c7 g1e2 e7e6 d1d3 b7b6 c1f4 f8d6 d3g3 d6f4 e2f4 c8b7 a2a4 a7a5 a1d1 f6e4 g3e3 e4f6 e1g1 e8g8 f1e1 f8e8 e3e5 a8c8 d1d3 f6d5 f4h5 f7f6 e5g3 c7f7 g3h4 g8h8 d3f3 c6c5 d4c5 c8c5 h5g3 g7g5 h4d4 d5f4 g3e4 b7e4 e1e4 f7f8 c4f1 e6e5 d4d1 f6f5 e4e1 e8d8 d1c1 e5e4 f3g3 h7h6 g3e3 c5d5 f2f3 d5d2 f3e4 f5e4 g1h1 f8c5 b2b4 c5e3 e1e3 d2d1 c1d1 d8d1 h1g1 f4d5 e3e4 d5c3 e4e8 h8g7 b4a5 b6a5 e8e5 c3a4
Madrid,Madrid,1996.??.??,2,"San Segundo, Pablo","Azmaiparashvili, Zurab",1/2-1/2,2535,2660,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 c5d4 c3d4 d8a5 c1d2 a5a2 e1g1 c8g4 d2g5 h7h6 g5e3 b8c6 b1b7 f8b8 b7b8 a8b8 h2h3 g4d7 e2d3 c6b4 d1b1 a7a5 b1a2 b4a2 e3d2 a2b4 f1b1 e7e6 f3e5 d7e8 d3f1 g7f8 d4d5 e6d5 e4d5 b8c8 e5c4 b4d5 d2a5
Madrid,Madrid,1996.??.??,2,"Shirov, Alexei","Topalov, Veselin",1/2-1/2,2690,2700,B72,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f1e2 e8g8 d1d2 b8c6 e1c1 c6d4 e3d4 c8e6 h2h4 d8a5 d2g5 b7b5 g5b5 a5c7 e4e5 f6e8 e5d6 e8d6 b5c5 c7c5 d4c5 g7c3 b2c3 f8c8 c5d6 e7d6 d1d6 c8c3 h4h5 c3c5 c1b2 c5f5 h1b1
Madrid,Madrid,1996.??.??,2,"Gelfand, Boris","Salov, Valery",1-0,2700,2670,D28,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 g8f6 f1c4 e7e6 d1e2 c7c5 d4c5 f8c5 e1g1 b8c6 e3e4 f6g4 e4e5 c6d4 f3d4 d8d4 b1d2 g4e5 d2b3 d4c4 e2e5 c5f8 c1e3 c4d5 e5g3 f8d6 f2f4 d5e4 a1d1 d6e7 f4f5 e6f5 f1e1 e4g4 g3c7 c8e6 d1d4 g4g6 c7b7 a8c8 e3f4 e8f8 d4d7 e6d7 b7d7 g6b6 g1h1 c8e8 e1e7 e8e7 f4d6 b6d6 d7d6 h7h5 b3d4 h8h6 d6c5 h6f6 h1g1
