Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Manchester m,Manchester,1857.??.??,?,"Anderssen, Adolf","Kipping, James Stanley",0-1,,,C39,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 d7d6 e5g4 f8e7 g4f2 e7h4 d1f3 d8f6 d2d3 h4g3 b1c3 g8e7 c3e2 b8c6 e2g3 c6d4 f3f4 d4c2 e1d1 f6f4 c1f4 c2a1 g3h5 f7f5 h5f6 e8f7 e4e5 e7g6 f6d5 c8e6 d5c7 g6f4 c7a8 h8a8 g2g3 f4g6 h1h7 f7g8 h7b7 e6a2 e5d6 a2e6 f2h3 a8d8 b7a7 a1b3 a7a6 g6e5 h3f4 g8f7 f1g2 b3c5 a6a7 f7f6 d3d4 d8d6 f4d5 e6d5 d4e5 f6e5 g2d5 e5d5
Manchester,Manchester,1857.??.??,?,"Boden, Samuel Standige","Loewenthal, Johann Jacob",1/2-1/2,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 e5d4 d1d4 c8d7 c1e3 b8c6 d4d2 g8f6 f1d3 f8e7 b1c3 h7h6 h2h3 c6e5 f3h2 f6h7 c3e2 e7f6 f2f4 e5d3 c2d3 f6h4 g2g3 h4e7 h2f3 f7f5 a1c1 d7c6 e2d4 f5e4 d3e4 c6d7 e4e5 d6e5 f3e5 e8g8 d2c3 h7f6 c3c7 e7b4 e1f2 d8e7 c7c4 g8h7 c4d3 h7g8 e5g6 e7e4 d3e4 f6e4 f2f3 f8e8 g6e5 e4f6 c1c7 b4d6 c7d7 d6e5 d7b7 e5d6 d4f5 d6f8 e3d4 e8e6 h1c1 g7g6 d4f6 e6f6 f5e7 g8h8 c1c7 a7a5 f3g4 a8a6 h3h4 h6h5 g4h3 a5a4 e7d5 f6f5 c7f7 f5f7 b7f7 f8g7 f7b7 a6d6 d5b6 d6d4 a2a3 d4e4 b7a7 g7b2 a7a4 e4a4 b6a4 b2a3
Manchester,Manchester,1857.??.??,?,"Brien, Robert Barnett","Pindar, Edward",0-1,,,D40,d2d4 d7d5 c2c4 e7e6 e2e3 c7c5 g1f3 g8f6 a2a3 a7a6 b1c3 b8c6 f1d3 f8e7 b2b3 b7b6 c1b2 c8b7 c4d5 e6d5 e1g1 c5d4 e3d4 e8g8 a1c1 a8c8 d3b1 e7d6 f1e1 f8e8 d1d3 c6e7 f3e5 e7g6 e5g6 h7g6 d3f3 e8e1 c1e1 d8c7 f3h3 d6a3 c3d5 f6d5 b2a3 d5f4
Manchester,Manchester,1857.??.??,?,"Harrwitz, Daniel","Anderssen, Adolf",1-0,,,C39,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 h7h5 f1c4 h8h7 d2d4 f4f3 g2f3 d7d6 e5d3 f8e7 c1e3 e7h4 e1d2 h4g5 d1g1 b8c6 c4b5 c8d7 b5c6 b7c6 b1c3 d8e7 e4e5 g5e3 g1e3 d6d5 a1g1 f7f5 d3f4 e7g5 f4d5 g5e3 d5e3 e8c8 f3g4 f5g4 c3e2 c6c5 d4d5 g8e7 e2f4 e7d5 e3d5 h7f7 d2e3 d8e8 h1h5 d7f5 e5e6 f5e6 h5e5
Manchester,Manchester,1857.??.??,?,"Harrwitz, Daniel","Loewenthal, Johann Jacob",0-1,,,C41,e2e4 e7e5 g1f3 d7d6 f1c4 f8e7 d2d4 e5d4 f3d4 g8f6 b1c3 c7c6 e1g1 e8g8 c4d3 d6d5 e4d5 c6d5 c1g5 b8c6 d4f5 c8f5 d3f5 d5d4 c3e2 d8d5 e2g3 g7g6 g5f6 e7f6 f5e4 d5c5 e4c6 c5c6 d1d3 a8c8 a1c1 f8e8 g3e2 c6c4 e2f4 c4d3 f4d3 e8e2 d3b4 a7a5 b4d5 f6g7 c2c3 c8c5 d5f4 e2d2 c1b1 d4c3 b2c3 g7c3 b1b7 c3e5 f4h3 d2a2 h3g5 e5h2 g1h2 c5g5 g2g3 g5f5 h2g2 h7h5 b7a7 f5b5 g2h3 b5b2 h3g2 g8g7 g2g1 g6g5 a7a6 f7f6 a6a7 g7g6 g1g2 a5a4 g2g1 a4a3 g1g2 g5g4 a7a5 b2b3 a5a4 b3c3 g2g1 a2b2 g1g2 a3a2 f1a1 c3c2 a1f1 c2d2 a4a6 d2e2 a6a7 e2c2 a7a8 c2d2 a8a5 f6f5 a5a6 g6g5 a6a5 d2d3 g2g1 h5h4 g3h4 g5h4 a5a8 d3d2 g1g2 g4g3 a8a4 h4g5 g2g3 b2b1 f2f4 g5h5 a4a2 b1b3
Manchester,Manchester,1857.??.??,?,"Harrwitz, Daniel","Pindar, Edward",1-0,,,D35,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1f4 a7a6 e2e3 c7c5 g1f3 d5c4 f1c4 b7b5 c4b3 c8b7 e1g1 b8d7 a2a4 c5c4 b3c2 b5b4 c3e2 a6a5 a1c1 f8e7 e2g3 e8g8 e3e4 b4b3 c2b1 d7b6 f4e3 b6a4 d4d5 e6d5 e4e5 f6e4 b1e4 d5e4 f3d4 e7c5 g3f5 c5d4 e3d4 d8g5 f5d6 b7d5 d6c4 f8d8 c4e3 d5e6 f2f4 e4f3 d1f3 a8b8 d4a7 b8b4 c1c7 g5g6 e3d5 d8d5 f3d5 h7h6 d5a5 b4g4 a5d2 h6h5 a7e3 h5h4 h2h3 g4g3 c7a7 e6h3 d2d8
Manchester,Manchester,1857.??.??,?,"Loewenthal, Johann Jacob","Anderssen, Adolf",1-0,,,B44,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5 a7a6 b5d6 f8d6 d1d6 g8e7 c1e3 f7f5 f1d3 e8g8 b1c3 f5e4 d3e4 e7f5 e4f5 f8f5 e1c1 d8a5 g2g4 f5f7 f2f4 b7b5 c1b1 c8b7 h1f1 a8e8 e3c5 a5d8 c3e4 h7h6 g4g5 c6e7 c5b6 d8a8 e4g3 e7c8 d6d4 c8b6 d4b6 b7g2 f1g1 h6g5 f4g5 g7g6 b6d6 a8c6 d6d3 g8g7 d3e2 g2d5 e2e5 g7g8 d1d4 c6c5 g1e1 e8c8 d4d2 c5c7 b2b3 c7e5 e1e5 f7f4 g3e2 f4f1 b1b2 f1e1 e5e3 c8f8 e3d3 f8f7 e2c3 d5c6 a2a3 f7f5 h2h4 e1h1 d3d4 d7d5 d4g4 g8f7 c3d1 f5f3 d2f2 d5d4 g4f4 f7e7 f2f3 c6f3 d1f2 f3d5 f2h1
Manchester,Manchester,1857.??.??,?,"Mongredien, Augustus","Anderssen, Adolf",1-0,,,C39,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 g8f6 e5g4 f6e4 d1f3 d7d5 d2d3 h7h5 d3e4 c8g4 f3f4 f8d6 f4e3 d5d4 e3f2 b8d7 f1c4 d7e5 c1g5 d8d7 b1d2 f7f6 f2f6 e5d3 c4d3 d6g3 e1f1 h8f8 e4e5 f8f6 g5f6 d7f7 d3c4 f7g6 c4d3 g4f5 f1e2 g3e5 d3f5 g6g2 e2d3 g2g3 d3c4 b7b5 c4c5 e5f6 a1e1 e8f8 e1e6 f6e7 c5c6 a8b8 h1f1 b8b6 c6d7 e7f6 d2e4 g3g7 d7c8 g7h8 e4f6 b6e6 f5e6 f8e7 e6g8 c7c5 f6d5 e7d6 f1f6 d6e5 f6g6 c5c4 d5e7 d4d3 g6e6
Manchester,Manchester,1857.??.??,?,"Pindar, Edward","Anderssen, Adolf",1-0,,,C44,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f1c4 f8c5 f3g5 g8h6 d1h5 d8e7 e1g1 d7d6 h2h3 c6e5 c4b3 c8d7 f2f4 d7b5 f4e5 b5f1 g5e6 f1e2 e6g7 e8d7 e5e6 d7c6 h5h6 a8f8 b3d5 c6b6 b2b4
Manchester,Manchester,1857.??.??,?,"Pindar, Edward","Boden, Samuel Standige",0-1,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 e5d4 f3d4 g8f6 b1c3 f8e7 f1d3 e8g8 e1g1 c7c5 d4e2 b8c6 f2f4 a7a6 a2a4 c8g4 h2h3 g4e2 c3e2 c6b4 c2c3 b4d3 d1d3 d6d5 e4e5 c5c4 d3f3 f6e4 e2d4 e7c5 g1h2 c5d4 c3d4 f7f5 c1e3 d8b6 f3e2 a8e8 f1g1 g8h8 g2g4 b6e6 g4f5 e6f5 e2g4 g7g6 g1g2 e8e6 a1g1 h8g7 h3h4 f5g4 g2g4 f8f5 g1g2 e6b6 e3c1 h7h5 g4g5 e4g5 h4g5 g7f7 g2g3 f7e6 a4a5 b6b3 g3b3 c4b3 c1d2 f5f8 h2g3 f8c8
