Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Manila,Manila,1974.??.??,1,"Cardoso, Radolfo Tan","Gligoric, Svetozar",0-1,2385,2585,B88,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1c4 e7e6 c4b3 f8e7 e1g1 e8g8 c1e3 c6d4 e3d4 b7b5 a2a3 c8b7 d1e2 a7a5 e4e5 d6e5 d4e5 b5b4 f1d1 d8c8 c3b5 c8c6 f2f3 b7a6 a3a4 f8d8 c2c4 f6d7 e5c7 d8c8 c7g3 d7c5 b3c2 b4b3 c2b1 c8d8 b1e4 c5e4 e2e4 c6e4 f3e4 a6b7 e4e5 b7e4 d1d8 a8d8 b5d6 e4c6 g3e1 e7d6 e5d6 d8d6 e1a5 d6d4 a5c3 d4c4 a4a5 c6e4 a1c1 f7f6 g1f2 g8f7 g2g3 e4c2 c3d2 c4a4 c1e1 e6e5 e1e3 f7e6 d2c3 g7g5 h2h3 h7h5 e3e1 c2f5 f2g2 f5d3 g2f2 d3f5 e1h1 f5e4 h1g1 e4d5 f2e3 h5h4 e3f2 h4g3 f2g3 a4f4 g1e1 f4f3 g3g4 f3d3 e1c1 e6f7 h3h4 f7g6 h4h5 g6f7 g4f5 d3e3
Manila,Manila,1974.??.??,1,"Vasiukov, Evgeni","Naranja, Renato",1-0,2560,2395,D53,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8 g1f3 b8c6 a1c1 f6e4 g5e7 c6e7 f1d3 f7f5 e1g1 c7c6 f3e5 e7g6 e5g6 h7g6 c3e2 c8d7 f2f3 e4d6 c4c5 d6f7 f3f4 b7b5 d1e1 a7a5 e2c3 d7e8 h2h3 a8a7 c1d1 g8h7 d1d2 f8h8 g2g4 h7g8 e1g3 d8h4 g1g2 h4g3 g2g3 g8f8 d2g2 f7h6 c3e2 a7c7 e2g1 h6g8 g1f3 g8f6 f3e5 f6d7 e5f3 d7f6 f1g1 e8f7 g2h2 f8e7 g3f2 c7c8 g4f5 g6f5 g1g7 c8g8 g7g8 h8g8 f3e5 f7e8 h2g2 g8g2 f2g2 f6g8 g2g3 e7f6 d3e2 g8e7 a2a4 f6g7 e2d1 g7h6 e5d3 e8h5 d1h5 h6h5 d3e5 b5a4 g3f3 h5h4 f3g2 h4h5 g2g3 h5h6 e5f7 h6g6 f7d8 g6h5 g3g2 h5g6 d8e6 e7c8 e6f8 g6h5 f8d7 c8a7 d7e5 a4a3 b2a3 a5a4 g2g3 a7b5 e5c6 b5a3 c6b4 a3c4 c5c6 a4a3 c6c7 c4d6 g3f2 h5h4 f2e2 h4h3 b4c2 a3a2 e2d2 h3g3 d2c1 g3f3 c1b2 f3e4 b2a2 e4d3 a2b3 d6c8 b3b4 d3c2 b4c5 c2d3 c5d5 c8a7 d5c5
Manila,Manila,1974.??.??,1,"Kavalek, Lubomir","Petrosian, Tigran V",1/2-1/2,2625,2640,C16,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 b7b6 a2a3 b4c3 b2c3 d8d7 a3a4 c8a6 f1a6 b8a6 d1g4 f7f5 g4h5 g7g6 h5e2 a6b8 h2h4
Manila,Manila,1974.??.??,1,"Larsen, Bent","Ljubojevic, Ljubomir",1/2-1/2,2630,2605,A46,d2d4 g8f6 g1f3 e7e6 g2g3 b7b5 f1g2 c8b7 e1g1 c7c5 c1g5 d8b6 a2a4 b8c6 d4c5 f8c5 a4b5 b6b5 b1c3 b5b4 a1a3 c6d4 f3d4 b7g2 d4b5 g2f1 a3a4 f1e2 d1e2 b4b2 e2f3 a8b8 a4a2 b2b4 b5c7 e8f8 g5f6 g7f6 c7a6 b4b6 a6b8 b6b8 f3f6 h8g8 c3e4 b8b1
Manila,Manila,1974.??.??,1,"Pfleger, Helmut","Torre, Eugenio",0-1,2535,2450,B09,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 e4e5 f6d7 g1f3 c7c5 e5d6 e8g8 d6e7 d8e7 f1e2 c5d4 c3b5 b8c6 e1g1 a7a6 b5d4 c6d4 f3d4 g7d4 d1d4 e7e2 c1d2 e2b5 d2b4 b5b6 d4b6 d7b6 b4f8 g8f8 b2b3 c8e6 c2c4 a6a5 a1d1 a5a4 d1d6 b6c8 d6d3 c8e7 f1d1 e7c6 g1f2 f8e7 d1d2 h7h5 d3e3 e7f6 e3d3 a4b3 a2b3 a8a3 d3e3 c6a5 d2d3 a3a2 f2f3 a2b2 h2h3 h5h4 d3c3 e6f5 g2g4 h4g3 f3g3 a5c6 c4c5 c6d4 c3c4 d4e2 g3f3 e2g1 f3g3 f5h3 g3h4 h3e6 c5c6 b7c6 c4c6 b2g2
Manila,Manila,1974.??.??,1,"Portisch, Lajos","Gheorghiu, Florin",1-0,2645,2540,D99,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4 c1e3 f6d7 c4b3 d7b6 a1d1 b8c6 d4d5 c6e5 f1e2 e5f3 g2f3 g4h5 h1g1 d8d7 g1g3 c7c6 d5c6 d7c6 c3b5 b6c8 d1d5 g8h8 d5c5 c6f6 e3d4 f6h4 d4g7 h8g7 b3c3 g7g8 b5c7 a8b8 c5g5 f7f6 c7e6 f8e8 f3f4 h5e2 g3h3 h4g5 e6g5 f6g5 e1e2 g5f4 c3c4 g8g7 h3h7 g7h7 c4f7 h7h6 f7e8
Manila,Manila,1974.??.??,1,"Quinteros, Miguel A","Andersson, Ulf",1/2-1/2,2495,2580,E08,d2d4 g8f6 c2c4 e7e6 g2g3 f8e7 f1g2 d7d5 g1f3 e8g8 e1g1 c7c6 b1c3 b8d7 b2b3 b7b6 d1c2 c8a6 f3d2 b6b5 c4b5 c6b5 a2a3 d8b6 c1b2 f8c8 c2d1 b5b4 c3a4 b6b5 f1e1 b4a3 b2a3 e7a3 a1a3 b5b4 d2b1 a6b5 g2f3 a8b8 d1d2 b4d2 b1d2 c8c2 d2f1 g7g6 f1e3 c2d2 e1d1 d2d1 e3d1 b5a4 a3a4
Manila,Manila,1974.??.??,2,"Naranja, Renato","Cardoso, Radolfo Tan",0-1,2395,2385,A29,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8b4 f1g2 e8g8 e1g1 e5e4 f3g5 b4c3 b2c3 f8e8 d2d3 e4d3 e2d3 h7h6 g5f3 b7b6 f1e1 c8b7 c1f4 d7d6 d1d2 c6e7 h2h3 d8d7 g1h2 e7g6 f4e3 c7c5 a2a4 a8d8 a4a5 b7f3 g2f3 g6e5 f3g2 d7f5 a5b6 a7b6 f2f4 e5d3 g3g4 f5h7 e1d1 d3b2 d2b2 e8e3 b2b6 d8e8 f4f5 h6h5 g4g5 h7f5 g5f6 e3e2 b6b7 f5f4 h2h1 e8e3 b7b8 g8h7 b8d6 e3h3
Manila,Manila,1974.??.??,2,"Torre, Eugenio","Larsen, Bent",0-1,2450,2630,B83,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2 f8e7 e1g1 b8c6 c1e3 c8d7 d4b5 d8b8 a2a4 e8g8 f2f4 f8c8 g1h1 c6b4 e2f3 a7a6 b5d4 e6e5 f4e5 d6e5 d4f5 d7f5 e4f5 e5e4 f3e4 f6e4 c3e4 b8e5 d1g4 h7h5 g4f3 b4c2 f5f6 c2e3 f3e3 e7d6 e3g3 e5g3 h2g3 d6e5 f6g7 g8g7 f1f5 f7f6 a1f1 c8c6 b2b3 g7g6 f5f3 a8d8 e4f2 c6c3 f3c3 e5c3 f2h3 c3e5 h3f4 g6h6 h1h2 d8d2 f1f3 d2d1 f4d3 h6g6 d3f4 g6g5 f4h3 g5h6 h3f2 d1b1 f2e4 h6g6 e4d2 b1d1 d2c4 e5b8 c4e3 d1b1 e3f1 b8e5 f1d2 b1c1 d2c4 e5c7 c4e3 b7b5 a4b5 a6b5 e3d5 c7e5 d5e3 c1b1 e3f1 b1b2 h2h3 g6g5 f1h2 b2b1 f3d3 g5f5 d3f3 f5g5 f3e3 g5g6 e3f3 b5b4 h2f1 e5c3 g3g4 h5g4 h3g4 b1b3 f3d3 b3a3 g4f3 c3e5 f3e2 a3d3 e2d3 b4b3 f1d2 b3b2 d3c2 g6f5 c2d3 f5f4 d3e2 f4g3 e2f1 f6f5 d2b1 e5d6 b1c3 d6b4 c3b1 b4a5 b1a3 a5c3 a3b1 c3b4 f1g1 f5f4 g1f1 f4f3
Manila,Manila,1974.??.??,2,"Petrosian, Tigran V","Quinteros, Miguel A",1-0,2640,2495,E69,d2d4 g7g6 c2c4 f8g7 b1c3 d7d6 g1f3 b8d7 g2g3 e7e5 f1g2 g8f6 e1g1 e8g8 e2e4 f8e8 h2h3 e5d4 f3d4 d7c5 f1e1 a7a5 a1b1 c7c6 c1f4 a5a4 b2b3 a4b3 a2b3 h7h6 d1c2 c5e6 d4e6 e8e6 f4e3 d8e7 b1a1 a8a1 e1a1 e7c7 a1e1 g6g5 e1d1 c7a5 c3e2 a5c7 b3b4 e6e8 c2d3 f6d7 e2d4 d7e5 d3c2 c7e7 b4b5 c8d7 d4f5 d7f5 e4f5 e8c8 c2e4 g8f8 g1h1 g7f6 e3c1 e5d7 b5c6 b7c6 e4d3 f6e5 c1a3 d7c5 d3e3 e7f6 f2f4 g5f4 g3f4 e5b2 d1d6 c8e8 d6f6
Manila,Manila,1974.??.??,2,"Ljubojevic, Ljubomir","Kavalek, Lubomir",1/2-1/2,2605,2625,B80,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 c1e3 a7a6 d1f3 d8c7 e1c1 b8c6 f1e2 c6d4 d1d4 b7b5 e3g5 f8e7 h1d1 a8b8 f3g3 b5b4 e4e5 b4c3 e5d6 c7b6 b2b3 e7d8 g5e3 c8d7 d4a4 b6b7 e2f3 b7b5 g3g7 h8g8 g7h6 b5f5 a4a6 f6g4 f3g4 g8g4 g2g3
Manila,Manila,1974.??.??,2,"Kraidman, Yair","Vasiukov, Evgeni",0-1,2470,2560,E91,d2d4 g8f6 c2c4 c7c5 d4d5 d7d6 b1c3 g7g6 e2e4 f8g7 g1f3 e8g8 f1e2 e7e6 e1g1 f8e8 f1e1 b8a6 d5e6 c8e6 c1g5 h7h6 g5f4 d8b6 b2b3 e6g4 h2h3 g4d7 e4e5 d6e5 f3e5 a8d8 d1c1 d7f5 e2g4 f5g4 h3g4 a6b4 e1e3 d8d4 e3f3 b6e6 f4g3 f6g4 e5g4 d4g4 a1b1 h6h5 a2a3 b4c6 c3d5 c6d4 d5c7 d4f3 g2f3 g4g3 f2g3 e6h3
Manila,Manila,1974.??.??,2,"Gligoric, Svetozar","Pfleger, Helmut",1/2-1/2,2585,2535,B08,d2d4 d7d6 e2e4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 c8g4 c1e3 b8c6 d4d5 g4f3 e2f3 c6e5 f3e2 c7c6 f2f4 e5d7 e2f3 c6d5 e4d5 a7a6 a2a4 d8a5 e3d4 a8c8 d1d3 c8c7 c3e2 a5b4 c2c3 d7c5 d4c5
Manila,Manila,1974.??.??,2,"Andersson, Ulf","Portisch, Lajos",1-0,2580,2645,A16,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 d7d5 c4d5 f6d5 b1c3 b8c6 e1g1 e8g8 c3d5 d8d5 d2d3 d5b5 a1b1 a7a5 b2b3 e7e5 c1b2 a5a4 b3a4 b5a4 a2a3 a4d1 f1d1 c6d4 f3d4 e5d4 d1c1 c7c6 c1c4 f8d8 a3a4 c8g4 g1f1 d8d7 c4b4 a8a7 b1a1 a7a5 h2h3 g4e6 h3h4 e6g4 b2c1 h7h6 c1d2 a5e5 f2f3 g4f5 f3f4 e5e8 g2f3 d7e7 a1b1 f5c8 d2e1 h6h5 e1f2 e8d8 a4a5 e7c7 f1g2 c7d7 b4c4 d7e7 b1b2 c8g4 c4b4 d8d7 b4b6 d7c7 b2c2 e7d7 c2c4 g4f3 g2f3 d7d5 a5a6 b7a6 c4c6 c7c6 b6c6 a6a5 c6c8 g8h7 f3e4 d5d7 c8a8 f7f5 e4f3 g7f6 a8a5 h7g7 a5a6 g7f7 f2e1 d7d5 e1b4 d5b5 b4d6 b5d5 a6c6 d5b5 d6c7 b5d5 f3f2 d5b5 c7d6 b5a5 c6b6 a5d5 d6b4 f6d8 b6c6 d5b5 c6c4 b5d5 f2f3 d8f6 b4a3 d5d7 a3b2 d7d6 c4b4 f7e6 b4a4 e6f7 b2a3 d6d5 a4a7 f7e6 a7b7 f6d8 b7g7 e6f6 g7a7 d5a5 a3b2 a5a7 b2d4 f6e6 d4a7 d8a5 a7f2 e6d5 e2e4 d5c6 d3d4 c6d6 f3e3 a5b4 e3d3 b4a3 d4d5 a3c1 f2a7 c1a3 a7b8 d6c5 d5d6 c5c6 e4e5
Manila,Manila,1974.??.??,3,"Larsen, Bent","Gligoric, Svetozar",1-0,2630,2585,B66,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 c8d7 f2f3 b7b5 g2g4 b5b4 d4c6 d7c6 c3e2 d6d5 e2d4 c6b7 e4e5 f6d7 f3f4 d7c5 f1g2 c5e4 d2e2 d8c7 c1b1 f8e7 h1f1 e8g8 f1f3 a6a5 d1g1 a5a4 f3h3 a4a3 g2e4 a3b2 e4h7 g8h7 e2d3 h7h8 f4f5 c7c4 d3c4 d5c4 f5f6 g7f6 e3h6 f8e8 d4f5
