Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Mar del Plata,Mar del Plata,1934.??.??,1,"Aponte, A1.","Bolbochan, Jacobo",0-1,,,B22,e2e4 c7c5 c2c3 b8c6 g1f3 d7d5 f1b5 d5e4 f3e5 d8d5 e5c6 b7c6 c3c4 d5d6 b5a4 g8f6 b1c3 c8f5 a4c2 e7e6 b2b3 f8e7 c1b2 e8g8 d1e2 a8d8 h2h3 d8d7 e1c1 d6f4 e2e3 f4e3 f2e3 h7h5 c3e2 h5h4 g2g3 f5g6 e2f4 h4g3 h1g1 e7d6 g1g3 d6f4 e3f4 f6h5 g3g4 g6f5 g4h4 h5g3 d1e1 f7f6 b2c3 f8d8 c2d1 d7d3 d1g4 g8f7 c3a5 d8e8 e1e3 d3e3 d2e3 g7g5 f4g5 f6g5 g4h5 g3h5 h4h5 f7g6 h5g5 g6g5 a5c7 f5h3 c7d6 g5f5 d6c5 h3f1 c1c2 a7a5 a2a3 e6e5 a3a4 f5e6 c5b6 e8a8 b6c5 e6d7 c2c3 d7c7 c5e7 a8e8 e7c5 e8d8 c3c2 d8d3 c2b2 f1e2 c5e7 d3e3 c4c5 e3d3 e7d6 d3d6 c5d6 c7d6 b2c3 e4e3 b3b4 a5b4 c3b4
Mar del Plata,Mar del Plata,1934.??.??,1,"Balparda, Julio Cesar","Grau, Roberto",1-0,,,D07,d2d4 d7d5 g1f3 b8c6 c2c4 c8g4 e2e3 e7e6 b1c3 f8b4 c1d2 g8e7 c4d5 e6d5 h2h3 g4f5 a2a3 b4c3 d2c3 e8g8 f1d3 d8d7 d1c2 f8e8 e1g1 f5d3 c2d3 d7f5 d3b5 a8b8 a1c1 a7a6 b5a4 e7c8 a4c2 f5c2 c1c2 c8d6 b2b3 f7f6 f3e1 d6e4 e1d3 c6e7 c3a5 c7c6 f1c1 b8c8 f2f3 e4d6 g2g4 e7g6 g1f2 g6f8 d3c5 f8e6 c5d3 e8e7 a5b4 e7d7 d3b2 c8e8 b2a4 d6c8 h3h4 g7g5 h4h5 d7f7 a4b2 c8b6 b2d3 b6d7 c1g1 h7h6 c2c1 f6f5 g4f5 f7f5 g1g2 g8h7 b4d6 d7f6 d6e5 g5g4 d3f4 g4f3 g2g6 e6f4 e3f4 f6h5 c1g1 f5f7 b3b4 e8f8 f2f3 f7f4 e5f4 f8f4 f3e3 f4e4 e3d2 e4d4 d2c3 d4d1 a3a4 d1g1 g6g1 h5f6 c3d4 f6e4 d4e5 h6h5 e5f5 h5h4 g1g4 h4h3 g4h4 h7g7 h4h3 b7b6 f5e5 a6a5 b4b5 c6b5 a4b5 a5a4 e5d5 e4d2 h3a3 d2b1 a3a1 b1c3 d5c6
Mar del Plata,Mar del Plata,1934.??.??,1,"Hernandez, JB.","Holtey, Guillermo",0-1,,,B18,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1f3 b8d7 f1d3 g8f6 h2h4 d8c7 h4h5 g6d3 d1d3 h7h6 h1h4 e8c8 d3b3 e7e6 c1f4 c7a5 f4d2 a5a6 e1c1 f8e7 h4h1 f6g4 h1f1 d7b6 c1b1 d8d5 b3d3 a6d3 c2d3 b6d7 d2c3 h8d8 d1e1 e7d6 g3e4 d6c7 f1h1 d5f5 h1h4 d7f6 e1h1 d8d5 c3b4 f5h5 b4f8 h5h4 h1h4 g7g5 e4f6 g4f6 h4h6 f6g4 h6h8 g4f2 f8d6 c8d7 d6a3 f2d3 g2g4 d3f2 h8f8 f2g4 f8f7 d7c8 a3e7 d5f5 f3g5 f5f7 g5f7 c8d7 e7b4 g4e3 f7g5 c7d8 g5e4 b7b6 b1c1 e3f5 b4c3 f5d6 e4g3 d8h4 g3e2 d6f5 c1c2 h4g3 c2d3 g3h2 c3e1 h2d6 b2b4 b6b5 a2a3 d6c7 e1d2 c7b6 d2f4 a7a5 f4d2 a5a4 d2f4 b6c7 f4c1 f5d6 e2c3 d6c4 c3a4 c7d6 a4c3 c4b6 c3e4 d6e7 c1f4 b6c4 f4c1 d7e8 d3c3 c4b6 c3d3 e8f7 e4f2 f7g6 d3e4 b6c4 f2d3 e7d6 d3e5 d6e5 d4e5 c4b6 c1e3 b6d7 e4f4 g6h5 e3c5 d7c5 b4c5 h5h4 f4e3 h4g3 e3e4 g3g4
Mar del Plata,Mar del Plata,1934.??.??,1,"Hounie Fleurquin, Carlos","Villegas, Benito",1/2-1/2,,,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c1g5 d5c4 e2e3 b7b5 a2a4 c7c6 a4b5 c6b5 g5f6 g7f6 b2b3 d8d5 b3c4 b5c4 f1e2 c8b7 e2f3 d5d7 f3b7 d7b7 f2f3 b8d7 g1e2 e8g8 e1g1 f8c8 c3e4 f6f5 e4g3 b7d5 e3e4 f5e4 f3e4 d5g5 c2a4 g5e7 g3h5 g8h8 e4e5 c8g8 a4c2 d7b6 h5f6 g8g6 e2f4 g6f6 e5f6 e7f6 c2e4 b4d6 a1a6 f6f5 e4f5 e6f5 f4e2 a8e8 g1f2 d6b8 e2c3 e8d8 f1d1 h8g7 h2h3 h7h5 c3b5 d8d7 f2f3 b6d5 a6c6 d7e7 b5d6 b8d6 c6d6 d5b6 d6c6 f7f6 d4d5 e7d7 d5d6 g7f7 f3g3
Mar del Plata,Mar del Plata,1934.??.??,1,"Iliesco, Juan Traian","Fenoglio, Virgilio",0-1,,,D12,d2d4 g8f6 c2c4 c7c6 g1f3 d7d5 e2e3 c8f5 c4d5 c6d5 b1c3 e7e6 d1b3 d8c7 c1d2 b8c6 a1c1 f6d7 c3a4 f8e7 d2b4 e7b4 b3b4 a8c8 b4a3 f7f6 f1e2 e8f7 a4c5 d7c5 d4c5 e6e5 e1g1 a7a5 a3b3 f5e6 a2a3 h8d8 f1d1 g7g5 e3e4 d5d4 e2c4 e6c4 b3c4 f7g7 c4b5 c6e7 f3d2 c8a8 b2b4 a5b4 a3b4 a8a2 c1a1 d8a8 a1a2 a8a2 b5e8 e7g6 d2c4 c7c6 e8d8 c6e4 d8d7 g7g8 d7e6 g8g7 c4d6 e4g2 g1g2 g6f4 g2f3 f4e6 d6b7 a2b2 f3e4 b2b4 e4d5 e6f4 d5c6 g7f7 b7d6 f7e6 d1a1 d4d3 a1a8 f4d5 d6b5 b4b5 c6b5 d5c7
Mar del Plata,Mar del Plata,1934.??.??,1,"Molina, Julio","Guimard, Carlos E",1-0,,,D00,d2d4 g8f6 b1d2 d7d5 e2e3 e7e6 f1d3 c7c5 c2c3 b8c6 f2f4 f8d6 d1f3 d8c7 g1h3 c8d7 e1g1 e8c8 b2b3 c5d4 e3d4 c8b8 c1b2 c7b6 g1h1 h7h6 a2a4 d8c8 f1b1 c6a5 c3c4 d6b4 c4c5 b6c7 b2c1 a5c6 f3e3 g7g5 d3b5 g5f4 h3f4 f6g4 e3f3 h8g8 b5c6 b7c6 d2f1 e6e5 d4e5 g4e5 f3e3 c8e8 e3d4 c7a5 c1d2 b4d2 f1d2 a5d8 b3b4 d8h4 b4b5 c6b5 a4b5 e5g4 d2f3 g4f2 h1g1 f2h3 f4h3 h4h3 d4f2 e8e3 g1h1 h3e6 c5c6 d7c8 f2a2 e6e7 b5b6 a7b6 a2a8
Mar del Plata,Mar del Plata,1934.??.??,1,"Piazzini, Luis Roberto","Schwartzman, Aaron",0-1,,,A47,d2d4 g8f6 g1f3 b7b6 e2e3 c8b7 f1d3 c7c5 c2c3 g7g6 b1d2 f8g7 e1g1 e8g8 b2b3 b8c6 c1b2 d7d6 d1e2 d8c8 a1c1 e7e5 f1d1 d6d5 d4e5 f6g4 c3c4 c6e5 b2e5 g4e5 f3e5 g7e5 c4d5 b7d5 f2f4 e5g7 e3e4 d5e6 e4e5 g7h6 e2f2 e6g4 d1f1 c8d7 d2e4 h6g7 e4d6 f7f6 d3b5 d7c7 b5c4 g8h8 f2h4 f6e5 d6f7 f8f7 c4f7 g4f5 f7c4 e5e4 g1h1 a8e8 f1e1 g7d4 e1e2 c7d6 h2h3 e4e3 c1f1 h8g7 h1h2 d4c3 h4g3 c3d2 f1d1 e8e4 g3f3 e4f4 f3b7 g7h6 h2g1 f5c2 d1f1 f4f1 g1f1 d6h2 g2g3 h2g3 b7g2 g3f4 f1g1 c2e4 g2g4 f4g4 h3g4 h6g5 e2h2 h7h5 g4h5 g6h5 c4e2 h5h4 g1f1 d2c3 h2h3 c3d4 e2c4 e4c6 a2a4 c6e4 c4e2 e4c2 e2c4 c2d1 h3h2 d4e5 h2g2 e5g3 g2b2 d1f3 c4e6 g5f4 b2c2 f4e5 e6h3 f3d1 c2b2 e5d4 h3e6 d4c3 b2e2 g3f2
Mar del Plata,Mar del Plata,1934.??.??,2,"Schwartzman, Aaron","Fenoglio, Virgilio",0-1,,,B18,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 g1f3 b8d7 f1d3 e7e6 e1g1 g8f6 d1e2 g6d3 e2d3 f8d6 c2c4 d8c7 c1d2 e8g8 d2c3 f8e8 f1e1 a8d8 g3e4 f6e4 d3e4 d6e7 e1e3 e7f6 a1e1 g7g6 e4g4 h7h5 g4e4 f6g7 e4h4 g7f6 h4e4 f6g7 e4h4 g7f6 h4h3 f6g7 g1f1 b7b5 b2b3 b5c4 b3c4 d7b6 c3a5 c7d7 e3d3 c6c5 d4d5 d7a4 a5b6 a7b6 d5e6 a4c4 e6f7 g8f7 f3g5 f7g8 e1e8 d8e8 h3d7 e8f8 g5e6 g7d4 e6f4 f8f4
Mar del Plata,Mar del Plata,1934.??.??,2,"Bolbochan, Jacobo","Iliesco, Juan Traian",1-0,,,A48,d2d4 g8f6 g1f3 b7b6 c1g5 f6e4 g5h4 g7g6 b1d2 c8b7 e2e3 f8g7 d2e4 b7e4 f1d3 e4d3 d1d3 e8g8 e1g1 c7c5 a1d1 f8e8 d4c5 b6c5 d3d5 b8c6 b2b3 d8b6 f3g5 e8f8 d5d7 a8d8 d7g4 c6b4 d1d8 f8d8 g4c4 e7e6 g5e4 d8c8 e4f6 g8h8 h4g5 e6e5 f6e4 f7f5 e4c3 h7h6 g5e7 b6c7 a2a3 b4c2 c3d5 c2a3 c4a6 c7c6 a6c6 c8c6 f1c1 a3b5 c1c5 c6c5 e7c5 h8g8 d5e7 g8f7 e7c6 f7e6 c6a7 e6d5 a7b5 d5c5 b5c3 e5e4 c3a2 g6g5 g1f1 h6h5 f1e2 g7e5 h2h3 h5h4 f2f3 e4f3 e2f3 e5b2 f3e2 g5g4 e2d3 b2e5 a2c1 g4h3 g2h3 f5f4 d3e4
Mar del Plata,Mar del Plata,1934.??.??,2,"Grau, Roberto","Molina, Julio",1/2-1/2,,,D30,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 c1g5 b8d7 e2e3 f8e7 f1d3 f6e4 g5e7 d8e7 e1g1 f7f5 b1c3 c7c6 f3d2 e7g5 f2f4 g5h6 d2f3 e8g8 d1e2 h6h5 f1c1 d7f6 f3e5 h5e2 c3e2 f8d8 c4c5 c8d7 b2b4 d7e8 a2a4 a7a6 e2c3 e4c3 c1c3 g8f8 h2h3 e8h5 c3a3 d8b8 b4b5 h5e8 g2g4 g7g6 g1g2 f8e7 g4g5 f6h5 e5f3 e8d7 f3d2 h5g7 d2b1 g7e8 b1d2 a6b5 a4b5 a8a3 a1a3 c6b5 a3a7 e8c7 d2b3 d7c6 b3a5 e7d7 g2f2 b8a8 a7a8 c7a8 f2e2 b7b6 a5b3 d7c7 c5b6 a8b6 b3c5 c7d6 e2d2 b5b4 c5a6 b4b3 d2c3 b6c4 d3c4 d5c4 a6c5 c6d5 c5a4 d6c6 c3b4 c6d6 a4b2
