Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Margate,Margate,1939.??.??,1,"Milner Barry, Philip Stuart","Keres, Paul",1/2-1/2,,,C27,e2e4 e7e5 b1c3 g8f6 f1c4 f6e4 d1h5 e4d6 h5e5 d8e7 e5e7 f8e7 c4b3 b8c6 g1f3 d6f5 d2d3 c6d4 f3d4 f5d4 c1e3 d4f5 e3f4 d7d6 e1c1 c8e6 d3d4 e6b3 a2b3 e8d7 c3d5 c7c6 d5e7 f5e7 c2c4 a7a5 c1c2 a5a4 d1a1 b7b5 b3a4 b5c4 a4a5 e7f5 c2c3 h8e8 c3c4 e8e4 f4e3 f5e3 f2e3 e4e3 d4d5 c6d5 c4d4 a8e8 h1f1 e8e4 d4d5 e4e5 d5d4 f7f5 f1f5 e3e4 d4d3 e4e3 d3d4 e3e4 d4d3 e4e3
Margate,Margate,1939.??.??,1,"Capablanca, Jose Raul","Wheatcroft, George",1-0,,,B20,e2e4 c7c5 g1e2 d7d6 g2g3 b8c6 f1g2 g7g6 c2c3 f8g7 d2d4 e7e5 d4c5 d6c5 e1g1 c8e6 c1e3 d8d1 f1d1 b7b6 b1a3 a8d8 a3b5 e6c4 b5c7 e8e7 c7d5 e7e6 d1d2 g8e7 d5c7 e6f6 a1d1 d8d2 d1d2 h8d8 d2d8 c6d8 c7e8
Margate,Margate,1939.??.??,1,"Golombek, Harry","Sergeant, Edward G",1/2-1/2,,,A33,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1f4 c7c5 g1f3 c5d4 f3d4 b8c6 d4b5 e6e5 c4d5 e5f4 d5c6 b7c6 d1d8 e8d8 a1d1 c8d7 b5d4 d8c7 g2g3 f4g3 h2g3 a8b8 d1d2 f8b4 f1g2 b4c3 b2c3 b8b1 d2d1 b1b2 d1d2 b2b1 d2d1 b1b2 d1d2 h8b8 d4b3
Margate,Margate,1939.??.??,1,"Menchik, Vera","Najdorf, Miguel",1/2-1/2,,,E68,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 b8d7 b1c3 e7e5 h2h3 f8e8 d4d5 a7a5 e2e4 d7c5 f3e1 e8f8 c1g5 h7h6 g5e3 b7b6 e1d3 g8h7 g1h2 f6g8 f2f4 c5d3 d1d3 e5f4 f1f4 f7f5 a1f1 c8d7 e4f5 d7f5 g2e4 f5e4 c3e4 d8d7 f4f8 a8f8 f1f8 g7f8
Margate,Margate,1939.??.??,1,"Thomas, George Alan","Flohr, Salo",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 b1c3 b7b5 a4b3 d7d6 c3d5 c8g4 d5e7 d8e7 c2c3 e8g8 d2d3 c6a5 b3c2 c7c5 h2h3 g4h5 d1e2 f6d7 e2e3 a5c6 f3h2 d7b6 b2b4 a8b8 a2a3 f8c8 b4c5 d6c5 f2f4 e5f4 e3f4 c6e5 f4g3 h5g6 c1f4 b6d7 h2g4 c8e8 g4e3 b8c8 e3d5 e7d8 a3a4 b5b4 a4a5 b4c3 d5c3 e5c6 c3d5 c6d4 f1f2 d4e6 c2b3 c5c4 b3c4 g6e4 d5e3 e4g6 c4a6 c8a8 a6b5 e6d4 f4c7 d8e7 b5d7 e7d7 c7b6 d4b3 a1a3 b3c1 d3d4 c1d3 f2d2 d7b5 g1h2 h7h5 e3d1 d3c1 a3e3 e8e3 g3e3 a8e8 d2b2 b5c6 e3c3 c6d6 c3g3 d6d5 d1c3 d5c4 c3b5 c4f1 g3f2 f1d1 b2d2 d1b3 b5c7 e8e7 d4d5 c1d3 d5d6 d3f2 d6e7 f7f6 d2f2 b3b4 e7e8q g6e8 c7e8 h5h4 e8c7 g8f7 h2g1 f7g6 c7d5 b4a3 d5e3 g6f7 f2f1 g7g6 e3g4 f6f5 g4e5 f7f6 b6d4
Margate,Margate,1939.??.??,2,"Keres, Paul","Capablanca, Jose Raul",1/2-1/2,,,C90,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 c6a5 b3c2 c7c5 d2d4 d8c7 a2a4 b5b4 c3b4 c5b4 b1d2 c8b7 d2f1 e8g8 c1g5 h7h6 g5h4 f8c8 c2d3 f6h5 h4e7 c7e7 g2g3 h5f6 f1e3 g7g6 e3d5 f6d5 e4d5 b7d5 d4e5 d5f3 d1f3 d6e5 f3e3 g8g7
Margate,Margate,1939.??.??,2,"Golombek, Harry","Flohr, Salo",0-1,,,D73,d2d4 g8f6 c2c4 g7g6 g2g3 c7c6 f1g2 d7d5 g1f3 f8g7 c4d5 f6d5 e2e4 d5b6 e1g1 c8g4 e4e5 e8g8 b1c3 b8a6 h2h3 g4e6 f3g5 e6c4 f1e1 h7h6 g5e4 c4e6 c1e3 b6d5 c3d5 e6d5 d1d2 g8h7 f2f4 f7f5 e4c5 a6c5 d4c5 d5g2 d2g2 d8c8 e1d1 c8e6 g2c2 f8d8 c2b3 e6b3 a2b3 a7a6 g1f2 h7g8 f2e2 g8f7 d1d8 a8d8 a1d1 d8d1 e2d1 f7e6 d1c2 e6d5 c2d3 e7e6 b3b4 g7f8 e3f2 f8e7 b2b3 e7d8 f2e1 a6a5 b4a5 d5c5 a5a6 b7a6 e1c3 c5b5 c3e1 h6h5 h3h4 d8b6 d3c2 b6d4 c2d3 b5c5 d3c2 c5d5 c2d3 c6c5
Margate,Margate,1939.??.??,2,"Najdorf, Miguel","Milner Barry, Philip Stuart",1-0,,,D40,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c5 e2e3 b8c6 f1d3 d5c4 d3c4 a7a6 e1g1 b7b5 c4d3 c8b7 a2a4 c5c4 a4b5 a6b5 a1a8 b7a8 d3b1 b5b4 c3e4 f8e7 e4f6 g7f6 e3e4 h8g8 d4d5 c6a7 c1e3 d8a5 d5d6 e7d8 f3d2 a5a6 d1h5 g8g6 h5h7 a6d6 h7h8 e8e7 d2c4 d6c6 f1d1 d8c7 e3a7 a8b7 b2b3 f6f5 c4e5 c7e5 h8d8
Margate,Margate,1939.??.??,2,"Sergeant, Edward G","Menchik, Vera",1-0,,,D73,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 g2g3 d7d5 d1b3 c7c6 f1g2 b8a6 c4d5 f6d5 c3d5 d8d5 b3d5 c6d5 c1g5 f8e8 g5d2 c8f5 e1g1 f5e4 f3e5 e4g2 g1g2 f7f6 e5f3 e7e5 f1c1 e5e4 f3g1 g7f8 a2a3 a8c8 e2e3 a6c7 g1e2 g8f7 d2a5 b7b6 a5b4 c7e6 e2c3 e8d8 c3b5 a7a6 b5a7 c8c1 a1c1 f8b4 a3b4 d8d7 a7c8 b6b5 c1c6 e6c7 c8d6 f7e7 d6b7 e7f7 b7c5 d7e7 c5a6 c7a6 c6a6 e7d7 a6b6 f7e7 b6b5 f6f5 g2f1 e7d6 b5b6 d6e7 b4b5 d7c7 b6a6 c7b7 b5b6 e7e6 a6a7 b7b6 a7h7 e6f6 h2h4
Margate,Margate,1939.??.??,2,"Wheatcroft, George","Thomas, George Alan",0-1,,,B91,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 g2g3 b8c6 f1g2 c8g4 f2f3 g4d7 c1e3 g7g6 e1g1 f8g7 c3d5 e8g8 f1f2 f6d5 e4d5 c6e5 b2b3 d8c7 c2c4 b7b5 a1c1 b5c4 b3c4 a8c8 f2c2 d7a4 f3f4 a4c2 c1c2 e5d7 d4c6 c8e8 g2h3 d7c5 c2e2 f7f5 h3g2 g8h8 e3c5 d6c5 e2e6 g7f6 c6e5 e8b8 e6c6 c7b7 d5d6 e7d6 c6d6 b7b1 e5d7 f6d4 d6d4 c5d4 g2f3 b1d1 f3d1 b8b1 d7f8 b1d1 g1f2 d1d2 f2e1 d2a2
