Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
5th Kings Tournament,Medias ROU,2011.06.11,1,"Ivanchuk,V","Radjabov,T",1-0,2776,2744,E73,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 b8a6 f2f4 c7c6 d1d2 a6c7 e2f3 c7e6 g5h4 c6c5 d4c5 e6c5 a1d1 c8e6 b2b3 a7a5 g1e2 d8c7 e1g1 a5a4 f4f5 g6f5 e4f5 e6f5 h4f6 e7f6 b3b4 c5e6 c3b5 c7b6 g1h1 e6g5 f3b7 b6b7 f1f5 g5e4 d2d3 f8e8 e2d4 a8c8 f5f4 g7f8 d1f1 e8e5 a2a3 g8h8 d4f5 c8d8 b5c3 e4c3 d3c3 d8e8 f4g4 b7c8 c3g3 h7h5 g4g8 h8h7 g8f8
5th Kings Tournament,Medias ROU,2011.06.11,1,"Carlsen,M","Nakamura,Hi",1-0,2815,2774,D31,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 c4d5 e6d5 c1f4 c7c6 d1c2 c8g4 e2e3 g4h5 f1d3 h5g6 d3g6 h7g6 e1c1 g8f6 f2f3 b8d7 g1e2 b7b5 e3e4 b5b4 c3a4 d5e4 f3e4 d8a5 c1b1 e8g8 h2h4 f8e8 e4e5 f6d5 h4h5 g6g5 h5h6 g7g6 f4c1 d7b6 a4c5 e7c5 d4c5 b4b3 c2b3 a5c5 e2d4 e8e5 d4f3 e5e2 f3g5 c5e7 b3d3 a8f8 d1f1 f7f5 g2g4 b6a4 d3d4 e7e5 d4e5 e2e5 g4f5 g6f5 g5f3 e5e7 f1g1 g8h7 g1g7 h7h8 h1g1 f8e8 f3h4 e7g7
5th Kings Tournament,Medias ROU,2011.06.11,1,"Nisipeanu,LD","Karjakin,Sergey",1/2-1/2,2659,2776,E54,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 c5d4 e3d4 a7a6 a2a3 b4c3 b2c3 d8c7 c4d3 c7c3 c1f4 b8c6 f1e1 h7h6 f4d6 f8d8 d6c7 d8d7 e1e3 c3b2 e3e2 b2c3 e2e3 c3b2 e3e2 b2c3
5th Kings Tournament,Medias ROU,2011.06.12,2,"Radjabov,T","Karjakin,Sergey",1/2-1/2,2744,2776,D12,g1f3 g8f6 c2c4 c7c6 d2d4 d7d5 e2e3 c8f5 b1c3 e7e6 f3h4 f5g6 f1e2 b8d7 e1g1 f8d6 g2g3 d8e7 b2b3 f6e4 c1b2 e4c3 b2c3 d6b4 c3b4 e7b4 c4c5 e8g8 a2a3 b4a5 h4g6 h7g6 b3b4 a5c7 f2f4 a7a6 e2d3 f7f5 d1e2 d7f6 g1g2 c7e7 a3a4 f6e4 h2h4 a8a7 f1h1 e4f6 e2b2 f8a8 d3e2 e7f8 b2c2 g8f7 a1b1 f8e7 b1b3 a8h8 e2f3 h8a8 c2e2 a8h8 h1b1 f6e4 e2e1 e4f6 b1b2 h8a8 e1b1 e7d8 b2a2 f6g8 b1b2 g8e7 f3e2 d8d7 a2a1 e7g8 b3a3 g8e7 a1h1 e7g8 e2d3 g8f6 h1a1 f6g8 g2f3 g8e7 f3e2 e7g8 b4b5 a6b5 a4b5 a7a3 a1a3 a8a3 b2a3 c6b5 a3a5 g8e7 d3b5 e7c6 a5a4 d7c8 e2d3 f7e7 d3c3 e7d8 c3b3 d8c7 b3b2 c7b8 b2c3 b8c7 c3d2 c7d8 d2d3 d8e7 d3e2 e7f7 e2e1 f7e7 e1f2 e7f7 b5e2 c8d8 e2b5 d8c8 f2f3 f7e7 f3g2 e7f7 b5e2 c8d8 a4b5 d8c7 e2d3 f7f6 g2h3 f6f7 b5a4 c7c8 d3e2 f7f6 h3h2 f6f7 h2g1 f7f6 g1f1 f6f7 f1e1 f7e7 e1d2 e7d7 a4a1 d7c7 e2d3 c8d8 d3b5 d8c8 d2c3 c8b8 a1a4 b8c8 b5c6 b7c6 a4a5 c7d7 a5a7 c8c7 a7a8 c7c8 a8c8 d7c8 c3b4 c8b7 b4a5 b7a7 a5b4
5th Kings Tournament,Medias ROU,2011.06.12,2,"Ivanchuk,V","Carlsen,M",1/2-1/2,2776,2815,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 d7d6 e1g1 f8e7 f1e1 e8g8 c2c3 a7a6 b5a4 b7b5 a4c2 d6d5 b1d2 d5e4 d3e4 c8e6 c2b3 e6b3 a2b3 d8d3 b3b4 f8d8 d1b3 d3d7 b3c2 d7e6 c2b3 e6d7 b3c2 d7e6 h2h3 a6a5 b4a5 a8a5 a1a5 c6a5 b2b4 a5b7 c2b3 e6b3 d2b3 f6d7 c1e3 b7d6 f3d2 d8a8 g1f1 f7f6 f1e2 g8f7 e2d3 f7e6 f2f3 a8a2 e1a1 a2a1 b3a1 d6b7 a1b3
5th Kings Tournament,Medias ROU,2011.06.12,2,"Nakamura,Hi","Nisipeanu,LD",1-0,2774,2659,C96,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 f6d7 d4d5 d7b6 b1d2 g7g6 b2b4 a5b7 d2f1 a6a5 c1h6 f8e8 a2a3 c8d7 f1g3 d8c7 c2d3 a5b4 a3b4 a8a1 d1a1 e8a8 a1b1 c5c4 d3c2 f7f6 h6e3 b7d8 f3d2 d8f7 f2f4 e5f4 e3f4 f7e5 f4e3 a8a3 g3e2 b6a4 e3d4 e7f8 e1f1 c7d8 b1c1 a3a2 d2f3 f8g7 f3e5 f6e5 d4e3 a4b6 g1h2 d7e8 e2g1 h7h6 c2b1 a2a1 c1b2 a1a8 b1c2 b6d7 f1a1 a8a1 b2a1 d7f6 a1a6 g7f8 g1f3 e8d7 f3d2 f6h5 d2f3 h5f6 h2g1 d8c8 a6a1 c8b8 g1f1 f6h5 g2g4 h5f4 e3f4 e5f4 e4e5 d6e5 a1a6 b8d6 a6d6 f8d6 c2g6 g8g7 g6e4 h6h5 f3h2 g7h6 f1g2 h5g4 h3g4 h6g5 g2h3 f4f3 h3g3 f3f2 h2f3 g5h6 g4g5 h6h5 g3f2 d7e8 f2e3 e8f7 g5g6 f7g6 e4g6 h5g6 e3e4 g6f6 f3d2 d6f8 d2b1 f8h6 b1a3 h6c1 a3b5 c1d2 b5d6 d2c3 b4b5 f6e7 d6c4 c3e1 e4e5 e1g3 e5d4 g3f2 d4c3
5th Kings Tournament,Medias ROU,2011.06.13,3,"Carlsen,M","Radjabov,T",1/2-1/2,2815,2744,D37,c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 g1f3 g8f6 c1f4 e8g8 e2e3 b8d7 a2a3 c7c5 c4d5 f6d5 c3d5 e6d5 d4c5 d7c5 f4e5 e7f6 e5f6 d8f6 d1d4 f6e7 d4f4 e7e4 f4e4 d5e4 f3d4 c8e6 f1e2 f8d8 e1g1 c5b3 d4e6 f7e6 a1d1 g8f7 f2f4 f7f6 g1f2 b3d2 f1e1 a8c8 d1c1 d2b3 c1c4 c8c4 e2c4 b3c5 f2e2 b7b5 c4a2 c5d3 e1d1 d8c8 a2b1 d3b2 d1d7 b2a4 b1e4 a4c5 d7d4 c5e4 d4e4 c8c2 e2f3 c2a2 e4b4 a7a6 b4b3 f6e7
5th Kings Tournament,Medias ROU,2011.06.13,3,"Nisipeanu,LD","Ivanchuk,V",1-0,2659,2776,C67,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4 e4d6 b5c6 d7c6 d4e5 d6f5 d1d8 e8d8 b1c3 f5e7 c3e4 e7g6 b2b3 d8e8 c1b2 c6c5 f3d2 h7h5 d2c4 b7b6 f2f4 g6e7 c4e3 e7f5 e3d5 c8b7 f1d1 b7d5 d1d5 a7a5 a1e1 a8d8 e4f6 e8e7 e5e6 d8d5 f6d5 e7d6 e6f7 d6d5 e1e5 d5d6 e5f5 d6e6 f5g5 e6f7 b2e5 c5c4 e5c7 f8c5 g1f1 h8c8 c7e5 g7g6 f4f5 g6f5 g5h5 c8d8 e5c3 c4b3 c2b3 f7g6 h5h8 d8d3 h8h3 c5e3 c3e1 f5f4 f1e2 d3d8 g2g3 d8c8 g3f4 e3f4 h3c3 c8e8 e2d1 e8d8 d1c2 d8e8 e1g3 f4e3 c2d3 e3c5 d3c4 a5a4 c4b5 a4b3 a2b3 e8e2 g3c7 e2e6 b3b4 c5e7 c3c4 g6f5 c7b6 e7d6 b6c7
5th Kings Tournament,Medias ROU,2011.06.13,3,"Karjakin,Sergey","Nakamura,Hi",1/2-1/2,2776,2774,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3g5 h7h6 g5h4 g7g5 h4g3 f8g7 h2h3 g4e5 f2f3 b8c6 g3f2 c8e6 d1d2 a8c8 c3d5 c6d4 f2d4 e6d5 e4d5 d8c7 c2c3 c7a5 d4e3 e5c4 f1c4 c8c4 e1g1 g7e5 d2d3 a5b5 a1c1 c4a4 d3b5 a6b5 a2a3 e8d7 g1f2 h8c8 c1d1 f7f5 f2e2 c8g8 e2d3 h6h5 d1e1 h5h4 e3f2 e5f6 f1h1 g8h8
5th Kings Tournament,Medias ROU,2011.06.14,4,"Nakamura,Hi","Ivanchuk,V",1/2-1/2,2774,2776,E40,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6 f1d3 e6e5 g1e2 d7d5 c4d5 f6d5 e3e4 d5b6 d4d5 c6e7 e1g1 e8g8 c1g5 g8h8 a2a3 b4d6 c3b5 h7h6 g5e3 c7c6 d5c6 e7c6 b5d6 d8d6 d1c2 f8d8 a1d1 c8e6 d3b5 d6e7 c2c3 f7f6 b5c6 b7c6 e3b6 a7b6 c3c6 d8c8 c6d6 e7d6 d1d6 e6c4 d6d2 b6b5 f2f3 b5b4 a3b4 c4e2 d2e2 a8b8 b2b3 b8b4 f1b1 h6h5 g1f2 h5h4 b1b2 h8h7 e2e3 h7g6 e3d3 g6g5 f2e3 g7g6 b2a2 c8b8 a2a3 f6f5 e4f5 g6f5 e3d2 g5f4 d2c3 b4b7 a3a4 e5e4 f3e4 b7b3 c3c4 b3d3 c4d3 b8d8 d3e2 f5e4 g2g3 h4g3 h2g3 f4g3 a4e4
