Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
II Magistral,Merida MEX,2001.05.16,1,"Hernandez,Gi","Short,N",1/2-1/2,2567,2676,C14,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4 a7a6 d1d2 c7c5 d4c5 e7c5 g1f3 b8c6 e1c1 d7b6 h2h4 c8d7 h1h3 h7h6 h3g3 h8g8 h4h5 e8c8 c1b1 f7f6 e5f6 g7f6 g3g8 d8g8 f4f5 e6e5 c3d5 b6d5 d2d5 c5d5 d1d5 d7f5 d5d6 g8d8 d6d8 c8d8 f1e2 f5g4 f3g1 g4e6 b1c1 f6f5 c1d2 d8e7 g2g3 e7f6 b2b3 f5f4 g3f4 e5f4 c2c3 a6a5 d2d3 e6d5 c3c4 d5g2 e2f3 g2f3 g1f3 f6f5 a2a3 b7b6 f3d2 f5e5 d2f3 e5f5 f3d2 c6e5 d3d4 f4f3
II Magistral,Merida MEX,2001.05.16,1,"Anand,V","Khalifman,A",1/2-1/2,2794,2690,D40,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 e7e6 g1f3 f8e7 f1d3 d5c4 d3c4 e8g8 e1g1 b8c6 c1f4 c6a5 c4d3 b7b6 f1e1 c8b7 f3e5 a5c6 d3a6 d8c8 a6b7 c8b7 e5c6
II Magistral,Merida MEX,2001.05.17,2,"Hernandez,Gi","Anand,V",0-1,2567,2794,B23,e2e4 c7c5 b1c3 d7d6 f2f4 b8c6 g1f3 g7g6 f1c4 f8g7 e1g1 g8f6 d2d3 e8g8 c4b3 c6d4 d1e1 a7a5 e1h4 a5a4 b3a4 c8g4 a1b1 g4f3 g2f3 a8a4 c3a4 b7b5 a4c3 d8a5 a2a3 b5b4 c3d1 d4c2 h4f2 b4b3 d1e3 a5a4 g1h1 f6d7 e3c4 f8b8 f4f5 d7b6 c4b6 b8b6 f5g6 h7g6 c1g5 b6b7 f2e2 a4c6 f1g1 d6d5 g1g2 b7d7 h2h4 c2d4 e2e3 c5c4 d3c4 d5c4 h4h5 c6e6 h5g6 f7g6 g2g4 d4c2 e3c5 g7e5 b1g1 g8f7 g4h4 d7c7 c5f2 e5b2 f2h2 c7b7 h4h7 f7e8 g1d1 b2d4 h7h8 e8d7 h8a8 b3b2 h2h8 d7c6 h8e8 e6d7 e8g6 e7e6 a8a6 c6b5 a6e6 d7h7
II Magistral,Merida MEX,2001.05.17,2,"Short,N","Khalifman,A",1-0,2676,2690,B11,e2e4 c7c6 g1f3 d7d5 b1c3 c8g4 h2h3 g4h5 d2d4 e7e6 f1d3 g8f6 e4e5 f6d7 g2g4 h5g6 d3g6 h7g6 c3e2 c6c5 c2c3 b8c6 e1f1 f8e7 f1g2 d8b6 a1b1 a7a5 c1e3 a5a4 e2f4 b6a6 h3h4 a4a3 b2b3 c5d4 c3d4 c6b4 d1d2 e8c8 f3g5 e7g5 h4g5 h8h1 b1h1 b4c6 f4d3 c8b8 h1h3 a6b5 h3f3 d8f8 d2d1 b5a6 d3e1 f7f6 g5f6 g7f6 e5f6 f8f6 e1c2 b8a8 f3h3 f6f8 e3h6 f8f7 h3e3 e6e5 d4e5 d7e5 d1d5 f7d7 d5e4 d7d1 e3e1 d1d8 h6g5 d8f8 e1e3 a6b5 c2a3
II Magistral,Merida MEX,2001.05.18,3,"Anand,V","Short,N",1-0,2794,2676,C76,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 d7d6 c2c3 g7g6 d2d4 c8d7 e1g1 f8g7 f1e1 g8e7 d4d5 c6a5 a4d7 d8d7 b2b3 e8g8 c3c4 c7c5 c1d2 b7b6 d1c1 a5b7 a2a3 f7f5 b1c3 f5f4 c1c2 g7f6 e1b1 d7c7 f3e1 g6g5 c3a4 e7c8 b3b4 f6d8 b1b3 a8a7 a1b1 c7g7 b4c5 b6c5 e1d3 f8f7 d2c3 f7e7 c2e2 e7c7 g2g3 g7d7 a4b2 d7h3 g1h1 c7f7 g3f4 g5f4 b1g1 g8f8 e2d1 f4f3 g1g3 h3h4 d1g1 c8e7 c3e5 d6e5 d3e5 b7d6 b3f3 h4e4 e5f7 d6f7 b2d3 e7g6 d3c5 e4c4 c5e6 f8e8 g1d1 a7d7 f3d3 d8b6 g3g4 c4a2 g4e4 f7e5 d3d2 a2a3 f2f4 e5f7 d2d3 a3a2 d3b3 d7d6 e6c5 g6e7 d1e1 b6d8 e4e2
II Magistral,Merida MEX,2001.05.18,3,"Khalifman,A","Hernandez,Gi",1-0,2690,2567,E69,g1f3 g8f6 c2c4 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 d2d4 b8d7 b1c3 e7e5 h2h3 c7c6 e2e4 d8b6 c4c5 d6c5 d4e5 f6e8 e5e6 f7e6 f3g5 d7e5 f2f4 e5f7 g5f7 f8f7 e4e5 e8c7 c3e4 c7d5 g1h2 c8d7 d1c2 g7f8 c1d2 a7a5 h3h4 f8e7 a1e1 a8f8 d2e3 d5b4 c2c4 b6a6 c4a6 b4a6 e1d1 d7c8 g2h3 c5c4 e4d6 e7d6 d1d6 a6b4 e3d2 c6c5 a2a3 b4d3 b2b3 d3e5 f4e5 f7f1 h3f1 f8f1 d2h6 c4b3 d6d8 g8f7 d8f8 f7e7 f8f1 b7b6 h2g1 c8a6 f1b1 a5a4 b1d1
II Magistral,Merida MEX,2001.05.20,4,"Khalifman,A","Anand,V",1/2-1/2,2690,2794,E55,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 b8d7 a2a3 c5d4 a3b4 d4c3 b2c3 d8c7 d1b3 d7b6 c4e2 e6e5 a1a5 c8e6 b3c2 b6d7 c3c4 b7b6 a5a6 f8c8 f3d2 c7b7 b4b5 d7c5 a6a3 a7a6
II Magistral,Merida MEX,2001.05.20,4,"Short,N","Hernandez,Gi",1-0,2676,2567,A34,e2e4 c7c5 g1f3 e7e6 c2c4 b8c6 b1c3 g8f6 f1e2 d7d6 d2d4 c5d4 f3d4 f8e7 e1g1 e8g8 c1e3 c8d7 d4b3 a7a6 f2f4 a8b8 a2a3 b7b6 a1c1 d7c8 e2f3 c8b7 d1e2 f6d7 f1d1 b7a8 c1c2 d8c8 b3c1 b8b7 b2b4 b7c7 c1b3 c6b8 c3a4 b6b5 a4b2 b5c4 b2c4 e6e5 d1c1 c8d8 b3a5 f7f5 e4f5 e5e4 f3g4 d6d5 c4e5 c7c2 c1c2 e7f6 a5c6 b8c6 e5c6 a8c6 c2c6 d7b8 c6c1 d8d7 c1d1 g8h8 e2d2
II Magistral,Merida MEX,2001.05.21,5,"Khalifman,A","Short,N",1/2-1/2,2690,2676,C12,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 e8f8 f1d3 e4d2 e1d2 c7c5 g1f3 c5c4 d3e2 b8c6 a2a4 a7a6 h1b1 a8b8 h2h4 b7b5 a4b5 a6b5 g4f4 d8e7 f4e3 f8e8 h4h5 e8d8 f3g1 b5b4 f2f4 c8d7 c3b4 b8b4 b1b4 e7b4 e3c3 b4c3 d2c3 d8c7 e2f3 h8f8 g1e2 f7f6 e5f6 f8f6 g2g3 f6f8 e2g1 f8g8 g1e2
II Magistral,Merida MEX,2001.05.21,5,"Anand,V","Hernandez,Gi",1-0,2794,2567,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c1g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 c2c3 f8g7 f1d3 c8e6 d1h5 e8g8 e1g1 f5f4 a1d1 g8h8 g2g3 f8g8 g1h1 g7f8 d3e2 g8g5 h5f3 f7f5 g3f4 e5f4 d5f4 e6a2 c3c4 f5e4 f3e4 d8e8 e2f3 e8e4 f3e4 a8c8 f4e6 g5e5 e4c6 c8c6 e6f8 b5b4 a3c2 a2c4 c2d4 c6c8 f8d7 c4f1 d1f1 e5e4 d4f5 e4f4 f5e3 c8d8 e3d5 f4f3 d7b6 a6a5 d5e3 d8e8 h1g2 f3f6 f1d1 e8g8 g2f1 g8f8 d1d2 f6h6 e3c4 h6h2 c4a5 h2h1 f1g2 h1h5 a5c4 f8g8 g2f1 h5h1 f1e2 h7h5 d2d6 h5h4 c4e3 g8g5 b6c4 h4h3 d6h6 h8g7 h6h4 g7g6 f2f4
