Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
GM,Montecatini Terme ITA,2000.07.28,1,"Shirov,A","Azmaiparashvili,Z",0-1,2746,2673,C60,e2e4 e7e5 g1f3 b8c6 f1b5 g7g6 d2d4 e5d4 c1g5 f8e7 g5e7 d8e7 b5c6 d7c6 d1d4 g8f6 b1c3 c8g4 f3d2 c6c5 d4e3 e8c8 h2h3 g4d7 e1c1 d7c6 g2g4 h8e8 h1e1 b7b6 f2f4 f6e4 c3e4 f7f5 g4f5 g6f5 e4d6 e7d6 d2c4 d6f6 d1d8 e8d8 c4e5 c6e4 e1g1 f6e6 b2b3 e6d5 e5c4 c8b7 c1b2 d8g8 g1g8 d5g8 e3f2 g8d8 c4e5 d8d1 h3h4 a7a5 a2a4 b7c8 e5c4 d1d4 f2d4 c5d4 c2c3 d4c3 b2c3 c8d7 c4e3 d7e6 c3d4 e4f3 d4c3 f3d5 e3f1 e6d6 f1g3 d5e6 g3f1 d6c5 f1e3 c7c6 e3c2 b6b5 a4b5 c6b5 b3b4 a5b4 c2b4 e6c4
GM,Montecatini Terme ITA,2000.07.28,1,"Ivanchuk,V","Bareev,E",1/2-1/2,2719,2702,D17,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 e7e6 f2f3 f8b4 e2e4 f5e4 f3e4 f6e4 c1d2 d8d4 c3e4 d4e4 d1e2 b4d2 e1d2 e4d5 d2c2 b8a6 e5c4 e8g8 e2e5 a8b8 a4a5 f8d8 f1e2 f7f6 e5d5 c6d5 c4d2 g8f7 h1c1 d8c8 c2d1 f7e7 d2b3 e6e5 c1c3 c8c3 b2c3 a6c7 c3c4 d5c4 e2c4 b8d8 d1e2 c7d5 g2g3 d5c3 e2e3 c3d1 e3f3 d1b2 c4f1 d8c8 b3d2 c8c2 f3e3 f6f5 a1b1 f5f4 g3f4 e5f4 e3e2 b7b6 a5b6 a7b6 e2e1 g7g5 b1a1 g5g4 a1a7 e7d6 f1b5 c2c1 e1e2 c1h1 a7h7 g4g3 d2e4 d6e6 e2f3 h1h2 h7d7 e6e5 d7e7 e5d4 b5f1 h2h1 e7d7 d4e5 f1g2 h1h6 e4g5 b2c4 g5f7 e5e6 d7d4 e6f7 d4c4 f7e7 c4c7 e7d6 c7f7 d6e5 f7e7 h6e6 e7h7 e6f6 g2h3 e5d5 h7h5 d5d4 h3f5 b6b5 f3f4 g3g2 h5g5 b5b4 g5g2 b4b3 f4g5 f6f5 g5f5 d4c3
GM,Montecatini Terme ITA,2000.07.28,1,"Piket,Je","Lputian,S",1/2-1/2,2649,2598,E01,d2d4 e7e6 c2c4 d7d5 g1f3 g8f6 g2g3 c7c6 f1g2 d5c4 e1g1 b7b5 f3e5 c8b7 a2a4 a7a6 a4b5 a6b5 a1a8 b7a8 b1c3 f6d5 g2d5 c6d5 c3b5 d8a5 b5c3 b8c6 c1f4 f8b4 e2e4 e8g8 d1g4 h7h5 e5c6 a8c6 g4h5 b4c3 b2c3 a5c3 f4e5 c3d2 f1d1 d2h6 h5h6 g7h6 e4d5 c6d5 d1b1 f7f6 e5d6 f8f7 b1b8 g8g7 b8c8 g7g6 c8c7 f7c7 d6c7 g6f5 g1f1 f5e4 f1e2 c4c3 c7f4 h6h5 f4e3 d5c4 e2d1 e4d3 d1c1 c4d5 h2h3 d5f3 h3h4 f3g4 e3h6 g4f3 h6g7 f6f5 g7e5 f3e4 c1d1 e4c6 d1c1 c6a4 e5g7 d3e2 g7f6 e2f2 f6e5 f2f3 e5f4 f3e2 f4e5 e2d3 e5g7
GM,Montecatini Terme ITA,2000.07.28,1,"Rublevsky,S","Minasian,Art",1-0,2670,2595,B30,e2e4 c7c5 g1f3 b8c6 f1b5 e7e6 e1g1 g8e7 c2c3 a7a6 b5a4 b7b5 a4c2 c8b7 d1e2 d8b6 f1d1 d7d5 e4e5 d5d4 c3d4 c6d4 f3d4 c5d4 c2e4 d4d3 e4d3 b6c6 f2f3 c6c5 g1h1 e7g6 d3e4 b7e4 e2e4 a8c8 b1c3 c5e5 e4b7 e5c7 b7a6 b5b4 c3e4 g6f4 d2d4 f4d5 c1g5 c7c6 a6e2 c6d7 a1c1 c8a8 e2c4 h7h6 g5d2 f8e7 e4c5 d7c6 d1e1 e7c5 d4c5 e8g8 d2b4 d5b4 c4b4 f8b8 b4c3 a8a2 b2b4 c6b5 c5c6 b8c8 c3c5 b5c5 c1c5 a2b2 b4b5 g8f8 e1d1 c8c7 h2h4 f8e7 h4h5 g7g5 h5g6 f7g6 f3f4 e7f6 d1d8 c7a7 c6c7 a7a1 h1h2 a1a2 c7c8q b2g2 h2h1
GM,Montecatini Terme ITA,2000.07.29,2,"Shirov,A","Piket,Je",1/2-1/2,2746,2649,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f6d7 d2d4 e7f6 a2a4 c8b7 a4b5 a6b5 a1a8 d8a8 d4d5 c6a5 b3c2 a5c4 f3h2 f6e7 h2g4 f7f5 e4f5 b7d5 b2b3 c4b6 g4e3 d5e4 b1d2 e4c2 d1c2 b6d5 d2e4 d5e3 c1e3 d6d5 e1d1 c7c6 c3c4 d7f6 c4d5 c6d5 e4g5 d5d4 e3d2 f8c8 c2d3 a8d5 g5e6 g8h8 d3g3 c8g8 d2g5 h7h6 g5d2 f6e4 g3f3 e4f6 f3g3 f6e4 g3f3 e4f6
GM,Montecatini Terme ITA,2000.07.29,2,"Lputian,S","Ivanchuk,V",0-1,2598,2719,A07,g1f3 d7d5 g2g3 g7g6 c2c4 c7c6 d1a4 d5d4 b2b4 b8d7 c1b2 e7e5 e2e3 f8g7 f1g2 g8h6 e1g1 e8g8 b1a3 a7a5 e3d4 e5e4 f3e1 d7b6 a4b3 a5b4 b3b4 b6a4 b2c3 e4e3 f2e3 c6c5 d4c5 a4c3 d2c3 d8d2 a3b5 h6g4 e1f3 d2e3 g1h1 g4f2 f1f2 e3f2 a2a4 c8d7 b5c7 a8a4
GM,Montecatini Terme ITA,2000.07.29,2,"Azmaiparashvili,Z","Minasian,Art",1/2-1/2,2673,2595,B02,e2e4 g8f6 d2d3 e7e5 b1c3 f8c5 g2g3 a7a6 f1g2 d7d6 g1e2 b8c6 e1g1 c8d7 c3d5 f6d5 e4d5 c6e7 d3d4 e5d4 e2d4 e8g8 c1e3 e7f5 d4f5 d7f5 f1e1 d8d7 e3c5 d6c5 d1d2 f8e8 e1e3 e8e3 d2e3 d7d6 a1e1 g8f8 e3c3 h7h6 h2h4 f5d7 e1e4 a8e8 e4c4 b7b6 b2b4 c5b4 c4b4 e8e7 b4f4 a6a5 g2f3 d7b5 g1g2
GM,Montecatini Terme ITA,2000.07.29,2,"Bareev,E","Rublevsky,S",1/2-1/2,2702,2670,D27,d2d4 d7d5 g1f3 e7e6 c2c4 d5c4 e2e3 c7c5 f1c4 a7a6 e1g1 g8f6 c4b3 c5d4 e3d4 b8c6 b1c3 f8e7 f1e1 e8g8 h2h4 c6a5 b3c2 b7b5 d1d3 c8b7 h4h5 b7f3 d3f3 d8d4 c1f4 h7h6 a1d1 d4c5 f3g3 f6h5 g3d3 c5f5 d3f5 e6f5 c3d5 h5f4 d5e7 g8h7 g2g3 f4h5 c2f5 g7g6 f5e4 a8d8 e7d5 h7g7 d5c7 h5f6 e4f3 d8d1 e1d1 f8c8 d1c1 c8d8 c1d1 d8c8 d1c1 c8d8 c1d1
GM,Montecatini Terme ITA,2000.07.30,3,"Ivanchuk,V","Shirov,A",1/2-1/2,2719,2746,D46,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 e7e6 f1d3 b8d7 e1g1 f8d6 b1c3 e8g8 e3e4 d5c4 d3c4 e6e5 c1e3 d8e7 c4b3 e5d4 e3d4 d7e5 f3e5 d6e5 d4e5 e7e5 f2f4 e5c5 g1h1 c8e6 b3e6 f7e6 d1b3 a8e8 e4e5 f6g4 g2g3 e8e7 a1e1 c5b6 b3a3 e7d7 c3e4 d7d4 a3e7 c6c5 e4d6 b6c6 h1g1 c6d5 e7b7 d5b7 d6b7 f8b8 b7c5 b8b2 e1d1 d4c4 d1c1 c4d4 c5e6 d4d2 c1c8 g8f7 e6g5 f7e7 c8c7 e7e8 g5f3 d2g2 g1h1 g4h2 f3h4 h2f1 h4g2 f1g3 h1g1 g3e2 g1f1 e2g3 f1g1
GM,Montecatini Terme ITA,2000.07.30,3,"Rublevsky,S","Lputian,S",1/2-1/2,2670,2598,C03,e2e4 e7e6 d2d4 d7d5 b1d2 f8e7 g1f3 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 e1g1 a7a5 f1e1 c5d4 c3d4 d8b6 d1e2 g7g5 h2h3 h7h5 d2f1 c6d4 f3d4 b6d4 f1h2 g5g4 h3g4 h5g4 h2g4 h8g8 g4h6 g8g7 d3b5 e8f8 c1d2 e7b4 d2b4 a5b4 e2h5 d4f4 e1e3 g7g5 h5h3 d7e5 a1e1 a8a2 e1c1 a2a8 g2g3 g5g6 h6f5 f4f5 h3h8 g6g8 h8h6 g8g7 h6h8 g7g8 h8h6 g8g7 h6h8 g7g8 h8h6
GM,Montecatini Terme ITA,2000.07.30,3,"Minasian,Art","Bareev,E",0-1,2595,2702,A07,g1f3 d7d5 g2g3 c8g4 f1g2 b8d7 e1g1 c7c6 d2d3 e7e5 h2h3 g4h5 e2e4 d5e4 d3e4 f8c5 b1d2 f7f6 d2c4 d7b6 c4a5 d8c7 c1d2 a8d8 d1e2 g8e7 b2b4 c5d6 c2c4 c6c5 d2e3 b6c8 a5b3 b7b6 b4b5 e8g8 e2c2 c7d7 f3h4 d6c7 f1e1 c8d6 b3d2 d7e6 a2a4 h5f7 g2f1 g7g5 h4f3 f7g6 a4a5 h7h6 a5b6 a7b6 a1a7 d8d7 g3g4 h6h5 f3h2 h5g4 h3g4 g6f7 e1c1 e7g6 d2b1 f8d8 a7a4 g8g7 b1c3 d8h8 f2f3 g6f4 c3d5 e6e8 a4a7 e8d8 c1d1 f4e6 c2a2 e6d4 d1b1 h8h6 e3f2 f7d5 c4d5 d8h8 f2d4 e5d4 b1b2 c5c4 e4e5 f6e5 f1c4 e5e4 c4f1 e4e3 b2c2 d6e8 c2c7 e8c7 a2b2 g7f7 f1c4 f7e7 b2a3 h6d6 a3d3 h8e5 h2f1 e3e2 d3e2 e5e2 c4e2 c7d5 a7a1 d5f4 e2d1 d6d5 f1g3 d7c7 g3f5 e7f6 d1b3 d5b5 f5d6 b5b3 d6e8 f6e5 e8c7 d4d3 a1a2 b3c3
GM,Montecatini Terme ITA,2000.07.30,3,"Piket,Je","Azmaiparashvili,Z",1-0,2649,2673,A42,d2d4 d7d6 c2c4 g7g6 b1c3 f8g7 e2e4 e7e5 d4e5 d6e5 d1d8 e8d8 f2f4 c8e6 g1f3 b8d7 f3g5 g8h6 f1e2 c7c6 e1g1 d8e7 h2h3 e5f4 c1f4 d7e5 a1d1 f7f6 f4e5 f6e5 g5e6 e7e6 c3a4 g7f8 c4c5 e6e7 e2c4 a8d8 g2g4 d8d1 f1d1 g6g5 b2b4 f8g7 a4b2 h8f8 g1g2 f8f4 d1e1 f4f8 e1e3 f8d8 e3d3 h6f7 c4f7 d8d3 b2d3 e7f7 a2a4 g7f6 g2f3 f7e6 f3e2 f6d8 e2d2 d8c7 d2c3 c7d8 d3b2 d8c7 b2c4 e6d7 b4b5 c6b5 a4b5 d7e6 c3b4 b7b6 c4b2 c7d8 b4c4 d8e7 c5c6 e7d6 b2d3 d6c7 d3b4 c7d6 b4a6 d6a3 a6c7 e6d6 c7e8 d6e6 c6c7 e6d7 c4d5 a3b2 e8f6 d7c7 f6h7 b2c1 d5e5 a7a5 b5a6 b6b5 e5d5 c7b6 e4e5 b6a6 e5e6 c1a3 h7g5 a6b6 g5f7
GM,Montecatini Terme ITA,2000.07.31,4,"Azmaiparashvili,Z","Bareev,E",1/2-1/2,2673,2702,D10,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 c4d5 c6d5 c1f4 b8c6 e2e3 a7a6 f1d3 c8g4 g1e2 e7e6 d1b3 c6b4 d3b1 g4e2 e1e2 f8d6 f4d6 d8d6 c3a4 e8g8 f2f4 a8c8 a4c5 b7b6 c5d3 b4c6 b3b6 c8b8 b6c5 d6d7 h1c1 f8c8 c5a3 e6e5 d4e5 f6e4 e2f1 c6b4 c1e1 e4d2 f1g1 d7g4 d3f2 d2f3 g1f1 f3d2 f1g1 d2f3 g1f1 f3h2 f1g1 h2f3 g1f1
GM,Montecatini Terme ITA,2000.07.31,4,"Lputian,S","Minasian,Art",1/2-1/2,2598,2595,A07,g1f3 d7d5 g2g3 c8g4 f1g2 c7c6 c2c4 e7e6 c4d5 g4f3 g2f3 c6d5 e1g1 b8c6 d2d3 g7g6 c1d2 f8g7 d2c3 g8f6 b2b4 e8g8 b4b5 c6e7 b1d2 f6d7 c3g7 g8g7 a2a4 a7a6 d1b3 e7f5 e2e3 a6b5 b3b5 b7b6 f1c1 a8a7 d2b3
