Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Moscow Training,Moscow,1966.??.??,1,"Averbakh, Yuri L","Simagin, Vladimir",0-1,,,B66,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5e3 c8d7 f2f4 b7b5 f1d3 f8e7 h2h3 d8c7 d3b5 a6b5 d4b5 c7b8 b5d6 e8f8 g2g4 c6a5 e4e5 f6e8 c3e4 d7c6 e3c5 a5b7 c5b4 a8a2 d2c3 b7d6 e5d6 e8d6 b4d6 e7d6 e4d6 a2a1 c1d2 b8d6
Moscow Training,Moscow,1966.??.??,1,"Kortschnoj, Viktor","Shamkovich, Leonid",1/2-1/2,,,B41,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 b1d2 d8c7 f1d3 g8f6 d1e2 d7d6 f2f4 e6e5 d4f3 f8e7 d2c4 b7b5 c4e3 e5f4 e3f5 c8f5 e4f5 d6d5 e2e5 c7e5 f3e5 e7d6 c1f4 b8d7 e5d7 e8d7 e1g1 b5b4 f4d6 d7d6 a2a3 a6a5 f1f4 d6c5 c2c3
Moscow Training,Moscow,1966.??.??,1,"Petrosian, Tigran V","Boleslavsky, Isaak",1-0,,,D80,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 e2e3 f8g7 b2b4 e8g8 c1b2 d5c4 f1c4 b7b6 g1f3 c7c5 b4c5 b6c5 e1g1 b8d7 d1e2 c8b7 d4d5 d7b6 f1d1 b6c4 e2c4 d8a5 c3e4 f6e4 b2g7 e4d6 c4c3 a5c3 g7c3 f8e8 a1c1 a8c8 f3g5 h7h6 g5h3 g6g5 f2f3 f7f5 h3f2 e7e6 d5e6 e8e6 e3e4 f5e4 f3e4 c8f8 e4e5 d6e4 f2e4 b7e4 d1d6 e4f5 d6d7 f8f7 d7d8 g8h7 c1f1 e6e7 d8d6 g5g4 f1e1 h6h5 e5e6 f7f8 d6d7
Moscow Training,Moscow,1966.??.??,2,"Kortschnoj, Viktor","Petrosian, Tigran V",0-1,,,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 b7b5 a4b3 d7d6 c2c3 e8g8 d2d4 c8g4 f1d1 e5d4 c3d4 d6d5 e4d5 c6a5 b3c2 f8e8 b1c3 e7b4 e2d3 a5c4 c3e2 g7g6 e2g3 d8d5 a2a3 b4f8 b2b3 c4b6 a3a4 g4f3 d3f3 d5f3 g2f3 f6d5 c1d2 f7f5 c2d3 c7c6 a4b5 c6b5 d2a5 e8e6 g3e2 f8b4 a5b6 e6b6 a1c1 a8d8 c1c2 b4f8 d1c1 f8h6 c1e1 b6d6 c2c5 d5b4 d3b1 h6g7 c5c7 d8e8 g1f1 g7d4 h2h4 h7h5 e2g1 e8e1 f1e1 d4e5 c7c8 g8g7 g1h3
Moscow Training,Moscow,1966.??.??,2,"Boleslavsky, Isaak","Averbakh, Yuri L",1/2-1/2,,,B36,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 d7d6 c2c4 g8f6 b1c3 c6d4 d1d4 g7g6 f1e2 f8g7 e1g1 e8g8 d4e3 a7a6 c1d2 c8d7 f1d1 d8b8 a2a4 a6a5 a1b1 f8e8 f2f3 d7c6 d2e1 f6d7 b2b3 b7b6 c3d5 d7c5 e1h4 b8b7 d1d2 a8b8 b1d1 b7a7 e2f1 b8b7 g1h1 a7b8
Moscow Training,Moscow,1966.??.??,2,"Shamkovich, Leonid","Simagin, Vladimir",1-0,,,D46,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 f8b4 e1g1 e8g8 a2a3 b4a5 d1c2 a5c7 b2b3 d5c4 b3c4 e6e5 c1b2 f8e8 a1e1 e5d4 e3d4 e8e1 f1e1 d7f8 c3e4 f6e4 d3e4 c8g4 d4d5 c6d5 e4d5 c7a5 c2e4 g4f3 e4f3 d8d7 e1e4 a8e8 f3f7 d7f7 e4e8
Moscow Training,Moscow,1966.??.??,3,"Averbakh, Yuri L","Kortschnoj, Viktor",0-1,,,D91,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1g5 c7c6 c4d5 f6d5 d1d2 h7h6 g5h4 c6c5 e2e4 d5c3 b2c3 c5d4 c3d4 b8c6 f1b5 e8g8 e1g1 c6d4 f3d4 d8d4 d2d4 g7d4 h4e7 d4a1 f1a1 c8e6 e7f8 g8f8 a2a4 a8d8 f2f3 d8d2 a1c1 d2d4 c1a1 f8e7 g1f2 d4d2 f2g3 e7d6 h2h4 a7a6 b5f1 d2a2 a1a2 e6a2 h4h5 g6h5 g3h4 a2b3 a4a5 d6c5 e4e5 c5b4 f3f4 b4a5 f4f5 a5b4 e5e6 b3e6 f5e6 f7e6 h4h5 a6a5 f1d3 a5a4 d3b1 a4a3 b1a2 e6e5
Moscow Training,Moscow,1966.??.??,3,"Simagin, Vladimir","Boleslavsky, Isaak",0-1,,,A49,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 d7d6 a2a4 b8c6 d4d5 c6b4 b1c3 c7c6 e2e4 c6d5 e4d5 c8f5 f3d4 f5g4 d1d2 d8d7 f1e1 f8e8 a4a5 a8c8 g2f1 a7a6 f1g2 c8c4 d4b3 g4f5 a1a4 c4c3 b2c3 b4c2 a4b4 c2e1 d2e1 f5h3 g2f3 f6g4 b3d4 e8c8 c1d2 g4e5 f3e2 c8c5 c3c4 e5c4 e2c4 g7d4 c4a6 b7a6 b4d4 d7b7 d4h4 c5b5 d2b4 h3f5 h4d4 h7h5 h2h4 f5g4 e1e4 g4f5 e4e1 b5d5 d4d5 b7d5 e1e7 f5h3
Moscow Training,Moscow,1966.??.??,3,"Petrosian, Tigran V","Shamkovich, Leonid",1-0,,,D92,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4 c7c5 d4c5 d8a5 c4d5 f6d5 d1d5 g7c3 f4d2 c3d2 d5d2 a5c5 a1c1 c5f5 h2h4 b8c6 h4h5 f5f6 c1c4 c8f5 g2g4 a8d8 d2c1 f5d3 c4f4 f6e6 a2a3 e8g8 h1h3 d3a6 h5g6 f7g6 f4f8 d8f8 c1h6 e6f7 h3h2 f7g7 h6g7 g8g7 f3g5 f8h8 g5e6 g7f6 e6c5 c6e5 f2f3 a6c4 c5b7 c4d5 b7c5 f6g7 g4g5 d5f3 h2h3 f3d5 h3e3 e5c6 e3d3 d5f7 f1g2 h8d8 g2c6 d8c8 d3d7 c8c6 b2b4 a7a5 d7e7 a5b4 a3b4 g7f8 e7b7 f8e8
Moscow Training,Moscow,1966.??.??,4,"Kortschnoj, Viktor","Simagin, Vladimir",0-1,,,B66,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 a7a6 e1c1 h7h6 g5f4 c8d7 d4c6 d7c6 d2e2 d8c7 g2g4 f8e7 h2h4 b7b5 h1h3 b5b4 e4e5 d6e5 f4e5 c7b7 c3b1 c6b5 e2e1 b5f1 e1f1 f6g4 e5g7 h8g8 g7d4 b7e4 c2c3 e4f4 b1d2 b4c3 d4c3 f4f2 f1c4 f2b6 h3f3 a8d8 c4f4 f7f5 d1e1 d8d5 f4c4 e8f7 d2e4 b6b5 c4c7 b5d7 c7b6 g4e5 c3e5 d5e5 e1d1 d7b5
