Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
3rd Pearl Spring,Nanjing CHN,2010.10.20,1,"Anand,V",Wang Yue,1/2-1/2,2800,2732,D10,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 g7g6 g1f3 f8g7 f1e2 e8g8 e1g1 b7b6 a2a4 a7a5 c4d5 f6d5 e3e4 d5b4 c1e3 c8g4 h2h3 g4f3 e2f3 b8a6 d4d5 a6c5 d1e2 d8e8 f1d1 a8c8 d5c6 e8c6 e4e5 c6c7 e3f4 c5e6 f4g3 f8d8 f3g4 c7c6 c3b5 c6c2 e2c2 c8c2 g4e6 d8d1 a1d1 f7e6 b5d4 c2b2 d4e6 g7h6 d1d8 g8f7 e6d4 b4c2 d4c6 c2b4 c6d4 b4c2 d4c6 c2b4
3rd Pearl Spring,Nanjing CHN,2010.10.20,1,"Carlsen,M","Bacrot,E",1-0,2826,2716,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4b3 c5b6 b1c3 g8f6 d1e2 e8g8 c1g5 h7h6 g5h4 a7a5 a2a4 c6d4 e2d3 d4b3 c2b3 f8e8 e1c1 d7d6 d3c2 c8d7 f1c4 d7e6 h1e1 d8e7 e4e5 d6e5 e1e5 e7f8 h4f6 g7f6 e5e2 f8g7 c4e6 e8e6 e2e6 f7e6 d1d3 g8h8 d3g3 g7h7 c2d2 b6c5 c3e4 c5e7 g3h3 h8g7 d2d7 g7f7 e4g5 f6g5 h3f3 f7g8 d7e6 g8h8 f3f7 e7d6 f7h7 h8h7 e6f7 h7h8 g2g3 a8a6 c1b1 d6b4 f2f4 g5f4 g3f4
3rd Pearl Spring,Nanjing CHN,2010.10.20,1,"Topalov,V","Gashimov,V",1/2-1/2,2803,2719,D16,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6 e2e3 c6c5 f1c4 c5d4 d1d4 d8d4 f3d4 a7a6 e3e4 f8c5 d4b3 c5b4 f2f3 b8c6 c1e3 c8d7 e1f2 a8c8 c4e2 c6a5 b3a5 b4a5 g2g4 d7c6 h1d1 a5c7 h2h4 c7e5 a1c1 e8g8 b2b3 f8d8 d1d8 c8d8 c3b1 c6e8 c1c2 f6d7 b1d2 e5d6 f3f4 e6e5 f4f5 g8f8 g4g5 f7f6 h4h5 f6g5 e3g5 d6e7 g5e7 f8e7 f2e3 h7h6 c2c7 d8b8 a4a5 e7d8 c7c1 d8e7 c1g1 e7f8 d2c4 e8f7 b3b4 b8c8 c4d6 c8c7 d6f7 f8f7 g1b1 f7e7 b1g1 e7f7 g1d1 c7c3 d1d3 c3d3 e3d3 f7e7 d3c4 e7d6 b4b5 a6b5 c4b5 d6c7 e2f3 c7d6 f3d1 d6c7 d1c2 c7d6 c2b1 d6c7 b1c2 c7d6 c2b1 d6c7 b1c2
3rd Pearl Spring,Nanjing CHN,2010.10.21,2,Wang Yue,"Gashimov,V",1/2-1/2,2732,2719,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4 e2e3 f6e4 d1c2 c8b7 f1d3 f7f5 e1g1 b4c3 b2c3 e8g8 f3d2 d8h4 f2f3 e4g5 f3f4 g5f7 e3e4 f7h6 d2f3 h4h5 c1a3 f8e8 a1e1 f5e4 e1e4 h6g4 d4d5 b8a6 h2h3 g4f6 e4e5 h5h6 f3g5 e6d5 c4d5 a6c5 a3c5 b6c5 c2b3 e8e5 f4e5 b7d5 d3c4 c7c6 e5f6 h6g5 c4d5 c6d5 f6f7 g8f8 b3b7 a8d8 b7a7 g5e7 a2a4 e7d6 g1h1 d6c6 f1b1 f8f7 b1b6 d8a8 b6c6 a8a7 c6c5 f7e6 a4a5 e6d6 c5b5 d6c6 b5b8 g7g6 h1g1 a7a5 b8h8 c6b5 h8h7 b5c4 h7d7 c4c3 h3h4 d5d4 g1f2 a5a2 f2f3 d4d3 g2g4 a2h2 f3f4 h2h4 f4g5 h4h3 g5g6 d3d2 d7d2 c3d2 g4g5 d2e3 g6f6 h3f3 f6e6 e3f4 g5g6 f4g5 g6g7 f3f6 e6e7 f6g6 e7f7 g6g7 f7g7
3rd Pearl Spring,Nanjing CHN,2010.10.21,2,"Bacrot,E","Topalov,V",1/2-1/2,2716,2803,E21,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 c1g5 h7h6 g5h4 g7g5 h4g3 f6e4 d1c2 c8b7 e2e3 b4c3 b2c3 d7d6 f1d3 f7f5 d4d5 b8a6 f3d4 a6c5 e1g1 d8e7 f2f3 c5d3 c2d3 e4c5 d3c2 e8g8 d5e6 e7h7 e3e4 f5f4 g3f2 a8e8 a2a4 g5g4 f3g4 b7e4 c2d2 h7g6 h2h3 h6h5 f2h4 c5e6 d4e6 g6e6 f1f4 f8f4 d2f4 h5g4 a1e1 e6g6 h3g4 e4c6 e1e8 c6e8 h4d8 g6b1 f4f1 b1f1 g1f1 e8a4 d8c7 a4b3 c7d6 b3c4
3rd Pearl Spring,Nanjing CHN,2010.10.21,2,"Anand,V","Carlsen,M",1/2-1/2,2800,2826,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 a2a4 e7f8 c2d3 c7c6 b2b4 d7b6 a4b5 a6b5 a1a8 d8a8 d2b3 b6c4 d4e5 c4e5 f3e5 e8e5 f2f3 e5e8 c1e3 b7c8 e3f2 c8e6 b3d4 e6d7 d1d2 a8b8 d3f1 h7h6 e1a1 b8b7 a1a5 d6d5 e4d5 f6d5 d4b3 d7e6 b3c5 f8c5 f2c5 e8d8 a5a1 b7b8 a1d1 b8g3 c5f2 g3e5 c3c4 b5c4 f1c4 d8d7 c4d5 d7d5 d2e1 e5e1 d1e1 d5d2 f2c5 g8h7 e1f1 e6c4 f1f2 d2f2 g1f2
3rd Pearl Spring,Nanjing CHN,2010.10.22,3,"Carlsen,M",Wang Yue,1-0,2826,2732,C43,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 b8d7 e5d7 c8d7 e1g1 f8d6 d1h5 e4f6 f1e1 e8f8 h5e2 f6g4 h2h3 d8h4 e2f3 d6h2 g1f1 g4f2 f3f2 h2g3 f2d2 h4f6 f1g1 g3e1 d2e1 f6d4 g1h2 a8e8 e1g3 d4e5 g3e5 e8e5 c1f4 e5e1 f4c7 a7a6 c7a5 e1d1 a2a4 f8e7 a5d2 h8c8 c2c3 d5d4 c3c4 g7g6 d3e2 d7a4 d2b4 e7e6 e2d1 a4d1 b1d2 d1e2 b2b3 f7f5 h2g3 c8d8 g3f2 d4d3 b4c3 e6f7 d2f3 f5f4 f3g5 f7g8 g5e6
3rd Pearl Spring,Nanjing CHN,2010.10.22,3,"Topalov,V","Anand,V",0-1,2803,2800,D57,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 f6e4 h4e7 d8e7 c4d5 e4c3 b2c3 e6d5 d1b3 f8d8 c3c4 c8e6 c4c5 b7b6 a1c1 b6c5 b3a3 b8d7 f1b5 e6g4 b5d7 d8d7 a3c5 e7e4 h1g1 a8e8 c5b5 d7d8 b5e2 d8b8 h2h3 g4f3 g2f3 e4f5 f3f4 b8b1 c1b1 f5b1 e2d1 e8b8 e1e2 b1f5 g1h1 b8b2 e2f3 h6h5 a2a4 f5e4 f3g3 h5h4 g3h4 b2f2 d1g4 f2g2
3rd Pearl Spring,Nanjing CHN,2010.10.22,3,"Gashimov,V","Bacrot,E",0-1,2719,2716,A29,c2c4 g8f6 b1c3 e7e5 g1f3 b8c6 g2g3 g7g6 d2d4 e5d4 f3d4 f8g7 d4c6 d7c6 d1d8 e8d8 c1d2 c8e6 a1d1 d8c8 b2b3 a7a5 f1g2 a5a4 c3a4 e6c4 a4b6 c7b6 b3c4 a8a2 e1g1 f6g4 g2h3 f7f5 e2e4 g7d4 e4f5 g6f5 h3g4 f5g4 d2f4 d4c5 d1a1 c5f2 g1g2 a2a1 f1a1 f2d4 a1a8 c8d7 a8a7 d7e6 a7b7 e6f5 h2h3 h7h5 h3g4 h5g4 b7c7 c6c5 c7b7 h8a8 b7b6 a8a4 b6b8 a4a2 g2f1 f5e4 f4d6 e4d3 b8f8 a2a6 d6e7 a6e6 e7h4 d3c4 f8f4 c4d3 f4g4 c5c4 g4g8 c4c3 h4g5 c3c2 g8c8 d4e3 g5e3 e6e3 f1f2 e3e4
3rd Pearl Spring,Nanjing CHN,2010.10.23,4,"Gashimov,V","Carlsen,M",1/2-1/2,2719,2826,C95,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c8b7 b3c2 f8e8 d2f1 e7f8 c1g5 h7h6 g5h4 f8e7 f1g3 g7g6 d1d2 g8g7 a1d1 f6h7 h4e7 d8e7 d4e5 d7e5 f3d4 e7g5 g3f5 g6f5 f2f4 e5c4 f4g5 c4d2 d4f5 g7f8 d1d2 h6g5 e4e5 h7f6 e1f1 e8e5 f5d6 a8d8 f1f6 c7d6 c2b3 d8d7 g1f2 d6d5 f6f3 f8g7 f3d3 d7d6 b3d1 b7c8 d1f3 c8e6 d3d4 g7f6 a2a4 b5a4 d4a4 d6b6 f3e2 e6c8 a4a2 c8b7 a2a4 e5e4 a4a3 e4e5 b2b4 b6c6 d2d4 f6g7 e2f3 c6f6 d4d3 f6f4 a3a5 f4c4 a5c5 c4c5 b4c5 e5e6 d3d2 e6e7 d2b2 b7c8 f3d5 e7e5 c3c4 c8e6 c5c6 e6d5 c4d5 e5d5 b2c2 d5d8 c6c7 d8c8 f2e3 g7f6 g2g3 a6a5 e3d4 f6e6 h3h4 g5h4 g3h4 a5a4 h4h5 a4a3 h5h6 a3a2 c2a2 c8c7 a2a6 e6f5 h6h7 c7c8 a6h6 c8h8 h6h1 f5g6 d4e5 h8e8 e5f4 g6g7 f4f5 e8h8 h1g1 g7f8 g1h1 f8g7
