Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
New York Rice,New York,1913.??.??,?,"Chajes, Oscar","Duras, Oldrich",0-1,,,D30,d2d4 d7d5 g1f3 e7e6 c2c4 a7a6 c4d5 e6d5 b1c3 f8b4 e2e3 b8c6 f1d3 g8f6 e1g1 e8g8 h2h3 f8e8 a2a3 b4c3 b2c3 f6e4 c3c4 c8e6 d1c2 f7f5 a1b1 a8b8 f3d2 c6a5 c4d5 e6d5 d2e4 f5e4 d3e2 b7b5 f2f3 a5c4 f3e4 e8e4 e2c4 b5c4 b1b8 d8b8 c1d2 b8b3 c2c1 e4e6 f1f2 h7h6 d2c3 g8h7 g1h2 b3b7 c1c2 d5e4 c2e2 b7d5 c3b4 a6a5 b4d2 e6c6 d2c3 c6b6 e2g4 b6g6 g4f4 e4g2 f4f5 d5f5 f2f5 g2e4 f5f2 g6b6 c3a5 b6b3 a5d2 b3a3 h2g3 g7g5 h3h4 h7g6 h4g5 h6g5 d2c1 a3c3 c1d2 c3d3 d2c1 d3c3 c1d2 c3d3 d2c1 c4c3 f2f1 c3c2 g3f2 d3d1 f1g1 g6f5 c1a3 g5g4 a3b2 d1g1 f2g1 g4g3 b2c1 f5e6 g1f1 e6d5 f1e2 d5c4 c1a3 c4b3 a3c1 b3a2 e2e1 a2b1 c1d2 c2c1q
New York Rice,New York,1913.??.??,?,"Chajes, Oscar","Stapfer, John",1-0,,,D42,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 c7c5 c4d5 f6d5 e2e3 a7a6 a2a3 b8c6 f1d3 c5d4 e3d4 f8e7 e1g1 e8g8 f1e1 e7f6 d3c2 g7g6 c1h6 f6g7 h6g7 g8g7 d1d2 b7b6 a1c1 d5c3 d2c3 c6e7 d4d5 g7g8 d5e6 c8e6 f3g5 e6f5 c2b3 e7d5 c3d2 d5f6 d2d8 a8d8 c1c6 g8g7 c6b6 h7h6 g5f3 d8b8 b6b8 f8b8 f3d4 f5e4 h2h3 e4d5 b3d5 f6d5 e1e2 d5f4 e2d2 b8d8 d4f5
New York Rice,New York,1913.??.??,?,"Capablanca, Jose Raul","Black, Roy Turnbull",1-0,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4 d6d5 f1d3 f8d6 c2c4 d6b4 b1d2 e8g8 e1g1 f8e8 c4d5 e4f6 f3e5 b8d7 d2f3 f6d5 e5f7 g8f7 f3g5 f7f8 d1h5
New York Rice,New York,1913.??.??,?,"Duras, Oldrich","Adair, G.",1/2-1/2,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 b1c3 g8f6 e1g1 f8e7 f1e1 e5d4 f3d4 e8g8 h2h3 h7h6 d4f5 d7f5 e4f5 d6d5 g2g4 e7b4 c1d2 b4c3 d2c3 f6e4 d1f3 d8h4 g1g2 e4g5 f3g3 h4g3 g2g3 g5e4 g3f3 e4c3 b2c3 c6a5 b5d7 f8d8 e1e7 g8f8 f5f6 g7f6 a1e1 a5c4 d7f5 c4e5 e1e5 f6e5 e7c7 a8b8 g4g5 d8d6 f3g4 h6g5 g4g5 a7a6 h3h4 b7b5 h4h5 b8b6 c7a7 b6c6 a2a3 d6f6 f5d7 c6d6 d7f5 d5d4 c3d4 e5d4 f2f4 d6b6 f5h7 f6e6 h7f5 e6e2 f5d3 e2g2 g5f5 g2h2 f5e5 h2h5 f4f5 f8g7 e5d4 b6f6
New York Rice,New York,1913.??.??,?,"Kupchik, Abraham","Duras, Oldrich",0-1,,,D37,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 a7a6 e2e3 f8e7 f1e2 d5c4 e2c4 b7b5 c4d3 c8b7 e1g1 b8d7 b2b3 c7c5 c1b2 d8b6 d1e2 e8g8 f1d1 c5d4 e3d4 a8c8 a1c1 b6a5 d3b1 b5b4 c3a4 a5h5 b1d3 f6d5 f3e5 h5g5 e2f3 d7e5 d4e5 c8c1 d1c1 d5f4 f3b7 f4d3 c1f1 d3f4 b7f3 f4d5 f3e2 a6a5 e2b5 e7d8 a4c5 g5d2 b2a1 d5c3 a1c3 b4c3 c5d7 c3c2 b5c6 d8e7 d7f8 e7f8 g2g3 g7g6 c6c7 f8a3
New York Rice,New York,1913.??.??,?,"Black, Roy Turnbull","Kupchik, Abraham",1/2-1/2,,,C41,e2e4 e7e5 g1f3 d7d6 d2d4 b8d7 f1c4 f8e7 e1g1 c7c6 b1c3 g8f6 c1g5 e8g8 d1d3 d6d5 c4b3 e5d4 f3d4 c6c5 d4f5 c5c4 f5e7 d8e7 c3d5 e7e4 b3c4 e4d3 c2d3 f6d5 c4d5 h7h6 g5e7 f8e8 f1e1 d7b6 d5f3 c8e6 e7b4 b6d5 b4d2 a8c8 a1c1 b7b6 a2a3 d5f6 d3d4 c8c1 e1c1 e8d8 d2e3 f6d5 g1f1 g8f8 f1e2 f8e7 e2d3 d8d7 e3d2 d7d8 h2h3 d8d7 f3g4 f7f5 g4f3 g7g5 c1e1 e7f6 e1e5 d5e7 g2g4 a7a6 d2c3 f5g4 f3g4 e6f5 g4f5 e7f5 d4d5 f5e7 e5e6 f6f7 e6f6 f7e8 d5d6 e7d5 f6h6 d5c3 b2c3 d7f7 h6e6 e8d8 d3e2 f7h7 e6e3 h7h4 e3g3 h4c4 e2d3 c4f4 g3g5 f4f2 d3c4 d8d7 g5d5 f2a2 c4b3 a2h2 d5d3 h2h1 a3a4 h1b1 b3a2 b1h1 a4a5 b6b5 a2b2 h1h2 b2b3 h2h1 b3b4 h1a1 d3g3 d7c6 g3d3 a1a4 b4b3 c6d7 d3d4 a4a5 b3b4 a5a1 b4c5 a1f1 d4d3 f1f5 c5b6 b5b4 c3c4 f5f8 b6a5 b4b3 d3b3 d7d6 a5a6 d6c5 b3c3 f8b8 a6a7 b8b1
New York Rice,New York,1913.??.??,?,"Beynon, F.","Duras, Oldrich",0-1,,,C68,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 f3e5 d8d4 e5f3 d4e4 d1e2 e4e2 e1e2 c8g4 h1e1 e8c8 h2h3 g4h5 d2d3 f7f5 b1d2 d8e8 e2f1 e8e1 f1e1 g8f6 f3d4 f6d5 d4f5 f8b4 g2g4 h5g6 c2c3 g6f5 g4f5 b4e7 d2f1 h8f8 f1e3 d5f4 d3d4 f4h3 c1d2 h3f4 e1d1 f4d5 d1e2 d5e3 f2e3 f8f5 a1f1 f5f1 e2f1 c8d7 f1f2 d7e6 e3e4 g7g5 f2f3 h7h5 c3c4 e6f7 e4e5 f7g6 f3e4 h5h4 d2e1 g5g4 d4d5 c6d5 c4d5 g4g3 e4f4 e7c5 f4f3 c5d4 e1c3 d4c3 b2c3 b7b5 a2a3 g6f5
New York Rice,New York,1913.??.??,?,"Beynon, F.","Chajes, Oscar",0-1,,,C61,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 d2d3 g8e7 e1g1 c7c6 b5c4 d7d5 e4d5 c6d5 c4b3 c8e6 b1d2 e7c6 f2f4 g7g6 d2f3 f8g7 f3g5 e8g8 g5e6 f7e6 c1d2 d8d6 d1g4 f8f5 a1e1 a8f8 g4e2 f5f6 g2g3 g8h8 g1g2 b7b5 a2a3 a7a5 c2c3 h7h6 h2h4 b5b4 a3b4 a5b4 e1a1 b4c3 b2c3 f8b8 e2d1 f6f7 c3c4 f7b7 c4d5 b7b3 d5c6 d6c6 g2h3 b3d3 d1e2 b8b3 d2e1 d3e3 e2g2 c6b5 e1f2 e3e2 g2a8 h8h7 a1a5 b5d3 a8g2 e6e5 f4e5 d3f5 h3h2 b3b2
New York Rice,New York,1913.??.??,?,"Phillips, H.","Marder, A.",0-1,,,C77,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 c2c3 f8e7 c1g5 e8g8 e1g1 h7h6 g5h4 f6h5 h4g3 f7f5 e4f5 h5g3 f2g3 c8f5 a4c2 d8d7 b1d2 d6d5 b2b4 a8e8 a2a3 e7f6 d2b3 b7b6 d1d2 d7d6 a1e1 c6e7 f3e5 f6e5 d3d4 f5c2 d4e5 d6g6 b3d4 c2e4 d4e2 g6e6 d2d4 e7c6 d4d1 e6e5 e2f4 e5c3 f4d5 f8f1 e1f1 c3d4 d1d4 c6d4 d5c7 e8e7 f1e1 d4c2 e1e2 e7c7 e2e4 c2a3 e4e6 a3c4 g1f2 g8f7 e6e2 b6b5 e2a2 c7c6 f2e2 c6d6 h2h3 f7f6 e2e1 f6e5 a2e2 e5d4 e2e7 g7g6
New York Rice,New York,1913.??.??,?,"Chajes, Oscar","Marder, A.",1-0,,,C87,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 f1e1 f8e7 c2c3 e8g8 d2d4 e5d4 c3d4 c8g4 b1c3 g4f3 g2f3 f6h5 f3f4 g7g6 d4d5 c6b8 e4e5 b8d7 d1g4 d7b6 a4b3 f8e8 c1e3 e7f8 g1h1 f8g7 e3b6 c7b6 e5e6 g7c3 b2c3 d8f6 f4f5 f6f5 g4f5 g6f5 e1g1 h5g7 g1g3 e8e7 a1g1 f7e6 d5e6 a8e8 g1d1 g8h8 g3e3 e8d8 a2a4 h7h6 e3d3 g7e8 b3a2 h8g7 d1g1 g7f6 g1g8 e7g7 g8f8 f6e7 f8f5 e8c7 d3g3 g7g3 f5f7 e7e8 h2g3 d8c8 f2f4 b6b5 f4f5 b5a4 f5f6 c7e6 a2e6
