Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Niksic,Niksic,1983.??.??,1,"Portisch, Lajos","Miles, Anthony J",1/2-1/2,2600,2585,E41,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 b4c3 b2c3 d7d6 e1g1 e6e5 f3d2 e8g8 d2b3 e5e4 d3e2 b7b6 c1d2 c6e7 g1h1 e7f5 d2e1 d8e7 b3d2 c8b7 a2a4 g7g6 a4a5 h7h5 a5b6 a7b6 a1a8 f8a8 d1b1 a8a6 e2d1 e7e8 d4d5 g8g7 d1c2 e8a8 c2e4 a6a1 b1d3 f6e4 d2e4 b6b5 e4d2 b5c4 d3e2 b7d5 e3e4 d5b7 f2f3 f5e7 e1h4 a8a2 f1a1 a2a1 e2e1 a1e1 h4e1 b7a6 e1g3 e7c8 e4e5 d6d5 g3f2 c8e7 f2c5 e7c6 f3f4 d5d4 c3d4 c4c3 d2b3 a6c4 b3c1 h5h4 h1g1 g7h6 g1f2 h6h5 h2h3 c3c2 g2g3 h4g3 f2g3 c4d5 c1e2 d5e4 c5a3 c6a5 e2c3 e4f5 d4d5 a5b3 c3e2 f5e4 d5d6 e4f5 g3f2 h5h4 f2e3 h4h3 e2c3 c2c1q a3c1 b3c1 c3e4 f5c8
Niksic,Niksic,1983.??.??,1,"Petrosian, Tigran V","Timman, Jan H",1/2-1/2,2580,2605,A28,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 e2e3 f8b4 c3d5 e5e4 f3g1 e8g8 a2a3 b4d6 d2d3 e4d3 f1d3 c6e5 d3e2 c7c6 d5c3 d6c7 g1f3 d7d5 c4d5 c6d5 e1g1 a7a6 f3d4 d8d6 g2g3 c8h3 f1e1 a8c8 c1d2 e5c4 b2b3 c4d2 d1d2 f6e4 c3e4 d5e4 e2f1 h3f1 e1f1 c7b6 f1d1 f8d8 d2b4 d6b4 a3b4 b6d4 d1d4 d8d4 e3d4 c8d8
Niksic,Niksic,1983.??.??,1,"Ljubojevic, Ljubomir","Tal, Mihail",1/2-1/2,2645,2620,C82,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 c2c3 f8c5 b1d2 e8g8 b3c2 e6f5 d2b3 f5g6 f3d4 c5d4 c3d4 a6a5 c2d3 a5a4 d3b5 a4b3 b5c6 a8a6 f2f3 a6c6 f3e4 b3a2 a1a2 g6e4 b2b3 d8b8 c1a3 b8a7 f1f2 f8a8 d1d2 a7b8 a3c5 a8a2
Niksic,Niksic,1983.??.??,1,"Sax, Gyula","Andersson, Ulf",1/2-1/2,2570,2640,B46,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 a7a6 d4c6 b7c6 f1d3 d7d6 e1g1 g8f6 f2f4 f8e7 g1h1 d8c7 d1e1 f6d7 c1e3 e8g8 a1d1 c8b7 c3e2 d6d5 c2c4 d5e4 d3e4 d7f6 e4f3 c6c5 f3b7 c7b7 b2b3 f8d8 e2c3
Niksic,Niksic,1983.??.??,1,"Ivanovic, Bozidar","Nikolic, Predrag",1/2-1/2,2515,2540,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f8e8 d2d4 c8b7 b1d2 e7f8 a2a4 d8d7 b3c2 e5d4 c3d4 c6b4 c2b1 g7g6 d4d5 c7c6 d1b3 a6a5 d5c6 d7c6 b3c3 f8g7 c3c6 b7c6 f3d4 c6e4 d2e4 f6e4 e1e4 e8e4 b1e4 a8e8 d4b5 e8e4 c1d2 g7b2 a1e1 d6d5 e1e4 d5e4 g1f1 b4d3 d2a5 d3c5 g2g4 c5a4 b5d6 a4c5 a5b6 c5d7 b6d8
Niksic,Niksic,1983.??.??,1,"Seirawan, Yasser","Kasparov, Gary",0-1,2605,2690,D34,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c1g5 c5d4 f3d4 h7h6 g5f6 e7f6 d4b3 d5d4 c3e4 f6e7 a1c1 d8b6 e4c5 f8d8 c1c4 e7c5 b3c5 b6b2 d1c2 b2c2 c4c2 a8b8 c2b2 d8d6 f1d1 b7b6 c5b3 c8b7 b2d2 b8d8 g1f1 b7a6 g2c6 d6c6 b3d4 c6c5 d4b3 d8d2 d1d2 c5c7 d2d8 g8h7 f1e1 a6c4 e1d2 g7g6 b3c1 h7g7 a2a3 g7f6 e2e3 f6e7 d8d4 c7d7 d2c3 d7d4 c3d4 b6b5 c1d3 c4d3 d4d3 e7d6 e3e4 g6g5 f2f4 g5f4 g3f4 d6c5 d3c3 a7a5 c3d3 h6h5 h2h4 b5b4 a3a4 f7f6 f4f5 c5c6 d3c4 c6c7 c4d3 c7d7 d3e3 d7c6 e3d3 c6c5 d3e3 b4b3 e3d3 c5b4 e4e5 b4a3
Niksic,Niksic,1983.??.??,1,"Larsen, Bent","Spassky, Boris V",1/2-1/2,2565,2605,C28,e2e4 e7e5 f1c4 g8f6 d2d3 f8c5 b1c3 b8c6 c1g5 h7h6 g5e3 c5b6 d1f3 e8g8 g1e2 d7d6 e3b6 a7b6 a2a3 c8e6 c4e6 f7e6 f3h3 d8e8 e1g1 f6h5 c3b5 a8c8 c2c3 e8g6 d3d4 e5d4 c3d4 d6d5 e4d5 e6d5 a1e1 c6a5 e2g3 h5f4 h3d7 c7c6 b5c3 a5c4 e1e7 c4b2 d7b7 b2d3 c3e2 c6c5 a3a4 h6h5 h2h4 c5d4 e2d4 d3f2 d4f5 f8f5 b7c8 f5f8 c8c3 f2d3 f1f3 g8h7 e7e3 d3c5 c3e5 c5e6 e5b2 d5d4 e3e5 f4d3 e5e6 d3b2 e6g6 f8f3 g6b6 f3g3 b6b2 g3a3 b2b4 d4d3 b4d4 d3d2 d4d2
Niksic,Niksic,1983.??.??,2,"Timman, Jan H","Sax, Gyula",1/2-1/2,2605,2570,B76,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 b8c6 d1d2 e8g8 e1c1 d6d5 d4c6 b7c6 e3h6 d8a5 h6g7 g8g7 e4d5 c6d5 g2g4 e7e6 h2h4 h7h5 d2f4 a5b6 f1d3 e6e5 f4e5 f8e8 e5f4 h5g4 f3g4 c8g4 d1f1 a8d8 c3a4 b6e3 f4e3 e8e3 f1f4 g4h3 a4c5 d8c8 b2b4 f6e4 c5e4 d5e4 c1d2 h3g2 d2e3 g2h1 d3e4 h1e4 f4e4 c8c2 a2a4 g7h6 a4a5 c2c7 b4b5 g6g5 e3d4 f7f5 e4e6 h6h5 h4g5 h5g5 b5b6 a7b6 a5b6 c7c1 e6e8 c1b1 e8b8 g5g4 b6b7
Niksic,Niksic,1983.??.??,2,"Tal, Mihail","Ivanovic, Bozidar",1/2-1/2,2620,2515,A33,c2c4 c7c5 g1f3 b8c6 b1c3 g8f6 d2d4 c5d4 f3d4 e7e6 g2g3 d8b6 d4b3 d7d5 c4d5 f6d5 f1g2 d5c3 b2c3 e6e5 b3d2 b6c7 d2c4 f8e7 c4e3 c8e6 e1g1 e8g8 c3c4 e7c5 e3d5 c7d7 c1b2 a8c8 d1d3
Niksic,Niksic,1983.??.??,2,"Nikolic, Predrag","Larsen, Bent",1/2-1/2,2540,2565,A40,d2d4 e7e6 c2c4 f8b4 c1d2 a7a5 e2e4 d7d5 c4d5 e6d5 e4e5 g8e7 b1c3 e8g8 f1d3 c8f5 d2g5 f5d3 d1d3 b8d7 g1f3 f7f6 e5f6 d7f6 e1g1 d8d7 a1e1 c7c6 a2a3 b4d6 e1e2 d7f5 f1d1 a8e8 h2h3 f5d3 d1d3 e7g6 d3e3 e8e3 e2e3 g8f7 e3e1 h7h6 g5d2 f6d7 g2g3 f8a8 h3h4 g6f8 a3a4 f8e6 c3a2 b7b6 a2c1 c6c5 c1e2 d7f6 e1c1 f6e4 d2e3 g7g5 c1d1 a8d8 h4g5 h6g5 g1g2 f7g6 d4c5 d6c5 f3d4 e6d4 e3d4 e4f6 e2c3 c5d4 d1d4 g6f5 g2f3 f5e5 f3e3 e5d6 f2f3 d8e8 e3f2 d6c5 d4d1 e8f8 d1c1 c5b4 f2e3 b4b3 c1d1 b3c4 c3e2 f8e8 e3f2 e8h8 d1c1 c4d3 c1c3 d3d2 e2d4 h8h2 f2g1 h2h7 g3g4 f6d7 d4b3 d2e2 g1g2 d7e5 b3d4 e2d2 d4b3 d2d1 c3c1 d1e2 c1c2 e2d1 c2c1 d1e2 c1c2
