Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Novgorod,Novgorod,1997.06.11,1,"Bareev, Evgeny","Short, Nigel D",1-0,2665,2690,D10,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 a7a6 b2b3 c8f5 f1d3 f5g6 g1f3 e7e6 e1g1 b8d7 d1c2 b7b5 d3g6 h7g6 e3e4 d5c4 b3c4 b5c4 c2a4 f8e7 a4c6 d8c8 c6a4 e8g8 a1b1 c8c7 c1g5 f8e8 f1c1 e7f8 g2g3 e8c8 g5f4 c7c6 a4c6 c8c6 b1b7 a8d8 f4c7 d8c8 c7a5 f8a3 c1d1 c8b8 d1b1 c6c8 e4e5 f6d5 b7d7 b8b1 c3b1 a3b2 f3g5 c4c3 b1c3 b2c3 a5c3 d5c3 g5f7 c3a2 f7d6 c8c1 g1g2 a2b4 d7d8 g8h7 d6f7 g6g5 f7g5 h7g6 g5e6
Novgorod,Novgorod,1997.06.12,2,"Topalov, Veselin","Kasparov, Gary",1/2-1/2,2725,2795,B97,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d4b3 f8e7 d1f3 b6c7 e1c1 b8d7 g2g4 b7b5 g5f6 d7f6 g4g5 f6d7 a2a3 a8b8 h2h4 b5b4 a3b4 b8b4 c3a2 b4b6 f3c3 c7c3 a2c3 h7h6 f1e2 c8b7 b3a5 b7a8 a5c4 b6c6 c1b1 d7b6 b2b3 b6c4 e2c4 c6c5 b1b2 a6a5 c4d3 a8c6 c3a4 c6a4 b3a4
Novgorod,Novgorod,1997.06.12,2,"Short, Nigel D","Gelfand, Boris",1-0,2690,2700,B91,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 g2g3 e7e5 d4e2 f8e7 h2h3 b7b5 f1g2 b8d7 a2a3 c8b7 g3g4 d7b6 e2g3 g7g6 g4g5 f6d7 h3h4 a8c8 e1f1 e8g8 f1g1 c8c4 c1e3 c4c3 b2c3 b6c4 g3f1 d8a5 h1h3 f8c8 h4h5 c4e3 f1e3 e7g5 h5g6 h7g6 d1d6 a5c7 a1d1 c7d6 d1d6 d7f6 e3d5 f6h5 h3d3 g8g7 d5b6 c8h8 d6d7 b7c6 d7c7 c6e8 d3d6 g5c1 b6d5 a6a5 d6d8 c1a3 c7c8 a5a4 d8e8 h8e8 c8e8 a3b2 g2f1 a4a3 e8a8
Novgorod,Novgorod,1997.06.13,3,"Kramnik, Vladimir","Short, Nigel D",1-0,2740,2690,D02,g1f3 d7d5 d2d4 a7a6 c1g5 c8g4 e2e3 g8f6 c2c4 d5c4 f1c4 e7e6 b1c3 f8e7 h2h3 g4h5 g5f6 e7f6 g2g4 h5g6 h3h4 h7h6 c4d3 g6d3 d1d3 b8d7 e1c1 d8e7 g4g5 h6g5 h4g5 h8h1 d1h1 f6g5 h1h8 d7f8 h8f8 e7f8 f3g5 e8c8 f2f4 f8e7 d3h7 f7f6 g5e4 b7b6 a2a3 c8b8 c1b1 b8a7 e4f2 e7d7 h7e4 d7d6 e4g2 d6d7 c3a2 d8c8 a2b4 c7c5 d4c5 b6c5 b4a2 c8b8 g2g4 d7d2 f2d1 d2d3 b1c1 d3c4 a2c3 g7g5 g4f3 g5f4 e3f4 b8g8 c1c2 g8d8 d1f2 c4d4 f2d3 a7b6 d3c1 c5c4 c2b1 b6c7 c3e2 d4d5 f3e3 d8d6 e3c3 e6e5 f4e5 f6e5 b1a1 d6f6 c3e1 d5e4 a1a2 f6b6 e1a5 c7b7 a5d2 b7c8 e2c3 e4d4 d2g5 b6c6 c1e2 d4c5 c3e4 c5b5 e2c3 b5b3 a2b1 c8b7
Novgorod,Novgorod,1997.06.15,4,"Kasparov, Gary","Short, Nigel D",1-0,2795,2690,C18,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7 d1g4 f7f5 g4g3 c5d4 c3d4 g8e7 c1d2 e8g8 f1d3 b7b6 g1e2 c8a6 e2f4 c7d7 h2h4 a6d3 g3d3 b8c6 h1h3 a8c8 h3g3 f8f7 h4h5 c6d8 c2c3 f7f8 e1f1 c8c4 f1g1 d8f7 a3a4 f8c8 d3b1 e7c6 b1d1 c6e7 h5h6 g7g6 d1h5 c4a4 a1a4 d7a4 f4e6 a4c2 h5h4 f5f4 d2f4 e7f5 g3g6
Novgorod,Novgorod,1997.06.15,4,"Gelfand, Boris","Kramnik, Vladimir",1/2-1/2,2700,2740,E14,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 e2e3 e8g8 b2b3 c7c5 f1d3 b8c6 e1g1 c5d4 e3d4 b7b6 c1b2 c8b7 a1c1 c6b4 d3b1 a8c8 f3e5 b4c6 e5c6 c8c6 d1e2 f8e8 c3d1 e7f8 d1e3
Novgorod,Novgorod,1997.06.15,4,"Topalov, Veselin","Bareev, Evgeny",1-0,2725,2665,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 c8d7 g1f3 b8c6 f1e2 g8h6 c1h6 g7h6 e1g1 d8b6 d1d2 f8g7 b1a3 e8g8 a3c2 c5d4 c3d4 f7f6 e5f6 f8f6 b2b4 a8f8 b4b5 c6e7 f3e5 d7e8 g2g3 h6h5 a2a4 h5h4 e2d3 h4g3 h2g3 h7h5 c2e3 g7h6 a4a5 b6d8 f2f4 g8h8 d2h2 d8d6 a5a6 b7b6 a1b1 d6c7 e3c2 c7c3 f1f3 c3c7 b1f1 e7g6 h2h5 c7g7 e5g6 e8g6 d3g6 f6g6 h5e5 f8c8 c2b4 c8c4 b4c6 h8h7 e5g7 g6g7 g1g2
Novgorod,Novgorod,1997.06.16,5,"Short, Nigel D","Topalov, Veselin",0-1,2690,2725,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3g5 h7h6 g5h4 g7g5 h4g3 f8g7 f1e2 h6h5 e2g4 c8g4 f2f3 g4d7 g3f2 b8c6 e1g1 e7e6 d4c6 d7c6 f2d4 g7e5 d1d2 d8f6 d4e5 d6e5 a2a4 e8g8 b2b3 f8d8 d2e3 f6f4 e3f4 g5f4 f1d1 h5h4 d1d8 a8d8 a1d1 d8c8 d1d2 g8f8 c3d1 f8e7 d1f2 f7f5 g1f1 f5e4 f3e4 a6a5 f1e2 c6e8 e2d1 e8h5 d1c1 c8g8 f2d3 h4h3 g2h3 g8g1 c1b2 h5f3 d3e5 f3e4 d2f2 e7f6 e5c4 f6g5 h3h4 g5g4 h4h5 f4f3 h5h6 g4f4 c4d2 g1g6 h6h7 g6h6 h7h8q h6h8
Novgorod,Novgorod,1997.06.17,6,"Short, Nigel D","Bareev, Evgeny",1/2-1/2,2690,2665,C02,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 c8d7 g1f3 d8b6 a2a3 d7b5 c3c4 d5c4 b1c3 b8c6 d4d5 e8c8 d5d6 f7f6 c3b5 b6b5 d1c2 c6e5 f3e5 f6e5 f1c4 b5c6 c4e6 c8b8 e1g1 g8f6 c1e3 f8d6 f1c1 e5e4 h2h3 h8e8 e6c4 f6d5 c4d5 c6d5 e3c5 d6c5 c2c5 d5c5 c1c5 e4e3
Novgorod,Novgorod,1997.06.19,7,"Gelfand, Boris","Short, Nigel D",0-1,2700,2690,A40,d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f1d3 b8c6 g1e2 c6b4 b1c3 b4d3 d1d3 d7d6 e1g1 g8e7 d4d5 d8d7 f2f4 g7g6 e2d4 e8c8 b2b4 f8g7 b4b5 g7d4 d3d4 f7f5 f1e1 h8e8 c1b2 f5e4 c3e4 e7g8 e4c3 d7f7 e1e3 e6d5 c3d5 e8e3 d4e3 b7d5 c4d5 f7d5 a2a4 c8b8 a4a5 d5b5 a5b6 a7b6 b2d4 b5c6 a1c1 c6b7 f4f5 g6f5 e3g5 d8e8 g5h5 b7e4 d4f2 g8f6 h5f7 e4e7 f7a2 f6g4 c1a1 e7e4 a2a7 b8c8 a1c1 e4b7 a7a4 e8e7 a4b3
Novgorod,Novgorod,1997.06.19,7,"Kramnik, Vladimir","Bareev, Evgeny",1/2-1/2,2740,2665,A87,g1f3 f7f5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d4 e8g8 c2c4 d7d6 b1c3 d8e8 d4d5 a7a5 c1e3 b8a6 d1c1 f6g4 e3f4 c8d7 f1d1 a6c5 h2h3 g4f6 f4h6 c7c6 f3d4 a8c8 d5c6 d7c6 h6g7 g8g7 d4c6 b7c6 b2b3 e8d7 e2e3 c8b8 a1b1 b8b6 c3e2 g7f7 c1c3 f8a8 e2d4 d7c8 c3e1 a8a7 a2a3 c5e6 e1c3 e6c5 c3e1 c5e6 d1c1 e6c5 c1d1 c5e6
Novgorod,Novgorod,1997.06.19,7,"Kasparov, Gary","Topalov, Veselin",1/2-1/2,2795,2725,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8c5 a2a4 a8b8 a4b5 a6b5 f3e5 c6e5 d2d4 c5d4 d1d4 d7d6 f2f4 e5c6 d4c3 c6e7 c3d3 e8g8 b1c3 c7c5 c3b5 f6e4 d3e4 b8b5 a1a7 c5c4 b3c4 d6d5 e4e7 d5c4 e7d8 f8d8 a7a8 d8f8 a8a4 c8e6 f4f5 e6d5 f1e1 h7h5 h2h3 f8c8 g1h2 h5h4 f5f6 g7f6 b2b3 f6f5 b3c4
Novgorod,Novgorod,1997.06.20,8,"Short, Nigel D","Kramnik, Vladimir",1-0,2690,2740,B72,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 h2h3 g7g6 c1e3 f8g7 f1c4 e8g8 c4b3 c6a5 d1d2 c8d7 e3h6 a8c8 h6g7 g8g7 d2d3 a7a6 f2f4 e7e5 d4e2 d8b6 e1c1 d7b5 d3f3 b5e2 f3e2 a5b3 a2b3 e5f4 h1f1 b6a5 f1f4 a5a1 c3b1 f6d7 d1d6 d7c5 e2e3 a6a5 e4e5 b7b5 f4h4 g7g8 d6d5 c5e6 e3h6 c8c2 c1c2 f8c8 b1c3
Novgorod,Novgorod,1997.06.22,9,"Topalov, Veselin","Short, Nigel D",0-1,2725,2690,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 d8b6 b1c3 f8c5 c3a4 b6a5 c2c3 c5d4 d1d4 g8f6 a4c5 b8c6 d4e3 e8g8 c5b3 a5a4 f1d3 b7b6 e1g1 c8a6 d3a6 a4a6 f1e1 d7d5 e4e5 f6d7 e3g3 g8h8 b3d4 a8c8 d4c6 c8c6 c1g5 f8c8 g3f3 h8g8 a2a3 a6b5 e1e2 h7h6 g5f4 c6c4 e2d2 c4e4 f3g3 b5c4 f4e3 e4g4 g3h3 d7e5 f2f4 g4f4 e3f4 c4f4 d2f2 f4g5 a1f1 c8c4 f2e2 a7a5 h3e3 g5e3 e2e3 e5g4 e3d3 c4c7 a3a4 f7f5 b2b3 g8f7 c3c4 d5c4 d3c3 g4e5 f1c1 c7c6 h2h4 g7g5 h4g5 h6g5 b3c4 e5d7 g1f2 d7c5 c3a3 g5g4 f2e2 f7f6 c1d1 c5e4 d1c1 f5f4 a3b3 e4c5 b3a3 e6e5 c1h1 f6f5 h1h5 f5e4 h5h4 c6g6 h4h1 g4g3 h1h5 e4d4 a3a2 g6e6 h5h1 c5d3 a2c2 e5e4 h1h8 f4f3
Novgorod,Novgorod,1997.06.22,9,"Gelfand, Boris","Bareev, Evgeny",1/2-1/2,2700,2665,D48,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e1g1 a7a6 e3e4 c6c5 d4d5 d8c7 d5e6 f7e6 d3c2 c5c4 f3d4 d7c5 c1e3 e6e5 d4f3 c5e4 c3e4 f6e4 f1e1 f8d6 c2e4 b7e4 f3g5 e4d3 d1f3 e8c8 f3a8 c8d7 a8a6 d8b8 g5f7 h8f8 f7d6 c7d6 a6a5 d7e6 f2f4 b8a8 f4e5 a8a5 e5d6 e6d6 e3d2 a5a4 a2a3 f8f7 d2b4 d6d5 b4c3 a4a7 e1e5 d5c6 a1e1 a7d7 h2h3 f7f5 e5e6 c6b7 e6e7 f5f7 e7e5 b7c6 e5g5 d7e7 e1e7 f7e7 c3g7 e7e2 g7d4 d3e4 h3h4 h7h6 g5g7 c6d5 d4c3 h6h5 g7g5 d5c6 g1h2 e4d5 g5h5 e2g2 h2h3 g2g6 h5h8 d5e6 h3h2 c6d5 h8h5 d5c6 h5h8 c6d5 h4h5 g6g8 h8h7 g8g4 h5h6 d5e4 h7h8 g4g8 h8h7 g8g6 h7h8 g6g8 h8h7 g8g4 h7b7 g4h4 h2g2 h4h6 b7b5 e6d5 g2f2 h6a6 b5c5 a6a7 c5c8 d5e6 c8e8 e4d5 f2e3 a7h7 a3a4 e6d7 e8a8 h7e7 e3f4 e7e4 f4g5 d7c6 a8a7 e4e8 a4a5 d5c5 a7c7 c5b5 g5f6 e8f8 f6e5 f8e8 e5d6 e8d8 d6e7 d8e8 e7f7 e8d8 f7g6 d8g8 g6h6 g8d8 c7e7 d8e8 e7f7 e8e6 h6g5 e6d6 f7f8 d6d7 g5f4 d7a7 f8f5 b5a6 f4e3 a7d7 f5c5 c6b5 e3e4 d7d8 c5c7 d8d7 c7c8 a6b7 c8c5 b7a6 c5g5 b5c6 e4e3 d7d3 e3e2 d3d5 g5g6 a6b5 a5a6 d5d7
Novgorod,Novgorod,1997.06.23,10,"Short, Nigel D","Kasparov, Gary",1/2-1/2,2690,2795,B87,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1c4 e7e6 e1g1 f8e7 c4b3 e8g8 f2f4 b7b5 e4e5 d6e5 f4e5 f6d7 c1e3 d7e5 d1h5 b8c6 d4c6 e5c6 f1f3 b5b4 f3h3 h7h6 a1d1 d8a5 c3d5 e6d5 h3g3 d5d4 b3d5 e7g5 e3g5 a5d5 g5f6 d5h5 g3g7 g8h8 g7g6 h8h7 g6g7
Novgorod,Novgorod,1997.06.23,10,"Bareev, Evgeny","Topalov, Veselin",1/2-1/2,2665,2725,E97,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 f6h5 f1e1 a7a5 c1a3 h5f4 e2f1 c8g4 h2h3 g4f3 d1f3 a5b4 a3b4 c7c5 d5c6 e7c6 a2a3
