Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Ostend,Ostend,1906.??.??,?,"Bernstein, Ossip","Marco, Georg",0-1,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 d4c5 g8f6 c1e3 b8a6 c3a4 c8d7 a2a3 f8e7 b2b4 a6c7 g1f3 f6e4 e3d4 e8g8 e2e3 a7a5 a4b6 a8a7 b6d7 d8d7 c5c6 d7c6 a1c1
Ostend,Ostend,1906.??.??,?,"Bernstein, Ossip","Maroczy, Geza",1-0,,,D37,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 f8e7 c1f4 e8g8 e2e3 b7b6 c4d5 e6d5 f1d3 a7a6 e1g1 c8b7 f3e5 c7c5 d1f3 a8a7 a1d1 c5c4 d3b1 b6b5 e3e4 d5e4 c3e4 b8d7 e5c6 b7c6 e4f6 d7f6 f3c6 d8d5 c6b6 a7d7 f1e1 e7b4 f4d2 b4d6 b6a5 d5d4 d2c3 d6h2 g1h2 f6g4 h2h1 d4d1 f2f3 d1d5 f3g4 d7d6 a5c7 b5b4 b1e4 d6h6 h1g1 d5b5 c3d2 h6e6 e4f3 f8e8 e1e6
Ostend,Ostend,1906.??.??,?,"Bernstein, Ossip","Fahrni, Hans",0-1,,,C66,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f8e7 b1c3 d7d6 d2d4 e5d4 f3d4 c8d7 b5c6 b7c6 b2b3 c6c5 d4e2 e8g8 c1b2 f8e8 d1d3 e7f8 f2f4 d7c6 e2g3 d8d7 c3d5 f6d5 e4d5 c6b7 g3e4 f7f6 f1f3 d7e7 a1e1 e7f7 f3g3 g8h8 e1d1 f7e7 e4f6 g7f6 d3f5 f8g7 g3h3 h7h6 h3h6 h8g8 f5h7 g8f8 h2h3 g7h6 h7h6 e7g7 h6h5 e8e7 d1d3 a8e8 h5h4 e7f7 g1f2 e8e4 f2f3 c5c4 d3d2 e4e8 g2g4 g7h7 h4h7 f7h7 b2f6 h7h3 f3g2 e8e3 g4g5 c4c3 d2d4 c7c5 d4d1 h3g3 g2h2 g3f3
Ostend,Ostend,1906.??.??,?,"Bernstein, Ossip","Janowsky, Dawid Markelowicz",1/2-1/2,,,C73,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 d7d6 a4c6 b7c6 d2d4 e5d4 f3d4 c6c5 d4e2 c8b7 e2g3 g7g6 f1e1 f6d7 c2c4 f8g7 d1c2 h7h5 h2h3 h5h4 g3f1 d7e5 b1d2 d8d7 a1b1 a6a5 b2b3 e8c8 c1b2 f7f5 f1e3 f5f4 e3d5 g6g5 f2f3 e5c6 b2g7 d7g7 a2a3 c6d4 c2d3 c7c6 d5c3 g7e5 g1h1 c8c7 b3b4 a5b4 a3b4 d8a8 b4c5 d6c5 b1b2 h8d8 e1b1 b7c8 c3d5 c6d5 c4d5 c8a6 d3a3 d8c8 b2b6 a6b5 a3c5 c7d7 b6b7 d7e8 c5b4 a8a4 b4b2 c8c2 b1c1 c2c1 b2c1 b5d7 d2c4 a4c4 c1c4 d4f3 g2f3 e5a1 h1g2 a1e1 b7b8 e8f7 d5d6 d7e6 b8b7 f7f8
Ostend,Ostend,1906.??.??,?,"Bernstein, Ossip","Spielmann, Rudolf",0-1,,,D32,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 d4c5 d5d4 c3a4 f8c5 a4c5 d8a5 d1d2 a5c5 b2b4 c5b6 c1b2 b8c6 a2a3 c8e6 g1f3 a8d8 d2g5 g8f6 g5g7 e8e7 g7h6 h8g8 a1d1 a7a5 h6d2 f6e4 d2c2 f7f5 b4a5 b6a5 f3d2 c6e5 b2c1 d8d6 f2f3 e4c3 g2g3 d6b6 e1f2 g8c8 f2g1 c3e2
Ostend,Ostend,1906.??.??,?,"Bernstein, Ossip","Teichmann, Richard",1-0,,,D37,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 b8d7 c1f4 d5c4 e2e3 f6d5 f1c4 d5f4 e3f4 f8e7 d4d5 e6d5 c3d5 e8g8 e1g1 e7d6 g2g3 d7f6 d5e3 c8h3 e3g2 h3g4 d1b3 f6e4 g2h4 e4c5 b3c2 g4f3 h4f3 h7h6 b2b4 c5d7 c2f5 d7f6 f3e5 d8c8 f5g6 d6e5 f4e5 f6d7 f1e1 d7b6 c4b3 c7c5 b4c5 c8c5 g6e4 c5e7 b3c2 g7g6 e5e6 f7f5 e4e5 a8c8 c2b3 c8c5 e5d4 f8c8 a1d1 g8h7 e1e5 c5c1 d1c1 c8c1 g1g2 c1c6 e5e3 b6c8 d4d7 c6c7 d7a4 e7d6 g2h3 d6c6 a4d4 c6h1 b3d5 h1f1 d5g2 f1c1 e3d3 c1g5 g2f3 g5e7 d4e5 c8b6 h3g2 e7g7 e5d6 g7e7 a2a4 h7g7 a4a5 b6a8 d6d8
Ostend,Ostend,1906.??.??,?,"Blackburne, Joseph Henry","Duras, Oldrich",0-1,,,C39,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5 g8f6 f1c4 d7d5 e4d5 f8d6 e1g1 d6e5 f1e1 d8e7 c2c3 b8d7 d2d4 f6h5 c4b5 e8d8 b5d7 c8d7 e1e5 e7h4 e5h5 h4h5 c1f4 h8e8 b1d2 h5d5 d2f1 d5e4 f4g3 b7b6 d1d2 d8c8 a1e1 e4f5 e1d1 c8b7 d4d5 e8e4 g3f2 f5g6 f1g3 e4e7 g3e2 e7e2 d2e2 g4g3 f2d4 d7g4
Ostend,Ostend,1906.??.??,?,"Blackburne, Joseph Henry","John, Walter",1-0,,,C47,e2e4 e7e5 b1c3 b8c6 g1f3 g8f6 f1e2 f8b4 c3d5 b4d6 d5f6 d8f6 e1g1 h7h6 c2c3 d6e7 d2d4 d7d6 d4d5 c6b8 f3e1 g7g5 e1c2 b8d7 c2e3 d7f8 d1a4 e8d8 e2g4 f8g6 g4c8 d8c8 e3f5 h6h5 c1e3 g6f4 c3c4 c8b8 a4d7 f4g6 b2b4 h8d8 d7a4 g6h4 c4c5 h4f5 c5c6 b7c6 d5c6 a7a6 b4b5 a6a5 b5b6 f5d4 e3d4 e5d4 a1b1 d6d5 e4e5 f6e6 a4b5 e6e5 f1e1 e5e1 b1e1 e7b4 b5d5
Ostend,Ostend,1906.??.??,?,"Burn, Amos","Bernstein, Ossip",1-0,,,D10,d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 b8c6 c1f4 e7e6 e2e3 d8b6 d1d2 c8d7 g1f3 g8f6 f1d3 f8e7 a1c1 f6h5 f4g3 h5g3 h2g3 b6a5 e1f1 a8c8 f1g1 h7h6 d3b1 a7a6 d2e2 a5b6 c3a4 b6b4 a4c3 c6a5 f3e5 a5c4 e5d7 e8d7 c3d5 e6d5 b1f5 d7d6 e2g4 c8g8 b2b3 d6c7 b3c4 d5c4 c1b1 b4d6 a2a4 g7g6 f5c2 f7f5 g4f3 b7b6 g3g4 f5g4 f3g4 g6g5 c2e4 c7b8 g2g3 b8a7 g1g2 g8b8 h1c1 h8c8 c1c3 c8c7 b1c1 b6b5 a4b5 a6b5 c3c2 d6a6 g4f5 e7a3 c1a1 b5b4 f5e5 b8c8 e4f5 a6b7 g2g1 b7c6 f5c8 c7c8 e5e7 a7b6 a1a3 b4a3 e7a3 c8a8 a3b4 b6c7 d4d5 c6d5 c2c4 c7d8 e3e4 d5d1 g1g2 d8e8 c4c7 d1d8 b4b5
Ostend,Ostend,1906.??.??,?,"Burn, Amos","Forgacs, Leo",1-0,,,D52,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 b8d7 e2e3 c7c6 g1f3 d8a5 f3d2 f6e4 d2e4 d5e4 g5h4 e6e5 f1e2 f7f5 e1g1 g7g6 c4c5 f8g7 d1b3 d7f8 e2c4 a5c7 d4d5 h7h6 d5d6 c7d7 h4e7 f8e6 c3b5 c6b5 c4b5
