Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Paris it,Paris,1867.??.??,?,"Steinitz, William","Golmayo Zupide, Celso",1-0,,,B24,e2e4 c7c5 b1c3 e7e6 g2g3 b8c6 f1g2 g8f6 g1e2 d7d5 e4d5 e6d5 d2d4 c5d4 e2d4 f8b4 e1g1 b4c3 b2c3 e8g8 c1g5 h7h6 g5f6 d8f6 g2d5 c8h3 f1e1 a8d8 d5c6 b7c6 d1h5 h3e6 d4c6 d8c8 c6d4 c8c3 h5e5 f6e5 e1e5 f8d8 e5e3 c3c4 c2c3 d8c8 d4e2 c4a4 a2a3 c8b8 e2d4 e6h3 f2f3 b8b2 e3e2 b2e2 d4e2 g8f8 g1f2 h3e6 f2e3 f8e7 e2f4 e7d6 f4d3 e6b3 d3b2 a4a5 c3c4 a5h5 h2h4 g7g5 e3d3 g5h4 g3g4 h5a5 d3c3 a5e5 c3b3 e5e3 b3b4 e3f3 a1d1 d6c7 b2d3 f3g3 d3e5 f7f6 e5d7 h4h3 d7f6 h3h2 d1h1 g3g2 f6d5 c7c6 d5e3 g2g3 e3f5 g3h3 a3a4 a7a5 b4a5 c6c5 a5a6 h6h5 g4g5 h3f3 f5g7 f3a3 a6a5 a3h3 g7e6 c5c4 g5g6 h3g3 g6g7 g3g2 h1h2
Paris it,Paris,1867.??.??,?,"Neumann, Gustav Richard","Rosenthal, Samuel",1-0,,,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 f8e7 d4e5 e8g8 c1e3 e4g5 f3g5 e7g5 f2f4 g5e7 b3d5 c8b7 d1h5 c6a5 d5b7 a5b7 f1f3 e7c5 e3c5 b7c5 f3h3 h7h6 h3g3 c5e4 g3e3 f7f5 b1c3 e4c3 e3c3 c7c6 a1d1 d8e7 d1d6 f8f7 c3d3 a8a7 d3g3 g8h8 h5g6 f7f8 g3h3 f8f7 h3h5 e7f8 g1h1 a7a8 g2g4 f5g4 f4f5 a8e8 f5f6 e8e6 d6e6 d7e6 f6g7 f8g7 h5h6 h8g8 g6e6 g8f8 e6c8 f8e7 h6e6
Paris it,Paris,1867.??.??,?,"Neumann, Gustav Richard","Steinitz, William",1/2-1/2,,,C51,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6 d4d5 c6e7 e4e5 g8h6 b1c3 e8g8 c3e4 d6e5 c1h6 g7h6 f3e5 e7f5 e5g4 g8h8 a1b1 d8h4 b1b6 a7b6 d1a1 f7f6 g4f6 f5g7 g2g3 h4h3 f1e1 h3f5 c4e2 h6h5 f6h5 f5g6 e1c1 f8f7 h5f6 f7e7 f2f3 c8f5 a1b2 a8f8 g3g4 f5e4 f6e4 g6h6 b2a3 h6f4 c1f1 f4e5 g1g2 f8d8 f1d1 g7e8 e4g3 e8f6 f3f4 e5d6 a3b2 d6f4 d1f1 f4e5 b2e5 e7e5 f1f6 e5d5 g2h3 c7c6 e2c4 d5d6 f6f5 b6b5 c4b3 b7b6 g3e4 d6h6 h3g3 c6c5 b3d5 h6g6 h2h4 c5c4 h4h5 g6g7 e4g5 c4c3 d5b3 d8c8 g5f7 g7f7 f5f7 c3c2 b3c2 c8c2 h5h6 h8g8 f7g7 g8h8 g7a7 h8g8 g4g5 c2c4 a7g7 g8h8 g7b7 h8g8 b7b6 c4a4 b6b5 a4a2 b5b8 g8f7 b8b7 f7g6 b7g7 g6h5 g3f4 a2f2 f4e5 f2f1 e5e6 f1f2 e6e7 f2f5 g7h7 f5g5 h7h8 g5g6 h6h7 h5h6
Paris it,Paris,1867.??.??,?,"Rosenthal, Samuel","Winawer, Szymon",1/2-1/2,,,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 d8h4 d4b5 f8c5 d1e2 c5b6 c1e3 b6a5 e3d2 a5d2 b1d2 h4d8 e1c1 a7a6 b5c3 d7d6 f2f4 g8e7 f4f5 c6e5 d2f3 e5f3 e2f3 e7c6 h2h4 c8d7 f1c4 c6e5 f3e2 e5c4 e2c4 e8g8 g2g4 b7b5 c4d4 d7c6 g4g5 a8b8 h1e1 f8e8 e4e5 d6e5 d4c5 c6d7 c5d5 d7f5 e1e5 d8d5 e5e8 b8e8 c3d5 g8f8 d5c7 e8c8 d1d5 f5c2 d5c5 c2f5 c7a6 c8c5 a6c5 f8e7 c1d2 e7d6 b2b4 d6e5 d2e3 e5d5 a2a3 d5c4 e3f4 f5g6 f4e5 c4c3 e5d5 c3b2 a3a4 b5a4 b4b5 a4a3 b5b6 a3a2 b6b7 a2a1q b7b8q
Paris it,Paris,1867.??.??,?,"Steinitz, William","Czarnowski, J.",1-0,,,B15,e2e4 e7e6 d2d4 d7d5 b1c3 c7c6 g1f3 f8b4 f1d3 d5e4 d3e4 g8f6 e4d3 h7h6 e1g1 b8d7 c1e3 b4d6 d1d2 d8c7 h2h3 b7b6 c3e2 g7g5 c2c4 c8b7 b2b4 c6c5 d4c5 b6c5 b4c5 d6c5 f3d4 a8d8 d3c2 h8g8 c2a4 e8e7 f1d1 d7b6 d4c6 c7c6 a4c6 c5e3 d2b4
Paris it,Paris,1867.??.??,?,"De Riviere, Jules Arnous","Steinitz, William",0-1,,,C60,e2e4 e7e5 g1f3 b8c6 f1b5 g8e7 d2d4 e5d4 f3d4 g7g6 e1g1 f8g7 c1e3 e8g8 b1c3 f7f5 b5c4 g8h8 e4f5 e7f5 d4f5 f8f5 f2f4 d7d6 g2g4 f5f8 f1f2 c8d7 c4d5 d8h4 f2g2 a8e8 e3f2 h4f6 c3e2 d7e6 g4g5 f6b2 a1b1 b2a3 d5e6 e8e6 b1b7 a3f3 f2a7 c6a7 b7c7 a7b5 c7g7 h8g7 d1a1 g7g8 g2f2 f3e3
Paris it,Paris,1867.??.??,?,"Kolisch, Ignatz","Loyd, Sam",1-0,,,C52,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 e1g1 d7d6 d2d4 c5b6 d4e5 c8g4 e5d6 g4f3 d1f3 c6e5 c4b5 c7c6 f3g3 d8d6 b5e2 g8e7 g1h1 e8g8 f2f4 e5g6 b1a3 b6c7 a3c2 f7f5 e2c4 g8h8 e4e5 d6d8 c2d4 d8c8 c1a3 b7b5 a3e7 g6e7 d4e6 e7g6 c4b3 f8e8 e6c7 c8c7 g3g6
Paris it,Paris,1867.??.??,?,"Loyd, Sam","Winawer, Szymon",0-1,,,C42,e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d3 e4f6 f1e2 c8e6 e1g1 f8e7 b2b3 e8g8 c1b2 b8c6 h2h3 f6d5 c2c4 d5f4 b1d2 e6f5 d2e4 f5e4 d3e4 e7f6 d1d2 f6b2 d2b2 d8f6 b2d2 c6e5 a1d1 e5f3 e2f3 f4h3 g2h3 f6f3 d2d3 f3f4 f1e1 a8e8 d3e3 f4h4 e3g3 h4g3 f2g3 e8e5 d1d5 f8e8 d5e5 e8e5 g3g4 g7g6 g1f2 g8g7 f2f3 a7a5 f3f4 g7f6 h3h4 f6e6 a2a3 h7h6 e1e2 e5c5 a3a4 c7c6 e2a2 b7b5 a4b5 c6b5 a2a5 b5c4 a5c5 d6c5 b3c4 g6g5 h4g5 h6g5 f4g5 e6e5 g5h6 e5e4 h6g7 f7f5
Paris it,Paris,1867.??.??,?,"Steinitz, William","Kolisch, Ignatz",0-1,,,C38,e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 f8g7 e1g1 d7d6 d2d4 h7h6 g2g3 g5g4 f3e1 f4f3 c2c3 g8e7 h2h3 h6h5 e1f3 g4f3 d1f3 c8h3 f3f7 e8d7 f7g7 h3f1 c4f1 d8g8 f1h3 d7d8 g7g8 h8g8 c1f4 b8d7 b1a3 d7f6 h3e6 g8g6 a1e1 h5h4 e4e5 f6h5 e5d6 h5f4 d6e7 d8e8 e6f5 g6g3 g1h1 f4d5 a3b5 a7a6 f5e4 a6b5 e4d5 c7c6 d5g2 g3g7 d4d5 g7e7 e1f1 c6d5 g2d5 a8d8 c3c4 b5c4 d5c4 d8d2 b2b4 e7e4 c4f7 e8e7 f7b3 e4e2 f1d1 e2h2 h1g1 d2g2
Paris it,Paris,1867.??.??,?,"Steinitz, William","Loyd, Sam",1-0,,,C25,e2e4 e7e5 b1c3 f7f5 e4f5 g8f6 g2g4 h7h6 f1g2 d7d5 d2d3 f8c5 h2h3 e8g8 g1e2 c7c6 e2g3 d8c7 h3h4 c7b6 d1e2 c5b4 a2a3 b6a5 a3b4 a5a1 e1g1 a1a6 g4g5 h6g5 h4g5 f6d7 c3d5
Paris it,Paris,1867.??.??,?,"Steinitz, William","Rousseau, Eugene",1-0,,,C25,e2e4 e7e5 b1c3 f8c5 f2f4 c5g1 h1g1 c7c6 f4e5 d7d6 e5d6 d8d6 g2g3 f7f5 d1e2 g8e7 d2d3 e8g8 c1f4 d6d4 f4e3 d4f6 e1c1 e7g6 f1g2 b8a6 g1f1 f6e7 h2h4 f5e4 e3g5 e7e6 h4h5 f8f1 d1f1 g6e5 c3e4 e6a2 e4c3 a2e6 f1e1 e5f7 e2d2 f7g5 e1e6 g5e6 h5h6 c8d7 g2h3 a8e8 h3e6 d7e6 d2g5
