Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Parnu-A,Parnu,1996.??.??,1,"Short, Nigel D","Khalifman, Alexander",1/2-1/2,2665,2650,B40,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 d8b6 c2c3 a7a6 f1e2 b6c7 f2f4 f8c5 e1g1 d7d6 g1h1 g8f6 e2f3 e8g8 d1e1 e6e5 d4b3 c5a7 e1g3 b8d7 b1a3 b7b5 f4e5 d6e5 c1h6 f6e8 a3c2 c8b7 a1e1 g8h8 h6e3
Parnu-A,Parnu,1996.??.??,1,"Sokolov, Ivan","Ehlvest, Jaan",1/2-1/2,2665,2660,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6 c1g5 c8b7 e2e3 f8e8 g1f3 d7d6 c4c5 b6c5 d4c5 b7a6 g5f6 d8f6 c3f6 g7f6 c5d6 c7d6 f3d4 a6f1 h1f1 e8c8 e1d2 b8c6 f1c1 c6d4 c1c8 a8c8 e3d4 c8c4 d2d3 c4c8 f2f4 g8f8 b2b4 f8e7 b4b5 e7d7 a3a4 d6d5 a4a5 f6f5 a1b1 c8c4 b5b6 a7b6 a5b6 c4c8 b1b3 d7c6 d3e2
Parnu-A,Parnu,1996.??.??,1,"Oll, Lembit","Hracek, Zbynek",1-0,2640,2650,B65,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 f8e7 e1c1 e8g8 f2f4 c6d4 d2d4 d8a5 f1c4 c8d7 e4e5 d6e5 f4e5 d7c6 g5d2 f6d7 c3d5 a5d8 d5e7 d8e7 h1e1 f8d8 d4g4 d7f8 c4d3 d8d3 c2d3 e7d7 d2b4 d7d5 b4f8 a8f8 c1b1 d5g2 g4g2 c6g2 e1e3 f7f5 e5f6 f8f6 d1g1 g2d5 e3g3 g7g6 h2h4 f6f5 g3g5 f5f3 b1c2 g8g7 h4h5 a7a5 h5g6 h7h6 g5g3 f3f8 a2a3 h6h5 c2d2 f8h8 g3h3 e6e5 h3e3 e5e4 d3e4 d5c6 d2e2 h5h4 e2f2 h4h3 f2g3 g7g6 g3h2 g6f6 e4e5 f6e6 g1g6 e6d5 g6d6 d5c4 e5e6 c4c5 d6d2
Parnu-A,Parnu,1996.??.??,2,"Khalifman, Alexander","Ehlvest, Jaan",1/2-1/2,2650,2660,D43,d2d4 g8f6 g1f3 e7e6 c2c4 d7d5 b1c3 c7c6 c1g5 h7h6 g5f6 d8f6 e2e3 b8d7 f1d3 d5c4 d3c4 g7g6 e1g1 f8g7 e3e4 e6e5 d4d5 d7b6 c4b3 c8g4 h2h3 g4f3 d1f3 f6f3 g2f3 e8e7
Parnu-A,Parnu,1996.??.??,2,"Hracek, Zbynek","Sokolov, Ivan",1-0,2650,2665,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 b5b4 d2d3 d7d6 a4a5 c8g4 b1d2 c6d4 b3c4 c7c6 h2h3 d4f3 d2f3 g4h5 g2g4 h5g6 f3h4 f6e8 h4f5 g6f5 g4f5 e7g5 c1g5 d8g5 d1g4 g5h6 h3h4 e8c7 g4g5 h6f6 f2f4 f8e8 g1f2 g8f8 c4b3 e5f4 g5f6 g7f6 f2f3 f8e7 f3f4 e8g8 e1g1 a8b8 b3a4 c7b5 f4e3 g8g1 a1g1 c6c5 g1g7 e7f8 g7g2 h7h6 g2g1 f8e7 g1g2 e7f8 g2g3 b5d4 g3g1 d4b5 g1g2 f8e7 a4b3 e7f8 g2g1 b5d4 b3a4 d4b5 g1c1 f8e7 c1a1 b8b7 a1c1 b7b8 c2c3 b4c3 b2c3 b5a7 d3d4 b8b2 d4c5 d6c5 c1d1 a7b5 a4b5 b2b5 e3d3 b5a5 d3c4 h6h5 c4d5 a5b5 c3c4 b5b8 d5c5 b8c8 c5b4 c8b8 b4a5 b8c8 a5b4 c8b8 b4a5 b8c8 d1d4 c8c6 a5b4 c6b6 b4c5 b6b1 c5c6 b1b4 d4d7 e7e8 c4c5 b4e4 d7d3 e4h4 c6b6 h4h1 c5c6 h1b1 b6a6 b1a1 a6b7 a1b1 b7c8 b1b5 c6c7 b5f5 d3e3 e8f8 c8d7 f5c5 e3e8 f8g7 c7c8q c5c8 e8c8 g7g6 d7d6 g6f5 d6d5 h5h4 c8h8
Parnu-A,Parnu,1996.??.??,2,"Short, Nigel D","Oll, Lembit",1-0,2665,2640,B01,e2e4 d7d5 e4d5 d8d5 b1c3 d5a5 f1e2 g8f6 g1f3 c7c6 h2h3 c8f5 e1g1 b8d7 d2d4 e7e6 f3h4 f5g6 h4g6 h7g6 c1f4 a8d8 a2a3 d7b6 f4e5 b6d5 c3d5 e6d5 b2b4 a5b6 c2c4 d5c4 e2c4 f8e7 d1c2 e8f8 a1e1 f6d5 e1e2 e7f6 f1e1 f8g8 e2e4 h8h4 c4d5 c6d5 e4h4 f6h4 e5c7 d8c8 e1e8 c8e8 c7b6 a7b6 g1f1 e8a8 c2b3 a8d8 f1e2 h4f6 e2d3 g8f8 b3a4
Parnu-A,Parnu,1996.??.??,3,"Oll, Lembit","Khalifman, Alexander",1/2-1/2,2640,2650,E15,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b1d2 d7d5 f1g2 f8e7 e1g1 e8g8 f3e5 a6b7 b2b3 c7c5 d4c5 b6c5 c1b2 b8d7 e5d7 d8d7 c4d5
Parnu-A,Parnu,1996.??.??,3,"Sokolov, Ivan","Short, Nigel D",1/2-1/2,2665,2665,E11,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2 c7c5 a2a3 b4d2 c1d2 d7d6 d4c5 d6c5 d2c3 d8d1 a1d1 b7b6 g2g3 c8b7 f1g2 b8d7 e1g1 e8e7 d1d3 b7e4 d3d2 e4c6 d2d3 c6e4 d3e3 a8c8 g2h3 h7h6 f3h4 h8d8 f1d1 e7f8 f2f4 e4c2 d1c1 c2h7 f4f5 e6f5 h4f5 h7f5 h3f5 d8e8 e3e8 c8e8 c1d1 d7e5 b2b3 e5g4 f5g4 f6g4 h2h3
Parnu-A,Parnu,1996.??.??,3,"Ehlvest, Jaan","Hracek, Zbynek",1/2-1/2,2660,2650,A17,g1f3 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 a2a3 b4c3 b3c3 b7b6 g2g3 c8b7 f1g2 d7d6 e1g1 e8g8 b2b4 b8d7 d2d3 e6e5 e2e4 g8h8 f3h4
Parnu-A,Parnu,1996.??.??,4,"Ehlvest, Jaan","Oll, Lembit",1/2-1/2,2660,2640,D63,c2c4 e7e6 b1c3 d7d5 d2d4 g8f6 c1g5 f8e7 g1f3 h7h6 g5h4 e8g8 e2e3 b8d7 a1c1 c7c6 a2a3 b7b6 c4d5 c6d5 f1d3 c8b7 c3e2 a8c8 c1c8 d8c8 e1g1 b7a6 f3e5 e7d6 e5d7
Parnu-A,Parnu,1996.??.??,4,"Sokolov, Ivan","Khalifman, Alexander",1/2-1/2,2665,2650,A57,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3 a6b5 e2e4 b5b4 c3b5 d7d6 c1f4 g7g5 f4g5 f6e4 g5f4 f8g7 d1e2 e4f6 b5d6 e8f8 d6c8 d8c8 e2f3 e7e6 d5d6 b8c6 f3h3 h7h5 f1c4 c6d4 a1c1 c8c6 g1e2 d4e2 e1e2 f6d5 c4d5 c6d5 h1d1 g7d4 h3f3 d5f3 e2f3 f8g7 f4e3 h8d8 e3d4 c5d4 d1d4 a8a2 d6d7 a2a7 c1d1 b4b3 f3g3 g7f6 g3h4 a7a5 d4b4 f6e7 b4b3 d8d7 d1d7 e7d7 f2f4 d7e7 b3b8 e7f6 g2g3 f6g7 b2b4 a5d5 b4b5 e6e5 b5b6 e5f4 g3f4 d5b5 b6b7 g7f6 h2h3 b5b3 b8h8
Parnu-A,Parnu,1996.??.??,4,"Hracek, Zbynek","Short, Nigel D",0-1,2650,2665,B48,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 d8c7 c1e3 a7a6 f1d3 g8f6 e1g1 f8d6 g1h1 d6f4 e3f4 c7f4 d4c6 b7c6 d1e2 d7d5 a1e1 e8g8 c3a4 a6a5 b2b3 f8d8 e4e5 f6d7 h1g1 c8b7 g2g3 f4b4 f2f4 g7g6 f4f5 e6f5 e5e6 f7e6 e2e6 g8h8 c2c3 b4f8 g3g4 f8g7 e6e7 d8g8 g4g5 g8f8 f1f2 f8f7 e7d6 g7f8 d6f4 h8g8 f4e3 f8d6 c3c4 c6c5 e3e6 d6e6 e1e6 d5d4 f2e2 g8f8 h2h4 a8c8 a4b2 b7c6 g1f2 d7b8 f2g3 c8e8 e6e8 c6e8 e2e5 b8d7 e5e2 f7e7 g3f4 e8f7 e2e7 f8e7 d3e2 e7d6 b2d3 d7f8 e2f3 f8e6 f4g3 f7e8 f3d5 e8c6 d5c6 d6c6 d3e5 c6c7 g3f3 e6d8 h4h5 g6h5 f3f4 h5h4 e5f3 h4h3 f4g3 d8f7 g3h3 d4d3 h3h4 c7d6 a2a3 f7e5 f3d2 f5f4 h4h3 d6e6 h3g2 e6f5 g2f2 e5f7
Parnu-A,Parnu,1996.??.??,5,"Oll, Lembit","Sokolov, Ivan",1/2-1/2,2640,2665,D91,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1g5 d5c4 e2e4 c7c5 d4d5 b7b5 d5d6 d8d6 e4e5 d6d1 a1d1 f6d7 c3b5 b8a6 f1c4 d7b6 c4e2 h7h6 g5e3 e8g8 b5c3 c8b7 e1g1
Parnu-A,Parnu,1996.??.??,5,"Short, Nigel D","Ehlvest, Jaan",1/2-1/2,2665,2660,C86,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d1e2 b7b5 a4b3 e8g8 c2c3 d7d5 d2d3 d5d4 h2h3 c8e6 b3e6 f7e6 b1d2 f6d7 d2b3 d4c3 b2c3 d7b6 c1e3 b6a4 a1c1 d8e8 d3d4 e8g6
Parnu-A,Parnu,1996.??.??,5,"Khalifman, Alexander","Hracek, Zbynek",1-0,2650,2650,C80,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 b1d2 e4c5 c2c3 d5d4 f3g5 d4c3 g5e6 f7e6 b2c3 d8d3 b3c2 d3c3 d2b3 a8d8 c1d2 d8d2 b3d2 c6e5 d2b3 e5d7 b3d4 f8d6 a1c1 c3b2 c2b3 c5b3 a2b3 e8g8 c1c2 b2a3 d4e6 a3b3 e6f8 d7f8 d1b1 b3b1 f1b1 f8d7 b1d1 d7c5 d1d5 c5e4 c2c6
Parnu-A,Parnu,1996.??.??,6,"Hracek, Zbynek","Oll, Lembit",1-0,2650,2640,B81,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 b1c3 c5d4 f3d4 a7a6 c1e3 e7e6 g2g4 h7h6 f2f4 b8c6 h2h3 d8c7 d1e2 c8d7 e1c1 b7b5 f1g2 b5b4 c3d5 e6d5 e4d5 c6d4 e3d4 f8e7 g4g5 d7b5 e2e3 a8c8 d1d2 h6g5 f4g5 f6d7 d4g7 h8g8 h1e1 d7e5 g7e5 d6e5 h3h4 e7d6 g2e4 a6a5 h4h5 a5a4 g5g6 f7g6 e4g6 e8d8 g6f5 c8a8 h5h6 b4b3 a2a3 c7c5 h6h7 g8h8 e3h6 d8c7 c1b1 c7b7 e1c1
Parnu-A,Parnu,1996.??.??,6,"Khalifman, Alexander","Short, Nigel D",0-1,2650,2665,E12,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 e2e3 g7g6 f1b5 c7c6 b5d3 f8g7 c3a4 b8d7 e3e4 d5e7 e1g1 e8g8 c1g5 h7h6 g5e3 g8h7 a1c1 f7f5 e4f5 e6f5 e3f4 e7d5 f4d6 f8e8 a4c3 d8f6 d6g3 d5c3 b2c3 c6c5 d3b5 e8e7 f3e5 d7e5 d4e5 f6f7 f2f4 a7a6 b5e2 e7d7 d1e1 f7e6 e2f3 b7f3 f1f3 g7f8 g3f2 f8e7 c3c4 a8d8 f3c3 g6g5 f2e3 g5f4 e3f4 d7d4 e1f1 e7g5 f4g5 h6g5 f1e2 h7g6 c3e3 d4d2 e2f3 g5g4 f3f1 d8d4 g2g3 d2b2 e3e2 b2e2 f1e2 d4e4 e2d2 e6e5 g1f2 e4d4 d2e2 e5e2 f2e2 f5f4 g3f4 g6f5 c1b1 d4d6 b1f1 d6h6 f1f2 h6h3 e2f1 h3b3 f1g2 a6a5 f2e2 a5a4 e2e5 f5f4 e5e6 b3a3 e6f6 f4e5 f6b6 a3b3 b6a6 a4a3 a6a5 e5f4
Parnu-A,Parnu,1996.??.??,6,"Ehlvest, Jaan","Sokolov, Ivan",1/2-1/2,2660,2665,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 b5b4 d2d4 d7d6 d4e5 c6e5 b1d2 c8b7 f3e5 d6e5 d1e2 e7c5 b3c4 a6a5 c4d3 d8e7 d2b3 c5b6 c1e3 f8d8 b3d2 f6d7 d2b3 d7f8 d3c4 b7c6 e2h5 d8d6 c2c3 b4c3 b2c3 e7e8 b3c5 a8d8 g2g3 d6g6 c5d3 f8d7 e3b6 c7b6 c4d5 c6d5 e4d5 g6d6 c3c4 f7f6 h5e2 d8c8 a1c1 e8g6 f2f4 c8e8 f4e5 d7e5 d3e5 e8e5 e2d2 e5e4 e1e4 g6e4 d2f4 e4e2 f4d6 e2e3 g1g2 e3e2 g2g1 e2e3
Parnu-A,Parnu,1996.??.??,7,"Oll, Lembit","Short, Nigel D",1/2-1/2,2640,2665,C01,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 c7c6 g1e2 g8e7 e1g1 c8f5 e2g3 f5d3 d1d3 e8g8 c3e2 b8a6 c2c3 b4d6 c1f4 a6c7 a1e1 c7e6
Parnu-A,Parnu,1996.??.??,7,"Ehlvest, Jaan","Khalifman, Alexander",1/2-1/2,2660,2650,B12,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3 e7e6 f1e2 c6c5 c1e3 g8e7 d4c5 b8d7 b1a3 e7c6 a3b5 d7c5 f3d4 f5e4 e1g1 a7a6 b5d6 f8d6 e5d6 d8d6 d4c6 b7c6 f2f3 e4g6 d1d4 c5d7 d4g7 d6e5 g7e5 d7e5 e3d4 f7f6 b2b3 e5d7 d4b2 c6c5 e2d3 g6d3 c2d3 e8f7 a1c1 h8c8
Parnu-A,Parnu,1996.??.??,7,"Sokolov, Ivan","Hracek, Zbynek",0-1,2665,2650,E11,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 b1d2 d7d5 a2a3 b4e7 d1c2 b8d7 e2e3 e8g8 b2b4 a7a5 a1b1 a5b4 a3b4 b7b6 f1d3 c7c5 d4c5 b6c5 b4b5 c8b7 e1g1 e7d6 c1b2 h7h6 f1e1 d8c7 c4d5 e6d5 e3e4 d5d4 b5b6 c7b8 d2c4 f8e8 h2h3 f6h5 e4e5 d6e5 d3h7 g8h8 h7f5 b7f3 f5d7 e5h2 g1h1 f3g2 h1g2 h5f4 g2h2 f4d3 h2g1 d3e1 c2f5 b8b7 f2f3 e1f3 g1f2 f3h4 f5g4 f7f5 g4h4 b7d7 h4f4 d7e6 c4d2 e6e3
Parnu-A,Parnu,1996.??.??,8,"Hracek, Zbynek","Ehlvest, Jaan",0-1,2650,2660,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f6d7 d2d4 e7f6 a2a4 c8b7 b1a3 d7b6 a4b5 a6b5 d4d5 c6e7 f3h2 e7g6 h2g4 f6e7 g4e3 e7g5 e3f5 b7a6 c1g5 d8g5 e1e3 g5f6 e3g3 a6c8 a3b5 a8a1 d1a1 c8f5 e4f5 g6f4 a1d1 f6f5 b5c7 f5d7 c7a6 d7b5 a6c7 b5d7 c7a6 d7b5 a6c7 b5e2 g3f3 f8c8 g2g3 f4h3 g1g2 e2d1 b3d1 h3f2 g2f2 c8c7 d1b3 c7c5 f2e2 h7h5 e2d2 g8f8 b3a2 c5a5 a2b3 b6d5
Parnu-A,Parnu,1996.??.??,8,"Short, Nigel D","Sokolov, Ivan",1/2-1/2,2665,2665,C89,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 e5e1 e7d6 d2d3 d8h4 g2g3 h4h3 e1e4 h3d7 e4e1 d7h3 e1e4
Parnu-A,Parnu,1996.??.??,8,"Khalifman, Alexander","Oll, Lembit",1/2-1/2,2650,2640,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 a1b1 e8g8 f1e2 c5d4 c3d4 d8a5 c1d2 a5a2 e1g1 b7b6 d1c1 c8b7 e2c4 a2a4 c4b5 a4a2 b5c4 a2a4 c4b5 a4a2 f1e1 f8c8 c1d1 a2c2 d1e2 b8c6 b5d3 c2a2 d3c4 a2a4 c4b5 a4c2 b5d3
