Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
6th Karpov,Poikovsky RUS,2005.02.26,1,"Vaganian,R","Dominguez,L",1/2-1/2,2670,2661,A07,g1f3 d7d5 g2g3 c7c6 f1g2 g8f6 e1g1 c8f5 d2d3 e7e6 d1e1 h7h6 b1d2 f8e7 e2e4 f5h7 f3e5 b8d7 e5d7 f6d7 f2f4 e8g8 g1h1 d5e4 d3e4 d7c5 e1e3 d8d7 a2a4 f8d8 d2b3 c5b3 e3b3 e7c5 g3g4 d7e7 f4f5 h6h5 f5e6 e7e6 b3e6 f7e6 g4h5 d8d4 c1e3 d4c4 e3c5 c4c5 c2c3 a8f8 f1f8 g8f8 g2f3 c5e5 a1e1 e5a5 e1d1 f8e7 b2b3 b7b5 a4b5 a5b5 b3b4 a7a5 b4a5 b5a5 h1g2 a5c5 d1a1 e7f6 a1a7 h7g8 e4e5 c5e5 f3c6
6th Karpov,Poikovsky RUS,2005.02.26,1,"Bacrot,E","Grischuk,A",1-0,2715,2710,E20,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 e8g8 f1g2 c5d4 f3d4 d7d5 c4d5 f6d5 d1b3 d8a5 c1d2 b8c6 d4c6 b7c6 e1g1 b4c3 b2c3 c8a6 f1d1 a5c5 e2e4 a6c4 b3a4 d5b6 a4b4 c5h5 d2f4 c6c5 b4b2 e6e5 f4e3 f8c8 f2f3 h5g6 a2a4 a7a5 g2h3 c4e6 b2b6 e6h3 b6g6 f7g6 g1f2 h3e6 a1b1 a8b8 b1b8 c8b8 e3c5 g8f7 c5d6 b8b2 f2e3 f7f6 d6c7 e6c4 d1d6 f6e7 d6d2 b2d2 e3d2 e7e6 f3f4 e5f4 g3f4 c4b3 c7a5 b3a4 d2e3 a4b5 a5b6 b5a6 b6d4 e6f7 d4e5 a6b7 e3d4 h7h6 c3c4 g6g5 f4g5 h6g5 e5d6 f7e6 e4e5 e6d7 d4c5 b7a6 d6f8 g7g6 c5b4 d7c6 e5e6 a6c8 e6e7 c6d7 b4c5 c8a6 c5d5 g5g4 c4c5 a6b7 d5e5 g6g5 e5f5 b7f3 f5g5 d7e8 g5f4 f3e2 f4e5 e8d7 c5c6
6th Karpov,Poikovsky RUS,2005.02.26,1,"Svidler,P","Bologan,V",1/2-1/2,2735,2683,B17,e2e4 c7c6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 e4g5 g8f6 f1d3 e7e6 g1f3 f8d6 d1e2 h7h6 g5e4 f6e4 e2e4 c6c5 e1g1 d7f6 e4h4 c5d4 f1e1 c8d7 h4d4 d7c6 f3e5 d6e5 d4e5 d8d5 e5d5 f6d5 c1d2 a7a5 c2c4 d5b4 d3b1 e8e7 d2c3 h8d8 f2f3 g7g5
6th Karpov,Poikovsky RUS,2005.02.26,1,"Dreev,A","Sadvakasov,D",1-0,2704,2635,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 g1f3 d5f5 c2f5 e6f5 a2a3 b4e7 c1f4 c7c6 e2e3 c8e6 f3d2 b8d7 d2c4 d7b6 c4a5 e8c8 f4e5 f6g4 e5g3 g7g5 h2h3 f5f4 e3f4 g5f4 g3f4 d8d4 g2g3 g4f6 f4e5 d4d7 a1c1 h8e8 f1e2 a7a6 e1g1 f6d5 c3e4 d5c7 h3h4 d7d5 e5c3 b6a4 b2b4 e6f5 f2f3 a4c3 e4c3 d5d8 e2c4 e8g8 g1f2 e7f6 c3e2 c7e6 c4a6 b7a6 a5c6 c8b7 c6d8 g8d8 f1d1 d8d1 c1d1 b7c6 h4h5 e6c7 e2d4 f6d4 d1d4 c6b5 g3g4 f5e6 d4d8 e6a2 d8h8 a2b1 f3f4 c7e6 f2e3
6th Karpov,Poikovsky RUS,2005.02.26,1,"Rublevsky,S","Onischuk,Al",1/2-1/2,2650,2652,C45,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 c1e3 d8f6 c2c3 g8e7 f1c4 c6e5 c4e2 f6g6 e1g1 d7d6 f2f3 e8g8 b1d2 d6d5 g1h1 c5b6 e3f4 f7f6 f4g3 g6f7 a2a4 a7a5 d4b5 c8d7 f3f4 e5c6 f4f5 g8h8 g3c7 b6c7 b5c7 a8d8 e4d5 e7f5 d1b3 c6e5 d2c4 e5c4 e2c4 f5e3 f1f3 e3c4 b3c4 d7c6 c7e6 c6d5 e6d8 f7g8 c4f4 d5f3 f4f3 f8d8 f3b7 d8b8 b7c7 b8b2 c7a5 h7h6 h2h3 g8c4 a5a8 h8h7 a8f3 c4c5 a4a5 b2b3 f3d3 f6f5 d3d4 c5c6 d4f4 b3c3 f4f5 h7g8 a5a6 c3c1 a1c1 c6c1 h1h2 c1c7 g2g3 c7c4
6th Karpov,Poikovsky RUS,2005.02.27,2,"Dominguez,L","Onischuk,Al",1/2-1/2,2661,2652,C78,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8c5 c2c3 b7b5 a4c2 d7d5 e4d5 d8d5 a2a4 b5b4 d2d4 e5d4 c2b3 d5h5 c3d4 c5e7 f3e5 h5d1 f1d1 c6e5 d4e5 f6g4 h2h3 g4e5 c1f4 f7f6 f4e5 f6e5 b1d2 e7d6 d2e4 e8e7 a1c1 h8d8 b3d5 a8b8 b2b3 c8f5
6th Karpov,Poikovsky RUS,2005.02.27,2,"Vaganian,R","Bacrot,E",1/2-1/2,2670,2715,D15,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 a7a6 a2a4 e7e6 c1g5 f8e7 e2e3 a6a5 f1e2 b8a6 e1g1 e8g8 d1b3 b7b6 f3e5 c8b7 c4c5 a6b4 c5b6 h7h6 g5h4 c6c5 d4c5 e7c5 e5g4 c5e7 g4f6 g7f6 e2b5 d8b6 c3e2 f8c8 e2d4 b4c6 b3d1 f6f5 d1h5 e7h4 h5h4 c6d4 e3d4 g8g7 a1a3 b6d8 h4g3 g7h7 g3e5 d8h8 e5d6 h8d8 d6d8 c8d8 f1c1 b7a6 c1c6 a6b5 a4b5 d8c8 c6c5 a5a4 f2f4 c8b8 g1f2 a8a5 b2b3 a4b3 a3b3 b8b6 b3b2 h7g6 f2e2 g6f6 e2d3 a5a3 c5c3 a3a5 c3c5 a5a3 c5c3
6th Karpov,Poikovsky RUS,2005.02.27,2,"Grischuk,A","Dreev,A",1-0,2710,2704,D52,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 c1g5 b8d7 e2e3 d8a5 c4d5 f6d5 d1d2 f8b4 a1c1 h7h6 g5h4 c6c5 a2a3 b4c3 b2c3 b7b6 c3c4 a5d2 f3d2 d5e7 f2f3 c8a6 f1e2 a8c8 e1g1 e7f5 h4f2 e8e7 f1e1 g7g5 e2f1 f5d6 a3a4 h8d8 c1c3 d7f6 c3c2 f6d7 e1c1 d7b8 a4a5 c5d4 a5b6 a7b6 e3d4 b6b5 c4c5 d6f5 c2a2 f5d4 d2e4 e6e5 f3f4 g5f4 f2h4 e7e6 h4d8 c8d8 c5c6 d8c8 c6c7
6th Karpov,Poikovsky RUS,2005.02.27,2,"Bologan,V","Rublevsky,S",1-0,2683,2650,D27,d2d4 d7d5 c2c4 d5c4 e2e3 e7e6 f1c4 c7c5 g1f3 a7a6 e1g1 g8f6 c4b3 b7b5 a2a4 b5b4 e3e4 c5d4 b1d2 f8e7 e4e5 f6d7 d2c4 b8c6 f3d4 c6e5 c1f4 e5c4 d4c6 d8b6 c6e7 e8e7 b3c4 c8b7 d1d2 h8c8 a1c1 e7e8 f1e1 d7f6 b2b3 c8d8 d2a2 a8c8 a4a5 b6c6 c4f1 c6d7 a2a1 e8f8 f4g5 c8c1 e1c1 d8c8 c1c8 d7c8 a1d4 f6d5 g5d2 f8g8 d2b4 h7h6 d4c5 c8c5 b4c5 g7g5 f2f3 f7f6 g1f2 g8f7 b3b4 d5c7 f1e2 b7c6 c5b6 c7b5 f2e3 f6f5 g2g3 f7g6 e3d3 c6d5 b6d4 h6h5 d4e5 g5g4 d3e3 d5c6 e3f2 g6f7 h2h4 g4h3 f2g1 c6b7 g1h2 b5a3 h2h3 a3c2 e5c3 c2e3 h3h4 f5f4 g3f4 f7g6 e2d3 e3f5 h4h3 g6h6 d3c4 h6g6 c4e6 b7f3 b4b5 a6b5 a5a6 f5e7 e6d7 e7d5 h3g3 f3e4 f4f5 g6g5 c3a5 h5h4 g3f2 d5f6 d7c8 b5b4 a5b4 g5g4 c8b7 h4h3 b7e4 f6e4 f2g1 g4g3 b4e1
6th Karpov,Poikovsky RUS,2005.02.27,2,"Sadvakasov,D","Svidler,P",1/2-1/2,2635,2735,C96,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d3 a5c6 b1d2 h7h6 d2f1 f8e8 f1g3 e7f8 d3d4 c5d4 c3d4 e5d4 f3d4 c6d4 d1d4 c8b7 c1f4 a8c8 c2b3 a6a5 a2a4 b5a4 b3a4 e8e6 a4b3 d6d5 e4e5 f6d7 f4d2 d8b6 d4b6 e6b6 b3a4 d7c5 d2c3 c5d3 e1e3 d3f4 g3f5 f4g2 e3g3 g2f4 a4d1 g7g6 f5d6 c8a8 c3d4 b6b4 d4c3 b4b6 c3d4 b6b4 d4c3
