Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
54th Reggio Emilia,Reggio Emilia ITA,2011.12.27,1,"Ivanchuk, Vassily","Giri, Anish",1/2-1/2,2775,2714,D55,c2c4 g8f6 g1f3 e7e6 b1c3 d7d5 d2d4 f8e7 c1g5 h7h6 g5f6 e7f6 e2e3 e8g8 a1c1 c7c6 f1e2 d5c4 e2c4 b8d7 e1g1 e6e5 c3e4 e5d4 f3d4 f6e5 f2f4 e5c7 c4f7 f8f7 d4e6 d8e8 e6c7 e8e4 c7a8 e4e3 f1f2 d7f6 d1e1 e3e1 c1e1 f6d5 e1e8 f7f8 f2e2 b7b5 e2e5 a7a6 f4f5 c8b7 e8f8 g8f8 e5d5 c6d5 a8c7 f8f7 g1f2 d5d4 g2g4 g7g5 f5g6 f7g6 c7e6 b7c8 e6d4 c8g4 f2g3 g6g5 h2h4 g5h5 a2a3 g4d7 d4f3 d7c8 f3e5 c8b7 b2b4 b7c8 e5c6 c8d7 c6b8 d7c8 b8c6 c8d7
54th Reggio Emilia,Reggio Emilia ITA,2011.12.27,1,"Vitiugov, Nikita","Nakamura, Hikaru",0-1,2729,2758,D37,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1f4 e8g8 e2e3 b8d7 f1e2 c7c5 c4d5 f6d5 c3d5 e6d5 e1g1 c5c4 b2b3 d7b6 b3c4 d5c4 d1c2 c8e6 a1b1 a8c8 a2a4 a7a5 f3g5 e7g5 f4g5 f7f6 g5h4 c4c3 e2d3 h7h6 d3b5 b6d5 c2e4 d8d6 h4g3 d6e7 b1c1 d5b4 d4d5 b4d5 f1d1 f8d8 d1d4 f6f5 e4e5 e7f6 e5f6 g7f6 h2h3 g8f7 b5c4 f7e7 e3e4 d5f4 d4d8 c8c4 g3f4 e7d8 e4f5 e6f5 f4e3 c3c2 g2g4 f5e4 e3b6 d8d7 b6a5 c4d4
54th Reggio Emilia,Reggio Emilia ITA,2011.12.27,1,"Caruana, Fabiano","Morozevich, Alexander",0-1,2727,2762,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 f8e8 d2d4 c8b7 b1d2 e7f8 a2a4 h7h6 b3c2 e5d4 c3d4 c6b4 c2b1 c7c5 d4d5 f6d7 a1a3 c5c4 a4b5 a6b5 f3d4 d7e5 a3a8 d8a8 d4b5 e8c8 e1e3 b7a6 b5c3 e5d3 b1d3 b4d3 d2f3 a8b7 e3e2 f8e7 f3d4 e7f6 d4f5 b7b3 e2c2 c8d8 c1e3 d3b2 d1d2 b2d3 e3d4 f6e5 d4e5 d6e5 c2a2 a6b5 a2a1 b5d7 f5e3 d8c8 a1a7 d3c5 d2c1 b3b6 c1a3 b6b3 a3a1 g8h7 g1h2 b3b6 e3c4 b6f6 a1f1 d7e8 d5d6 f6d8 c3d5 e8b5 a7f7 c5e4 d5c7 b5c4 f1c4 e4d6 c7e6 d6c4
54th Reggio Emilia,Reggio Emilia ITA,2011.12.28,2,"Giri, Anish","Morozevich, Alexander",0-1,2714,2762,D11,g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 e2e3 c8g4 h2h3 g4h5 b1c3 e7e6 g2g4 h5g6 f3e5 b8d7 h3h4 d5c4 e5g6 h7g6 g4g5 f6d5 f1c4 f8b4 c1d2 d8e7 a2a3 d5c3 b2c3 b4a5 f2f4 e8c8 d1b3 d7b6 c4d3 c8b8 e1e2 e7d7 d3e4 f7f6 g5f6 g7f6 a1g1 e6e5 f4e5 f6e5 g1g5 e5d4 g5a5 h8e8 e4g2 d4e3 d2c1 d7d3 e2e1 e3e2 c1f4 b8a8 e1f2 e8f8 b3b4 b6c4 a5a7 a8a7 b4a4 a7b6 a4b4 b6a6 b4a4 c4a5 g2f3 b7b5
54th Reggio Emilia,Reggio Emilia ITA,2011.12.28,2,"Nakamura, Hikaru","Caruana, Fabiano",1/2-1/2,2758,2727,A22,c2c4 g8f6 b1c3 e7e5 g2g3 f8b4 g1f3 d8e7 f1g2 e8g8 e1g1 c7c6 e2e4 d7d6 d2d3 a7a6 d1b3 b4c5 c3a4 c5a7 a4b6 a7b6 b3b6 c6c5 f3e1 c8g4 f2f3 g4e6 c1g5 b8d7 b6a5 h7h6 g5d2 d7b8 e1c2 b8c6 a5c3 b7b5 c2e3 c6d4 a1e1 a8b8 c3c1 b5c4 d3c4 e7d7 f1f2 f8e8 d2c3 a6a5 c1d1 a5a4 g2f1 b8a8 f1d3 g8h8 g1h1 d7b7 h2h4 e8f8 h1h2 b7d7 e1f1 a8e8 a2a3 e8a8 d1d2 d4b3 d2d1 b3d4 f1g1 a8e8 d1f1 d7d8 f1d1 d8d7 e3d5 e6d5 c4d5 e8c8 g1e1 c8a8 d3f1 d7e7 f1d3
54th Reggio Emilia,Reggio Emilia ITA,2011.12.28,2,"Ivanchuk, Vassily","Vitiugov, Nikita",1/2-1/2,2775,2729,A46,d2d4 g8f6 g1f3 e7e6 g2g3 b7b5 c1g5 c8b7 b1d2 c7c5 c2c3 b8c6 e2e3 c5d4 c3d4 a7a6 f1g2 f8e7 e1g1 d7d6 a2a4 e8g8 a4b5 a6b5 d1b3 a8a5 f1c1 h7h6 g5f6 e7f6 d2e4 f6e7 d4d5 d8a8 a1b1 e6d5 e4c3 d5d4 c3d5 d4e3 c1c6 e3f2 g1f2 b7c6 d5e7 g8h8 b1e1 c6e4 f3h4 a8a7 e1e3 a5a4 h4f5 a7c5 g2e4 a4e4 b3c3
54th Reggio Emilia,Reggio Emilia ITA,2011.12.29,3,"Vitiugov, Nikita","Giri, Anish",1/2-1/2,2729,2714,D70,d2d4 g8f6 c2c4 g7g6 f2f3 d7d5 c4d5 f6d5 e2e4 d5b6 b1c3 f8g7 c1e3 e8g8 d1d2 b8c6 e1c1 d8d6 c3b5 d6d7 c1b1 f8d8 d4d5 a7a6 d5c6 d7d2 d1d2 d8d2 e3d2 a6b5 c6b7 c8b7 f1b5 f7f5 e4f5 b7d5 g1e2 d5a2 b1c2 g6f5 d2c3 a2c4 b5c4 b6c4 e2d4 c4e3 c2d3 e3g2 d4f5 g2f4 d3c4 g7c3 b2c3 g8f7 h1e1 f4g6 f5d4 a8a2 h2h3 a2h2 d4e6 f7f6 e6c7 h2h3 c7d5 f6f7 e1f1 g6h4 f3f4 h4f5 c4b4 h7h5 c3c4 h3d3 d5b6 h5h4 c4c5 d3d2 b4c3 d2g2 f1h1 g2g4
54th Reggio Emilia,Reggio Emilia ITA,2011.12.29,3,"Caruana, Fabiano","Ivanchuk, Vassily",0-1,2727,2775,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 d4b5 d7d6 c1f4 e6e5 f4g5 a7a6 b5a3 b7b5 g5f6 g7f6 c3d5 f6f5 g2g3 f5e4 f1g2 f8g7 g2e4 c8e6 e1g1 e8g8 c2c3 f7f5 e4g2 a8b8 a3c2 a6a5 a2a3 g8h8 d1e2 d8d7 a1d1 e5e4 f2f3 c6d4 c2d4 e6d5 e2d2 b5b4 a3b4 a5b4 f3e4 b4c3 b2c3 f5e4 f1f8 b8f8 d2e3 d7e7 g2h3 e7e5 d1e1 f8f6 h3g2 f6f7 e1b1 d5b7 d4e2 d6d5 b1b6 e5c7 b6b1 g7e5 e2d4 b7a6 g2f1 a6c4 f1c4 c7c4 d4e6 c4a6 e6d4 h7h6 d4e2 h8h7 b1f1 f7f1 g1f1 a6a1 f1g2 a1e1 e3f2 e1f2 g2f2 h7g6 f2e3 g6f5 h2h3 e5f6 e2d4 f5e5 e3d2 f6g5 d2e2 g5c1 d4b5 e5e6 b5d4 e6f6 d4b5 f6e5 b5d4 c1a3 d4c2 a3c5 c2e3 e5e6 e3g4 c5f8 g4e3 f8g7 e2d2 g7e5 g3g4 e5f4 d2e2 f4g5 e3f5 e6e5 f5e3 e5d6 e3f5 d6c5 f5e3 g5f4 e3g2 f4c7 g2e3 c7a5 e3d1 c5d6 e2e3 d6e5 e3e2 e5e6 e2e3 a5b6 e3e2 e6f6 d1e3 b6e3 e2e3 f6g5 e3f2 g5f4 f2g2 f4e3 h3h4 e3f4 g4g5 h6g5 h4h5 f4f5 g2g3 f5f6 g3g4 f6g7
54th Reggio Emilia,Reggio Emilia ITA,2011.12.29,3,"Morozevich, Alexander","Nakamura, Hikaru",1/2-1/2,2762,2758,D31,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c4d5 e6d5 d1c2 c7c6 h2h3 e8g8 c1f4 e7d6 f4d6 d8d6 e2e3 b7b6 a1c1 c8b7 f1e2 b8d7 e1g1 c6c5 d4c5 d7c5 f1d1 a8c8 c2f5 f8d8 f5e5 d6e5 f3e5 a7a5 e2g4 f6g4 h3g4 c5e6 c3e2 c8c1 d1c1 d5d4 e2d4 e6d4 e3d4 f7f6
54th Reggio Emilia,Reggio Emilia ITA,2011.12.30,4,"Giri, Anish","Nakamura, Hikaru",0-1,2714,2758,E99,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 c1e3 f5f4 e3f2 g6g5 a1c1 e7g6 c3b5 b7b6 b2b4 a7a6 b5c3 f8f7 e1d3 h7h5 c4c5 g7f8 c5b6 c7b6 b4b5 a6a5 c3a4 d7c5 d3c5 d6c5 d5d6 c8e6 f2c5 b6c5 a4c5 e6a2 d1a4 f8d6 a4a2 d6c5 g1h1 c5d4 e2c4 a8a7 c4f7 a7f7 a2d5 d8d5 e4d5 g6e7 d5d6 e7f5 c1c8 g8g7 c8c6 a5a4 f1c1 a4a3 c6a6 a3a2 a6a2 f5d6 b5b6 d4b6 c1c6 f7c7 c6c7 b6c7 a2a7 d6e8 g2g3 g7g6 h1g2 c7d6 a7a6 g6f5 a6c6 g5g4 g3f4 e5f4 f3g4 h5g4 h2h3 g4g3 g2f3 d6e5 c6h6 e8g7 h3h4 g7e6 h6h5 f5f6 f3g2 e6d4 g2h3 f4f3 h5h8 g3g2 h8g8 d4e2 g8g6 f6g6 h4h5 g6g5
