Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Karjakin,Sergey","Giri,A",1/2-1/2,2748,2779,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 e1g1 c6d4 f3d4 c5d4 b5a4 e8g8 c2c3 d4b6 c1g5 h7h6 g5h4 d7d6 b1d2 c8g4 d1e1 g4e6 a4b3 e6b3 a2b3 d8e7 d2c4 e7e6 h4f6
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"So,W","Harikrishna,P",1/2-1/2,2763,2734,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 e1g1 a7a6 f1e1 c5a7 a2a4 e8g8 h2h3 h7h6 b1d2 f8e8 b2b4 c8e6 c4e6 e8e6 d1c2 d8d7 d2f1 d6d5 c1e3 a7e3 f1e3 a8d8 b4b5 c6e7 c3c4 d5d4 e3d5 e7g6 a1b1 a6b5 b1b5 c7c6 d5b6 d7e7 b5b1 f6h5 g2g3 e6f6 c2d1 g6f4 g3f4 h5f4 g1h2 f6g6 e1g1 g6g1 f3g1 d8d6 b6c8 e7h4 d1f3 d6g6 b1b7 g6g2 f3g2 f4g2 h2g2 h4g5 g2h1 g5d2 a4a5 d2a5 c8e7 g8h7 e7c6 a5a6 c6d8 a6a3 d8f7 a3d3 f7d6 d3c2 b7d7 c2a4 d7e7 d4d3 g1f3 d3d2 f3d2 a4d1
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Svidler,P","Duda,J",1/2-1/2,2737,2729,C24,e2e4 e7e5 f1c4 g8f6 d2d3 c7c6 g1f3 d7d5 c4b3 f8b4 c1d2 b4d2 d1d2 d8d6 d2g5 b8d7 e4d5 c6d5 d3d4 e5e4 f3h4 d7b6 g5g7 d6f4 g7h8 e8e7 b1c3 f4h4 h8g7 c8g4 b3d5 b6d5 c3d5 f6d5 g7e5 g4e6 c2c4 f7f6 e5g3 d5f4 d4d5 f4d3 e1d2 h4g3 h2g3 e6f5 f2f3 e4f3 g2f3 d3b2 a1e1 e7d7 g3g4 f5g6 d2c3 b2d3 e1e6 a8f8 g4g5 f6g5 e6g6 h7g6 h1h7 d7d6 c3d3 f8f3 d3e2 f3c3 h7b7 c3c4 b7a7 d6d5 a7a5 c4c5 a5c5 d5c5 e2f3 c5b4 f3g4 b4a3 g4g5 a3a2 g5g6
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Mamedyarov,S","Dubov,Daniil",1/2-1/2,2765,2700,D33,c2c4 g8f6 b1c3 c7c5 g2g3 e7e6 g1f3 d7d5 c4d5 e6d5 d2d4 b8c6 f1g2 c5d4 f3d4 f8c5 d4b3 c5b6 c3a4 e8g8 a4b6 a7b6 c1e3 h7h5 e1g1 h5h4 e3g5 h4h3 g2h1 f8e8 f1e1 c8g4 a2a3 d8d6 d1d2 d6e5 f2f3 g4e6 a1d1 d5d4 f3f4 e5b5 b3d4 c6d4 d2d4 e6b3 d1d3 b3c4 d3c3 c4e2 g5f6 g7f6 d4f6 e2f3 e1e5 e8e5 f4e5 f3h1 e5e6 b5d5 f6f7 g8h8 f7f6 h8g8 f6g6 g8h8 g6f6 h8g8 f6f7
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Vitiugov,N","Grischuk,A",1/2-1/2,2727,2766,C58,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5d3 f6g4 g5e4 f7f5 d3e2 h7h5 h2h3 f5e4 h3g4 f8c5 b1c3 d8d4 e1g1 h8f8 d1e1 h5g4 g2g3 c8f5 d2d3 f8h8 c1e3 d4d6 g1g2 e8c8 f1h1 c5e3 f2e3 h8h1 e1h1 e4d3 c2d3 f5d3 e2g4 c8b8 h1h4 a5c4 a1e1 d8f8 g4f3 d3f1 g2g1 f8f3 e1f1 f3f1 g1f1 d6d3 f1g1 d3e3 g1h2 e3h6 h4h6 g7h6 h2h3 c4b2 h3g4 b8c7 g4h5 b2c4 h5h6 c4e3 h6h5 c7d6 g3g4 d6e6 g4g5 e3f5 g5g6 c6c5 h5g5 c5c4 c3e4 f5e7 g6g7 e6f7 e4d6 f7g7
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Aronian,L",Yu Yangyi,1/2-1/2,2756,2736,D10,c2c4 c7c6 d2d4 d7d5 c4d5 c6d5 c1f4 b8c6 e2e3 g8f6 b1c3 c8f5 d1b3 c6a5 b3a4 f5d7 a4c2 e7e6 g1f3 f8e7 f1d3 a5c6 c2e2 f6h5 f4e5 f7f6 e5g3 f6f5 f3d2 g7g6 d2b3 h5g3 h2g3 c6b4 d3b1 d8b6 g3g4 e8c8 g4f5 g6f5 a2a3 b4d3 b1d3 b6b3 d3b5 h7h5 a1c1 c8b8 b5d7 d8d7 e2c2 b3b6 c3a4 b6d8 a4c5 e7c5 d4c5
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Nakamura,Hi","Topalov,V",1/2-1/2,2754,2740,C88,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 a2a4 c8b7 d2d3 d7d6 b1d2 f6d7 c2c3 d7c5 a4b5 a6b5 a1a8 d8a8 b3c2 b5b4 d3d4 b4c3 b2c3 c5d7 d2f1 e7f6 d4d5 c6b8 h2h4 a8a1 e1e3 d7c5 c3c4 a1a6 f1d2 a6b6 e3a3 b7c8 d2b3 b8a6 b3c5 a6c5 d1e1 c8g4 f3h2 g4d7 g2g3 f8b8 h2f3 h7h6 c1e3 b6b2 e1c3 b2c3 a3c3 b8a8 e3c5 d6c5 c3b3 d7g4 g1g2 g4f3 g2f3 f6e7 h4h5 e7d6 c2d1 g7g6 f3g2
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.12,1.1,"Vachier Lagrave,M","Navara,D",1-0,2775,2734,B11,e2e4 c7c6 g1f3 d7d5 b1c3 c8g4 h2h3 g4f3 d1f3 g8f6 f1e2 e7e6 e1g1 f8c5 f1d1 c5d4 f3f4 e6e5 f4g3 d5e4 d2d3 e4d3 e2d3 b8d7 c3e2 e8g8 d3f5 d7c5 c1h6 f6h5 g3g4 d8d6 g4h5 d6h6 h5h6 g7h6 c2c3
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.13,1.2,"Giri,A","Karjakin,Sergey",1/2-1/2,2779,2748,E01,c2c4 g8f6 g2g3 e7e6 f1g2 d7d5 d2d4 f8b4 b1d2 e8g8 g1f3 b7b6 e1g1 c8b7 b2b3 c7c5 c1b2 b8c6 c4d5 e6d5 a2a3 b4d2 f3d2 c6d4 b2d4 c5d4 d2f3 d8e7 f3d4 f6e4 e2e3 a8c8 d1g4 c8c3 b3b4 g7g6 h2h4 a7a5 g2e4 d5e4 b4a5 b6a5 f1c1 c3c1 a1c1 e7a3 c1c7 a3a1 g1h2 h7h5 g4f4 b7c8 d4c6 g8g7 f4e4 c8f5 e4f4 f8c8 c7c8
Riga FIDE Grand Prix 2019,Riga LAT,2019.07.13,1.2,"Harikrishna,P","So,W",1/2-1/2,2734,2763,E06,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 d5c4 d1c2 a7a6 a2a4 c8d7 c2c4 d7c6 c1f4 e7d6 c4c1 b8d7 b1c3 d8e7 f1e1 d6f4 c1f4 c6f3 f4f3 c7c6 a4a5 f8e8 e1d1 e6e5 d4d5 e5e4 f3f5 g7g6 f5f4 c6d5 c3d5 f6d5 d1d5 d7f6 d5d6 g8g7 a1d1 a8d8 d6d8 e8d8 d1d8 e7d8 g2e4 f6e4 f4e4 d8a5 e4b7
