Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.02,1.1,"Caruana,F","Carlsen,M",1/2-1/2,2807,2822,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 d2d3 b7b5 a4b3 d7d6 a2a4 b5b4 a4a5 e8g8 b1d2 a8b8 f1e1 c8e6 b3e6 f7e6 d2b3 d8c8 d1e2 c6d8 d3d4 e5d4 b3d4 c7c5 d4b3 e6e5 b3d2 d8e6 d2c4 e6d4 f3d4 c5d4 c4b6 c8c6 c1g5 e7d8 g5f6 d8b6 a5b6 f8f6 a1a6 h7h6 e2d3 b8b6 e1a1 b6a6 a1a6 c6c5 a6a8 g8h7 h2h3 b4b3 d3b3 d4d3 c2d3 c5f2 g1h2 f2f4 h2h1 f4c1 h1h2 c1f4 h2h1 f4g3 b3g8 h7g6 a8f8 g3d3 f8f6 g6f6 g8f8 f6e6 f8e8 e6f6 e8f8 f6e6 f8e8
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.02,1.2,"Vachier Lagrave,M","So,W",1-0,2791,2810,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 a2a4 d7d6 c2c3 a7a6 h2h3 h7h6 b1d2 c5a7 f1e1 c6e7 c4b3 e7g6 d3d4 f8e8 b3c2 c8d7 a4a5 c7c6 d4e5 d6e5 d2c4 d8e7 d1d6 e7d6 c4d6 e8e6 e1d1 a8b8 g1f1 e6e7 d6c4 b8e8 b2b3 d7e6 c4b6 a7b6 a5b6 e7d7 c1e3 e8c8 c3c4 d7d1 a1d1 c6c5 f3e1 f6d7 e1d3 f7f6 d1a1 g6e7 f1e2 g8f7 e2d2 f6f5 f2f4 e5f4 d3f4 g7g5 f4e6 f7e6 e4f5 e7f5 e3g1 f5d4 a1e1 e6f6 e1f1 f6e7 f1e1 e7d8 c2e4 d4b3 d2c3 b3d4 g1h2
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.02,1.3,"Aronian,L","Nepomniachtchi,I",1-0,2809,2742,A34,g1f3 g8f6 c2c4 c7c5 b1c3 d7d5 c4d5 f6d5 e2e3 d5c3 b2c3 g7g6 h2h4 f8g7 h4h5 b8c6 c1a3 d8a5 h1h4 c8d7 d1b3 e8g8 h5g6 h7g6 b3b7 f8d8 b7a6 g7c3 a6a5 c3a5 a3c5 d7e6 f1b5 c6e5 f3d4 d8d5 c5e7 g8g7 f2f4 e5d7 f4f5 e6f5 b5c6 d5e5 d4f5 g6f5 e7g5 g7g6 g5f4 a8d8 c6d7 e5c5 h4h6 g6g7 h6d6 a5c7 d6c6
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.02,1.4,"Anand,V","Nakamura,Hi",1/2-1/2,2783,2792,C65,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 d2d3 f8c5 c2c3 e8g8 c1g5 h7h6 g5h4 f8e8 b1d2 c5e7 h4g3 d7d6 h2h3 a7a6 b5a4 b7b5 a4c2 c8b7 e1g1 e7f8 f3h2 d6d5 e4d5 d8d5 h2f3 d5d7 f1e1 f8d6 e1e2 a8d8 d1f1 f6h5 g3h2 e8e7 a1e1 d8e8 g2g4 h5f6 d2e4 f6e4 d3e4 d7e6 c2b3 e6f6 f1g2 c6a5 b3c2 a5c4 c2b3 c4a5 b3c2 a5c4 c2b3 c4a5
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.02,1.5,"Karjakin,Sergey","Svidler,P",1-0,2773,2749,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 e1g1 a7a6 a2a4 c5a7 f1e1 e8g8 h2h3 c6e7 d3d4 e7g6 b1d2 h7h6 c4b3 f8e8 b3c2 b7b5 b2b4 c8b7 c1b2 d8d7 c3c4 e5d4 c4b5 d4d3 c2d3 g6f4 d3f1 f6e4 d2e4 b7e4 b5a6 d7f5 a1a3 c7c5 f3h4 f5e6 b4b5 c5c4 b2d4 a7d4 d1d4 d6d5 a3g3 g7g5 f2f3 f4h5 g3g4 h5f6 g4e4 f6e4 f3e4 g5h4 e1d1 e6e4 d4e4 e8e4 d1d5 c4c3 d5c5 e4a4 b5b6 g8g7 b6b7 a8e8 c5c3 a4a1 a6a7
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.03,2.1,"Carlsen,M","Karjakin,Sergey",1-0,2822,2773,A05,g1f3 g8f6 g2g3 c7c5 f1g2 b8c6 e1g1 e7e5 e2e4 d7d6 d2d3 g7g6 a2a3 f8g7 c2c3 e8g8 b2b4 a7a6 b1d2 b7b5 a1b1 f6d7 d2b3 c5b4 a3b4 d7b6 c1e3 c8e6 d1d2 a8c8 f1c1 f8e8 h2h4 b6a4 c3c4 h7h5 g1h2 e6g4 c4b5 a6b5 b3a5 c6d4 c1c8 d8c8 b1c1 c8d7 f3d4 e5d4 e3h6 g7h8 c1c6 a4c3 f2f3 g4e6 h6f4 h8e5 f4e5 d6e5 f3f4 d7e7 c6c5 e8c8 c5c8 e6c8 a5c6 e7d6 c6e5 d6b4 f4f5 b4d6 e5f3 g6f5 d2g5 g8h7 e4e5 d6g6 g5d8 c8e6 f3g5 h7g7 d8d4 c3a4 g5h3
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.03,2.2,"Aronian,L","Caruana,F",0-1,2809,2807,D27,d2d4 d7d5 g1f3 g8f6 c2c4 d5c4 e2e3 e7e6 f1c4 c7c5 e1g1 a7a6 c4e2 c5d4 e3d4 b8c6 b1c3 f8e7 c1e3 f6g4 e3f4 g4f6 a1c1 e8g8 c3a4 f6d5 f4g3 e7d6 e2d3 c6e7 d1b3 b7b6 d3e4 a8b8 f1e1 c8b7 a4c3 d5c3 e4b7 c3a2 b3a2 b8b7 a2a6 b7c7 b2b3 e7f5 c1c7 d8c7 a6b5 h7h6 d4d5 e6d5 b5d5 f5g3 h2g3 f8d8 d5b5 g7g6 f3e5 c7c5 b5c5 d6c5 g1f1 g8g7 f1e2 c5b4 e1c1 d8e8 f2f4 f7f6 c1c7 g7h8 c7c6 f6e5 c6b6 e5f4 e2f3 e8e3 f3f4 b4d2 b6g6 h8h7 f4f5 e3b3 g6d6 d2g5 d6d7 h7g8 f5g4 g5f6 g4f5 f6g7 g3g4 b3b2 g2g3 b2b5 f5e4 g7f6 d7d3 b5b4 e4f3 f6g5 d3d5 b4b3 f3g2 g8f7 d5d6 f7e7 d6c6 b3d3 c6a6 d3d6 a6a3 e7e6 g2f3 e6e5 a3a5 d6d5 a5a3 e5d4 a3a4 d4d3 a4a3 d3d2 a3a1 d5c5 f3f2 c5c2 a1b1 g5f6 f2g2 d2e3 g2h3 e3f2 b1b5 c2e2 b5b6 f6g5 b6b5 g5d2 h3h2 f2f1 h2h1 e2e4 b5f5 f1e2 h1g2 e4g4 f5f2 e2d3 f2f6 g4d4 f6f1 d3e4 f1f8 d2g5 f8f1 g5e3 f1f8 d4d2 g2h3 e3g1 h3g4 e4e5 f8f5 e5e6 f5f1 g1d4 f1h1 d4g7 g4f3 e6f5 h1h5 f5g6 h5b5 d2d3 f3f4 g7f8 b5b6 f8d6 f4e4 d3d1 e4f3 g6f5 b6b5 d6e5 b5b6 h6h5 b6h6 f5g5 h6e6 e5d6 e6e8 d1c1 e8e6 c1d1 e6e8 d1g1 f3f2 g1c1 f2f3 g5f5 e8e3 d6c5 e3d3 f5e5 d3d2 c1c3 f3g2 e5e6 g2h3 c5d6 h3h4 d6g3 h4h5 e6f5 d2d5 g3e5 h5h4 c3c4
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.03,2.3,"Nakamura,Hi","Vachier Lagrave,M",1/2-1/2,2792,2791,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 h2h3 e7e5 d4e2 h7h5 g2g3 b8d7 f1g2 b7b5 c3d5 f6d5 d1d5 d8c7 c1e3 c8b7 d5d2 a8c8 e2c3 d7b6 e3b6 c7b6 a2a4 f8e7 a4b5 a6b5 h3h4 e8g8 e1g1 c8c4 b2b3 c4c7 c3d1 b6d4 d2a5 d4c5 d1e3 f8a8 a5d2 g7g6 a1a8 b7a8 f1a1 c7a7 a1a5 c5b6 a5a7 b6a7 d2c3 a7b8 c3b4 a8c6 c2c4 g8f8 e3d5 c6d5 c4d5
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.03,2.4,"Svidler,P","Anand,V",1/2-1/2,2749,2783,A35,c2c4 c7c5 g1f3 b8c6 b1c3 g8f6 e2e3 e7e6 d2d4 d7d5 c4d5 e6d5 f1b5 c5d4 f3d4 c8d7 e1g1 f8d6 d4f3 a7a6 b5a4 d7e6 c3e2 e8g8 e2f4 d6f4 e3f4 b7b5 a4b3 e6g4 h2h3 g4f3 d1f3 c6d4 f3d3 d4b3 a2b3 d5d4 c1d2 f8e8 f1d1 d8d5 d2a5 h7h6 d3d4 d5b3 f4f5 e8e4 d4c3 b3c3 a5c3 b5b4 c3e1 a6a5 f2f3 e4e2 e1b4 e2b2 b4a5 b2b5 d1d8
5th Sinquefield Cup 2017,Saint Louis USA,2017.08.03,2.5,"Nepomniachtchi,I","So,W",0-1,2742,2810,A10,c2c4 g7g6 b1c3 c7c5 d2d4 c5d4 d1d4 g8f6 c1f4 b8c6 d4d2 d7d6 e2e4 f8g7 f1d3 c6e5 g1e2 f6h5 f4e3 e5g4 e3g5 h7h6 g5h4 g6g5 h4g3 c8e6 h2h3 g4e5 g3e5 g7e5 g2g3 d8a5 f2f4 e5c3 b2c3 a5c7 f4g5 h6g5 d2g5 e6c4 d3c4 c7c4 g5d5 c4d5 e4d5 a8c8 a1b1 b7b6 b1b3 h5f6 b3a3 a7a5 e2f4 h8g8 c3c4 c8c4 e1e2 f6e4 g3g4 f7f5 h1g1 f5g4 h3g4 e4c3 e2d3 c4f4 a3c3 g8g4 c3c8 e8f7 g1b1 f4d4 d3e3 d4d5 b1b6 g4g2 a2a4 g2g4
