Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Salzburg,Salzburg,1943.??.??,?,"Foltys, Jan","Rellstab, Ludwig Sr",0-1,,,B04,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 c2c4 d5b6 e5d6 c7d6 c1e3 f8g7 f1e2 b8c6 e1g1 e8g8 h2h3 e7e5 b1c3 d8e7 d4e5 d6e5 c4c5 b6d7 c3d5 e7d8 a1c1 d7f6 d5f6 g7f6 e3h6 f8e8 f3d2 c6d4 d2e4 f6e7 e2c4 c8f5 e4g3 f5e6 c4e6 d4e6 b2b4 d8d1 f1d1 a7a5 a2a3 e8d8 h6e3 f7f5 g3e2 a5b4 a3b4 f5f4
Salzburg,Salzburg,1943.??.??,?,"Bogoljubow, Efim","Rellstab, Ludwig Sr",1/2-1/2,,,D95,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 g7g6 b1c3 f8g7 d1b3 e8g8 c1d2 f6e4 c4d5 e4c3 d5c6 b8c6 d2c3 b7b6 f1e2 c8b7 e1g1 a8c8 a1c1 e7e6 c1c2 d8e7 f1c1 f8d8 a2a3 e7e8 e2b5 e8f8 c3d2 c6a5 b3d3 c8c2 c1c2 d8c8 b2b4 a5c6 b5a6 f8e7 a6b7 e7b7 d3e4 b7d7 h2h4 a7a6 h4h5 b6b5 h5g6 h7g6 f3g5 g7f6 g5f3 f6g7 e4d3 g7f6 e3e4 c8d8 d2e3 c6d4 e3d4 f6d4 g1f1 d4b6 d3d7 d8d7 c2c6 d7b7 f1e2 a6a5 e4e5 a5b4 a3b4 b6c7 c6c5 c7d8 f3d4 d8e7 c5c8 e7f8 d4c6 b7d7 f2f4 g6g5 f4g5 g8g7 g2g3 d7d5 c8b8 f8b4 c6b4 d5e5 e2f3 e5g5 b4a6 g5d5 a6c7 d5d3 f3f2 d3d7 c7b5 f7f5 b8b6 d7d2 f2f3 d2d3 f3g2 d3b3 b6b7 g7g6 b5d6 b3c3 d6e8 e6e5 b7g7 g6h6 g7e7 c3e3 e8d6 h6g5 e7e8 f5f4 e8g8 g5f6 g3g4 e5e4 g4g5 f6e6 g8g6 e6d5 d6f5 e3a3 f5e7 d5e5 g6g7 a3g3 g2f2 g3f3 f2e2 f3e3 e2f2 e3f3 f2g2 f3g3 g2h2 e4e3 e7g6 e5f5 g6f4 g3g5
Salzburg,Salzburg,1943.??.??,?,"Bogoljubow, Efim","Keres, Paul",0-1,,,E44,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8b7 a2a3 b4e7 f2f3 d7d5 c4d5 e6d5 e2g3 e8g8 f1d3 c7c5 e1g1 f8e8 g3f5 e7f8 g2g4 g7g6 f5g3 b8c6 g4g5 c5d4 e3d4 f6d7 g3e2 f8g7 c3b5 d7f8 f3f4 a7a6 f4f5 a6b5 f5f6 g7h8 d3b5 b7a6 b5a6 a8a6 c1f4 d8d7 a1c1 a6a8 c1c3 e8e4 e2g3 e4d4 d1c2 c6a5 f4e3 d4g4 c2d1 a5c4 e3c1 b6b5 c3d3 d5d4 f1e1 h7h5 b2b3 c4b6 e1e7 d7d6 e7e4 g4e4 g3e4 d6c6 e4d2 f8e6 d2f3 a8d8 c1e3 c6e4
Salzburg,Salzburg,1943.??.??,?,"Keres, Paul","Alekhine, Alexander",1/2-1/2,,,C92,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8e6 b3e6 f7e6 d2d4 e5d4 c3d4 d6d5 e4e5 f6e4 b1d2 c6b4 d2e4 d5e4 e1e4 b4a2 c1d2 d8d5 e4g4 a2b4 a1c1 a8c8 d2g5 d5d7 g5e7 d7e7 f3g5 f8f5 g5e4 f5f7 d1d2 g8h8 f2f3 a6a5 c1c5 e7d7 g1h2 c8d8 c5c1 d8a8 c1a1 f7f8 e4c5 d7e7 g4f4 f8f4 d2f4 b4d5 f4g4 e7f7 g4e6 f7f4 h2h1 f4d4 e6c6 a8g8 c6b5 c7c6 b5a5 d4b2
Salzburg,Salzburg,1943.??.??,?,"Alekhine, Alexander","Bogoljubow, Efim",1/2-1/2,,,E06,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 c7c5 c4d5 f6d5 f1g2 b8c6 e1g1 f8e7 d4c5 e7c5 b1d2 e8g8 d2b3 c5b6 c1g5 f7f6 g5c1 d8e7 f3d4 c6d4 b3d4 f8d8 e2e3 e6e5 g2d5 d8d5 d4f5 c8f5 d1d5 f5e6 d5f3 e6c4 f1d1 e5e4 f3f5 g7g6 f5h3 a8d8 d1d8 e7d8 c1d2 d8d2 h3c8 g8g7 c8c4 b6e3 c4c7 g7h6 a1f1 e3d4 c7f4 d2f4 g3f4 h6h5 h2h3 h7h6 b2b3 e4e3 f2e3 d4e3 g1g2 a7a5 f4f5 b7b6 g2f3 e3c5 f3e4 g6g5 f1d1 h5h4 d1d7 h6h5 d7h7 c5a3 h7h6 a3b2 e4f3 b2e5 h6h7 e5b2 h7h6 b2e5
Salzburg,Salzburg,1943.??.??,?,"Alekhine, Alexander","Foltys, Jan",1-0,,,D02,d2d4 g8f6 g2g3 d7d5 f1g2 c7c6 g1f3 c8f5 f3h4 e7e6 h4f5 e6f5 d1d3 g7g6 c2c4 d5c4 d3c4 b8d7 e1g1 d7b6 c4d3 f8g7 b1d2 e8g8 d2b3 d8e7 a2a4 b6d5 a4a5 f8e8 f1e1 a7a6 c1g5 h7h6 g5f6 d5f6 e2e3 a8d8 a1c1 h6h5 b3c5 e7c7 c5b7 c7b7 g2c6 b7b2 c6e8 d8e8 d3a6 f6g4 a6e2 b2b4 a5a6 h5h4 e2f3 h4g3 h2g3 g7d4 f3c6 e8e6 c6c4 b4c4 c1c4 d4a7 e1a1
Salzburg,Salzburg,1943.??.??,?,"Alekhine, Alexander","Keres, Paul",1/2-1/2,,,E19,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 d1c2 e4c3 c2c3 b7e4 f3e1 d7d5 f2f3 e4g6 e1d3 b8d7 c4d5 e6d5 c3c6 e7f6 c6d5 g6d3 e2d3 c7c5 c1e3 f8e8 f3f4 a8c8 g2e4 c5d4 e3d4 d7c5 d5d8 c8d8 d4f6 g7f6 a1e1 g8g7 e4f5 e8e1 f1e1 d8d5 f5e4 c5e4 e1e4 d5d3 g1f2
Salzburg,Salzburg,1943.??.??,?,"Alekhine, Alexander","Rellstab, Ludwig Sr",1-0,,,B55,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f2f3 e7e5 f1b5 c8d7 b5d7 d8d7 d4f5 d6d5 c1g5 d5e4 g5f6 d7d1 e1d1 g7f6 f3e4 b8c6 c2c3 h8g8 g2g3 g8g4 b1d2 a8d8 d1e2 c6e7 f5e3 d8d2 e2d2 g4e4 d2d3 e4a4 b2b4 a4a6 h1f1 a6d6 d3c2 f8h6 e3c4 d6c6 c2b3 b7b5 c4a5 c6c7 a1d1 f6f5 c3c4 a7a6 d1d6 h6f8 c4c5 c7a7 f1d1 f7f6 c5c6 f8h6 d6d8 e8f7 d8d7 a7a8 c6c7 h6f8 a5c6
Salzburg,Salzburg,1943.??.??,?,"Alekhine, Alexander","Schmidt, Paul Felix",1-0,,,C84,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 b1c3 b7b5 a4b3 d7d6 c3d5 c8e6 f1e1 c6a5 d5e7 d8e7 d2d4 a5b3 a2b3 f6d7 h2h3 f7f6 f3h4 e5d4 h4f5 e7f7 d1g4 d7e5 g4d1 e6f5 e4f5 e8g8 d1d4 f8e8 c1e3 e5c6 d4c3 f7d7 b3b4 e8e4 e3d2 e4c4 c3f3 d6d5 b2b3 c4e4 e1e4 d5e4 f3e4 a8e8 e4d3 d7d3 c2d3 e8e2 a1d1 c6d4 g1f1 e2e5 g2g4 d4b3 d2f4 e5e7 d1b1 b3d4 b1c1 c7c6 c1a1 e7a7 f4e3 a7d7 a1a6 h7h5 g4h5 d4f5 f1e2 f5d4 e2d2 g8h7 a6a8 g7g6 h5g6 h7g6 a8g8 g6f5 g8h8 d4f3 d2c3 f3e5 e3d4 c6c5 d4c5 d7d3 c3c2 d3a3 h3h4 e5d3 c2d2 a3b3 d2c2 b3a3 h8b8 d3f2 b8b5 f2e4 c5d4 f5g4 b5d5 a3h3 b4b5 h3h4 b5b6 h4h7 c2d3 h7e7 d5a5 e4d6 a5a7 e7e8 a7d7 d6f5 d4c5 f5g3 b6b7 g3e4 c5a7
Salzburg,Salzburg,1943.??.??,?,"Bogoljubow, Efim","Alekhine, Alexander",0-1,,,D00,d2d4 g8f6 c1g5 d7d5 c2c3 f6e4 g5h4 d8d6 b1d2 c8f5 g1f3 b8d7 d1b3 e8c8 d2e4 f5e4 h4g3 d6c6 f3d2 e4g6 e2e3 e7e6 c3c4 c6b6 c4c5 b6a5 a2a3 e6e5 b3d1 c7c6 d4e5 a5c5 a1c1 c5b6 f1e2 d7c5 b2b4 c5d3 e2d3 g6d3 d2f3 d3c4 f3d4 a7a5 d1g4 d8d7 c1c4 d5c4 e1g1 c6c5 b4a5 b6g6 a5a6 g6a6 d4e2 a6e6 g4e4 f7f5 e4c2 g7g5 f2f4 g5g4 e3e4 d7f7 e4f5 f7f5 g3h4 f8h6 c2e4 h8f8 g2g3 e6d7 f1c1 f8e8 g1g2 e8e5 f4e5 h6c1 e2c1 d7e6 h2h3 g4h3 g2h2 f5f2 h2g1 f2g2 g1h1 e6d7 e4f3 d7d4 f3f8 c8c7 f8e7 c7b6 e7d6 d4d6 e5d6 b6c6 h4e7 g2c2 e7g5 c6d6 a3a4 h7h5
